"","Group","Attribute","Year","QuestionNo.","Estimate","cv","CI Lower","CI Upper","Unweightedn","QuestionText","QuestionGroup","Region","Marker"
"1","Arts & culture","Do not support cause",2018,"nv_020",0.398141295131022,0.0226941205883675,0.380432106084198,0.415850484177846,6549,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"2","Arts & culture","Support cause",2018,"nv_020",0.512672908458834,0.0660638099179133,0.446290642144973,0.579055174772696,509,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"3","Sports & Recreation","Do not support cause",2018,"nv_020",0.386712030794009,0.0257759639234,0.367175354096822,0.406248707491196,5460,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"4","Sports & Recreation","Support cause",2018,"nv_020",0.473712269930229,0.0412947386455303,0.43537179867363,0.512052741186828,1598,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"5","Education & research","Do not support cause",2018,"nv_020",0.416729156763697,0.0233849222433635,0.397628957042974,0.43582935648442,6051,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"6","Education & research","Support cause",2018,"nv_020",0.347623042862277,0.0583079991462551,0.307896132857577,0.387349952866976,1007,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"7","Universities & colleges","Do not support cause",2018,"nv_020",0.405238238646099,0.0223624154039302,0.387476837594893,0.422999639697305,6821,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"8","Universities & colleges","Support cause",2018,"nv_020",0.402498853641894,0.118521806832137,0.308998984647757,0.495998722636031,237,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"9","Health","Do not support cause",2018,"nv_020",0.406468137882843,0.022917287606078,0.388210784823762,0.424725490941925,6274,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"10","Health","Support cause",2018,"nv_020",0.393302438918741,0.0702575337054711,0.339143813771271,0.447461064066212,784,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"11","Hospitals","Do not support cause",2018,"nv_020",0.405437667475289,0.0223642493391503,0.387666068228271,0.423209266722308,6696,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"12","Hospitals","Support cause",2018,"nv_020",0.398153432126338,0.0933303422632947,0.325321570109919,0.470985294142757,362,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"13","Social services","Do not support cause",2018,"nv_020",0.404735183928087,0.0258266664194549,0.384247757652557,0.425222610203618,5147,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"14","Social services","Support cause",2018,"nv_020",0.406143645902052,0.0447050898205913,0.370557191010105,0.441730100793999,1911,"Gave enough time already","Barriers to volunteering by cause support","CA",""
"15","Environment","Do not support cause",2018,"nv_020",0.407926204296587,0.0224594411056548,0.389969416923561,0.425882991669612,6561,"Gave enough time already","Barriers to volunteering by cause support","CA",""
