Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,ichrs1,23.054307486987717,32.71809480169334,8.27043599733308,37.838178976642354,51,"Maintained park, public space",Average hours spent on community involvement,CA,*
Age group,25 to 34 years,2018,ichrs1,20.916946204542267,28.85656373546574,9.08677624115344,32.7471161679311,108,"Maintained park, public space",Average hours spent on community involvement,CA,*
Age group,35 to 44 years,2018,ichrs1,23.712695916666725,22.92907669249157,13.056171360528339,34.36922047280511,175,"Maintained park, public space",Average hours spent on community involvement,CA,*
Age group,45 to 54 years,2018,ichrs1,13.457112213172934,22.703623528205526,7.468928143974354,19.445296282371515,163,"Maintained park, public space",Average hours spent on community involvement,CA,*
Age group,55 to 64 years,2018,ichrs1,33.0250360781978,20.91643326311747,19.48627198315983,46.56380017323577,210,"Maintained park, public space",Average hours spent on community involvement,CA,*
Age group,65 to 74 years,2018,ichrs1,32.55150715751363,19.03657819873604,20.406211829048118,44.69680248597915,175,"Maintained park, public space",Average hours spent on community involvement,CA,*
Age group,75 years and over,2018,ichrs1,28.33356133268447,21.88555379157999,16.179909322187427,40.487213343181516,54,"Maintained park, public space",Average hours spent on community involvement,CA,*
Gender,Male gender,2018,ichrs1,23.719984082005922,13.962294506255246,17.22886945259384,30.211098711418003,506,"Maintained park, public space",Average hours spent on community involvement,CA,
Gender,Female gender,2018,ichrs1,24.92693962361574,14.630800192388035,17.77892994078412,32.074949306447365,430,"Maintained park, public space",Average hours spent on community involvement,CA,
Education,Less than High School,2018,ichrs1,13.997849745643734,36.817903139275515,3.8967544276237103,24.098945063663756,59,"Maintained park, public space",Average hours spent on community involvement,CA,...
Education,Graduated from High school,2018,ichrs1,35.16379123709516,22.308355094474475,19.788925467905305,50.53865700628502,170,"Maintained park, public space",Average hours spent on community involvement,CA,*
Education,Post-secondary diploma,2018,ichrs1,17.961614953958556,14.186598762753839,12.967347926608882,22.95588198130823,306,"Maintained park, public space",Average hours spent on community involvement,CA,
Education,University Diploma,2018,ichrs1,18.803015761396715,15.823414381824952,12.971575881038884,24.634455641754545,318,"Maintained park, public space",Average hours spent on community involvement,CA,
Marital status (original),Married,2018,ichrs1,19.586534838568852,13.603377655862012,14.36434740382823,24.808722273309474,506,"Maintained park, public space",Average hours spent on community involvement,CA,
Marital status (original),Living common-law,2018,ichrs1,20.51820931464706,30.505104852879118,8.250596258940043,32.785822370354076,88,"Maintained park, public space",Average hours spent on community involvement,CA,*
Marital status (original),Widowed,2018,ichrs1,51.97461193710152,48.03035477888516,3.0468736159518244,100.90235025825122,46,"Maintained park, public space",Average hours spent on community involvement,CA,...
Marital status (original),Separated,2018,ichrs1,43.14451327669205,64.83404988408343,-11.680256396496617,97.96928294988072,32,"Maintained park, public space",Average hours spent on community involvement,CA,...
Marital status (original),Divorced,2018,ichrs1,29.680251674361944,25.783242626819785,14.681565932951617,44.67893741577227,60,"Maintained park, public space",Average hours spent on community involvement,CA,*
Marital status (original),"Single, never married",2018,ichrs1,27.960250473900917,19.323770173943007,17.370614962908682,38.54988598489315,204,"Maintained park, public space",Average hours spent on community involvement,CA,*
Marital status,Married/common-law,2018,ichrs1,19.753083983956035,12.574439824514313,14.884847708849069,24.621320259063,594,"Maintained park, public space",Average hours spent on community involvement,CA,
Marital status,Widowed,2018,ichrs1,51.97461193710152,48.03035477888516,3.0468736159518244,100.90235025825122,46,"Maintained park, public space",Average hours spent on community involvement,CA,...
Marital status,Separated/divorced,2018,ichrs1,35.05020878180154,32.91759693277263,12.43675887314392,57.66365869045916,92,"Maintained park, public space",Average hours spent on community involvement,CA,*
Marital status,"Single, never married",2018,ichrs1,27.960250473900917,19.323770173943007,17.370614962908682,38.54988598489315,204,"Maintained park, public space",Average hours spent on community involvement,CA,*
Labour force status,Employed,2018,ichrs1,16.72845241226337,12.53343581687528,12.619094225426721,20.837810599100017,529,"Maintained park, public space",Average hours spent on community involvement,CA,
Labour force status,Unemployed,2018,ichrs1,38.79254211098067,33.58362223873449,13.25824735152737,64.32683687043397,28,"Maintained park, public space",Average hours spent on community involvement,CA,...
Labour force status,Not in labour force,2018,ichrs1,28.241743904122778,17.585881928766682,18.50746569135284,37.976022116892715,288,"Maintained park, public space",Average hours spent on community involvement,CA,*
Labour force status,Unable to determine,2018,ichrs1,47.631493954967105,25.155427341331226,24.14739001609009,71.11559789384413,91,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"Less than $25,000",2018,ichrs1,29.02199474552854,15.561866042660172,20.17008407184754,37.87390541920954,237,"Maintained park, public space",Average hours spent on community involvement,CA,
Personal income category,"$25,000 to $49,999",2018,ichrs1,19.007109053773593,18.193184702985324,12.229556619750795,25.78466148779639,251,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"$50,000 to $74,999",2018,ichrs1,24.224262790338148,20.823610516391856,14.337486843007182,34.11103873766911,209,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"$75,000 to $99,999",2018,ichrs1,19.726681790953247,36.699858445885916,5.537200515826251,33.916163066080244,129,"Maintained park, public space",Average hours spent on community involvement,CA,...
Personal income category,"$100,000 to $124,999",2018,ichrs1,32.74264618741374,43.63240609782558,4.741808189570971,60.743484185256506,58,"Maintained park, public space",Average hours spent on community involvement,CA,...
Personal income category,"$125,000 and more",2018,ichrs1,12.493151785629616,25.098514072562256,6.3474976158575664,18.638805955401665,52,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"Less than $25,000",2018,ichrs1,55.32920570274735,23.562171712526244,29.777620816221315,80.88079058927339,83,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"$25,000 to $49,999",2018,ichrs1,25.856555142780845,19.165632525910425,16.14381182864951,35.56929845691218,146,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"$50,000 to $74,999",2018,ichrs1,27.688517080403333,27.876056529913345,12.560600384219892,42.81643377658678,159,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"$75,000 to $99,999",2018,ichrs1,19.513916934602047,30.401615764875228,7.886340345592709,31.141493523611388,159,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"$100,000 to $124,999",2018,ichrs1,24.00781663173336,25.55176907955951,11.984570706860602,36.031062556606116,114,"Maintained park, public space",Average hours spent on community involvement,CA,*
Personal income category,"$125,000 and more",2018,ichrs1,14.733278088906694,14.618839681899262,10.511840424976695,18.95471575283669,275,"Maintained park, public space",Average hours spent on community involvement,CA,
Frequency of religious attendance,At least once a week,2018,ichrs1,19.93782944990833,32.73315058524132,7.146556211831323,32.72910268798534,144,"Maintained park, public space",Average hours spent on community involvement,CA,*
Frequency of religious attendance,At least once a month,2018,ichrs1,25.94096575233693,34.22146343161317,8.541624382055808,43.34030712261805,94,"Maintained park, public space",Average hours spent on community involvement,CA,...
Frequency of religious attendance,At least 3 times a year,2018,ichrs1,16.11746187178502,24.612030504691724,8.342608859525898,23.892314884044147,82,"Maintained park, public space",Average hours spent on community involvement,CA,*
Frequency of religious attendance,Once or twice a year,2018,ichrs1,18.088708965004592,33.250063262823446,6.3004915186344235,29.87692641137476,144,"Maintained park, public space",Average hours spent on community involvement,CA,*
