,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,iva250_1,0.060572082340018964,17.768003458200766,0.039478068572232086,0.08166609610780581,845,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
1,Groupe d'âge,25 à 34 ans,2018,iva250_1,0.05571409238826047,14.939308552001838,0.0394007238248383,0.07202746095168264,1846,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
2,Groupe d'âge,35 à 44 ans,2018,iva250_1,0.06099202740117324,10.408941156723504,0.048548952534532994,0.07343510226781348,2523,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
3,Groupe d'âge,45 à 54 ans,2018,iva250_1,0.05023500924178188,11.926099160568507,0.03849271406280468,0.061977304420759084,2609,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
4,Groupe d'âge,55 à 64 ans,2018,iva250_1,0.049114202333528006,9.291912311615645,0.04016961541320528,0.05805878925385074,3481,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
5,Groupe d'âge,65 à 74 ans,2018,iva250_1,0.05180240255955305,11.172038207667997,0.04045933795022836,0.06314546716887774,3019,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
6,Groupe d'âge,75 ans et plus,2018,iva250_1,0.024137986105576343,20.27190525866814,0.014547432175134788,0.033728540036017905,1826,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
7,Genre,Hommes,2018,iva250_1,0.06166788346183121,7.622174600032379,0.05245520260088833,0.07088056432277409,7242,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
8,Genre,Femmes,2018,iva250_1,0.043003129929241886,7.116152845326999,0.03700530997269903,0.049000949885784746,8907,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
9,Éducation,Sans diplôme d'études secondaires,2018,iva250_1,0.04911677317371686,19.59907786963834,0.030249308016301407,0.06798423833113232,1568,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
10,Éducation,Diplôme d'études secondaires,2018,iva250_1,0.042901814645620255,11.775117648905766,0.03300058785617616,0.05280304143506436,3502,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
11,Éducation,Diplôme post-secondaire,2018,iva250_1,0.0483798845224615,8.549155750619084,0.04027333299258744,0.056486436052335574,5142,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
12,Éducation,Diplôme universtaire,2018,iva250_1,0.06181326959944264,9.633298642606123,0.05014235661105211,0.07348418258783314,4544,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
13,Marital status (original),Marié.e,2018,iva250_1,0.051817138625861486,6.640576288098437,0.04507298757680714,0.05856128967491585,8083,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
14,Marital status (original),Union de fait,2018,iva250_1,0.04916672076006924,14.122549863569805,0.03555752531180355,0.06277591620833492,1487,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
15,Marital status (original),Veuf.ve,2018,iva250_1,0.02747144114632957,19.362173211740856,0.01704625939872374,0.0378966228939354,1421,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
16,Marital status (original),Séparé.e,2018,iva250_1,0.061558211394331284,26.035079765757622,0.030146398904143293,0.09297002388451928,517,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
17,Marital status (original),divorcé.e,2018,iva250_1,0.045589679011669514,23.08640442396086,0.024961023437471447,0.06621833458586758,1380,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
18,Marital status (original),"Célibataire, jamais marié.e",2018,iva250_1,0.05846013399976381,11.555110734463652,0.04522031617938415,0.07169995182014345,3261,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
19,État civil,Marié.e/union de fait,2018,iva250_1,0.0513225664459266,5.726239718666929,0.04556252004852264,0.05708261284333056,9570,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
20,État civil,Veuf.ve,2018,iva250_1,0.02747144114632957,19.362173211740856,0.01704625939872374,0.0378966228939354,1421,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
21,État civil,Séparé.e/divorcé.e,2018,iva250_1,0.05085062146462914,16.865100190242142,0.0340419541490649,0.06765928878019338,1897,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
22,État civil,"Célibataire, jamais marié.e",2018,iva250_1,0.05846013399976381,11.555110734463652,0.04522031617938415,0.07169995182014345,3261,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
23,Situation d'activité,Employé.e,2018,iva250_1,0.05206425458841025,6.742344110716218,0.045184092657384635,0.05894441651943585,8587,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
24,Situation d'activité,Au chômage,2018,iva250_1,0.08804550170997187,28.432609238950143,0.03898048173860268,0.13711052168134105,348,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
25,Situation d'activité,Pas dans la population active,2018,iva250_1,0.04403568377105528,9.862206099369313,0.03552377599632692,0.05254759154578363,5824,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
26,Situation d'activité,Unable to determine,2018,iva250_1,0.06928434218800122,15.557090535436993,0.04815861981674465,0.0904100645592578,1390,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
27,Catégorie de revenu personnel,"Moins de 25,000 $",2018,iva250_1,0.05344434944178274,9.317207904512765,0.0436846673261451,0.0632040315574204,4527,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
28,Catégorie de revenu personnel,"25,000 $ à 49,999 $",2018,iva250_1,0.04591770462130738,11.580416168535088,0.035495672003356814,0.05633973723925796,4837,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
29,Catégorie de revenu personnel,"50,000 $ a 74,999 $",2018,iva250_1,0.05231529850020722,10.02740109085778,0.042033592399950505,0.06259700460046394,3270,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
30,Catégorie de revenu personnel,"75,000 $ à 99,999 $",2018,iva250_1,0.0621381462507366,11.280683933779946,0.04839956725851164,0.07587672524296157,1813,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
31,Catégorie de revenu personnel,"100,000 $ à 124,999 $",2018,iva250_1,0.056815141503779365,16.46803113486169,0.038477061499864816,0.07515322150769391,775,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
32,Catégorie de revenu personnel,"125,000 $ et plus",2018,iva250_1,0.05980109291672042,17.723663008260466,0.039027544042290314,0.08057464179115054,927,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
33,Catégorie de revenu personnel,"Moins de 25,000 $",2018,iva250_1,0.04241856226203528,14.642565017793565,0.03024490146470944,0.05459222305936113,1741,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
34,Catégorie de revenu personnel,"25,000 $ à 49,999 $",2018,iva250_1,0.050517058255783114,15.463900061757537,0.035206001095705576,0.06582811541586064,3015,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
35,Catégorie de revenu personnel,"50,000 $ a 74,999 $",2018,iva250_1,0.046442003010324494,13.564895930552472,0.034094603523084216,0.05878940249756477,2722,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
36,Catégorie de revenu personnel,"75,000 $ à 99,999 $",2018,iva250_1,0.05216973624400634,13.806622759345831,0.03805235345059374,0.06628711903741892,2790,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
37,Catégorie de revenu personnel,"100,000 $ à 124,999 $",2018,iva250_1,0.056908412633193024,13.520517879800767,0.0418278380212264,0.07198898724515962,1674,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
38,Catégorie de revenu personnel,"125,000 $ et plus",2018,iva250_1,0.059111305929507064,9.170194772647902,0.04848708225837002,0.0697355296006441,4207,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
39,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,iva250_1,0.05882022649765165,12.217903482077975,0.04473475226351357,0.07290570073178973,2383,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
40,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,iva250_1,0.07225464952689996,20.119208645971266,0.0437625282442599,0.10074677080954003,1208,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
41,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,iva250_1,0.054944837239717485,18.69396320809061,0.034813326557405384,0.07507634792202958,1297,"Entretenir des parcs, lieux publics",Community involvement rate,CA,*
42,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,iva250_1,0.05706250281354396,14.131643697961149,0.04125760885532771,0.0728673967717602,2164,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
43,Fréquence de la fréquentation religieuse,Pas du tout,2018,iva250_1,0.04295142054353912,8.020726672347857,0.036199313171748085,0.049703527915330135,7820,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
44,Statut d'immigration,Né.e au Canada,2018,iva250_1,0.05186322162293562,6.077885706497633,0.045685047975871085,0.058041395270000164,12093,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
45,Statut d'immigration,Naturalisé.e,2018,iva250_1,0.0464426737038944,12.062910317507944,0.03546229284188794,0.05742305456590085,2492,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
46,Statut d'immigration,Non canadien.ne,2018,iva250_1,0.048995311266164944,50.12459928318576,0.0008611370173241192,0.09712948551500578,319,"Entretenir des parcs, lieux publics",Community involvement rate,CA,...
47,Statut d'immigration,Unknown,2018,iva250_1,0.07609934927611131,15.760480083227579,0.05259228057114285,0.09960641798107978,1245,"Entretenir des parcs, lieux publics",Community involvement rate,CA,
48,Groupe d'âge,15 à 24 ans,2018,iva250_2,0.06290566983192558,16.292428408220154,0.042818270954103885,0.08299306870974726,845,Participer aux réunions publiques,Community involvement rate,CA,
49,Groupe d'âge,25 à 34 ans,2018,iva250_2,0.1012037686815906,9.863565102508627,0.08163882096290456,0.12076871640027663,1846,Participer aux réunions publiques,Community involvement rate,CA,
50,Groupe d'âge,35 à 44 ans,2018,iva250_2,0.1041921632263784,8.219204490319495,0.08740748841579579,0.120976838036961,2523,Participer aux réunions publiques,Community involvement rate,CA,
51,Groupe d'âge,45 à 54 ans,2018,iva250_2,0.09291324087819347,7.582913387805731,0.07910425468628836,0.10672222707009857,2609,Participer aux réunions publiques,Community involvement rate,CA,
52,Groupe d'âge,55 à 64 ans,2018,iva250_2,0.12645015529700585,6.211340838929376,0.11105610790320608,0.1418442026908056,3481,Participer aux réunions publiques,Community involvement rate,CA,
53,Groupe d'âge,65 à 74 ans,2018,iva250_2,0.12880926264502907,6.494944251145077,0.112412027947354,0.14520649734270413,3019,Participer aux réunions publiques,Community involvement rate,CA,
54,Groupe d'âge,75 ans et plus,2018,iva250_2,0.12821105614622855,8.872829773894932,0.10591460628044687,0.15050750601201027,1826,Participer aux réunions publiques,Community involvement rate,CA,
55,Genre,Hommes,2018,iva250_2,0.1059072134125512,5.1247110336512165,0.09526962912792686,0.11654479769717553,7242,Participer aux réunions publiques,Community involvement rate,CA,
56,Genre,Femmes,2018,iva250_2,0.1033019168126864,4.33972022918792,0.0945153704756284,0.1120884631497444,8907,Participer aux réunions publiques,Community involvement rate,CA,
57,Éducation,Sans diplôme d'études secondaires,2018,iva250_2,0.060084977930768814,14.775961386764068,0.04268415672975687,0.07748579913178075,1568,Participer aux réunions publiques,Community involvement rate,CA,
58,Éducation,Diplôme d'études secondaires,2018,iva250_2,0.07572564449971969,9.021341760859745,0.06233621092399525,0.08911507807544414,3502,Participer aux réunions publiques,Community involvement rate,CA,
59,Éducation,Diplôme post-secondaire,2018,iva250_2,0.10322206375872144,5.907790730894001,0.09126992209681348,0.1151742054206294,5142,Participer aux réunions publiques,Community involvement rate,CA,
60,Éducation,Diplôme universtaire,2018,iva250_2,0.1473323918924078,5.157556377773885,0.13243911326276192,0.16222567052205367,4544,Participer aux réunions publiques,Community involvement rate,CA,
61,Marital status (original),Marié.e,2018,iva250_2,0.11707711404118006,4.030649849905622,0.10782810569510748,0.1263261223872526,8083,Participer aux réunions publiques,Community involvement rate,CA,
62,Marital status (original),Union de fait,2018,iva250_2,0.08422022890887257,10.693087758245447,0.06656929699950337,0.1018711608182418,1487,Participer aux réunions publiques,Community involvement rate,CA,
63,Marital status (original),Veuf.ve,2018,iva250_2,0.09920096671815733,13.764892708647926,0.07243784150189636,0.1259640919344183,1421,Participer aux réunions publiques,Community involvement rate,CA,
64,Marital status (original),Séparé.e,2018,iva250_2,0.1403872154293593,17.301113303114775,0.09278252983184064,0.187991901026878,517,Participer aux réunions publiques,Community involvement rate,CA,*
65,Marital status (original),divorcé.e,2018,iva250_2,0.13580477977417682,10.054709377949148,0.10904191073900392,0.1625676488093497,1380,Participer aux réunions publiques,Community involvement rate,CA,
66,Marital status (original),"Célibataire, jamais marié.e",2018,iva250_2,0.08320052449416654,8.510530539148734,0.06932239966286946,0.09707864932546363,3261,Participer aux réunions publiques,Community involvement rate,CA,
67,État civil,Marié.e/union de fait,2018,iva250_2,0.11094596713204988,3.8253617461609672,0.10262771419697587,0.1192642200671239,9570,Participer aux réunions publiques,Community involvement rate,CA,
68,État civil,Veuf.ve,2018,iva250_2,0.09920096671815733,13.764892708647926,0.07243784150189636,0.1259640919344183,1421,Participer aux réunions publiques,Community involvement rate,CA,
69,État civil,Séparé.e/divorcé.e,2018,iva250_2,0.13731449461199632,8.798083288182971,0.11363608425502485,0.1609929049689678,1897,Participer aux réunions publiques,Community involvement rate,CA,
70,État civil,"Célibataire, jamais marié.e",2018,iva250_2,0.08320052449416654,8.510530539148734,0.06932239966286946,0.09707864932546363,3261,Participer aux réunions publiques,Community involvement rate,CA,
71,Situation d'activité,Employé.e,2018,iva250_2,0.09721605688546203,4.832512082661797,0.08800818980254603,0.10642392396837808,8587,Participer aux réunions publiques,Community involvement rate,CA,
72,Situation d'activité,Au chômage,2018,iva250_2,0.1116719162778912,22.80484395773377,0.06175828521593162,0.16158554733985075,348,Participer aux réunions publiques,Community involvement rate,CA,*
73,Situation d'activité,Pas dans la population active,2018,iva250_2,0.11391211432982384,5.531134701962972,0.10156310157854496,0.12626112708110268,5824,Participer aux réunions publiques,Community involvement rate,CA,
74,Situation d'activité,Unable to determine,2018,iva250_2,0.119074844289466,10.653375122373127,0.09421174107968172,0.14393794749925032,1390,Participer aux réunions publiques,Community involvement rate,CA,
75,Catégorie de revenu personnel,"Moins de 25,000 $",2018,iva250_2,0.09559873844711574,6.071377246915045,0.08422279377995431,0.10697468311427716,4527,Participer aux réunions publiques,Community involvement rate,CA,
76,Catégorie de revenu personnel,"25,000 $ à 49,999 $",2018,iva250_2,0.09791165958519173,6.642692599348827,0.08516411152095943,0.11065920764942402,4837,Participer aux réunions publiques,Community involvement rate,CA,
77,Catégorie de revenu personnel,"50,000 $ a 74,999 $",2018,iva250_2,0.11155572586183553,7.186559467487288,0.09584265818468914,0.1272687935389819,3270,Participer aux réunions publiques,Community involvement rate,CA,
78,Catégorie de revenu personnel,"75,000 $ à 99,999 $",2018,iva250_2,0.11617857530771968,8.368603754454254,0.09712277722337187,0.13523437339206748,1813,Participer aux réunions publiques,Community involvement rate,CA,
79,Catégorie de revenu personnel,"100,000 $ à 124,999 $",2018,iva250_2,0.14148788212690072,12.69649906156168,0.1062790741610256,0.17669669009277586,775,Participer aux réunions publiques,Community involvement rate,CA,
80,Catégorie de revenu personnel,"125,000 $ et plus",2018,iva250_2,0.1524616100638069,11.484295513923154,0.11814432264737865,0.1867788974802352,927,Participer aux réunions publiques,Community involvement rate,CA,
81,Catégorie de revenu personnel,"Moins de 25,000 $",2018,iva250_2,0.10368998999156948,10.471699558248666,0.08240849677235251,0.12497148321078645,1741,Participer aux réunions publiques,Community involvement rate,CA,
82,Catégorie de revenu personnel,"25,000 $ à 49,999 $",2018,iva250_2,0.0980702430327688,8.120357551650692,0.08246176725081845,0.11367871881471915,3015,Participer aux réunions publiques,Community involvement rate,CA,
83,Catégorie de revenu personnel,"50,000 $ a 74,999 $",2018,iva250_2,0.09516884521678172,7.820562070546303,0.08058134559091502,0.10975634484264844,2722,Participer aux réunions publiques,Community involvement rate,CA,
84,Catégorie de revenu personnel,"75,000 $ à 99,999 $",2018,iva250_2,0.10802185276418716,8.989486311196435,0.08898940754827944,0.1270542979800949,2790,Participer aux réunions publiques,Community involvement rate,CA,
85,Catégorie de revenu personnel,"100,000 $ à 124,999 $",2018,iva250_2,0.0975711518703344,9.877871555140075,0.07868111099466701,0.1164611927460018,1674,Participer aux réunions publiques,Community involvement rate,CA,
86,Catégorie de revenu personnel,"125,000 $ et plus",2018,iva250_2,0.1156719743728368,5.8404431224886535,0.10243093617555768,0.12891301257011598,4207,Participer aux réunions publiques,Community involvement rate,CA,
87,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,iva250_2,0.12485158051525914,7.538815086963159,0.10640375311978087,0.14329940791073745,2383,Participer aux réunions publiques,Community involvement rate,CA,
88,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,iva250_2,0.15840524238048095,9.81295444749498,0.12793910302983638,0.18887138173112555,1208,Participer aux réunions publiques,Community involvement rate,CA,
