Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,fg1dad03,240.09500253944432,3.9670978951690272,221.42673014702308,258.76327493186557,-,Mail request,Average donation by method,CA,NA
All,NA,2018,fg1dad04,176.08688204644073,14.8115963421224,124.96851614258031,227.20524795030116,-,Telephone request,Average donation by method,CA,NA
All,NA,2018,fg1dad05,127.13803679295422,15.475761697265932,88.57460940070989,165.70146418519857,-,TV or radio request,Average donation by method,CA,NA
All,NA,2018,fg1dad06,185.86124997484674,5.941926394467538,164.21591992826274,207.50658002143075,-,Online,Average donation by method,CA,NA
All,NA,2018,fg1dad07,501.70552767457383,7.153063970047483,431.3676781945939,572.0433771545538,-,On own,Average donation by method,CA,NA
All,NA,2018,fg1dad08,134.4906392991171,5.01250624644923,121.2778327683139,147.7034458299203,-,Charity event,Average donation by method,CA,NA
All,NA,2018,fg1dad09,146.71632048277772,8.622684226671721,121.92104146274625,171.5115995028092,-,In memoriam,Average donation by method,CA,NA
All,NA,2018,fg1dad10,94.4064184687704,10.655398117766206,74.69039647827756,114.12244045926323,-,At work,Average donation by method,CA,NA
All,NA,2018,fg1dad11,37.99930432136668,5.87995910017564,33.620071429480035,42.378537213253324,-,Door-to-door canvassing,Average donation by method,CA,NA
All,NA,2018,fg1dad12,28.945575753600316,10.238269632024224,23.13717134565255,34.753980161548085,-,Public place,Average donation by method,CA,NA
All,NA,2018,fg1dad13,553.6581979741537,4.204782297933919,508.0299974954763,599.2863984528311,-,Place of worship,Average donation by method,CA,NA
All,NA,2018,fg1dad14,57.99989067920432,3.132400080570526,54.439050411844406,61.560730946564235,-,Sponsoring someone,Average donation by method,CA,NA
All,NA,2018,fg1dad17,255.47149518933975,9.79696805439171,206.4166134881843,304.52637689049516,-,Any other method,Average donation by method,CA,NA
All,NA,2018,fg1dad03,262.18699879411247,4.1851774018852845,240.6803315839748,283.69366600425013,-,Mail request,Average donation by method,CA (without QC),NA
