Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,PropTot_fg1dnd03,0.38180330498990783,1.978137107424353,0.36700049500739246,0.3966061149724232,-,Mail request,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd04,0.2702900206461056,3.1072929548300765,0.2538288657017242,0.28675117559048696,-,Telephone request,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd05,0.26623771953917,5.687636486061643,0.2365587029027968,0.29591673617554326,-,TV or radio request,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd06,0.3224844401363171,2.3986679925607524,0.30732346987660697,0.33764541039602725,-,Online,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd07,0.3703750911485974,2.233495515887264,0.3541616594162609,0.3865885228809339,-,On own,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd08,0.27563226458807827,2.3006065312085915,0.26320371376259916,0.2880608154135574,-,Charity event,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd09,0.2846046354343995,2.054190774305996,0.2731460545502736,0.29606321631852545,-,In memoriam,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd10,0.3038843581327551,2.043506841354965,0.2917131823945042,0.316055533871006,-,At work,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd11,0.3111240583463426,2.7499959801754246,0.2943548042591331,0.32789331243355213,-,Door-to-door canvassing,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd12,0.41836124659566526,1.6188298288253828,0.40508727947422085,0.43163521371710967,-,Public place,Proportion of Total Number of Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dnd13,0.3750789124847376,1.9896650231398798,0.3604520659568846,0.38970575901259064,-,Place of worship,Proportion of Total Number of Donations by Method,CA (without QC),
