Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,PropTot_fg1dad03,0.40732598940206777,2.2593186978708233,0.3892888480547605,0.42536313074937504,-,Mail request,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad04,0.27069533412348135,4.461332532905763,0.24702559581610414,0.2943650724308585,-,Telephone request,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad05,0.2848280807393768,6.432658654055853,0.24891758497295796,0.3207385765057957,-,TV or radio request,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad06,0.38302515327661507,2.7015837551537256,0.3627439451300377,0.40330636142319243,-,Online,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad07,0.4706555985391969,2.036234382287225,0.45187198750435487,0.48943920957403897,-,On own,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad08,0.30412710474419274,2.93871645739173,0.2866100574040901,0.32164415208429536,-,Charity event,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad09,0.28066903322002584,2.797889869184349,0.26527780756766045,0.29606025887239124,-,In memoriam,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad10,0.27207427776628856,3.0646192333267233,0.25573201839975096,0.28841653713282617,-,At work,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad11,0.2325604612605592,4.6622517587236105,0.21130944553751185,0.25381147698360657,-,Door-to-door canvassing,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad12,0.2710578921307567,3.200950999760045,0.25405240121253253,0.2880633830489809,-,Public place,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad13,0.5582448718878574,1.4458491761421757,0.542425259975429,0.5740644838002859,-,Place of worship,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad14,0.22270098690184512,2.950907722016434,0.20982069037045858,0.23558128343323165,-,Sponsoring someone,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad17,0.5026565639523899,3.7363351899804464,0.4658466095523177,0.5394665183524621,-,Any other method,Proportion of Total Donations by Method,CA (without QC),
All,NA,2018,PropTot_fg1dad03,0.4262175474450329,1.893329226397889,0.41040122334716655,0.4420338715428992,-,Mail request,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad04,0.2861015691383979,4.167829792097767,0.2627305147838471,0.3094726234929487,-,Telephone request,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad05,0.29574564447403956,5.259299904808833,0.26526006988325335,0.3262312190648258,-,TV or radio request,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad06,0.38773793650575183,2.5740585998464405,0.36817631663070544,0.40729955638079823,-,Online,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad07,0.47303612761482733,1.8106247816333096,0.4562492137527387,0.48982304147691597,-,On own,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad08,0.31903898944308695,2.8305785747204477,0.3013392420969203,0.3367387367892536,-,Charity event,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad09,0.2933849870045793,2.4902859998182434,0.2790652446344314,0.30770472937472726,-,In memoriam,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad10,0.2870761476175801,2.6783424737282404,0.2720062150447905,0.3021460801903697,-,At work,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad11,0.24464334431921905,3.8440655482162676,0.22621135200826759,0.2630753366301705,-,Door-to-door canvassing,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad12,0.2913431065705996,2.7633747179327277,0.27556362909868204,0.30712258404251713,-,Public place,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad13,0.5153777502166842,1.5570628130021664,0.49964951885351916,0.5311059815798492,-,Place of worship,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad14,0.22929577138660512,2.735330929559881,0.21700288089187844,0.2415886618813318,-,Sponsoring someone,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad17,0.492472471419279,3.7059139703830244,0.4567019407307622,0.5282430021077958,-,Any other method,Proportion of Total Donations by Method,CA,NA
All,NA,2018,PropTot_fg1dad03,0.36672953870349306,7.208174320826324,0.31491886206033715,0.418540215346649,265,Mail request,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad03,0.35447089123441367,3.9547527574425265,0.32699523931821134,0.381946543150616,800,Mail request,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad03,0.511211264397173,4.6653126452547244,0.4644668999783218,0.5579556288160242,400,Mail request,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad03,0.40397658099451644,3.1588456884400844,0.37896548683802217,0.4289876751510107,961,Mail request,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad03,0.36700426193160296,4.637201844407525,0.3336481671983749,0.400360356664831,461,Mail request,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad03,0.494600918588535,3.6249939095451325,0.4594602280950728,0.5297416090819972,408,Mail request,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad04,0.2749714415894603,13.545476390483655,0.20197024729408278,0.34797263588483784,95,Telephone request,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad04,0.25794699708679797,6.857284374658133,0.2232788422467641,0.29261515192683185,543,Telephone request,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad04,0.35482721899507297,9.90675759043435,0.2859308150025131,0.42372362298763283,164,Telephone request,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad04,0.23923679158632058,7.6947742271261586,0.20315634186288994,0.2753172413097512,318,Telephone request,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad04,0.28606662097513863,9.260291565860909,0.23414599282358428,0.337987249126693,176,Telephone request,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad04,0.35056113155805874,8.754275122243135,0.2904116284202511,0.4107106346958664,146,Telephone request,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad05,0.22236949279817644,14.366732453549933,0.1597540724186473,0.2849849131777056,54,TV or radio request,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad05,0.22616367964177492,7.621464204015056,0.1923798120223706,0.25994754726117925,390,TV or radio request,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad05,0.36748849409692985,14.037904510477365,0.2663784916299889,0.4685984965638708,99,TV or radio request,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad05,0.3035951922597408,11.762258365211126,0.2336055625992601,0.37358482192022147,160,TV or radio request,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad05,0.2583659997882334,11.771102850015486,0.198758541082896,0.3179734584935707,118,TV or radio request,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad05,0.312965737746915,8.505649464313178,0.26079195002166233,0.36513952547216766,193,TV or radio request,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad06,0.4116459630080836,6.655344364155244,0.3579498951613728,0.46534203085479436,225,Online,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad06,0.3455658492176698,6.199884680290037,0.303574239911441,0.3875574585238986,508,Online,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad06,0.4199353126848001,6.49345871916198,0.3664903754604216,0.4733802499091786,327,Online,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad06,0.367436277886006,4.529295605893123,0.33481801789525517,0.4000545378767569,663,Online,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad06,0.37491457261326827,6.531956995196943,0.32691650764760516,0.4229126375789314,274,Online,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad06,0.40972176080367645,6.800799323670363,0.35510862906540164,0.46433489254195126,200,Online,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad07,0.4814830720278653,5.382475064032302,0.43068922106665153,0.532276922989079,287,On own,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad07,0.38995577713480656,3.40640981673603,0.3639206114743074,0.41599094279530574,779,On own,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad07,0.51853518874388,4.014365809480944,0.4777367757570274,0.5593336017307328,432,On own,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad07,0.47521217167927177,3.2069872116570086,0.445342333149626,0.5050820102089175,821,On own,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad07,0.40558839701677685,5.4734689654594355,0.36207767667625856,0.44909911735729513,401,On own,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad07,0.4797828561788621,3.8326504023709638,0.44374225529255196,0.5158234570651723,471,On own,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad08,0.3368123484018429,8.477492262704827,0.2808490248397651,0.39277567196392066,231,Charity event,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad08,0.30201603138924676,5.297609527471759,0.2706573327186792,0.33337473005981433,815,Charity event,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad08,0.3117917125040654,6.516849251052975,0.2719672123749615,0.3516162126331693,374,Charity event,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad08,0.2927330280224921,4.867518647997512,0.2648058251342571,0.32066023091072715,792,Charity event,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad08,0.3042905061558519,6.3548518509484415,0.26639026930349236,0.34219074300821145,455,Charity event,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad08,0.36796756263702507,6.912492091253843,0.3181144505317908,0.4178206747422593,353,Charity event,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad09,0.30033675352956674,8.345087241705144,0.2512134625602959,0.34946004449883755,245,In memoriam,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad09,0.23498788211309246,4.010915975597995,0.2165148952161881,0.2534608690099968,1242,In memoriam,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad09,0.2998949620284916,9.418379042425862,0.24453530055810907,0.3552546234988741,318,In memoriam,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad09,0.2829048872737982,3.6837010811106374,0.26247937663784743,0.30333039790974897,1183,In memoriam,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad09,0.27533223239102966,6.989191593156134,0.23761567086496874,0.3130487939170906,467,In memoriam,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad09,0.3474812593936276,5.680408813491981,0.3087947923552966,0.3861677264319586,358,In memoriam,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad10,0.28775444181537285,7.065470177850505,0.24790601368011148,0.32760286995063426,248,At work,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad10,0.25769753517104704,4.428444579276387,0.23533044082587307,0.280064629516221,860,At work,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad10,0.3221611293930035,7.834728071646762,0.2726907594960071,0.37163149928999994,350,At work,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad10,0.25734122496877937,4.926329613561239,0.2324938266858086,0.28218862325175015,823,At work,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad10,0.25231580453962815,7.83873678612345,0.21355090816298877,0.29108070091626753,387,At work,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad10,0.353762132969261,5.71023565771072,0.31416958364284864,0.3933546822956734,301,At work,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad11,0.2957351687458709,11.596454802829658,0.22851860533650667,0.36295173215523513,262,Door-to-door canvassing,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad11,0.2024296208383558,6.458746937480797,0.17680423452405075,0.22805500715266086,1203,Door-to-door canvassing,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad11,0.2764463189873914,10.316663610869526,0.22054807403229568,0.3323445639424871,285,Door-to-door canvassing,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad11,0.21226711050572375,8.157807570774704,0.17832770303600304,0.24620651797544446,693,Door-to-door canvassing,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad11,0.2103658500848697,7.254308750380279,0.18045564669175893,0.24027605347798045,490,Door-to-door canvassing,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad11,0.280883599767713,6.487647160786782,0.24516769177248976,0.3165995077629362,381,Door-to-door canvassing,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad12,0.23974127151354843,9.495635823343287,0.19512277360407243,0.28435976942302443,423,Public place,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad12,0.2698057741196055,4.430588667490721,0.24637639590517676,0.2932351523340342,1834,Public place,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad12,0.3024231884408759,7.200103261024681,0.25974540023772796,0.34510097664402384,645,Public place,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad12,0.2752332622228084,5.370202373268355,0.2462638515196801,0.3042026729259367,1420,Public place,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad12,0.24180567126695743,7.7944039757490575,0.2048656207860825,0.27874572174783235,690,Public place,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad12,0.34976670394543985,5.307890872878987,0.31337951206894,0.3861538958219397,736,Public place,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad13,0.5920333264931752,3.9863121061360465,0.545777595982636,0.6382890570037144,347,Place of worship,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad13,0.527477623265766,2.312148529584877,0.5035737729366483,0.5513814735948837,1364,Place of worship,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad13,0.5580639982967088,4.395561665614241,0.509985989287341,0.6061420073060767,428,Place of worship,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad13,0.5500564333734095,2.281488758870705,0.5254599129866242,0.5746529537601948,1195,Place of worship,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad13,0.5812029933364008,3.3406264741792633,0.5431486833204551,0.6192573033523465,600,Place of worship,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad13,0.3715118221268448,5.417832440228181,0.33206188652578633,0.4109617577279033,547,Place of worship,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad14,0.22622080236304956,8.470081590561998,0.18866576284984454,0.2637758418762546,353,Sponsoring someone,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad14,0.19951309974122727,6.361053278760918,0.17463893305588826,0.22438726642656628,1442,Sponsoring someone,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad14,0.22139258909727116,7.949970429468338,0.18689595807472528,0.2558892201198171,465,Sponsoring someone,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad14,0.2324980008526126,4.033725366735863,0.21411681017592188,0.2508791915293033,1427,Sponsoring someone,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad14,0.18852178080777668,5.8574292266616474,0.16687881992976042,0.21016474168579294,617,Sponsoring someone,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad14,0.27826559239032667,7.314099170805312,0.23837518748345854,0.3181559972971948,280,Sponsoring someone,Proportion of Total Donations by Method,QC,NA
All,NA,2018,PropTot_fg1dad17,0.4954046533313315,10.594365885041373,0.3925359796946171,0.5982733269680458,87,Any other method,Proportion of Total Donations by Method,AB,NA
All,NA,2018,PropTot_fg1dad17,0.49590695940121726,7.584991230786034,0.42218389531317085,0.5696300234892637,196,Any other method,Proportion of Total Donations by Method,AT,NA
All,NA,2018,PropTot_fg1dad17,0.4672462630326625,10.255743091334033,0.3733256192508869,0.561166906814438,129,Any other method,Proportion of Total Donations by Method,BC,NA
All,NA,2018,PropTot_fg1dad17,0.5219003670082512,5.246481466246622,0.46823379734855564,0.5755669366679467,295,Any other method,Proportion of Total Donations by Method,ON,NA
All,NA,2018,PropTot_fg1dad17,0.4605072049103781,8.089095878414073,0.38749684262644823,0.533517567194308,133,Any other method,Proportion of Total Donations by Method,PR,NA
All,NA,2018,PropTot_fg1dad17,0.44711460616568455,11.493974793144218,0.34638962639170134,0.5478395859396678,105,Any other method,Proportion of Total Donations by Method,QC,NA
Age group,15 to 24 years,2018,PropTot_fg1dad03,0.4096351397851643,24.15883849084457,0.21567104401444528,0.6035992355558834,20,Mail request,Proportion of Total Donations by Method,CA,*
Age group,25 to 34 years,2018,PropTot_fg1dad03,0.38907286593193846,11.909030616438734,0.2982583135220974,0.4798874183417795,90,Mail request,Proportion of Total Donations by Method,CA,NA
Age group,35 to 44 years,2018,PropTot_fg1dad03,0.39443409065365437,8.001003758185151,0.33258020187740683,0.4562879794299019,218,Mail request,Proportion of Total Donations by Method,CA,NA
Age group,45 to 54 years,2018,PropTot_fg1dad03,0.38666100588916946,5.694372392985216,0.343506680429966,0.4298153313483729,328,Mail request,Proportion of Total Donations by Method,CA,NA
Age group,55 to 64 years,2018,PropTot_fg1dad03,0.39709689851558866,3.7198004244910683,0.36814585475900446,0.42604794227217285,779,Mail request,Proportion of Total Donations by Method,CA,NA
Age group,65 to 74 years,2018,PropTot_fg1dad03,0.4330597590891109,3.1619056379367376,0.40622208800766,0.4598974301705617,1076,Mail request,Proportion of Total Donations by Method,CA,NA
Age group,75 years and over,2018,PropTot_fg1dad03,0.48939140329201863,3.521568600613936,0.45561288616642914,0.5231699204176081,784,Mail request,Proportion of Total Donations by Method,CA,NA
Gender,Male gender,2018,PropTot_fg1dad03,0.4310157727227784,2.9284740755862226,0.40627674439146927,0.45575480105408755,1364,Mail request,Proportion of Total Donations by Method,CA,NA
Gender,Female gender,2018,PropTot_fg1dad03,0.4221488808709392,2.3958628917493603,0.4023255927011494,0.441972169040729,1931,Mail request,Proportion of Total Donations by Method,CA,NA
Education,Less than High School,2018,PropTot_fg1dad03,0.49175310835124464,6.013099172201027,0.4337977532224829,0.5497084634800063,283,Mail request,Proportion of Total Donations by Method,CA,NA
Education,Graduated from High school,2018,PropTot_fg1dad03,0.4603492281510543,4.233209696507868,0.4221543356028411,0.49854412069926746,637,Mail request,Proportion of Total Donations by Method,CA,NA
Education,Post-secondary diploma,2018,PropTot_fg1dad03,0.42395988608941204,3.1957574997856653,0.3974048635358106,0.45051490864301347,996,Mail request,Proportion of Total Donations by Method,CA,NA
Education,University Diploma,2018,PropTot_fg1dad03,0.39020896212098927,3.571444962362443,0.3628947113280807,0.4175232129138978,1053,Mail request,Proportion of Total Donations by Method,CA,NA
Marital status,Married,2018,PropTot_fg1dad03,0.39916206236851504,2.5572728428731684,0.3791554104829888,0.4191687142540413,1834,Mail request,Proportion of Total Donations by Method,CA,NA
Marital status,Living common-law,2018,PropTot_fg1dad03,0.482066822770374,6.796029341485103,0.41785565335412383,0.5462779921866241,183,Mail request,Proportion of Total Donations by Method,CA,NA
Marital status,Widowed,2018,PropTot_fg1dad03,0.4636820531078337,4.377612224613013,0.4238983077661606,0.5034657984495068,547,Mail request,Proportion of Total Donations by Method,CA,NA
Marital status,Separated,2018,PropTot_fg1dad03,0.5043502185807623,12.490263726693737,0.3808829294453519,0.6278175077161727,65,Mail request,Proportion of Total Donations by Method,CA,NA
Marital status,Divorced,2018,PropTot_fg1dad03,0.45836428393001283,6.05666493788907,0.40395256958611797,0.5127759982739077,301,Mail request,Proportion of Total Donations by Method,CA,NA
Marital status,"Single, never married",2018,PropTot_fg1dad03,0.4775472416695153,5.802105450725614,0.423240962282634,0.5318535210563965,365,Mail request,Proportion of Total Donations by Method,CA,NA
Labour force status,Employed,2018,PropTot_fg1dad03,0.3811273608223002,3.3239034865582493,0.3562979380333386,0.4059567836112618,1195,Mail request,Proportion of Total Donations by Method,CA,NA
Labour force status,Unemployed,2018,PropTot_fg1dad03,0.5026012028659137,14.074711392586675,0.3639539998198895,0.6412484059119379,30,Mail request,Proportion of Total Donations by Method,CA,NA
Labour force status,Not in labour force,2018,PropTot_fg1dad03,0.4617806712605965,2.367217004123156,0.44035561783741883,0.4832057246837742,1775,Mail request,Proportion of Total Donations by Method,CA,NA
Labour force status,Unable to determine,2018,PropTot_fg1dad03,0.40804540780699755,6.195080430329961,0.3584999854689026,0.4575908301450925,295,Mail request,Proportion of Total Donations by Method,CA,NA
Personal income category,"Less than $25,000",2018,PropTot_fg1dad03,0.4321973052386102,3.641907559707116,0.4013470285187239,0.46304758195849655,770,Mail request,Proportion of Total Donations by Method,CA,NA
Personal income category,"$25,000 to $49,999",2018,PropTot_fg1dad03,0.4607332982187253,3.195437452930784,0.43187783749029807,0.4895887589471525,985,Mail request,Proportion of Total Donations by Method,CA,NA
Personal income category,"$50,000 to $74,999",2018,PropTot_fg1dad03,0.4024828623826935,4.050837141216608,0.3705277560342587,0.4344379687311283,731,Mail request,Proportion of Total Donations by Method,CA,NA
Personal income category,"$75,000 to $99,999",2018,PropTot_fg1dad03,0.43922768084622077,5.5556193329088925,0.39140099650186105,0.4870543651905805,385,Mail request,Proportion of Total Donations by Method,CA,NA
