Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,flag_fg1dad03,0.14722888863765435,2.590017077974242,0.1397550493892512,0.1547027278860575,-,Mail request,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad04,0.059763703885506156,4.240291534814808,0.05479685081184617,0.06473055695916614,-,Telephone request,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad05,0.03597204904976343,6.074306004877076,0.03168942516783437,0.040254672931692485,-,TV or radio request,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad06,0.1302548074840733,3.4118944072155823,0.12154442081872353,0.1389651941494231,-,Online,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad07,0.1610452179562208,2.6164465763275553,0.1527865920137517,0.16930384389868988,-,On own,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad08,0.14544125847461883,2.916467627765983,0.13712758669027367,0.153754930258964,-,Charity event,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad09,0.17894884966624044,2.3756209075816104,0.17061675605159518,0.1872809432808857,-,In memoriam,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad10,0.16087281314288232,2.755894921767097,0.15218334086860774,0.1695622854171569,-,At work,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad11,0.15099506862957743,2.789414661955318,0.1427399382992833,0.15925019895987155,-,Door-to-door canvassing,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad12,0.30898149246921724,1.9173005300300159,0.2973704623946385,0.320592522543796,-,Public place,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad13,0.2346122563156029,2.41262153937094,0.22351826074756698,0.24570625188363882,-,Place of worship,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad14,0.2277833206235415,2.1381227190249343,0.21823773364949867,0.23732890759758435,-,Sponsoring someone,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad17,0.05358120733235322,4.671952227947059,0.048674852206376046,0.058487562458330394,-,Any other method,Donation Rate by Donation Method,CA (without QC),NA
All,NA,2018,flag_fg1dad03,0.1448742985224711,2.397575188798669,0.13806642195791036,0.15168217508703186,-,Mail request,Donation Rate by Donation Method,CA,NA
All,NA,2018,flag_fg1dad04,0.05709134814691613,3.946105758123336,0.052675774731438,0.06150692156239426,-,Telephone request,Donation Rate by Donation Method,CA,NA
All,NA,2018,flag_fg1dad05,0.045318645677339196,5.159248668478092,0.04073605070273094,0.049901240651947454,-,TV or radio request,Donation Rate by Donation Method,CA,NA
All,NA,2018,flag_fg1dad06,0.12195676835139231,3.2513611229966424,0.11418501145391438,0.12972852524887024,-,Online,Donation Rate by Donation Method,CA,NA
All,NA,2018,flag_fg1dad07,0.16797870131683756,2.426417780639843,0.15999015256117127,0.17596725007250386,-,On own,Donation Rate by Donation Method,CA,NA
All,NA,2018,flag_fg1dad08,0.1463121457440454,2.8945875336533513,0.13801143733769444,0.15461285415039638,-,Charity event,Donation Rate by Donation Method,CA,NA
All,NA,2018,flag_fg1dad09,0.17040283948629395,2.2698025558598083,0.1628220750955798,0.1779836038770081,-,In memoriam,Donation Rate by Donation Method,CA,NA
All,NA,2018,flag_fg1dad10,0.15193747015915088,2.6619399207495458,0.1440104268445316,0.15986451347377015,-,At work,Donation Rate by Donation Method,CA,NA
