Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2018,fg1dad03/gs1datot,0.0860234279195707,4.70713509687437,0.0780870653791869,0.0939597904599544,-,Arts & culture,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad04/gs1datot,0.0232898419847301,15.2658875267694,0.016321383912335,0.0302583000571252,-,Sports & Recreation,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad05/gs1datot,0.0139819428128622,17.8920668837741,0.00907878213417829,0.0188851034915461,-,Education and research,Proportion of Total Donations by Donation Method,CA (without QC),*
All,NA,2018,fg1dad06/gs1datot,0.0587488634428606,6.98929396957772,0.0507009950182266,0.0667967318674947,-,Health,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad07/gs1datot,0.216582388289295,6.29039246202851,0.189880069794699,0.243284706783892,-,Social services,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad08/gs1datot,0.0490797064874436,5.88376158214968,0.0434198539771903,0.0547395589976969,-,Environment,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad09/gs1datot,0.0642867733483468,8.94445426774948,0.0530167823978655,0.0755567642988281,-,Development and housing,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad10/gs1datot,0.0341591125894685,11.1127819590677,0.0267190350107608,0.0415991901681763,-,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad11/gs1datot,0.0137089255201714,7.23218880021855,0.0117657086907365,0.0156521423496063,-,Philanthropic intermediaries,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad12/gs1datot,0.0219079691706019,12.3470839792566,0.0166062757030317,0.0272096626381722,-,International,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad13/gs1datot,0.356314512736644,3.61352920059892,0.33107893968587,0.381550085787419,-,Religion,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad14/gs1datot,0.0292495577438407,4.17849004979458,0.0268541096360975,0.031645005851584,-,Business and professional,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad17/gs1datot,0.0342644873981748,10.7646975222177,0.0270352221251959,0.0414937526711537,-,Not elsewhere classified,Proportion of Total Donations by Donation Method,CA (without QC),NA
All,NA,2018,fg1dad03/gs1datot,0.0902178514733122,4.30873902183126,0.0825989780031394,0.0978367249434849,-,Arts & culture,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad04/gs1datot,0.0260744595546017,14.3481071377831,0.0187418591660458,0.033407059943157603,-,Sports & Recreation,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad05/gs1datot,0.0149441231319319,15.2270423756493,0.0104841310813802,0.0194041151824837,-,Education and research,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad06/gs1datot,0.0587912609396462,6.44659306368715,0.0513629320738532,0.0662195898054392,-,Health,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad07/gs1datot,0.218585383980548,5.71174876515104,0.194115139613486,0.243055628347609,-,Social services,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad08/gs1datot,0.051037624351335,5.27184730275466,0.0457640950348527,0.0563111536678172,-,Environment,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad09/gs1datot,0.0648445181760871,8.21683933208899,0.054401497119151,0.0752875392330232,-,Development and housing,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad10/gs1datot,0.03720355374627,9.85097048079488,0.0300204599889194,0.0443866475036205,-,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad11/gs1datot,0.0152995839184929,6.40944746341011,0.0133776064009125,0.0172215614360733,-,Philanthropic intermediaries,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad12/gs1datot,0.0240950065245081,10.1004969583571,0.0193250119896849,0.0288650010593314,-,International,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad13/gs1datot,0.337157633683302,3.47425879609072,0.314199147218561,0.360116120148043,-,Religion,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad14/gs1datot,0.0299775503358976,4.14366326353507,0.0275429443416465,0.0324121563301487,-,Business and professional,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad17/gs1datot,0.0335197561100533,10.0249045033767,0.0269336429956478,0.0401058692244587,-,Not elsewhere classified,Proportion of Total Donations by Donation Method,CA,NA
All,NA,2018,fg1dad03/gs1datot,0.0613474616622658,14.8706714799745,0.0434671424325712,0.0792277808919604,1013,Arts & culture,Proportion of Total Donations by Donation Method,AB,NA
All,NA,2018,fg1dad03/gs1datot,0.0866813814612298,8.92053946904996,0.0715260641315486,0.101836698790911,3212,Arts & culture,Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad03/gs1datot,0.111681050492561,10.7307790348959,0.0881923584763939,0.135169742508728,1532,Arts & culture,Proportion of Total Donations by Donation Method,BC,NA
All,NA,2018,fg1dad03/gs1datot,0.0879575601043604,6.9213712583367,0.0760255555639618,0.099889564644759,3289,Arts & culture,Proportion of Total Donations by Donation Method,ON,NA
All,NA,2018,fg1dad03/gs1datot,0.0865663676007043,12.840198085643701,0.0647807934951622,0.108351941706247,1599,Arts & culture,Proportion of Total Donations by Donation Method,PR,NA
All,NA,2018,fg1dad03/gs1datot,0.12688722301578,9.84460098680147,0.10240425291846,0.1513701931131,1509,Arts & culture,Proportion of Total Donations by Donation Method,QC,NA
All,NA,2018,fg1dad04/gs1datot,0.0241771118611047,49.0667072625874,9.26230214546336e-4,0.047427993507663,1013,Sports & Recreation,Proportion of Total Donations by Donation Method,AB,...
All,NA,2018,fg1dad04/gs1datot,0.0215266947109923,15.938718293967899,0.0148019029960332,0.0282514864259513,3212,Sports & Recreation,Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad04/gs1datot,0.0286521798357934,33.2387172546675,0.00998623342912186,0.047318126242465,1532,Sports & Recreation,Proportion of Total Donations by Donation Method,BC,*
All,NA,2018,fg1dad04/gs1datot,0.0191084875415584,16.454909172903502,0.0129458036166157,0.0252711714665011,3289,Sports & Recreation,Proportion of Total Donations by Donation Method,ON,NA
All,NA,2018,fg1dad04/gs1datot,0.0338502579153538,27.781516384256598,0.0154185313090995,0.0522819845216081,1599,Sports & Recreation,Proportion of Total Donations by Donation Method,PR,*
All,NA,2018,fg1dad04/gs1datot,0.0504187287885044,34.2202660845996,0.016602640808593,0.0842348167684158,1509,Sports & Recreation,Proportion of Total Donations by Donation Method,QC,...
All,NA,2018,fg1dad05/gs1datot,0.0166139749939617,40.840554109115004,0.00331515005119705,0.0299127999367263,1013,Education and research,Proportion of Total Donations by Donation Method,AB,...
All,NA,2018,fg1dad05/gs1datot,0.014986664761491,11.4714552417322,0.0116171171397849,0.018356212383197,3212,Education and research,Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad05/gs1datot,0.0079760834890811,17.6493558202592,0.00521698857223191,0.0107351784059303,1532,Education and research,Proportion of Total Donations by Donation Method,BC,*
All,NA,2018,fg1dad05/gs1datot,0.0109454341150817,20.2788234403564,0.00659508774758918,0.0152957804825741,3289,Education and research,Proportion of Total Donations by Donation Method,ON,*
All,NA,2018,fg1dad05/gs1datot,0.0315846164575418,54.448695533454405,-0.00212169100450519,0.0652909239195888,1599,Education and research,Proportion of Total Donations by Donation Method,PR,...
All,NA,2018,fg1dad05/gs1datot,0.0233558982325523,19.5070409697279,0.0144262148319344,0.0322855816331701,1509,Education and research,Proportion of Total Donations by Donation Method,QC,*
All,NA,2018,fg1dad06/gs1datot,0.0633008688909412,18.6733208922472,0.0401333608310123,0.0864683769508702,1013,Health,Proportion of Total Donations by Donation Method,AB,*
All,NA,2018,fg1dad06/gs1datot,0.0453422585373614,23.4395123261538,0.024511752923334,0.0661727641513888,3212,Health,Proportion of Total Donations by Donation Method,AT,*
All,NA,2018,fg1dad06/gs1datot,0.0780172776432948,17.4899648483029,0.0512731879878349,0.104761367298755,1532,Health,Proportion of Total Donations by Donation Method,BC,*
All,NA,2018,fg1dad06/gs1datot,0.0580486435352473,9.29420184617185,0.0474743279700516,0.0686229591004429,3289,Health,Proportion of Total Donations by Donation Method,ON,NA
All,NA,2018,fg1dad06/gs1datot,0.0315398223711918,13.5866699259666,0.0231409620458695,0.0399386826965141,1599,Health,Proportion of Total Donations by Donation Method,PR,NA
All,NA,2018,fg1dad06/gs1datot,0.0591619172508604,14.685140781533402,0.0421337289123742,0.0761901055893466,1509,Health,Proportion of Total Donations by Donation Method,QC,NA
All,NA,2018,fg1dad07/gs1datot,0.202537151226727,13.9485890660167,0.147166061838144,0.25790824061531,1013,Social services,Proportion of Total Donations by Donation Method,AB,NA
All,NA,2018,fg1dad07/gs1datot,0.19458054160962,8.96068609131488,0.160407096570531,0.228753986648709,3212,Social services,Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad07/gs1datot,0.221553013637131,11.7937095036394,0.17034048979972,0.272765537474542,1532,Social services,Proportion of Total Donations by Donation Method,BC,NA
All,NA,2018,fg1dad07/gs1datot,0.236962656147028,10.523544631063,0.188087287337876,0.285838024956179,3289,Social services,Proportion of Total Donations by Donation Method,ON,NA
All,NA,2018,fg1dad07/gs1datot,0.156616843388291,10.944399093266501,0.123021546841218,0.190212139935363,1599,Social services,Proportion of Total Donations by Donation Method,PR,NA
All,NA,2018,fg1dad07/gs1datot,0.236096394077508,12.2580753891057,0.179373323401513,0.292819464753503,1509,Social services,Proportion of Total Donations by Donation Method,QC,NA
All,NA,2018,fg1dad08/gs1datot,0.0405938147298397,16.8489441610591,0.0271883878759484,0.053999241583731,1013,Environment,Proportion of Total Donations by Donation Method,AB,*
All,NA,2018,fg1dad08/gs1datot,0.0552889154826812,9.35276911325906,0.0451538542840038,0.0654239766813586,3212,Environment,Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad08/gs1datot,0.0560764617552845,13.8822349677064,0.0408187964060261,0.0713341271045428,1532,Environment,Proportion of Total Donations by Donation Method,BC,NA
All,NA,2018,fg1dad08/gs1datot,0.0505639231514955,8.97570798913708,0.0416686852303206,0.0594591610726704,3289,Environment,Proportion of Total Donations by Donation Method,ON,NA
All,NA,2018,fg1dad08/gs1datot,0.0442929642991431,11.1007747421779,0.0346560914829734,0.0539298371153128,1599,Environment,Proportion of Total Donations by Donation Method,PR,NA
All,NA,2018,fg1dad08/gs1datot,0.0681545455875379,11.323901196061401,0.0530280268761799,0.0832810642988958,1509,Environment,Proportion of Total Donations by Donation Method,QC,NA
All,NA,2018,fg1dad09/gs1datot,0.0610729115571678,21.802747623413097,0.0349748684884097,0.087170954625926,1013,Development and housing,Proportion of Total Donations by Donation Method,AB,*
All,NA,2018,fg1dad09/gs1datot,0.056879192099138,9.589995173407969,0.0461881534702092,0.0675702307280668,3212,Development and housing,Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad09/gs1datot,0.0504611304506825,21.7153302876285,0.0289842348582267,0.0719380260431383,1532,Development and housing,Proportion of Total Donations by Donation Method,BC,*
All,NA,2018,fg1dad09/gs1datot,0.0741521872045307,13.336659901111899,0.0547692703439813,0.0935351040650802,3289,Development and housing,Proportion of Total Donations by Donation Method,ON,NA
All,NA,2018,fg1dad09/gs1datot,0.0512194282651534,21.494388647163802,0.0296415909408957,0.0727972655894111,1599,Development and housing,Proportion of Total Donations by Donation Method,PR,*
All,NA,2018,fg1dad09/gs1datot,0.0697205522847675,16.768348927482702,0.0468066417976823,0.0926344627718528,1509,Development and housing,Proportion of Total Donations by Donation Method,QC,*
All,NA,2018,fg1dad10/gs1datot,0.0331055006361698,34.993951738397996,0.0103994689583595,0.0558115323139801,1013,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,AB,...
All,NA,2018,fg1dad10/gs1datot,0.0307454943060725,12.0959408692195,0.0234564728960375,0.0380345157161075,3212,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad10/gs1datot,0.0500911140894605,29.563827432011802,0.0210663004017903,0.0791159277771307,1532,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,BC,*
All,NA,2018,fg1dad10/gs1datot,0.0310559815584612,13.5489730031961,0.0228089106509315,0.0393030524659909,3289,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,ON,NA
All,NA,2018,fg1dad10/gs1datot,0.0281665778326614,16.9122215838198,0.0188301050466403,0.0375030506186825,1599,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,PR,*
All,NA,2018,fg1dad10/gs1datot,0.0638193073742864,21.2128094463524,0.0372855735427843,0.0903530412057884,1509,"Law, advocacy, and politics",Proportion of Total Donations by Donation Method,QC,*
All,NA,2018,fg1dad11/gs1datot,0.0147891418960677,21.5543218275701,0.00854136619248571,0.0210369175996497,1013,Philanthropic intermediaries,Proportion of Total Donations by Donation Method,AB,*
All,NA,2018,fg1dad11/gs1datot,0.0177298121654706,8.691224773841439,0.0147096295215846,0.0207499948093567,3212,Philanthropic intermediaries,Proportion of Total Donations by Donation Method,AT,NA
All,NA,2018,fg1dad11/gs1datot,0.0135206437491333,14.8723362456295,0.00957947839245056,0.0174618091058161,1532,Philanthropic intermediaries,Proportion of Total Donations by Donation Method,BC,NA
All,NA,2018,fg1dad11/gs1datot,0.0126359825663779,10.3678994730162,0.0100682612487032,0.0152037038840525,3289,Philanthropic intermediaries,Proportion of Total Donations by Donation Method,ON,NA
