Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Education and research donor status,Non-education and research donors,2018,ng_020,0.661329063,1.306166391,0.644398781,0.678259346,7599,Happy with what already given,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_020,0.731094192,2.094653571,0.701079518,0.761108866,1872,Happy with what already given,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_030,0.686617141,1.198780924,0.670484608,0.702749674,7605,Could not afford to give more,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_030,0.65169312,2.52237401,0.619474961,0.683911278,1877,Could not afford to give more,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_040,0.256565809,3.172136151,0.240614413,0.272517205,7459,No one asked,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_040,0.223721222,6.293159108,0.196126629,0.251315814,1845,No one asked,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_050,0.115369989,5.36301121,0.103243093,0.127496885,7433,Unsure where to give,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_050,0.092276088,11.92684699,0.070705454,0.113846723,1835,Unsure where to give,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_060,0.12095774,5.849128885,0.107091046,0.134824435,7437,Hard to find a cause,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_060,0.093759694,11.66756547,0.072318719,0.115200668,1838,Hard to find a cause,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_070,0.270489862,3.16199922,0.253726511,0.287253213,7407,Gave time instead,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_070,0.256074582,5.654969341,0.227692463,0.284456701,1830,Gave time instead,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_080,0.36956208,2.295770799,0.352933161,0.386190999,7437,Gave directly instead,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_080,0.410065066,4.242524831,0.375967352,0.444162779,1840,Gave directly instead,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_090,0.165868405,4.355083891,0.151710197,0.180026613,7416,Tax credit was not enough,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_090,0.19163466,7.592885491,0.163116007,0.220153313,1845,Tax credit was not enough,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_110,0.228731507,3.252248254,0.214151499,0.243311515,7425,Money would not be used efficiently,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_110,0.262696832,5.603799145,0.233844196,0.291549467,1846,Money would not be used efficiently,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_130,0.206234239,3.529769443,0.191966499,0.22050198,7422,Did not like the way requests were made,Education and research donors barriers to giving,CA,
Education and research donor status,Education and research donors,2018,ng_130,0.281963893,5.699546454,0.250465972,0.313461814,1841,Did not like the way requests were made,Education and research donors barriers to giving,CA,
Education and research donor status,Non-education and research donors,2018,ng_020,0.646612531,1.468851125,0.627997233,0.665227829,6522,Happy with what already given,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_020,0.712894099,2.415566474,0.679142675,0.746645523,1650,Happy with what already given,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_030,0.705690008,1.24199336,0.688511663,0.722868354,6529,Could not afford to give more,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_030,0.687438907,2.419694834,0.654837016,0.720040798,1656,Could not afford to give more,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_040,0.274437564,3.274286453,0.256825578,0.292049549,6408,No one asked,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_040,0.234068139,6.682549335,0.203410934,0.264725345,1630,No one asked,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_050,0.108900418,5.923618681,0.096256993,0.121543843,6386,Unsure where to give,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_050,0.09511258,12.65068289,0.071529527,0.118695633,1620,Unsure where to give,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_060,0.126186428,6.492301209,0.110129613,0.142243243,6390,Hard to find a cause,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_060,0.091839193,12.48310787,0.069369411,0.114308976,1624,Hard to find a cause,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_070,0.275817729,3.371558243,0.257591327,0.294044131,6358,Gave time instead,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_070,0.270731364,6.088913411,0.238422145,0.303040583,1617,Gave time instead,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_080,0.357561916,2.574127581,0.339522211,0.37560162,6388,Gave directly instead,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_080,0.39272236,4.553385294,0.357673966,0.427770754,1625,Gave directly instead,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_090,0.167612011,4.858627015,0.151650765,0.183573257,6373,Tax credit was not enough,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_090,0.180987384,7.741721052,0.153525273,0.208449494,1629,Tax credit was not enough,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_110,0.23458884,3.567409482,0.218186402,0.250991278,6377,Money would not be used efficiently,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_110,0.277643778,5.815925443,0.245995152,0.309292405,1631,Money would not be used efficiently,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_130,0.236811008,3.629481322,0.219965095,0.25365692,6377,Did not like the way requests were made,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Education and research donors,2018,ng_130,0.307121625,5.848204032,0.271918518,0.342324733,1627,Did not like the way requests were made,Education and research donors barriers to giving,CA (without QC),
Education and research donor status,Non-education and research donors,2018,ng_020,0.595471011,4.96462616,0.537528773,0.653413249,601,Happy with what already given,Education and research donors barriers to giving,AB,
Education and research donor status,Education and research donors,2018,ng_020,0.643028929,8.106820651,0.540857571,0.745200288,138,Happy with what already given,Education and research donors barriers to giving,AB,
Education and research donor status,Non-education and research donors,2018,ng_020,0.734289805,1.924522424,0.706592433,0.761987177,1982,Happy with what already given,Education and research donors barriers to giving,AT,
Education and research donor status,Education and research donors,2018,ng_020,0.736576599,3.360156452,0.688067243,0.785085954,568,Happy with what already given,Education and research donors barriers to giving,AT,
Education and research donor status,Non-education and research donors,2018,ng_020,0.58191528,3.633647026,0.540472337,0.623358223,959,Happy with what already given,Education and research donors barriers to giving,BC,
Education and research donor status,Education and research donors,2018,ng_020,0.691007159,6.301307089,0.60566546,0.776348858,205,Happy with what already given,Education and research donors barriers to giving,BC,
Education and research donor status,Non-education and research donors,2018,ng_020,0.665181916,2.265163389,0.635650242,0.694713589,2000,Happy with what already given,Education and research donors barriers to giving,ON,
Education and research donor status,Education and research donors,2018,ng_020,0.739107765,3.870747708,0.683035162,0.795180369,512,Happy with what already given,Education and research donors barriers to giving,ON,
Education and research donor status,Non-education and research donors,2018,ng_020,0.640349936,3.197638619,0.600217563,0.680482309,980,Happy with what already given,Education and research donors barriers to giving,PR,
Education and research donor status,Education and research donors,2018,ng_020,0.68627329,5.952586821,0.606206775,0.766339805,227,Happy with what already given,Education and research donors barriers to giving,PR,
Education and research donor status,Non-education and research donors,2018,ng_020,0.70431614,2.761918828,0.666189666,0.742442614,1077,Happy with what already given,Education and research donors barriers to giving,QC,
Education and research donor status,Education and research donors,2018,ng_020,0.792574655,4.437972727,0.723634398,0.861514913,222,Happy with what already given,Education and research donors barriers to giving,QC,
Education and research donor status,Non-education and research donors,2018,ng_030,0.668852641,3.503624766,0.622922675,0.714782607,602,Could not afford to give more,Education and research donors barriers to giving,AB,
Education and research donor status,Education and research donors,2018,ng_030,0.717564986,5.915340217,0.634371551,0.800758422,140,Could not afford to give more,Education and research donors barriers to giving,AB,
Education and research donor status,Non-education and research donors,2018,ng_030,0.701569201,1.992229506,0.674175042,0.728963361,1989,Could not afford to give more,Education and research donors barriers to giving,AT,
Education and research donor status,Education and research donors,2018,ng_030,0.68384491,3.827811619,0.632540315,0.735149506,574,Could not afford to give more,Education and research donors barriers to giving,AT,
Education and research donor status,Non-education and research donors,2018,ng_030,0.71398156,2.989127422,0.672152365,0.755810756,952,Could not afford to give more,Education and research donors barriers to giving,BC,
Education and research donor status,Education and research donors,2018,ng_030,0.659843501,7.214046874,0.566546433,0.753140568,206,Could not afford to give more,Education and research donors barriers to giving,BC,
Education and research donor status,Non-education and research donors,2018,ng_030,0.715015893,1.876933353,0.688712448,0.741319338,2007,Could not afford to give more,Education and research donors barriers to giving,ON,
Education and research donor status,Education and research donors,2018,ng_030,0.696816734,3.695934067,0.646340043,0.747293425,511,Could not afford to give more,Education and research donors barriers to giving,ON,
Education and research donor status,Non-education and research donors,2018,ng_030,0.697984099,2.702652046,0.661011179,0.73495702,979,Could not afford to give more,Education and research donors barriers to giving,PR,
Education and research donor status,Education and research donors,2018,ng_030,0.64279766,5.906553617,0.568383338,0.717211982,225,Could not afford to give more,Education and research donors barriers to giving,PR,
