,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Education and research donor status,Non-education and research donors,2018,ng_020,0.661329063,1.306166391,0.644398781,0.678259346,7599,Montant déjà donné suffisant,Education and research donors barriers to giving,CA,
1,Education and research donor status,Education and research donors,2018,ng_020,0.731094192,2.094653571,0.701079518,0.761108866,1872,Montant déjà donné suffisant,Education and research donors barriers to giving,CA,
2,Education and research donor status,Non-education and research donors,2018,ng_030,0.686617141,1.198780924,0.670484608,0.702749674,7605,Pas les moyens de donner plus,Education and research donors barriers to giving,CA,
3,Education and research donor status,Education and research donors,2018,ng_030,0.65169312,2.52237401,0.619474961,0.683911278,1877,Pas les moyens de donner plus,Education and research donors barriers to giving,CA,
4,Education and research donor status,Non-education and research donors,2018,ng_040,0.256565809,3.172136151,0.240614413,0.272517205,7459,Aucune sollicitation,Education and research donors barriers to giving,CA,
5,Education and research donor status,Education and research donors,2018,ng_040,0.223721222,6.293159108,0.196126629,0.251315814,1845,Aucune sollicitation,Education and research donors barriers to giving,CA,
6,Education and research donor status,Non-education and research donors,2018,ng_050,0.115369989,5.36301121,0.103243093,0.127496885,7433,Ne savent pas où donner,Education and research donors barriers to giving,CA,
7,Education and research donor status,Education and research donors,2018,ng_050,0.092276088,11.92684699,0.070705454,0.113846723,1835,Ne savent pas où donner,Education and research donors barriers to giving,CA,
8,Education and research donor status,Non-education and research donors,2018,ng_060,0.12095774,5.849128885,0.107091046,0.134824435,7437,Difficulté à trouver une cause,Education and research donors barriers to giving,CA,
9,Education and research donor status,Education and research donors,2018,ng_060,0.093759694,11.66756547,0.072318719,0.115200668,1838,Difficulté à trouver une cause,Education and research donors barriers to giving,CA,
10,Education and research donor status,Non-education and research donors,2018,ng_070,0.270489862,3.16199922,0.253726511,0.287253213,7407,Don de temps,Education and research donors barriers to giving,CA,
11,Education and research donor status,Education and research donors,2018,ng_070,0.256074582,5.654969341,0.227692463,0.284456701,1830,Don de temps,Education and research donors barriers to giving,CA,
12,Education and research donor status,Non-education and research donors,2018,ng_080,0.36956208,2.295770799,0.352933161,0.386190999,7437,Don direct,Education and research donors barriers to giving,CA,
13,Education and research donor status,Education and research donors,2018,ng_080,0.410065066,4.242524831,0.375967352,0.444162779,1840,Don direct,Education and research donors barriers to giving,CA,
14,Education and research donor status,Non-education and research donors,2018,ng_090,0.165868405,4.355083891,0.151710197,0.180026613,7416,Crédit d'impôt insuffisant,Education and research donors barriers to giving,CA,
15,Education and research donor status,Education and research donors,2018,ng_090,0.19163466,7.592885491,0.163116007,0.220153313,1845,Crédit d'impôt insuffisant,Education and research donors barriers to giving,CA,
16,Education and research donor status,Non-education and research donors,2018,ng_110,0.228731507,3.252248254,0.214151499,0.243311515,7425,Utilisation non efficiente de l'argent,Education and research donors barriers to giving,CA,
17,Education and research donor status,Education and research donors,2018,ng_110,0.262696832,5.603799145,0.233844196,0.291549467,1846,Utilisation non efficiente de l'argent,Education and research donors barriers to giving,CA,
18,Education and research donor status,Non-education and research donors,2018,ng_130,0.206234239,3.529769443,0.191966499,0.22050198,7422,N'aimaient pas les méthodes de sollicitation,Education and research donors barriers to giving,CA,
19,Education and research donor status,Education and research donors,2018,ng_130,0.281963893,5.699546454,0.250465972,0.313461814,1841,N'aimaient pas les méthodes de sollicitation,Education and research donors barriers to giving,CA,
20,Education and research donor status,Non-education and research donors,2018,ng_020,0.646612531,1.468851125,0.627997233,0.665227829,6522,Montant déjà donné suffisant,Education and research donors barriers to giving,CA (without QC),
21,Education and research donor status,Education and research donors,2018,ng_020,0.712894099,2.415566474,0.679142675,0.746645523,1650,Montant déjà donné suffisant,Education and research donors barriers to giving,CA (without QC),
22,Education and research donor status,Non-education and research donors,2018,ng_030,0.705690008,1.24199336,0.688511663,0.722868354,6529,Pas les moyens de donner plus,Education and research donors barriers to giving,CA (without QC),
23,Education and research donor status,Education and research donors,2018,ng_030,0.687438907,2.419694834,0.654837016,0.720040798,1656,Pas les moyens de donner plus,Education and research donors barriers to giving,CA (without QC),
24,Education and research donor status,Non-education and research donors,2018,ng_040,0.274437564,3.274286453,0.256825578,0.292049549,6408,Aucune sollicitation,Education and research donors barriers to giving,CA (without QC),
25,Education and research donor status,Education and research donors,2018,ng_040,0.234068139,6.682549335,0.203410934,0.264725345,1630,Aucune sollicitation,Education and research donors barriers to giving,CA (without QC),
26,Education and research donor status,Non-education and research donors,2018,ng_050,0.108900418,5.923618681,0.096256993,0.121543843,6386,Ne savent pas où donner,Education and research donors barriers to giving,CA (without QC),
27,Education and research donor status,Education and research donors,2018,ng_050,0.09511258,12.65068289,0.071529527,0.118695633,1620,Ne savent pas où donner,Education and research donors barriers to giving,CA (without QC),
28,Education and research donor status,Non-education and research donors,2018,ng_060,0.126186428,6.492301209,0.110129613,0.142243243,6390,Difficulté à trouver une cause,Education and research donors barriers to giving,CA (without QC),
29,Education and research donor status,Education and research donors,2018,ng_060,0.091839193,12.48310787,0.069369411,0.114308976,1624,Difficulté à trouver une cause,Education and research donors barriers to giving,CA (without QC),
30,Education and research donor status,Non-education and research donors,2018,ng_070,0.275817729,3.371558243,0.257591327,0.294044131,6358,Don de temps,Education and research donors barriers to giving,CA (without QC),
31,Education and research donor status,Education and research donors,2018,ng_070,0.270731364,6.088913411,0.238422145,0.303040583,1617,Don de temps,Education and research donors barriers to giving,CA (without QC),
32,Education and research donor status,Non-education and research donors,2018,ng_080,0.357561916,2.574127581,0.339522211,0.37560162,6388,Don direct,Education and research donors barriers to giving,CA (without QC),
33,Education and research donor status,Education and research donors,2018,ng_080,0.39272236,4.553385294,0.357673966,0.427770754,1625,Don direct,Education and research donors barriers to giving,CA (without QC),
34,Education and research donor status,Non-education and research donors,2018,ng_090,0.167612011,4.858627015,0.151650765,0.183573257,6373,Crédit d'impôt insuffisant,Education and research donors barriers to giving,CA (without QC),
35,Education and research donor status,Education and research donors,2018,ng_090,0.180987384,7.741721052,0.153525273,0.208449494,1629,Crédit d'impôt insuffisant,Education and research donors barriers to giving,CA (without QC),
36,Education and research donor status,Non-education and research donors,2018,ng_110,0.23458884,3.567409482,0.218186402,0.250991278,6377,Utilisation non efficiente de l'argent,Education and research donors barriers to giving,CA (without QC),
37,Education and research donor status,Education and research donors,2018,ng_110,0.277643778,5.815925443,0.245995152,0.309292405,1631,Utilisation non efficiente de l'argent,Education and research donors barriers to giving,CA (without QC),
38,Education and research donor status,Non-education and research donors,2018,ng_130,0.236811008,3.629481322,0.219965095,0.25365692,6377,N'aimaient pas les méthodes de sollicitation,Education and research donors barriers to giving,CA (without QC),
39,Education and research donor status,Education and research donors,2018,ng_130,0.307121625,5.848204032,0.271918518,0.342324733,1627,N'aimaient pas les méthodes de sollicitation,Education and research donors barriers to giving,CA (without QC),
40,Education and research donor status,Non-education and research donors,2018,ng_020,0.595471011,4.96462616,0.537528773,0.653413249,601,Montant déjà donné suffisant,Education and research donors barriers to giving,AB,
41,Education and research donor status,Education and research donors,2018,ng_020,0.643028929,8.106820651,0.540857571,0.745200288,138,Montant déjà donné suffisant,Education and research donors barriers to giving,AB,
42,Education and research donor status,Non-education and research donors,2018,ng_020,0.734289805,1.924522424,0.706592433,0.761987177,1982,Montant déjà donné suffisant,Education and research donors barriers to giving,AT,
43,Education and research donor status,Education and research donors,2018,ng_020,0.736576599,3.360156452,0.688067243,0.785085954,568,Montant déjà donné suffisant,Education and research donors barriers to giving,AT,
44,Education and research donor status,Non-education and research donors,2018,ng_020,0.58191528,3.633647026,0.540472337,0.623358223,959,Montant déjà donné suffisant,Education and research donors barriers to giving,BC,
45,Education and research donor status,Education and research donors,2018,ng_020,0.691007159,6.301307089,0.60566546,0.776348858,205,Montant déjà donné suffisant,Education and research donors barriers to giving,BC,
46,Education and research donor status,Non-education and research donors,2018,ng_020,0.665181916,2.265163389,0.635650242,0.694713589,2000,Montant déjà donné suffisant,Education and research donors barriers to giving,ON,
47,Education and research donor status,Education and research donors,2018,ng_020,0.739107765,3.870747708,0.683035162,0.795180369,512,Montant déjà donné suffisant,Education and research donors barriers to giving,ON,
48,Education and research donor status,Non-education and research donors,2018,ng_020,0.640349936,3.197638619,0.600217563,0.680482309,980,Montant déjà donné suffisant,Education and research donors barriers to giving,PR,
49,Education and research donor status,Education and research donors,2018,ng_020,0.68627329,5.952586821,0.606206775,0.766339805,227,Montant déjà donné suffisant,Education and research donors barriers to giving,PR,
50,Education and research donor status,Non-education and research donors,2018,ng_020,0.70431614,2.761918828,0.666189666,0.742442614,1077,Montant déjà donné suffisant,Education and research donors barriers to giving,QC,
51,Education and research donor status,Education and research donors,2018,ng_020,0.792574655,4.437972727,0.723634398,0.861514913,222,Montant déjà donné suffisant,Education and research donors barriers to giving,QC,
52,Education and research donor status,Non-education and research donors,2018,ng_030,0.668852641,3.503624766,0.622922675,0.714782607,602,Pas les moyens de donner plus,Education and research donors barriers to giving,AB,
53,Education and research donor status,Education and research donors,2018,ng_030,0.717564986,5.915340217,0.634371551,0.800758422,140,Pas les moyens de donner plus,Education and research donors barriers to giving,AB,
54,Education and research donor status,Non-education and research donors,2018,ng_030,0.701569201,1.992229506,0.674175042,0.728963361,1989,Pas les moyens de donner plus,Education and research donors barriers to giving,AT,
