Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Education and research donor status,Non-education and research donors,2018,flag_fg1dad03,0.20246118288175713,2.767801220948957,0.1914780874425937,0.21344427832092056,9571,Mail request,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad03,0.26296124221455913,4.742866409141856,0.23851676656071868,0.2874057178683996,2583,Mail request,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad04,0.06925464260169967,4.83320989826501,0.06269420756063075,0.07581507764276858,9571,Telephone request,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad04,0.14925767904341888,6.449827113471658,0.13038937574560408,0.1681259823412337,2583,Telephone request,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad05,0.06202533359710928,6.070965448653248,0.05464501753333973,0.06940564966087884,9571,TV or radio request,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad05,0.08792269299605068,9.11842610296119,0.07220933679235053,0.10363604919975083,2583,TV or radio request,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad06,0.1677657573781498,3.7341513551423415,0.15548731348848555,0.18004420126781406,9571,Online,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad06,0.23292621518150783,5.404866718046318,0.20825153968816934,0.2576008906748463,2583,Online,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad07,0.2360259993669792,2.666808089311677,0.2236892795910309,0.2483627191429275,9571,On own,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad07,0.2993664440594328,4.3999192101318,0.27355003035632536,0.32518285776254024,2583,On own,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad08,0.19017347255793154,3.412575054278079,0.1774536738221551,0.202893271293708,9571,Charity event,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad08,0.32752526925121084,4.430580668873099,0.2990837002016872,0.3559668383007345,2583,Charity event,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad09,0.22597548735407968,2.635707099583623,0.2143018400155507,0.23764913469260868,9571,In memoriam,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad09,0.3619989488625808,4.2070498517569845,0.33214972392586173,0.3918481737992999,2583,In memoriam,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad10,0.18863789946902787,3.180766060625459,0.17687786021025606,0.20039793872779968,9571,At work,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad10,0.3784559330603595,3.6638651010138483,0.35127884734079856,0.4056330187799205,2583,At work,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad11,0.188940406484071,3.0510290587623765,0.17764194575683062,0.2002388672113114,9571,Door-to-door canvassing,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad11,0.4030893061708259,3.7895347330534146,0.373150446159881,0.43302816618177076,2583,Door-to-door canvassing,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad12,0.45525739176333313,1.7079319282337861,0.44001771855589245,0.4704970649707738,9571,Public place,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad12,0.5533262265849012,2.5132415381533013,0.5260701352778433,0.580582317891959,2583,Public place,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad13,0.34151034536260244,2.2308406602422766,0.3265782585274098,0.3564424321977951,9571,Place of worship,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad13,0.3681064442039527,3.9083305776059896,0.33990880158653,0.39630408682137547,2583,Place of worship,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad14,0.23123483361096664,2.735369114115793,0.21883781402274066,0.24363185319919262,9571,Sponsoring someone,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad14,0.5664522555394539,2.6115726203912883,0.5374578967814059,0.5954466142975019,2583,Sponsoring someone,Education and research donors donation rates by method,CA,
Education and research donor status,Non-education and research donors,2018,flag_fg1dad17,0.07187188844182923,5.090384086880602,0.06470125206889693,0.07904252481476154,9571,Any other method,Education and research donors donation rates by method,CA,
Education and research donor status,Education and research donors,2018,flag_fg1dad17,0.08672236931120648,8.58994227356554,0.07212181073910859,0.10132292788330438,2583,Any other method,Education and research donors donation rates by method,CA,
