,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Education and research donor status,Non-education and research donors,2018,flag_fg1dad03,0.2024611828817571,2.767801220948957,0.1914780874425937,0.2134442783209205,9571,Demande par lettre,Education and research donors donation rates by method,CA,
1,Education and research donor status,Education and research donors,2018,flag_fg1dad03,0.2629612422145591,4.742866409141856,0.2385167665607186,0.2874057178683996,2583,Demande par lettre,Education and research donors donation rates by method,CA,
2,Education and research donor status,Non-education and research donors,2018,flag_fg1dad04,0.0692546426016996,4.83320989826501,0.0626942075606307,0.0758150776427685,9571,Demande au téléphone,Education and research donors donation rates by method,CA,
3,Education and research donor status,Education and research donors,2018,flag_fg1dad04,0.1492576790434188,6.449827113471658,0.130389375745604,0.1681259823412337,2583,Demande au téléphone,Education and research donors donation rates by method,CA,
4,Education and research donor status,Non-education and research donors,2018,flag_fg1dad05,0.0620253335971092,6.070965448653248,0.0546450175333397,0.0694056496608788,9571,Demande à la télé ou la radio,Education and research donors donation rates by method,CA,
5,Education and research donor status,Education and research donors,2018,flag_fg1dad05,0.0879226929960506,9.11842610296119,0.0722093367923505,0.1036360491997508,2583,Demande à la télé ou la radio,Education and research donors donation rates by method,CA,
6,Education and research donor status,Non-education and research donors,2018,flag_fg1dad06,0.1677657573781498,3.7341513551423415,0.1554873134884855,0.180044201267814,9571,En ligne,Education and research donors donation rates by method,CA,
7,Education and research donor status,Education and research donors,2018,flag_fg1dad06,0.2329262151815078,5.404866718046318,0.2082515396881693,0.2576008906748463,2583,En ligne,Education and research donors donation rates by method,CA,
8,Education and research donor status,Non-education and research donors,2018,flag_fg1dad07,0.2360259993669792,2.666808089311677,0.2236892795910309,0.2483627191429275,9571,Initiative personnelle,Education and research donors donation rates by method,CA,
9,Education and research donor status,Education and research donors,2018,flag_fg1dad07,0.2993664440594328,4.3999192101318,0.2735500303563253,0.3251828577625402,2583,Initiative personnelle,Education and research donors donation rates by method,CA,
10,Education and research donor status,Non-education and research donors,2018,flag_fg1dad08,0.1901734725579315,3.412575054278079,0.1774536738221551,0.202893271293708,9571,Activité caritative,Education and research donors donation rates by method,CA,
11,Education and research donor status,Education and research donors,2018,flag_fg1dad08,0.3275252692512108,4.430580668873099,0.2990837002016872,0.3559668383007345,2583,Activité caritative,Education and research donors donation rates by method,CA,
12,Education and research donor status,Non-education and research donors,2018,flag_fg1dad09,0.2259754873540796,2.635707099583623,0.2143018400155507,0.2376491346926086,9571,À la mémoire,Education and research donors donation rates by method,CA,
13,Education and research donor status,Education and research donors,2018,flag_fg1dad09,0.3619989488625808,4.2070498517569845,0.3321497239258617,0.3918481737992999,2583,À la mémoire,Education and research donors donation rates by method,CA,
14,Education and research donor status,Non-education and research donors,2018,flag_fg1dad10,0.1886378994690278,3.180766060625459,0.176877860210256,0.2003979387277996,9571,Au travail,Education and research donors donation rates by method,CA,
15,Education and research donor status,Education and research donors,2018,flag_fg1dad10,0.3784559330603595,3.663865101013848,0.3512788473407985,0.4056330187799205,2583,Au travail,Education and research donors donation rates by method,CA,
16,Education and research donor status,Non-education and research donors,2018,flag_fg1dad11,0.188940406484071,3.0510290587623765,0.1776419457568306,0.2002388672113114,9571,Porte-à-porte,Education and research donors donation rates by method,CA,
17,Education and research donor status,Education and research donors,2018,flag_fg1dad11,0.4030893061708259,3.789534733053415,0.373150446159881,0.4330281661817707,2583,Porte-à-porte,Education and research donors donation rates by method,CA,
18,Education and research donor status,Non-education and research donors,2018,flag_fg1dad12,0.4552573917633331,1.707931928233786,0.4400177185558924,0.4704970649707738,9571,Lieu public,Education and research donors donation rates by method,CA,
19,Education and research donor status,Education and research donors,2018,flag_fg1dad12,0.5533262265849012,2.5132415381533013,0.5260701352778433,0.580582317891959,2583,Lieu public,Education and research donors donation rates by method,CA,
20,Education and research donor status,Non-education and research donors,2018,flag_fg1dad13,0.3415103453626024,2.230840660242277,0.3265782585274098,0.3564424321977951,9571,Lieu de culture,Education and research donors donation rates by method,CA,
21,Education and research donor status,Education and research donors,2018,flag_fg1dad13,0.3681064442039527,3.9083305776059896,0.33990880158653,0.3963040868213754,2583,Lieu de culture,Education and research donors donation rates by method,CA,
22,Education and research donor status,Non-education and research donors,2018,flag_fg1dad14,0.2312348336109666,2.735369114115793,0.2188378140227406,0.2436318531991926,9571,Parrainage de quelqu'un,Education and research donors donation rates by method,CA,
