Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Education and research donor status,Non-education and research donor,2018,flag_gs1dax01,0.02549339613048052,6.854188519809069,0.02206862281811591,0.02891816944284513,13566,Arts & culture,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax01,0.06525702081234676,12.251681994348266,0.049586946727854186,0.08092709489683933,2583,Arts & culture,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax02,0.098706635773939,3.431599470377981,0.09206781364082027,0.10534545790705772,13566,Sports & recreation,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax02,0.219245860833271,5.680071983777178,0.19483779682052432,0.24365392484601767,2583,Sports & recreation,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax03,0,NA,0,0,13566,Education & research,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax03,0.8973513673951785,0.9251301927414518,0.8810803962514734,0.9136223385388836,2583,Education & research,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax04,0,NA,0,0,13566,Universities & colleges,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax04,0.1304223540791365,6.826077238520413,0.11297332268862742,0.14787138546964557,2583,Universities & colleges,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax05,0.30206598849063543,1.8530568035834662,0.29109517955749514,0.3130367974237757,13566,Health,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax05,0.555015529016955,2.750013255533546,0.5251005975092,0.5849304605247099,2583,Health,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax06,0.15406648154398273,2.880609662661516,0.14536805563215113,0.16276490745581432,13566,Hospitals,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax06,0.28954186311572944,4.685895530720298,0.26294979848246,0.3161339277489989,2583,Hospitals,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax07,0.2943872951490356,2.1073465688296866,0.282228147876074,0.30654644242199725,13566,Social services,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax07,0.5361568046618067,2.920133083536105,0.5054706437617591,0.5668429655618543,2583,Social services,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax08,0.06333563245465955,4.58591434751591,0.057642882064782824,0.06902838284453627,13566,Environment,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax08,0.143740438924727,7.3155701676091995,0.1231305696120861,0.16435030823736788,2583,Environment,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax09,0.019503787085331507,10.380216356742308,0.015535770817358494,0.02347180335330452,13566,Development & housing,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax09,0.0373759932377206,11.16196702953662,0.029199227247849235,0.04555275922759197,2583,Development & housing,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax10,0.026222951139608548,7.31392459786277,0.02246388354220373,0.029982018737013366,13566,"Law, advocacy & politics",Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax10,0.06194791394766393,10.084101671998255,0.0497042333050208,0.07419159459030705,2583,"Law, advocacy & politics",Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax11,0.10020439346631865,3.7973814032956534,0.09274645022485468,0.10766233670778262,13566,"Grant-making, fundraising",Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax11,0.17966411075026675,5.830634542829697,0.1591323949354488,0.2001958265650847,2583,"Grant-making, fundraising",Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax12,0.07635849879713444,4.556356290254064,0.06953946018522147,0.0831775374090474,13566,International,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax12,0.13302320345930688,7.413960192729285,0.11369347544505203,0.15235293147356174,2583,International,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax13,0.22713144272415325,2.4399777279508696,0.21626940735360983,0.23799347809469668,13566,Religion,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax13,0.3804702697770522,3.7348988744004634,0.3526188291094846,0.40832171044461973,2583,Religion,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax14,0.0030030499211195914,19.879702464187165,0.0018329565394827683,0.004173143302756414,13566,Business & professional,Education and research donor donation rates to other causes,CA,*
Education and research donor status,Education and research donor,2018,flag_gs1dax14,0.01114835503233573,26.7164868663547,0.005310702638803484,0.016986007425867977,2583,Business & professional,Education and research donor donation rates to other causes,CA,*
Education and research donor status,Non-education and research donor,2018,flag_gs1dax15,0.021212821091259673,9.479289300494674,0.01727167713916316,0.025153965043356187,13566,Other,Education and research donor donation rates to other causes,CA,
Education and research donor status,Education and research donor,2018,flag_gs1dax15,0.03271754023094569,14.091290927349231,0.023681471668575496,0.04175360879331588,2583,Other,Education and research donor donation rates to other causes,CA,
Education and research donor status,Non-education and research donor,2018,flag_gs1dax01,0.027880494604110042,7.094380135604607,0.024003787229858266,0.031757201978361814,11825,Arts & culture,Education and research donor donation rates to other causes,CA (without QC),
