,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Education and research donor status,Non-education and research donors,2018,rg_010,0.6772476706581854,1.2986313428617642,0.6600098843932355,0.6944854569231352,7948,Touché.e personnellement par la cause,Education and research donors motivations for giving,CA,
1,Education and research donor status,Education and research donors,2018,rg_010,0.7882972800060534,1.733549201080423,0.7615133506247048,0.8150812093874019,2263,Touché.e personnellement par la cause,Education and research donors motivations for giving,CA,
2,Education and research donor status,Non-education and research donors,2018,rg_020,0.2697205820266092,2.7806030578328045,0.2550211289846564,0.2844200350685619,7825,Crédit d'impôt,Education and research donors motivations for giving,CA,
3,Education and research donor status,Education and research donors,2018,rg_020,0.3573701890800893,4.320152918977336,0.3271104253565733,0.3876299528036052,2244,Crédit d'impôt,Education and research donors motivations for giving,CA,
4,Education and research donor status,Non-education and research donors,2018,rg_030,0.3139932803273328,2.665260123370893,0.2975908558576379,0.3303957047970277,7826,Raisons religieuses,Education and research donors motivations for giving,CA,
5,Education and research donor status,Education and research donors,2018,rg_030,0.2873102106944185,4.894760189499785,0.259746951390744,0.3148734699980929,2227,Raisons religieuses,Education and research donors motivations for giving,CA,
6,Education and research donor status,Non-education and research donors,2018,rg_035,0.3070419102893532,2.712286516094665,0.2907196118111156,0.3233642087675907,7776,Croyances spirituelles,Education and research donors motivations for giving,CA,
7,Education and research donor status,Education and research donors,2018,rg_035,0.2871307565983539,4.922672561522663,0.2594276319964347,0.314833881200273,2206,Croyances spirituelles,Education and research donors motivations for giving,CA,
8,Education and research donor status,Non-education and research donors,2018,rg_040,0.8346225641693815,0.8501843747976858,0.8207149916959418,0.8485301366428213,7924,Croyance personnelle en la cause,Education and research donors motivations for giving,CA,
9,Education and research donor status,Education and research donors,2018,rg_040,0.8916026673471574,1.1263411200293685,0.8719197535915276,0.9112855811027872,2257,Croyance personnelle en la cause,Education and research donors motivations for giving,CA,
10,Education and research donor status,Non-education and research donors,2018,rg_050,0.8385642993433244,0.7823120681612484,0.8257065637739872,0.8514220349126617,7894,Compassion towarde people in need,Education and research donors motivations for giving,CA,
11,Education and research donor status,Education and research donors,2018,rg_050,0.8750388106641991,1.1857853137390348,0.8547020642190635,0.8953755571093347,2251,Compassion towarde people in need,Education and research donors motivations for giving,CA,
12,Education and research donor status,Non-education and research donors,2018,rg_060,0.7138603341149171,1.1611539792706045,0.697614158002722,0.7301065102271123,7831,Contribution à la communauté,Education and research donors motivations for giving,CA,
13,Education and research donor status,Education and research donors,2018,rg_060,0.8015233010702912,1.6222791220432802,0.7760379968410543,0.8270086052995281,2238,Contribution à la communauté,Education and research donors motivations for giving,CA,
14,Education and research donor status,Non-education and research donors,2018,rg_070,0.4453110048886535,2.0010881290455846,0.4278456371387072,0.4627763726385998,7808,Sollicitation par une connaissance,Education and research donors motivations for giving,CA,
15,Education and research donor status,Education and research donors,2018,rg_070,0.6540727851401168,2.310847868096732,0.6244486605583863,0.6836969097218473,2248,Sollicitation par une connaissance,Education and research donors motivations for giving,CA,
16,Education and research donor status,Non-education and research donors,2018,rg_010,0.679133891311253,1.391225289412518,0.6606155980034998,0.6976521846190062,6921,Touché.e personnellement par la cause,Education and research donors motivations for giving,CA (without QC),
17,Education and research donor status,Education and research donors,2018,rg_010,0.8077145258944738,1.7717769503893686,0.7796656777104118,0.8357633740785357,2019,Touché.e personnellement par la cause,Education and research donors motivations for giving,CA (without QC),
18,Education and research donor status,Non-education and research donors,2018,rg_020,0.3015577463541617,2.9322521859968163,0.2842268949438304,0.3188885977644931,6821,Crédit d'impôt,Education and research donors motivations for giving,CA (without QC),
