,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Education and research volunteer status,Non-education and research volunteer,2018,fv_020,0.0737815681117759,6.90012532984095,0.0638033509539593,0.0837597852695924,6887,Porte-à-porte,Education and research volunteers volunteer rates by activity,CA,
1,Education and research volunteer status,Education and research volunteer,2018,fv_020,0.0794748558773012,15.926178973165037,0.0546669884761222,0.1042827232784802,1391,Porte-à-porte,Education and research volunteers volunteer rates by activity,CA,
2,Education and research volunteer status,Non-education and research volunteer,2018,fv_030,0.3820866306707457,2.3496000544793416,0.3644910389423137,0.3996822223991776,6902,Collecte de fonds,Education and research volunteers volunteer rates by activity,CA,
3,Education and research volunteer status,Education and research volunteer,2018,fv_030,0.4356275534285928,4.696847014320336,0.3955252012482011,0.4757299056089845,1396,Collecte de fonds,Education and research volunteers volunteer rates by activity,CA,
4,Education and research volunteer status,Non-education and research volunteer,2018,fv_040,0.3146180011391692,2.663273360511876,0.2981951935906967,0.3310408086876417,6908,Membre d'un comité ou d'un conseil d'administration,Education and research volunteers volunteer rates by activity,CA,
5,Education and research volunteer status,Education and research volunteer,2018,fv_040,0.3379106054938094,5.480717630458581,0.3016122172817096,0.3742089937059092,1392,Membre d'un comité ou d'un conseil d'administration,Education and research volunteers volunteer rates by activity,CA,
6,Education and research volunteer status,Non-education and research volunteer,2018,fv_050,0.2565442296694507,3.3066474070739864,0.2399178294770787,0.2731706298618226,6889,Enseignement ou mentorat,Education and research volunteers volunteer rates by activity,CA,
7,Education and research volunteer status,Education and research volunteer,2018,fv_050,0.4471423813376664,4.50306964019183,0.4076782461817395,0.4866065164935932,1393,Enseignement ou mentorat,Education and research volunteers volunteer rates by activity,CA,
8,Education and research volunteer status,Non-education and research volunteer,2018,fv_060,0.4066781687639811,2.2229933025238084,0.3889592545884485,0.4243970829395138,6901,Organisation d'activités ou d'événements,Education and research volunteers volunteer rates by activity,CA,
9,Education and research volunteer status,Education and research volunteer,2018,fv_060,0.5454795811658735,3.612527825960198,0.5068573116292658,0.5841018507024811,1396,Organisation d'activités ou d'événements,Education and research volunteers volunteer rates by activity,CA,
10,Education and research volunteer status,Non-education and research volunteer,2018,fv_070,0.1763926234912676,3.6154526522414505,0.1638931652785943,0.1888920817039409,6891,Travail de bureau,Education and research volunteers volunteer rates by activity,CA,
11,Education and research volunteer status,Education and research volunteer,2018,fv_070,0.1978039729249669,8.608166036153046,0.1644310891164497,0.2311768567334841,1390,Travail de bureau,Education and research volunteers volunteer rates by activity,CA,
12,Education and research volunteer status,Non-education and research volunteer,2018,fv_080,0.129830506258744,5.14106968573812,0.1167483801220861,0.142912632395402,6880,"Entraînement, arbitrage, présidence",Education and research volunteers volunteer rates by activity,CA,
13,Education and research volunteer status,Education and research volunteer,2018,fv_080,0.1842447304157653,8.312115767233681,0.1542285968165145,0.2142608640150161,1394,"Entraînement, arbitrage, présidence",Education and research volunteers volunteer rates by activity,CA,
14,Education and research volunteer status,Non-education and research volunteer,2018,fv_090,0.2369055062425274,3.225594942952891,0.221928221881985,0.2518827906030699,6882,Conseils,Education and research volunteers volunteer rates by activity,CA,
15,Education and research volunteer status,Education and research volunteer,2018,fv_090,0.2514257219943388,6.969535159584483,0.2170808730751102,0.2857705709135674,1392,Conseils,Education and research volunteers volunteer rates by activity,CA,
16,Education and research volunteer status,Non-education and research volunteer,2018,fv_100,0.2016569629431093,3.653244730125652,0.1872178644213733,0.2160960614648453,6890,Soins de santé ou soutien,Education and research volunteers volunteer rates by activity,CA,
17,Education and research volunteer status,Education and research volunteer,2018,fv_100,0.1518281343532542,8.617469568524944,0.1261844687525584,0.1774717999539501,1393,Soins de santé ou soutien,Education and research volunteers volunteer rates by activity,CA,
18,Education and research volunteer status,Non-education and research volunteer,2018,fv_110,0.2674138943856688,2.9381087604546976,0.2520146316830022,0.2828131570883354,6892,"Collecte, distribution ou livraison de biens",Education and research volunteers volunteer rates by activity,CA,
19,Education and research volunteer status,Education and research volunteer,2018,fv_110,0.2442928083511338,7.405738641275214,0.208833753595963,0.2797518631063047,1392,"Collecte, distribution ou livraison de biens",Education and research volunteers volunteer rates by activity,CA,
20,Education and research volunteer status,Non-education and research volunteer,2018,fv_120,0.1564872293488568,4.330661653424352,0.1432046858527178,0.1697697728449958,6885,"Entretien, réparation ou construction",Education and research volunteers volunteer rates by activity,CA,
21,Education and research volunteer status,Education and research volunteer,2018,fv_120,0.1251116949955429,12.42513257391424,0.094643478687867,0.1555799113032188,1392,"Entretien, réparation ou construction",Education and research volunteers volunteer rates by activity,CA,
22,Education and research volunteer status,Non-education and research volunteer,2018,fv_130,0.1530985495938559,4.33024110613918,0.1401048971579205,0.1660922020297913,6874,Chauffeur.euse bénévole,Education and research volunteers volunteer rates by activity,CA,
23,Education and research volunteer status,Education and research volunteer,2018,fv_130,0.1599430592784064,8.10238313425803,0.1345434950695312,0.1853426234872816,1394,Chauffeur.euse bénévole,Education and research volunteers volunteer rates by activity,CA,
24,Education and research volunteer status,Non-education and research volunteer,2018,fv_140,0.0509957264466387,8.582034681533958,0.0424180010449408,0.0595734518483366,6871,"Premier soins, incendies",Education and research volunteers volunteer rates by activity,CA,
25,Education and research volunteer status,Education and research volunteer,2018,fv_140,0.0450976160379944,16.596744796959285,0.0304278025672693,0.0597674295087195,1391,"Premier soins, incendies",Education and research volunteers volunteer rates by activity,CA,*
26,Education and research volunteer status,Non-education and research volunteer,2018,fv_150,0.1338697933427798,4.476904695842653,0.1221232919850886,0.145616294700471,6875,Protection de l'environnement,Education and research volunteers volunteer rates by activity,CA,
27,Education and research volunteer status,Education and research volunteer,2018,fv_150,0.123319135839851,10.571294626475344,0.0977682041591542,0.1488700675205479,1392,Protection de l'environnement,Education and research volunteers volunteer rates by activity,CA,
28,Education and research volunteer status,Non-education and research volunteer,2018,fv_160,0.2001144716817535,3.979249771291118,0.184507171347665,0.215721772015842,6954,Autre,Education and research volunteers volunteer rates by activity,CA,
29,Education and research volunteer status,Education and research volunteer,2018,fv_160,0.1291248154064513,9.916088746890216,0.1040291792248036,0.154220451588099,1400,Autre,Education and research volunteers volunteer rates by activity,CA,
30,Education and research volunteer status,Non-education and research volunteer,2018,fv_020,0.0680596242917279,8.259628506662468,0.0570417413777595,0.0790775072056964,6057,Porte-à-porte,Education and research volunteers volunteer rates by activity,CA (without QC),
31,Education and research volunteer status,Education and research volunteer,2018,fv_020,0.0743785861693076,17.16293046662533,0.0493585776747405,0.0993985946638747,1253,Porte-à-porte,Education and research volunteers volunteer rates by activity,CA (without QC),*
32,Education and research volunteer status,Non-education and research volunteer,2018,fv_030,0.4005301998391261,2.451769271357484,0.3812832038438546,0.4197771958343975,6071,Collecte de fonds,Education and research volunteers volunteer rates by activity,CA (without QC),
33,Education and research volunteer status,Education and research volunteer,2018,fv_030,0.4789945083963742,4.547189868112884,0.4363049449224858,0.5216840718702626,1256,Collecte de fonds,Education and research volunteers volunteer rates by activity,CA (without QC),
34,Education and research volunteer status,Non-education and research volunteer,2018,fv_040,0.31338549068281,2.8679541858784505,0.2957698198768151,0.3310011614888049,6073,Membre d'un comité ou d'un conseil d'administration,Education and research volunteers volunteer rates by activity,CA (without QC),
35,Education and research volunteer status,Education and research volunteer,2018,fv_040,0.3353069156180805,5.5926712794406575,0.2985524684092919,0.3720613628268691,1254,Membre d'un comité ou d'un conseil d'administration,Education and research volunteers volunteer rates by activity,CA (without QC),
36,Education and research volunteer status,Non-education and research volunteer,2018,fv_050,0.2747828155162837,3.3940601171024323,0.2565036152648748,0.2930620157676926,6058,Enseignement ou mentorat,Education and research volunteers volunteer rates by activity,CA (without QC),
37,Education and research volunteer status,Education and research volunteer,2018,fv_050,0.44405844577038,4.677881637478601,0.4033450380535917,0.4847718534871684,1255,Enseignement ou mentorat,Education and research volunteers volunteer rates by activity,CA (without QC),
38,Education and research volunteer status,Non-education and research volunteer,2018,fv_060,0.4124812880058651,2.357957185033586,0.3934184192487799,0.4315441567629502,6066,Organisation d'activités ou d'événements,Education and research volunteers volunteer rates by activity,CA (without QC),
39,Education and research volunteer status,Education and research volunteer,2018,fv_060,0.5631394918518338,3.649185120749379,0.5228622269800146,0.6034167567236529,1257,Organisation d'activités ou d'événements,Education and research volunteers volunteer rates by activity,CA (without QC),
40,Education and research volunteer status,Non-education and research volunteer,2018,fv_070,0.1818483994920446,3.9537971871630737,0.1677564213083345,0.1959403776757547,6057,Travail de bureau,Education and research volunteers volunteer rates by activity,CA (without QC),
41,Education and research volunteer status,Education and research volunteer,2018,fv_070,0.1984567975233304,8.41625520080928,0.1657202432121347,0.2311933518345262,1252,Travail de bureau,Education and research volunteers volunteer rates by activity,CA (without QC),
42,Education and research volunteer status,Non-education and research volunteer,2018,fv_080,0.1334667461178358,5.301031824492016,0.1195997761451773,0.1473337160904942,6050,"Entraînement, arbitrage, présidence",Education and research volunteers volunteer rates by activity,CA (without QC),
43,Education and research volunteer status,Education and research volunteer,2018,fv_080,0.1999426463277158,8.470994731122198,0.1667464794963336,0.2331388131590981,1256,"Entraînement, arbitrage, présidence",Education and research volunteers volunteer rates by activity,CA (without QC),
44,Education and research volunteer status,Non-education and research volunteer,2018,fv_090,0.213153623218154,3.7279705111131336,0.197579153142749,0.228728093293559,6050,Conseils,Education and research volunteers volunteer rates by activity,CA (without QC),
45,Education and research volunteer status,Education and research volunteer,2018,fv_090,0.2187368015130036,7.171521127248992,0.1879913248489291,0.2494822781770782,1254,Conseils,Education and research volunteers volunteer rates by activity,CA (without QC),
46,Education and research volunteer status,Non-education and research volunteer,2018,fv_100,0.2059799621963744,3.8649039195505455,0.1903768307533085,0.2215830936394403,6060,Soins de santé ou soutien,Education and research volunteers volunteer rates by activity,CA (without QC),
47,Education and research volunteer status,Education and research volunteer,2018,fv_100,0.1586776149261226,9.010892301538629,0.1306535226690762,0.186701707183169,1255,Soins de santé ou soutien,Education and research volunteers volunteer rates by activity,CA (without QC),
48,Education and research volunteer status,Non-education and research volunteer,2018,fv_110,0.2640654403652164,3.1851722282257318,0.2475803027101801,0.2805505780202527,6060,"Collecte, distribution ou livraison de biens",Education and research volunteers volunteer rates by activity,CA (without QC),
49,Education and research volunteer status,Education and research volunteer,2018,fv_110,0.2538959284748147,7.146391616794828,0.2183335631517318,0.2894582937978976,1254,"Collecte, distribution ou livraison de biens",Education and research volunteers volunteer rates by activity,CA (without QC),
50,Education and research volunteer status,Non-education and research volunteer,2018,fv_120,0.1594605843458745,4.643762388036638,0.1449471085856875,0.1739740601060614,6055,"Entretien, réparation ou construction",Education and research volunteers volunteer rates by activity,CA (without QC),
51,Education and research volunteer status,Education and research volunteer,2018,fv_120,0.117292423670754,11.720064432755429,0.0903492934134451,0.144235553928063,1254,"Entretien, réparation ou construction",Education and research volunteers volunteer rates by activity,CA (without QC),
52,Education and research volunteer status,Non-education and research volunteer,2018,fv_130,0.1499147238914046,4.74302313149118,0.1359784195168798,0.1638510282659293,6047,Chauffeur.euse bénévole,Education and research volunteers volunteer rates by activity,CA (without QC),
53,Education and research volunteer status,Education and research volunteer,2018,fv_130,0.1691899244790989,8.486535138157395,0.1410480513154887,0.197331797642709,1256,Chauffeur.euse bénévole,Education and research volunteers volunteer rates by activity,CA (without QC),
54,Education and research volunteer status,Non-education and research volunteer,2018,fv_140,0.0545598637016444,8.895099080165753,0.0450478567790568,0.064071870624232,6044,"Premier soins, incendies",Education and research volunteers volunteer rates by activity,CA (without QC),
55,Education and research volunteer status,Education and research volunteer,2018,fv_140,0.0499284219705882,17.449029851560518,0.0328531662402251,0.0670036777009512,1253,"Premier soins, incendies",Education and research volunteers volunteer rates by activity,CA (without QC),*
56,Education and research volunteer status,Non-education and research volunteer,2018,fv_150,0.1398105031666937,4.7431058932751045,0.1268132759765525,0.1528077303568348,6046,Protection de l'environnement,Education and research volunteers volunteer rates by activity,CA (without QC),
57,Education and research volunteer status,Education and research volunteer,2018,fv_150,0.1268596898680715,10.847277157335569,0.0998889740349958,0.1538304057011472,1254,Protection de l'environnement,Education and research volunteers volunteer rates by activity,CA (without QC),
58,Education and research volunteer status,Non-education and research volunteer,2018,fv_160,0.1959856970074992,4.58114350351544,0.1783883837566957,0.2135830102583027,6116,Autre,Education and research volunteers volunteer rates by activity,CA (without QC),
59,Education and research volunteer status,Education and research volunteer,2018,fv_160,0.1214934502011982,11.243083093286154,0.0947211074226381,0.1482657929797583,1260,Autre,Education and research volunteers volunteer rates by activity,CA (without QC),
