Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Education and research volunteer status,Non-education and research volunteer,2018,rv_020,0.5804956606331233,1.8030190124601848,0.5599818012166964,0.6010095200495502,5878,Personally affected by cause,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_020,0.6105245104982105,3.5070884231721777,0.5685584781685824,0.6524905428278387,1252,Personally affected by cause,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_025,0.26248624576893437,3.4499925350609923,0.24473729038235115,0.2802352011555176,5760,Friends volunteer,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_025,0.2056440687966484,8.402718631176299,0.17177649386665833,0.23951164372663847,1234,Friends volunteer,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_030,0.3971547540413588,2.4928755123855084,0.37774998633991813,0.4165595217427995,5775,Family member volunteers,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_030,0.3715109754546889,5.89385198960375,0.32859500230412964,0.4144269486052482,1236,Family member volunteers,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_040,0.47139975003990664,2.1481879057805355,0.4515520720126052,0.49124742806720806,5767,Networking or meeting people,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_040,0.5072525339433693,4.301034474123262,0.46449179123918394,0.5500132766475547,1242,Networking or meeting people,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_050,0.19611213721925935,4.631838263835145,0.17830861422616048,0.21391566021235822,5700,Improve job opportunities,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_050,0.3712338822318159,6.04917595580199,0.3272197731584961,0.41524799130513573,1236,Improve job opportunities,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_060,0.2096031795064958,4.155860250410086,0.1925302953979284,0.22667606361506318,5757,Religious reasons,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_060,0.1329253564753474,11.213179553172587,0.10371178186068067,0.16213893109001412,1229,Religious reasons,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_065,0.2718581358795262,3.538450387097792,0.25300413442027714,0.2907121373387752,5751,Spiritual or other beliefs,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_065,0.16130604196379017,9.808705054063296,0.13029542537601901,0.19231665855156133,1224,Spiritual or other beliefs,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_070,0.4220276236402113,2.422900031472435,0.4019863893543993,0.4420688579260233,5721,Explore own strengths,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_070,0.45922845119435207,4.786214310618395,0.4161491134168282,0.5023077889718759,1236,Explore own strengths,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_080,0.8985631185174302,0.6410220365668753,0.8872737502658008,0.9098524867690596,5932,Contribute to community,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_080,0.8895714245603341,1.529124903430056,0.862910704420296,0.9162321447003722,1267,Contribute to community,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_090,0.7480116078293465,1.1085972440547063,0.731758731788819,0.764264483869874,5859,Use skills and experiences,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_090,0.7355356725196078,2.7544483610582624,0.6958268996486737,0.7752444453905419,1254,Use skills and experiences,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_100,0.3295205148173844,3.0486374149115845,0.3098309406436958,0.34921008899107303,5717,"Support political, environmental or social cause",Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_100,0.24999325419724663,7.376636933837949,0.21384937270816867,0.2861371356863246,1233,"Support political, environmental or social cause",Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_110,0.5336174195465001,1.8320123201093421,0.5144569353694136,0.5527779037235866,5792,Improve well-being or health,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Education and research volunteer,2018,rv_110,0.4205531215745387,4.852944929237315,0.38055180230080043,0.460554440848277,1238,Improve well-being or health,Education and research volunteers motivations for volunteering,CA,
Education and research volunteer status,Non-education and research volunteer,2018,rv_020,0.5723730997194078,1.967032535909171,0.5503063256163969,0.5944398738224186,5167,Personally affected by cause,Education and research volunteers motivations for volunteering,CA (without QC),
Education and research volunteer status,Education and research volunteer,2018,rv_020,0.6177981375705954,3.611235458344845,0.5740710560870546,0.6615252190541363,1133,Personally affected by cause,Education and research volunteers motivations for volunteering,CA (without QC),
Education and research volunteer status,Non-education and research volunteer,2018,rv_025,0.27269968716148696,3.668176989728187,0.25309395736397666,0.29230541695899726,5062,Friends volunteer,Education and research volunteers motivations for volunteering,CA (without QC),
Education and research volunteer status,Education and research volunteer,2018,rv_025,0.2186256389069448,8.814402265465766,0.18085606813776667,0.25639520967612295,1118,Friends volunteer,Education and research volunteers motivations for volunteering,CA (without QC),
Education and research volunteer status,Non-education and research volunteer,2018,rv_030,0.3957769660533333,2.593359228492895,0.3756600555052271,0.4158938766014395,5080,Family member volunteers,Education and research volunteers motivations for volunteering,CA (without QC),
Education and research volunteer status,Education and research volunteer,2018,rv_030,0.3794525751447663,5.799776885480827,0.3363188583720669,0.4225862919174658,1119,Family member volunteers,Education and research volunteers motivations for volunteering,CA (without QC),
