,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Education and research volunteer status,Non-education and research volunteer,2018,rv_020,0.5804956606331233,1.8030190124601848,0.5599818012166964,0.6010095200495502,5878,Touché.e personnellement par la cause,Education and research volunteers motivations for volunteering,CA,
1,Education and research volunteer status,Education and research volunteer,2018,rv_020,0.6105245104982105,3.5070884231721777,0.5685584781685824,0.6524905428278387,1252,Touché.e personnellement par la cause,Education and research volunteers motivations for volunteering,CA,
2,Education and research volunteer status,Non-education and research volunteer,2018,rv_025,0.2624862457689343,3.4499925350609923,0.2447372903823511,0.2802352011555176,5760,Bénévoles parmi les amis,Education and research volunteers motivations for volunteering,CA,
3,Education and research volunteer status,Education and research volunteer,2018,rv_025,0.2056440687966484,8.402718631176299,0.1717764938666583,0.2395116437266384,1234,Bénévoles parmi les amis,Education and research volunteers motivations for volunteering,CA,
4,Education and research volunteer status,Non-education and research volunteer,2018,rv_030,0.3971547540413588,2.4928755123855084,0.3777499863399181,0.4165595217427995,5775,Bénévoles dans la famille,Education and research volunteers motivations for volunteering,CA,
5,Education and research volunteer status,Education and research volunteer,2018,rv_030,0.3715109754546889,5.89385198960375,0.3285950023041296,0.4144269486052482,1236,Bénévoles dans la famille,Education and research volunteers motivations for volunteering,CA,
6,Education and research volunteer status,Non-education and research volunteer,2018,rv_040,0.4713997500399066,2.1481879057805355,0.4515520720126052,0.491247428067208,5767,Réseauter ou rencontrer des gens,Education and research volunteers motivations for volunteering,CA,
7,Education and research volunteer status,Education and research volunteer,2018,rv_040,0.5072525339433693,4.301034474123262,0.4644917912391839,0.5500132766475547,1242,Réseauter ou rencontrer des gens,Education and research volunteers motivations for volunteering,CA,
8,Education and research volunteer status,Non-education and research volunteer,2018,rv_050,0.1961121372192593,4.631838263835145,0.1783086142261604,0.2139156602123582,5700,Améliorer ses possibilités d'emploi,Education and research volunteers motivations for volunteering,CA,
9,Education and research volunteer status,Education and research volunteer,2018,rv_050,0.3712338822318159,6.04917595580199,0.3272197731584961,0.4152479913051357,1236,Améliorer ses possibilités d'emploi,Education and research volunteers motivations for volunteering,CA,
10,Education and research volunteer status,Non-education and research volunteer,2018,rv_060,0.2096031795064958,4.155860250410086,0.1925302953979284,0.2266760636150631,5757,Raisons religieuses,Education and research volunteers motivations for volunteering,CA,
11,Education and research volunteer status,Education and research volunteer,2018,rv_060,0.1329253564753474,11.213179553172589,0.1037117818606806,0.1621389310900141,1229,Raisons religieuses,Education and research volunteers motivations for volunteering,CA,
12,Education and research volunteer status,Non-education and research volunteer,2018,rv_065,0.2718581358795262,3.538450387097792,0.2530041344202771,0.2907121373387752,5751,Spiritual or other beliefs,Education and research volunteers motivations for volunteering,CA,
13,Education and research volunteer status,Education and research volunteer,2018,rv_065,0.1613060419637901,9.808705054063296,0.130295425376019,0.1923166585515613,1224,Spiritual or other beliefs,Education and research volunteers motivations for volunteering,CA,
14,Education and research volunteer status,Non-education and research volunteer,2018,rv_070,0.4220276236402113,2.422900031472435,0.4019863893543993,0.4420688579260233,5721,Découvrir ses points forts,Education and research volunteers motivations for volunteering,CA,
15,Education and research volunteer status,Education and research volunteer,2018,rv_070,0.459228451194352,4.786214310618395,0.4161491134168282,0.5023077889718759,1236,Découvrir ses points forts,Education and research volunteers motivations for volunteering,CA,
16,Education and research volunteer status,Non-education and research volunteer,2018,rv_080,0.8985631185174302,0.6410220365668753,0.8872737502658008,0.9098524867690596,5932,Contribuer à la communauté,Education and research volunteers motivations for volunteering,CA,
17,Education and research volunteer status,Education and research volunteer,2018,rv_080,0.8895714245603341,1.529124903430056,0.862910704420296,0.9162321447003722,1267,Contribuer à la communauté,Education and research volunteers motivations for volunteering,CA,
18,Education and research volunteer status,Non-education and research volunteer,2018,rv_090,0.7480116078293465,1.1085972440547065,0.731758731788819,0.764264483869874,5859,Utiliser ses compétences et son expérience,Education and research volunteers motivations for volunteering,CA,
19,Education and research volunteer status,Education and research volunteer,2018,rv_090,0.7355356725196078,2.7544483610582624,0.6958268996486737,0.7752444453905419,1254,Utiliser ses compétences et son expérience,Education and research volunteers motivations for volunteering,CA,
20,Education and research volunteer status,Non-education and research volunteer,2018,rv_100,0.3295205148173844,3.0486374149115845,0.3098309406436958,0.349210088991073,5717,"Soutenir une cause politique, environnementale ou sociale",Education and research volunteers motivations for volunteering,CA,
21,Education and research volunteer status,Education and research volunteer,2018,rv_100,0.2499932541972466,7.376636933837949,0.2138493727081686,0.2861371356863246,1233,"Soutenir une cause politique, environnementale ou sociale",Education and research volunteers motivations for volunteering,CA,
22,Education and research volunteer status,Non-education and research volunteer,2018,rv_110,0.5336174195465001,1.832012320109342,0.5144569353694136,0.5527779037235866,5792,Améliorer le bien-être ou la santé,Education and research volunteers motivations for volunteering,CA,
23,Education and research volunteer status,Education and research volunteer,2018,rv_110,0.4205531215745387,4.852944929237315,0.3805518023008004,0.460554440848277,1238,Améliorer le bien-être ou la santé,Education and research volunteers motivations for volunteering,CA,
24,Education and research volunteer status,Non-education and research volunteer,2018,rv_020,0.5723730997194078,1.967032535909171,0.5503063256163969,0.5944398738224186,5167,Touché.e personnellement par la cause,Education and research volunteers motivations for volunteering,CA (without QC),
25,Education and research volunteer status,Education and research volunteer,2018,rv_020,0.6177981375705954,3.611235458344845,0.5740710560870546,0.6615252190541363,1133,Touché.e personnellement par la cause,Education and research volunteers motivations for volunteering,CA (without QC),
26,Education and research volunteer status,Non-education and research volunteer,2018,rv_025,0.2726996871614869,3.668176989728187,0.2530939573639766,0.2923054169589972,5062,Bénévoles parmi les amis,Education and research volunteers motivations for volunteering,CA (without QC),
27,Education and research volunteer status,Education and research volunteer,2018,rv_025,0.2186256389069448,8.814402265465766,0.1808560681377666,0.2563952096761229,1118,Bénévoles parmi les amis,Education and research volunteers motivations for volunteering,CA (without QC),
28,Education and research volunteer status,Non-education and research volunteer,2018,rv_030,0.3957769660533333,2.593359228492895,0.3756600555052271,0.4158938766014395,5080,Bénévoles dans la famille,Education and research volunteers motivations for volunteering,CA (without QC),
29,Education and research volunteer status,Education and research volunteer,2018,rv_030,0.3794525751447663,5.799776885480827,0.3363188583720669,0.4225862919174658,1119,Bénévoles dans la famille,Education and research volunteers motivations for volunteering,CA (without QC),
30,Education and research volunteer status,Non-education and research volunteer,2018,rv_040,0.47510891048377,2.280580944759418,0.4538722238925203,0.4963455970750197,5067,Réseauter ou rencontrer des gens,Education and research volunteers motivations for volunteering,CA (without QC),
31,Education and research volunteer status,Education and research volunteer,2018,rv_040,0.5176036276385593,4.430050157574801,0.4726614568459118,0.5625457984312068,1125,Réseauter ou rencontrer des gens,Education and research volunteers motivations for volunteering,CA (without QC),
