,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex01,0.0249698004554501,6.175086231215237,0.0219477188365521,0.0279918820743481,14749,Arts et culture,Education and research volunteers volunteer rates for other ccauses,CA,
1,Volunteer status,Education and research volunteer,2018,flag_vd1dex01,0.04529781075399,19.269856948544543,0.0281896313936692,0.0624059901143109,1400,Arts et culture,Education and research volunteers volunteer rates for other ccauses,CA,*
2,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex02,0.0836911856122518,3.736590427080602,0.0775619924530846,0.0898203787714191,14749,Sport et loisir,Education and research volunteers volunteer rates for other ccauses,CA,
3,Volunteer status,Education and research volunteer,2018,flag_vd1dex02,0.1521774950871596,8.641209675807563,0.1264040148870575,0.1779509752872617,1400,Sport et loisir,Education and research volunteers volunteer rates for other ccauses,CA,
4,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex03,0.0,,0.0,0.0,14749,Éducation et recherche,Education and research volunteers volunteer rates for other ccauses,CA,
5,Volunteer status,Education and research volunteer,2018,flag_vd1dex03,0.792356228509244,2.246227179148596,0.7574725524342719,0.8272399045842161,1400,Éducation et recherche,Education and research volunteers volunteer rates for other ccauses,CA,
6,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex04,0.0,,0.0,0.0,14749,Universités et collèges,Education and research volunteers volunteer rates for other ccauses,CA,
7,Volunteer status,Education and research volunteer,2018,flag_vd1dex04,0.2362542495116854,8.177210515881873,0.1983896909174571,0.2741188081059137,1400,Universités et collèges,Education and research volunteers volunteer rates for other ccauses,CA,
8,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex05,0.0409263292297188,5.0118813440240775,0.0369060921473381,0.0449465663120995,14749,Santé,Education and research volunteers volunteer rates for other ccauses,CA,
9,Volunteer status,Education and research volunteer,2018,flag_vd1dex05,0.0587840834118517,15.048780906327904,0.0414456776909125,0.076122489132791,1400,Santé,Education and research volunteers volunteer rates for other ccauses,CA,
10,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex06,0.0186444698165325,7.748199281241439,0.0158130849192714,0.0214758547137936,14749,Hôpitaux,Education and research volunteers volunteer rates for other ccauses,CA,
11,Volunteer status,Education and research volunteer,2018,flag_vd1dex06,0.0317898916715947,19.625482337989784,0.0195618340016139,0.0440179493415754,1400,Hôpitaux,Education and research volunteers volunteer rates for other ccauses,CA,*
12,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex07,0.1063734697550905,3.361499002207512,0.0993651420132393,0.1133817974969418,14749,Services sociaux,Education and research volunteers volunteer rates for other ccauses,CA,
13,Volunteer status,Education and research volunteer,2018,flag_vd1dex07,0.1551181354915222,8.667729250107971,0.1287659885229519,0.1814702824600925,1400,Services sociaux,Education and research volunteers volunteer rates for other ccauses,CA,
14,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex08,0.0244375976628795,6.221231890892093,0.0214578259643148,0.0274173693614443,14749,Environnement,Education and research volunteers volunteer rates for other ccauses,CA,
15,Volunteer status,Education and research volunteer,2018,flag_vd1dex08,0.0346883946829268,20.880553777584392,0.0204921228911012,0.0488846664747523,1400,Environnement,Education and research volunteers volunteer rates for other ccauses,CA,*
16,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex09,0.0415379065424327,5.321291117681362,0.0372056944039362,0.0458701186809293,14749,Aménagement et logement,Education and research volunteers volunteer rates for other ccauses,CA,
17,Volunteer status,Education and research volunteer,2018,flag_vd1dex09,0.0652330408828907,13.95515903999549,0.047390754525522,0.0830753272402595,1400,Aménagement et logement,Education and research volunteers volunteer rates for other ccauses,CA,
18,Volunteer status,Non-education and research volunteer,2018,flag_vd1dex10,0.0161769864775904,10.34829284454141,0.0128959245780997,0.0194580483770812,14749,"Droit, plaidoyer et politique",Education and research volunteers volunteer rates for other ccauses,CA,
