,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Age group,15 to 24 years,2018,fv1fvol,0.523214316,4.584671687,0.476199369,0.570229263,845,Formal volunteer,Forms of volunteering,CA,,
1,Age group,25 to 34 years,2018,fv1fvol,0.36769279899999996,3.971045384,0.339074879,0.396310719,1846,Formal volunteer,Forms of volunteering,CA,,
2,Age group,35 to 44 years,2018,fv1fvol,0.45790791399999997,3.189579011,0.429281984,0.486533844,2523,Formal volunteer,Forms of volunteering,CA,,
3,Age group,45 to 54 years,2018,fv1fvol,0.41579371600000004,3.3324203860000003,0.388636465,0.442950966,2609,Formal volunteer,Forms of volunteering,CA,,
4,Age group,55 to 64 years,2018,fv1fvol,0.374600141,3.097088981,0.35186122700000005,0.39733905399999997,3481,Formal volunteer,Forms of volunteering,CA,,
5,Age group,65 to 74 years,2018,fv1fvol,0.392151254,3.0253731239999997,0.368898166,0.41540434299999995,3019,Formal volunteer,Forms of volunteering,CA,,
6,Age group,75 years and over,2018,fv1fvol,0.304918485,4.509897812,0.27796601600000004,0.331870953,1826,Formal volunteer,Forms of volunteering,CA,,
7,Gender,Male gender,2018,fv1fvol,0.381720545,2.338495109,0.364224895,0.399216195,7242,Formal volunteer,Forms of volunteering,CA,,
8,Gender,Female gender,2018,fv1fvol,0.439598307,1.9547074780000002,0.422756609,0.456440005,8907,Formal volunteer,Forms of volunteering,CA,,
9,Education,Less than High School,2018,fv1fvol,0.35091315100000003,4.689921067,0.318656946,0.383169356,1568,Formal volunteer,Forms of volunteering,CA,,
10,Education,Graduated from High school,2018,fv1fvol,0.33021207399999997,4.053809316000001,0.303975667,0.35644848100000004,3502,Formal volunteer,Forms of volunteering,CA,,
11,Education,Post-secondary diploma,2018,fv1fvol,0.38312822799999996,2.6580948319999997,0.363168128,0.403088328,5142,Formal volunteer,Forms of volunteering,CA,,
12,Education,University Diploma,2018,fv1fvol,0.51657789,2.183404454,0.494471486,0.538684294,4544,Formal volunteer,Forms of volunteering,CA,,
13,Marital status (original),Married,2018,fv1fvol,0.425070179,1.8366814059999998,0.409768378,0.44037198,8083,Formal volunteer,Forms of volunteering,CA,,
14,Marital status (original),Living common-law,2018,fv1fvol,0.377071027,4.623976185,0.342897733,0.411244321,1487,Formal volunteer,Forms of volunteering,CA,,
15,Marital status (original),Widowed,2018,fv1fvol,0.29954354899999996,5.4950616,0.26728234100000003,0.331804757,1421,Formal volunteer,Forms of volunteering,CA,,
