,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2018,fv1fvol,0.52321431595709,4.584671687229565,0.4761993690135034,0.5702292629006767,845,Formal volunteer,Forms of volunteering,CA,,
1,Groupe d'âge,25 à 34 ans,2018,fv1fvol,0.3676927989479191,3.971045384100023,0.33907487889481125,0.3963107190010269,1846,Formal volunteer,Forms of volunteering,CA,,
2,Groupe d'âge,35 à 44 ans,2018,fv1fvol,0.4579079135301491,3.189579011476648,0.4292819835323735,0.4865338435279247,2523,Formal volunteer,Forms of volunteering,CA,,
3,Groupe d'âge,45 à 54 ans,2018,fv1fvol,0.4157937156105773,3.3324203857260444,0.38863646533910745,0.4429509658820472,2609,Formal volunteer,Forms of volunteering,CA,,
4,Groupe d'âge,55 à 64 ans,2018,fv1fvol,0.3746001408535901,3.0970889805497657,0.3518612273144795,0.3973390543927007,3481,Formal volunteer,Forms of volunteering,CA,,
5,Groupe d'âge,65 à 74 ans,2018,fv1fvol,0.39215125445276733,3.025373124128412,0.3688981659716095,0.41540434293392536,3019,Formal volunteer,Forms of volunteering,CA,,
6,Groupe d'âge,75 ans et plus,2018,fv1fvol,0.3049184847921243,4.50989781218789,0.27796601639294755,0.33187095319130105,1826,Formal volunteer,Forms of volunteering,CA,,
7,Genre,Hommes,2018,fv1fvol,0.38172054493976415,2.338495108703753,0.36422489453857937,0.3992161953409489,7242,Formal volunteer,Forms of volunteering,CA,,
8,Genre,Femmes,2018,fv1fvol,0.43959830663692495,1.954707477547157,0.4227566086095999,0.45644000466425,8907,Formal volunteer,Forms of volunteering,CA,,
9,Éducation,Sans diplôme d'études secondaires,2018,fv1fvol,0.3509131508220721,4.689921066835343,0.3186569459663652,0.38316935567777904,1568,Formal volunteer,Forms of volunteering,CA,,
10,Éducation,Diplôme d'études secondaires,2018,fv1fvol,0.33021207371350025,4.053809315856387,0.3039756669221811,0.3564484805048194,3502,Formal volunteer,Forms of volunteering,CA,,
11,Éducation,Diplôme post-secondaire,2018,fv1fvol,0.38312822762981696,2.6580948315491355,0.3631681276390833,0.4030883276205505,5142,Formal volunteer,Forms of volunteering,CA,,
12,Éducation,Diplôme universtaire,2018,fv1fvol,0.5165778899674887,2.183404454196793,0.4944714862537748,0.5386842936812025,4544,Formal volunteer,Forms of volunteering,CA,,
13,État civil (original),Marié.e,2018,fv1fvol,0.4250701791590763,1.836681405502744,0.40976837785416703,0.4403719804639856,8083,Formal volunteer,Forms of volunteering,CA,,
14,État civil (original),Union de fait,2018,fv1fvol,0.3770710273273697,4.6239761851645635,0.3428977332518515,0.4112443214028879,1487,Formal volunteer,Forms of volunteering,CA,,
15,État civil (original),Veuf.ve,2018,fv1fvol,0.2995435488192611,5.495061600122009,0.2672823406848769,0.3318047569536453,1421,Formal volunteer,Forms of volunteering,CA,,
16,État civil (original),Séparé.e,2018,fv1fvol,0.3684054775049802,7.767932106290207,0.3123162329348057,0.4244947220751547,517,Formal volunteer,Forms of volunteering,CA,,
17,État civil (original),divorcé.e,2018,fv1fvol,0.4002593539949445,4.3965728212464965,0.36576850759839935,0.4347502003914896,1380,Formal volunteer,Forms of volunteering,CA,,
18,État civil (original),"Célibataire, jamais marié.e",2018,fv1fvol,0.4240621035395047,3.1975816367983176,0.3974855172747439,0.4506386898042655,3261,Formal volunteer,Forms of volunteering,CA,,
19,État civil,Marié.e/union de fait,2018,fv1fvol,0.4161134612532616,1.7854599960648203,0.4015518316292612,0.4306750908772619,9570,Formal volunteer,Forms of volunteering,CA,,
20,État civil,Veuf.ve,2018,fv1fvol,0.2995435488192611,5.495061600122009,0.2672823406848769,0.3318047569536453,1421,Formal volunteer,Forms of volunteering,CA,,
21,État civil,Séparé.e/divorcé.e,2018,fv1fvol,0.38976487603657295,3.801312636795344,0.36072569393449067,0.4188040581386552,1897,Formal volunteer,Forms of volunteering,CA,,
22,État civil,"Célibataire, jamais marié.e",2018,fv1fvol,0.4240621035395047,3.1975816367983176,0.3974855172747439,0.4506386898042655,3261,Formal volunteer,Forms of volunteering,CA,,
23,Situation d'activité,Employé.e,2018,fv1fvol,0.40971337436581584,1.9416576551567968,0.3941214079258756,0.4253053408057561,8587,Formal volunteer,Forms of volunteering,CA,,
24,Situation d'activité,Au chômage,2018,fv1fvol,0.4053362281641793,9.95458479542959,0.32625258583453803,0.4844198704938205,348,Formal volunteer,Forms of volunteering,CA,,
25,Situation d'activité,Pas dans la population active,2018,fv1fvol,0.3909312028627424,2.510529591360306,0.3716952470161695,0.4101671587093152,5824,Formal volunteer,Forms of volunteering,CA,,
26,Situation d'activité,Unable to determine,2018,fv1fvol,0.5063667003777385,4.383339233908931,0.46286379008820205,0.5498696106672749,1390,Formal volunteer,Forms of volunteering,CA,,
27,Catégorie de revenu personnel,Moins de 25 000 $,2018,fv1fvol,0.4123623543035351,2.7921792997304973,0.38979553224018654,0.4349291763668837,4527,Formal volunteer,Forms of volunteering,CA,,
28,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,fv1fvol,0.35843788923042963,2.699005995582795,0.3394766878166489,0.3773990906442104,4837,Formal volunteer,Forms of volunteering,CA,,
29,Catégorie de revenu personnel,50 000 $ a 74 999 $,2018,fv1fvol,0.4188777451763538,2.894076107297709,0.3951178059246409,0.4426376844280667,3270,Formal volunteer,Forms of volunteering,CA,,
30,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,fv1fvol,0.4646045804508782,3.626598267076497,0.4315804776274244,0.4976286832743319,1813,Formal volunteer,Forms of volunteering,CA,,
31,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,fv1fvol,0.5204311457939742,4.877897742095096,0.4706753058307158,0.5701869857572326,775,Formal volunteer,Forms of volunteering,CA,,
32,Catégorie de revenu personnel,125 000 $ et plus,2018,fv1fvol,0.5256116896311746,4.3669226152153975,0.48062452704030395,0.5705988522220451,927,Formal volunteer,Forms of volunteering,CA,,
33,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,fv1fvol,0.6106820990286149,2.681170029064308,0.5785907749175105,0.6427734231397193,2383,Formal volunteer,Forms of volunteering,CA,,
34,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,fv1fvol,0.5083329622760914,4.605746842147452,0.4624452479481584,0.5542206766040244,1208,Formal volunteer,Forms of volunteering,CA,,
35,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,fv1fvol,0.4244544162664177,5.114808448672061,0.3819035386889914,0.4670052938438439,1297,Formal volunteer,Forms of volunteering,CA,,
36,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,fv1fvol,0.4124959276872082,3.8972819092258972,0.380987293510942,0.4440045618634745,2164,Formal volunteer,Forms of volunteering,CA,,
37,Fréquence de la fréquentation religieuse,Pas du tout,2018,fv1fvol,0.3309338476819094,2.443741797367415,0.3150832881804313,0.3467844071833875,7820,Formal volunteer,Forms of volunteering,CA,,
38,Statut d'immigration,Né.e au Canada,2018,fv1fvol,0.422961462097001,1.6303937739741392,0.4094456732624509,0.4364772509315512,12093,Formal volunteer,Forms of volunteering,CA,,
39,Statut d'immigration,Naturalisé.e,2018,fv1fvol,0.3434586240411757,3.7896214917787545,0.31794816041976226,0.3689690876625892,2492,Formal volunteer,Forms of volunteering,CA,,
40,Statut d'immigration,Non canadien.ne,2018,fv1fvol,0.3954311741685792,10.47808131318858,0.3142228104832623,0.4766395378538961,319,Formal volunteer,Forms of volunteering,CA,,
41,Statut d'immigration,Unknown,2018,fv1fvol,0.5206352595369496,4.485650635475298,0.4748624981348989,0.5664080209390002,1245,Formal volunteer,Forms of volunteering,CA,,
42,Groupe d'âge,15 à 24 ans,2018,ivc_flag,0.7618620277505916,2.7709964053279483,0.7204848960501138,0.8032391594510695,845,Informal volunteer,Forms of volunteering,CA,,
43,Groupe d'âge,25 à 34 ans,2018,ivc_flag,0.7893361447329645,1.7345090997865846,0.7625020675982258,0.8161702218677033,1846,Informal volunteer,Forms of volunteering,CA,,
44,Groupe d'âge,35 à 44 ans,2018,ivc_flag,0.7541666347168283,1.7814723505006014,0.7278339892488644,0.7804992801847922,2523,Informal volunteer,Forms of volunteering,CA,,
45,Groupe d'âge,45 à 54 ans,2018,ivc_flag,0.7400314247456489,1.877358697981572,0.7128015582423217,0.767261291248976,2609,Informal volunteer,Forms of volunteering,CA,,
46,Groupe d'âge,55 à 64 ans,2018,ivc_flag,0.7419903822392955,1.693155655114413,0.7173672525535081,0.7666135119250829,3481,Informal volunteer,Forms of volunteering,CA,,
47,Groupe d'âge,65 à 74 ans,2018,ivc_flag,0.7166058459541066,1.7267349052885288,0.6923534803853658,0.7408582115228474,3019,Informal volunteer,Forms of volunteering,CA,,
48,Groupe d'âge,75 ans et plus,2018,ivc_flag,0.5529761705824572,2.914933912526983,0.5213837268596695,0.5845686143052449,1826,Informal volunteer,Forms of volunteering,CA,,
49,Genre,Hommes,2018,ivc_flag,0.7311158094089942,1.1498469311316457,0.7146389552935037,0.7475926635244847,7242,Informal volunteer,Forms of volunteering,CA,,
50,Genre,Femmes,2018,ivc_flag,0.7402262953280566,0.9937627914797648,0.7258086170095374,0.7546439736465759,8907,Informal volunteer,Forms of volunteering,CA,,
51,Éducation,Sans diplôme d'études secondaires,2018,ivc_flag,0.6146899738020474,2.9252791583163087,0.5794470819342489,0.6499328656698459,1568,Informal volunteer,Forms of volunteering,CA,,
52,Éducation,Diplôme d'études secondaires,2018,ivc_flag,0.7056390956073179,1.9087640522505536,0.6792403693236883,0.7320378218909475,3502,Informal volunteer,Forms of volunteering,CA,,
53,Éducation,Diplôme post-secondaire,2018,ivc_flag,0.7546309251712178,1.2895588214059426,0.7355577127097914,0.7737041376326441,5142,Informal volunteer,Forms of volunteering,CA,,
54,Éducation,Diplôme universtaire,2018,ivc_flag,0.7921834509156367,1.2380660295224375,0.7729606059197365,0.8114062959115369,4544,Informal volunteer,Forms of volunteering,CA,,
55,État civil (original),Marié.e,2018,ivc_flag,0.7378072822611537,0.9820466139879028,0.7236061448061064,0.7520084197162009,8083,Informal volunteer,Forms of volunteering,CA,,
56,État civil (original),Union de fait,2018,ivc_flag,0.7620728643715261,2.0815157856162383,0.7309826084119824,0.7931631203310698,1487,Informal volunteer,Forms of volunteering,CA,,
57,État civil (original),Veuf.ve,2018,ivc_flag,0.5923534713525408,3.72420275341508,0.5491157950610687,0.6355911476440129,1421,Informal volunteer,Forms of volunteering,CA,,
58,État civil (original),Séparé.e,2018,ivc_flag,0.7140859189559521,4.397165495734813,0.6525439521338794,0.7756278857780246,517,Informal volunteer,Forms of volunteering,CA,,
59,État civil (original),divorcé.e,2018,ivc_flag,0.7276222143607741,2.6534495564710125,0.6897810164117524,0.7654634123097959,1380,Informal volunteer,Forms of volunteering,CA,,
60,État civil (original),"Célibataire, jamais marié.e",2018,ivc_flag,0.7482813774559369,1.6391454696542833,0.7242415954149727,0.7723211594969014,3261,Informal volunteer,Forms of volunteering,CA,,
61,État civil,Marié.e/union de fait,2018,ivc_flag,0.7423352783921067,0.9158869109258748,0.7290095780255197,0.7556609787586936,9570,Informal volunteer,Forms of volunteering,CA,,
62,État civil,Veuf.ve,2018,ivc_flag,0.5923534713525408,3.72420275341508,0.5491157950610687,0.6355911476440129,1421,Informal volunteer,Forms of volunteering,CA,,
63,État civil,Séparé.e/divorcé.e,2018,ivc_flag,0.7231625890524174,2.3474874217875032,0.6898899448548236,0.7564352332500112,1897,Informal volunteer,Forms of volunteering,CA,,
64,État civil,"Célibataire, jamais marié.e",2018,ivc_flag,0.7482813774559369,1.6391454696542833,0.7242415954149727,0.7723211594969014,3261,Informal volunteer,Forms of volunteering,CA,,
65,Situation d'activité,Employé.e,2018,ivc_flag,0.7602413768890723,1.0198310838910671,0.7450454274900717,0.7754373262880729,8587,Informal volunteer,Forms of volunteering,CA,,
66,Situation d'activité,Au chômage,2018,ivc_flag,0.7743676596830364,5.256598755141332,0.6945865402189006,0.8541487791471722,348,Informal volunteer,Forms of volunteering,CA,,
67,Situation d'activité,Pas dans la population active,2018,ivc_flag,0.6831037988423275,1.44593447591756,0.6637447772412521,0.7024628204434029,5824,Informal volunteer,Forms of volunteering,CA,,
68,Situation d'activité,Unable to determine,2018,ivc_flag,0.7457544437394477,2.6006514801109413,0.7077419732413064,0.7837669142375889,1390,Informal volunteer,Forms of volunteering,CA,,
69,Catégorie de revenu personnel,Moins de 25 000 $,2018,ivc_flag,0.7192805801293493,1.521059269750219,0.697837233641555,0.7407239266171435,4527,Informal volunteer,Forms of volunteering,CA,,
70,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,ivc_flag,0.7225258411262756,1.3749380624366632,0.7030550046248917,0.7419966776276595,4837,Informal volunteer,Forms of volunteering,CA,,
71,Catégorie de revenu personnel,50 000 $ a 74 999 $,2018,ivc_flag,0.7607879048949482,1.5511541555938195,0.7376583832371613,0.7839174265527351,3270,Informal volunteer,Forms of volunteering,CA,,
72,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,ivc_flag,0.7694143763047024,1.8411974046861284,0.7416486689609697,0.7971800836484352,1813,Informal volunteer,Forms of volunteering,CA,,
73,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,ivc_flag,0.7718031352767974,2.9737243638943007,0.7268194180432954,0.8167868525102995,775,Informal volunteer,Forms of volunteering,CA,,
74,Catégorie de revenu personnel,125 000 $ et plus,2018,ivc_flag,0.7866631977729335,2.3816024574558528,0.7499429000313008,0.8233834955145661,927,Informal volunteer,Forms of volunteering,CA,,
75,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,ivc_flag,0.7942212347446771,1.936641854856024,0.7640745958360698,0.8243678736532842,2383,Informal volunteer,Forms of volunteering,CA,,
76,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,ivc_flag,0.7924394007032814,2.4203463562738654,0.7548477262770369,0.8300310751295258,1208,Informal volunteer,Forms of volunteering,CA,,
77,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,ivc_flag,0.789069253276712,2.409950699925711,0.751798225368389,0.8263402811850349,1297,Informal volunteer,Forms of volunteering,CA,,
78,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,ivc_flag,0.7588281193441195,2.100001566496736,0.7275953045742075,0.7900609341140316,2164,Informal volunteer,Forms of volunteering,CA,,
79,Fréquence de la fréquentation religieuse,Pas du tout,2018,ivc_flag,0.6959047748277026,1.1809966268348644,0.679796591468063,0.7120129581873422,7820,Informal volunteer,Forms of volunteering,CA,,
80,Statut d'immigration,Né.e au Canada,2018,ivc_flag,0.752256738430962,0.8897914344866651,0.7391376880941616,0.7653757887677624,12093,Informal volunteer,Forms of volunteering,CA,,
81,Statut d'immigration,Naturalisé.e,2018,ivc_flag,0.6838139173527293,2.0273631186409617,0.6566421699744737,0.710985664730985,2492,Informal volunteer,Forms of volunteering,CA,,
82,Statut d'immigration,Non canadien.ne,2018,ivc_flag,0.6782885054215739,5.988720630481264,0.5986731932281061,0.7579038176150418,319,Informal volunteer,Forms of volunteering,CA,,
83,Statut d'immigration,Unknown,2018,ivc_flag,0.7698366404055693,2.527186319824481,0.7317051368215723,0.8079681439895663,1245,Informal volunteer,Forms of volunteering,CA,,
84,Groupe d'âge,15 à 24 ans,2018,dv_hp,0.7272149128437992,3.0842225050296355,0.6832550256682395,0.771174800019359,845,Help people directly,Forms of volunteering,CA,,
85,Groupe d'âge,25 à 34 ans,2018,dv_hp,0.7695801477923339,1.8005221032801084,0.7424219839387628,0.7967383116459049,1846,Help people directly,Forms of volunteering,CA,,
86,Groupe d'âge,35 à 44 ans,2018,dv_hp,0.7182535059183521,1.92431728690918,0.6911639100038736,0.7453431018328307,2523,Help people directly,Forms of volunteering,CA,,
87,Groupe d'âge,45 à 54 ans,2018,dv_hp,0.7062603781814492,1.9981326381506417,0.6786013289438402,0.7339194274190581,2609,Help people directly,Forms of volunteering,CA,,
88,Groupe d'âge,55 à 64 ans,2018,dv_hp,0.7154569622085301,1.768716871595979,0.6906547782836574,0.7402591461334027,3481,Help people directly,Forms of volunteering,CA,,
89,Groupe d'âge,65 à 74 ans,2018,dv_hp,0.6912442301242933,1.8248310032778947,0.6665211679461421,0.7159672923024445,3019,Help people directly,Forms of volunteering,CA,,
90,Groupe d'âge,75 ans et plus,2018,dv_hp,0.5169423381389755,3.0876912265998904,0.4856582098889936,0.5482264663889573,1826,Help people directly,Forms of volunteering,CA,,
91,Genre,Hommes,2018,dv_hp,0.6976114793116459,1.2489502001567612,0.680534665972193,0.7146882926510991,7242,Help people directly,Forms of volunteering,CA,,
92,Genre,Femmes,2018,dv_hp,0.7139072658493363,1.0630471712814151,0.6990327640262599,0.7287817676724127,8907,Help people directly,Forms of volunteering,CA,,
93,Éducation,Sans diplôme d'études secondaires,2018,dv_hp,0.5930803893847842,3.066738824714346,0.5574321203785904,0.6287286583909781,1568,Help people directly,Forms of volunteering,CA,,
94,Éducation,Diplôme d'études secondaires,2018,dv_hp,0.6850311744485709,2.0040220746122466,0.6581244440054493,0.7119379048916924,3502,Help people directly,Forms of volunteering,CA,,
95,Éducation,Diplôme post-secondaire,2018,dv_hp,0.7266968309326429,1.3924605749889418,0.706864020305844,0.746529641559442,5142,Help people directly,Forms of volunteering,CA,,
96,Éducation,Diplôme universtaire,2018,dv_hp,0.7516001386718756,1.3461319319314282,0.731770145303831,0.7714301320399202,4544,Help people directly,Forms of volunteering,CA,,
97,État civil (original),Marié.e,2018,dv_hp,0.707097389188482,1.0361287045443612,0.6927378325773603,0.7214569457996036,8083,Help people directly,Forms of volunteering,CA,,
98,État civil (original),Union de fait,2018,dv_hp,0.7275471275225629,2.2612941455555053,0.6953018380705943,0.7597924169745315,1487,Help people directly,Forms of volunteering,CA,,
99,État civil (original),Veuf.ve,2018,dv_hp,0.5543042449229778,3.7211991104861637,0.5138765291277299,0.5947319607182258,1421,Help people directly,Forms of volunteering,CA,,
100,État civil (original),Séparé.e,2018,dv_hp,0.6948681805947837,4.569321845482825,0.6326378275096135,0.7570985336799539,517,Help people directly,Forms of volunteering,CA,,
101,État civil (original),divorcé.e,2018,dv_hp,0.7028092483601686,2.7673544761237885,0.6646894713743976,0.7409290253459395,1380,Help people directly,Forms of volunteering,CA,,
102,État civil (original),"Célibataire, jamais marié.e",2018,dv_hp,0.721234992650747,1.8169103860392224,0.6955512453654302,0.7469187399360637,3261,Help people directly,Forms of volunteering,CA,,
103,État civil,Marié.e/union de fait,2018,dv_hp,0.7109133428150854,0.9686838236415544,0.6974160458338023,0.7244106397963685,9570,Help people directly,Forms of volunteering,CA,,
104,État civil,Veuf.ve,2018,dv_hp,0.5543042449229778,3.7211991104861637,0.5138765291277299,0.5947319607182258,1421,Help people directly,Forms of volunteering,CA,,
105,État civil,Séparé.e/divorcé.e,2018,dv_hp,0.7001930091512291,2.38910622024339,0.6674060363493499,0.7329799819531082,1897,Help people directly,Forms of volunteering,CA,,
106,État civil,"Célibataire, jamais marié.e",2018,dv_hp,0.721234992650747,1.8169103860392224,0.6955512453654302,0.7469187399360637,3261,Help people directly,Forms of volunteering,CA,,
107,Situation d'activité,Employé.e,2018,dv_hp,0.7325186401927093,1.0649813930974694,0.7172285942067701,0.7478086861786485,8587,Help people directly,Forms of volunteering,CA,,
108,Situation d'activité,Au chômage,2018,dv_hp,0.7571610321363146,5.36161751723255,0.6775941802987033,0.8367278839739258,348,Help people directly,Forms of volunteering,CA,,
109,Situation d'activité,Pas dans la population active,2018,dv_hp,0.6505540852573788,1.5827103179304032,0.63037353828955,0.6707346322252076,5824,Help people directly,Forms of volunteering,CA,,
110,Situation d'activité,Unable to determine,2018,dv_hp,0.7044728856110928,2.7708495297723714,0.6662146166975557,0.7427311545246299,1390,Help people directly,Forms of volunteering,CA,,
111,Catégorie de revenu personnel,Moins de 25 000 $,2018,dv_hp,0.6873555494846723,1.6184963710403073,0.6655512938862229,0.7091598050831216,4527,Help people directly,Forms of volunteering,CA,,
112,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,dv_hp,0.7017325817379169,1.4677897583698198,0.6815450331225257,0.721920130353308,4837,Help people directly,Forms of volunteering,CA,,
113,Catégorie de revenu personnel,50 000 $ a 74 999 $,2018,dv_hp,0.7289842979080734,1.6290986532510148,0.7057080137990371,0.7522605820171097,3270,Help people directly,Forms of volunteering,CA,,
114,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,dv_hp,0.7404900188197472,1.9692747278673872,0.7119092697134939,0.7690707679260005,1813,Help people directly,Forms of volunteering,CA,,
115,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,dv_hp,0.7203847605672549,3.2802109041134537,0.6740705382609069,0.7666989828736028,775,Help people directly,Forms of volunteering,CA,,
116,Catégorie de revenu personnel,125 000 $ et plus,2018,dv_hp,0.7400414392503349,2.646652466881799,0.7016529476454203,0.7784299308552496,927,Help people directly,Forms of volunteering,CA,,
117,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,dv_hp,0.7695622053853739,2.0298774614233563,0.7389452752618372,0.8001791355089106,2383,Help people directly,Forms of volunteering,CA,,
118,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,dv_hp,0.7626237439854937,2.5270485664121414,0.7248515681874139,0.8003959197835735,1208,Help people directly,Forms of volunteering,CA,,
119,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,dv_hp,0.7641464561605279,2.554538319287091,0.7258871476825517,0.8024057646385043,1297,Help people directly,Forms of volunteering,CA,,
