Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Health donor status,Non-health donors,2018,ng_020,0.6206467473339957,2.310847055992237,0.5925365575806173,0.6487569370873741,3343,Happy with what already given,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_020,0.707586325069026,1.323327609719166,0.6892338393100735,0.7259388108279784,6128,Happy with what already given,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_030,0.6985077009077144,1.7997757536394179,0.6738678720917181,0.7231475297237108,3360,Could not afford to give more,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_030,0.6687779215036745,1.4151402068794634,0.6502285376458339,0.6873273053615152,6122,Could not afford to give more,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_040,0.25693094722376975,4.837434606934976,0.23257081640353558,0.2812910780440039,3285,No one asked,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_040,0.24678848632425962,3.563558897077803,0.2295516750602429,0.26402529758827636,6019,No one asked,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_050,0.11806270258014487,8.275285647672574,0.09891380372365728,0.13721160143663247,3274,Unsure where to give,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_050,0.1069409263446502,6.491322097320546,0.09333509159318713,0.12054676109611327,5994,Unsure where to give,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_060,0.14093956536154184,7.248220984404971,0.12091733542382181,0.16096179529926186,3276,Hard to find a cause,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_060,0.10023607046982275,7.360122841585157,0.08577644025421616,0.11469570068542934,5999,Hard to find a cause,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_070,0.3122522013308899,4.133374833737175,0.28695582050746654,0.3375485821543132,3261,Gave time instead,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_070,0.23948260434477925,3.567359819815751,0.22273822787470585,0.2562269808148526,5976,Gave time instead,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_080,0.36549178033792157,3.7527655048538473,0.3386088173947798,0.3923747432810633,3271,Gave directly instead,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_080,0.38389074736793277,2.5283039993395686,0.364867483698446,0.40291401103741953,6006,Gave directly instead,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_090,0.16030947280696362,6.746069773802713,0.1391132680757934,0.18150567753813382,3272,Tax credit was not enough,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_090,0.1769796183064807,4.567831683873652,0.16113501254533572,0.1928242240676257,5989,Tax credit was not enough,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_110,0.23056069138768887,4.851783288310421,0.20863593628305666,0.2524854464923211,3275,Money would not be used efficiently,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_110,0.237460604113456,3.7440308930432624,0.22003535149388842,0.25488585673302355,5996,Money would not be used efficiently,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_130,0.1946271942226092,5.449155447325306,0.17384072100827397,0.21541366743694446,3266,Did not like the way requests were made,Health donors barriers to giving,CA,
Health donor status,Health donors,2018,ng_130,0.2356999191386705,3.5620991995281717,0.21924432625107054,0.25215551202627046,5997,Did not like the way requests were made,Health donors barriers to giving,CA,
Health donor status,Non-health donors,2018,ng_020,0.6049366731065039,2.592476075457324,0.5741988744281175,0.6356744717848903,2906,Happy with what already given,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_020,0.6955596121857394,1.48319773094329,0.6753395959449283,0.7157796284265504,5266,Happy with what already given,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_030,0.7223483631828241,1.820381071740522,0.6965758307320592,0.7481208956335891,2924,Could not afford to give more,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_030,0.6885245610435643,1.472481140119108,0.6686536733418478,0.7083954487452808,5261,Could not afford to give more,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_040,0.27303945147751507,5.132843274085115,0.24557116946622318,0.30050773348880694,2858,No one asked,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_040,0.26293967933278084,3.6195615643378303,0.2442861855031817,0.28159317316238,5180,No one asked,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_050,0.11285365737580587,8.840111351503722,0.09330029428656261,0.13240702046504912,2851,Unsure where to give,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_050,0.10192797016210912,6.941236864622752,0.08806110376681761,0.11579483655740064,5155,Unsure where to give,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_060,0.14304290636061284,8.184874963915718,0.12009587728588546,0.1659899354353402,2852,Hard to find a cause,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_060,0.10395588514694991,8.12127048338373,0.0874088135211494,0.12050295677275041,5162,Hard to find a cause,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_070,0.3218611325946591,4.444696304020482,0.2938223780883743,0.3498998871009439,2837,Gave time instead,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_070,0.2424635295889296,3.6787393706315825,0.2249814322405484,0.2599456269373108,5138,Gave time instead,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_080,0.3482707968651355,4.315362459198922,0.31881420958721424,0.3777273841430568,2849,Gave directly instead,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_080,0.3747645448929014,2.698280769531834,0.35494499778252014,0.39458409200328265,5164,Gave directly instead,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_090,0.16180558949860308,7.323835198438906,0.13857928185048812,0.18503189714671803,2847,Tax credit was not enough,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_090,0.1757530986642072,5.092474772321618,0.15821106387548153,0.1932951334529329,5155,Tax credit was not enough,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_110,0.21930590185235802,5.365959670214883,0.19624130783178834,0.2423704958729277,2848,Money would not be used efficiently,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_110,0.2584330775014927,4.011359820194778,0.2381147568216079,0.2787513981813775,5160,Money would not be used efficiently,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_130,0.20517470603624074,5.896247229010669,0.18146383021534065,0.22888558185714084,2843,Did not like the way requests were made,Health donors barriers to giving,CA (without QC),
Health donor status,Health donors,2018,ng_130,0.28027721244669124,3.4955387383320846,0.26107505616715154,0.29947936872623093,5161,Did not like the way requests were made,Health donors barriers to giving,CA (without QC),
Health donor status,Non-health donors,2018,ng_020,0.5428197460221074,7.928780646624323,0.4584648816324526,0.6271746104117621,292,Happy with what already given,Health donors barriers to giving,AB,
Health donor status,Health donors,2018,ng_020,0.6499674740803015,5.100387226562349,0.5849929862950897,0.7149419618655134,447,Happy with what already given,Health donors barriers to giving,AB,
Health donor status,Non-health donors,2018,ng_020,0.6999146772796766,3.2656581605502173,0.6551161317586637,0.7447132228006895,817,Happy with what already given,Health donors barriers to giving,AT,
Health donor status,Health donors,2018,ng_020,0.7547625304292583,2.0526816092793383,0.7243970599666855,0.7851280008918312,1733,Happy with what already given,Health donors barriers to giving,AT,
Health donor status,Non-health donors,2018,ng_020,0.5699426735631302,5.541800789480587,0.5080370394516946,0.6318483076745658,495,Happy with what already given,Health donors barriers to giving,BC,
Health donor status,Health donors,2018,ng_020,0.6308012687901531,4.316240067169817,0.5774375310482125,0.6841650065320937,669,Happy with what already given,Health donors barriers to giving,BC,
Health donor status,Non-health donors,2018,ng_020,0.6165961338405281,4.200253012600486,0.5658358151234946,0.6673564525575617,832,Happy with what already given,Health donors barriers to giving,ON,
Health donor status,Health donors,2018,ng_020,0.7174693430558664,2.098793684217998,0.6879558109177272,0.7469828751940056,1680,Happy with what already given,Health donors barriers to giving,ON,
Health donor status,Non-health donors,2018,ng_020,0.6216436954479528,4.879320914998672,0.5621940858049796,0.681093305090926,470,Happy with what already given,Health donors barriers to giving,PR,
Health donor status,Health donors,2018,ng_020,0.6693897496191589,3.610660217547998,0.6220186168867419,0.7167608823515759,737,Happy with what already given,Health donors barriers to giving,PR,
Health donor status,Non-health donors,2018,ng_020,0.6769927696619723,4.3594917502611645,0.6191474824734051,0.7348380568505395,437,Happy with what already given,Health donors barriers to giving,QC,
Health donor status,Health donors,2018,ng_020,0.739934332623113,2.9003736863922716,0.6978718186131145,0.7819968466331115,862,Happy with what already given,Health donors barriers to giving,QC,
Health donor status,Non-health donors,2018,ng_030,0.7066135077886012,4.652273557375737,0.642182448729826,0.7710445668473764,289,Could not afford to give more,Health donors barriers to giving,AB,
Health donor status,Health donors,2018,ng_030,0.6561288678534043,4.300944538789388,0.6008191963299246,0.711438539376884,453,Could not afford to give more,Health donors barriers to giving,AB,
Health donor status,Non-health donors,2018,ng_030,0.6808583826664278,3.2042321965714846,0.6380992527094238,0.7236175126234319,826,Could not afford to give more,Health donors barriers to giving,AT,
Health donor status,Health donors,2018,ng_030,0.7076980756567555,2.2094874243446556,0.6770510988439227,0.7383450524695883,1737,Could not afford to give more,Health donors barriers to giving,AT,
