,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Health donor status,Non-health donors,2018,ng_020,0.6206467473339957,2.310847055992237,0.5925365575806173,0.6487569370873741,3343,Montant déjà donné suffisant,Health donors barriers to giving,CA,
1,Health donor status,Health donors,2018,ng_020,0.707586325069026,1.323327609719166,0.6892338393100735,0.7259388108279784,6128,Montant déjà donné suffisant,Health donors barriers to giving,CA,
2,Health donor status,Non-health donors,2018,ng_030,0.6985077009077144,1.799775753639418,0.6738678720917181,0.7231475297237108,3360,Pas les moyens de donner plus,Health donors barriers to giving,CA,
3,Health donor status,Health donors,2018,ng_030,0.6687779215036745,1.4151402068794634,0.6502285376458339,0.6873273053615152,6122,Pas les moyens de donner plus,Health donors barriers to giving,CA,
4,Health donor status,Non-health donors,2018,ng_040,0.2569309472237697,4.837434606934976,0.2325708164035355,0.2812910780440039,3285,Aucune sollicitation,Health donors barriers to giving,CA,
5,Health donor status,Health donors,2018,ng_040,0.2467884863242596,3.563558897077803,0.2295516750602429,0.2640252975882763,6019,Aucune sollicitation,Health donors barriers to giving,CA,
6,Health donor status,Non-health donors,2018,ng_050,0.1180627025801448,8.275285647672574,0.0989138037236572,0.1372116014366324,3274,Ne savent pas où donner,Health donors barriers to giving,CA,
7,Health donor status,Health donors,2018,ng_050,0.1069409263446502,6.491322097320546,0.0933350915931871,0.1205467610961132,5994,Ne savent pas où donner,Health donors barriers to giving,CA,
8,Health donor status,Non-health donors,2018,ng_060,0.1409395653615418,7.248220984404971,0.1209173354238218,0.1609617952992618,3276,Difficulté à trouver une cause,Health donors barriers to giving,CA,
9,Health donor status,Health donors,2018,ng_060,0.1002360704698227,7.360122841585157,0.0857764402542161,0.1146957006854293,5999,Difficulté à trouver une cause,Health donors barriers to giving,CA,
10,Health donor status,Non-health donors,2018,ng_070,0.3122522013308899,4.133374833737175,0.2869558205074665,0.3375485821543132,3261,Don de temps,Health donors barriers to giving,CA,
11,Health donor status,Health donors,2018,ng_070,0.2394826043447792,3.567359819815751,0.2227382278747058,0.2562269808148526,5976,Don de temps,Health donors barriers to giving,CA,
12,Health donor status,Non-health donors,2018,ng_080,0.3654917803379215,3.7527655048538473,0.3386088173947798,0.3923747432810633,3271,Don direct,Health donors barriers to giving,CA,
13,Health donor status,Health donors,2018,ng_080,0.3838907473679327,2.5283039993395686,0.364867483698446,0.4029140110374195,6006,Don direct,Health donors barriers to giving,CA,
14,Health donor status,Non-health donors,2018,ng_090,0.1603094728069636,6.746069773802713,0.1391132680757934,0.1815056775381338,3272,Crédit d'impôt insuffisant,Health donors barriers to giving,CA,
15,Health donor status,Health donors,2018,ng_090,0.1769796183064807,4.567831683873652,0.1611350125453357,0.1928242240676257,5989,Crédit d'impôt insuffisant,Health donors barriers to giving,CA,
16,Health donor status,Non-health donors,2018,ng_110,0.2305606913876888,4.851783288310421,0.2086359362830566,0.2524854464923211,3275,Utilisation non efficiente de l'argent,Health donors barriers to giving,CA,
17,Health donor status,Health donors,2018,ng_110,0.237460604113456,3.7440308930432624,0.2200353514938884,0.2548858567330235,5996,Utilisation non efficiente de l'argent,Health donors barriers to giving,CA,
18,Health donor status,Non-health donors,2018,ng_130,0.1946271942226092,5.449155447325306,0.1738407210082739,0.2154136674369444,3266,N'aimaient pas les méthodes de sollicitation,Health donors barriers to giving,CA,
19,Health donor status,Health donors,2018,ng_130,0.2356999191386705,3.562099199528172,0.2192443262510705,0.2521555120262704,5997,N'aimaient pas les méthodes de sollicitation,Health donors barriers to giving,CA,
20,Health donor status,Non-health donors,2018,ng_020,0.6049366731065039,2.592476075457324,0.5741988744281175,0.6356744717848903,2906,Montant déjà donné suffisant,Health donors barriers to giving,CA (without QC),
21,Health donor status,Health donors,2018,ng_020,0.6955596121857394,1.48319773094329,0.6753395959449283,0.7157796284265504,5266,Montant déjà donné suffisant,Health donors barriers to giving,CA (without QC),
22,Health donor status,Non-health donors,2018,ng_030,0.7223483631828241,1.820381071740522,0.6965758307320592,0.7481208956335891,2924,Pas les moyens de donner plus,Health donors barriers to giving,CA (without QC),
23,Health donor status,Health donors,2018,ng_030,0.6885245610435643,1.472481140119108,0.6686536733418478,0.7083954487452808,5261,Pas les moyens de donner plus,Health donors barriers to giving,CA (without QC),
24,Health donor status,Non-health donors,2018,ng_040,0.273039451477515,5.132843274085115,0.2455711694662231,0.3005077334888069,2858,Aucune sollicitation,Health donors barriers to giving,CA (without QC),
25,Health donor status,Health donors,2018,ng_040,0.2629396793327808,3.6195615643378303,0.2442861855031817,0.28159317316238,5180,Aucune sollicitation,Health donors barriers to giving,CA (without QC),
26,Health donor status,Non-health donors,2018,ng_050,0.1128536573758058,8.840111351503722,0.0933002942865626,0.1324070204650491,2851,Ne savent pas où donner,Health donors barriers to giving,CA (without QC),
27,Health donor status,Health donors,2018,ng_050,0.1019279701621091,6.941236864622752,0.0880611037668176,0.1157948365574006,5155,Ne savent pas où donner,Health donors barriers to giving,CA (without QC),
28,Health donor status,Non-health donors,2018,ng_060,0.1430429063606128,8.184874963915718,0.1200958772858854,0.1659899354353402,2852,Difficulté à trouver une cause,Health donors barriers to giving,CA (without QC),
29,Health donor status,Health donors,2018,ng_060,0.1039558851469499,8.12127048338373,0.0874088135211494,0.1205029567727504,5162,Difficulté à trouver une cause,Health donors barriers to giving,CA (without QC),
30,Health donor status,Non-health donors,2018,ng_070,0.3218611325946591,4.444696304020482,0.2938223780883743,0.3498998871009439,2837,Don de temps,Health donors barriers to giving,CA (without QC),
31,Health donor status,Health donors,2018,ng_070,0.2424635295889296,3.6787393706315834,0.2249814322405484,0.2599456269373108,5138,Don de temps,Health donors barriers to giving,CA (without QC),
32,Health donor status,Non-health donors,2018,ng_080,0.3482707968651355,4.315362459198922,0.3188142095872142,0.3777273841430568,2849,Don direct,Health donors barriers to giving,CA (without QC),
33,Health donor status,Health donors,2018,ng_080,0.3747645448929014,2.698280769531834,0.3549449977825201,0.3945840920032826,5164,Don direct,Health donors barriers to giving,CA (without QC),
34,Health donor status,Non-health donors,2018,ng_090,0.161805589498603,7.323835198438906,0.1385792818504881,0.185031897146718,2847,Crédit d'impôt insuffisant,Health donors barriers to giving,CA (without QC),
35,Health donor status,Health donors,2018,ng_090,0.1757530986642072,5.092474772321618,0.1582110638754815,0.1932951334529329,5155,Crédit d'impôt insuffisant,Health donors barriers to giving,CA (without QC),
36,Health donor status,Non-health donors,2018,ng_110,0.219305901852358,5.365959670214883,0.1962413078317883,0.2423704958729277,2848,Utilisation non efficiente de l'argent,Health donors barriers to giving,CA (without QC),
37,Health donor status,Health donors,2018,ng_110,0.2584330775014927,4.011359820194778,0.2381147568216079,0.2787513981813775,5160,Utilisation non efficiente de l'argent,Health donors barriers to giving,CA (without QC),
38,Health donor status,Non-health donors,2018,ng_130,0.2051747060362407,5.896247229010669,0.1814638302153406,0.2288855818571408,2843,N'aimaient pas les méthodes de sollicitation,Health donors barriers to giving,CA (without QC),
39,Health donor status,Health donors,2018,ng_130,0.2802772124466912,3.4955387383320846,0.2610750561671515,0.2994793687262309,5161,N'aimaient pas les méthodes de sollicitation,Health donors barriers to giving,CA (without QC),
40,Health donor status,Non-health donors,2018,ng_020,0.5428197460221074,7.928780646624323,0.4584648816324526,0.6271746104117621,292,Montant déjà donné suffisant,Health donors barriers to giving,AB,
41,Health donor status,Health donors,2018,ng_020,0.6499674740803015,5.100387226562349,0.5849929862950897,0.7149419618655134,447,Montant déjà donné suffisant,Health donors barriers to giving,AB,
42,Health donor status,Non-health donors,2018,ng_020,0.6999146772796766,3.2656581605502173,0.6551161317586637,0.7447132228006895,817,Montant déjà donné suffisant,Health donors barriers to giving,AT,
43,Health donor status,Health donors,2018,ng_020,0.7547625304292583,2.0526816092793383,0.7243970599666855,0.7851280008918312,1733,Montant déjà donné suffisant,Health donors barriers to giving,AT,
44,Health donor status,Non-health donors,2018,ng_020,0.5699426735631302,5.541800789480587,0.5080370394516946,0.6318483076745658,495,Montant déjà donné suffisant,Health donors barriers to giving,BC,
45,Health donor status,Health donors,2018,ng_020,0.6308012687901531,4.316240067169817,0.5774375310482125,0.6841650065320937,669,Montant déjà donné suffisant,Health donors barriers to giving,BC,
