Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Health donor status,Non-health donors,2018,flag_fg1dad03,0.11628740699798135,5.86085037093242,0.10292940784705862,0.12964540614890407,4167,Mail request,Health donors donation rates by method,CA,
Health donor status,Health donors,2018,flag_fg1dad03,0.27455772625029595,2.5184378788906097,0.2610054263580386,0.2881100261425533,7987,Mail request,Health donors donation rates by method,CA,
Health donor status,Non-health donors,2018,flag_fg1dad04,0.048119816363461486,9.092851781048216,0.03954406533248018,0.05669556739444279,4167,Telephone request,Health donors donation rates by method,CA,
Health donor status,Health donors,2018,flag_fg1dad04,0.10676729935507391,4.4031775240830795,0.09755320736187241,0.11598139134827541,7987,Telephone request,Health donors donation rates by method,CA,
Health donor status,Non-health donors,2018,flag_fg1dad05,0.03301381794569229,13.645818656082703,0.02418416896804148,0.0418434669233431,4167,TV or radio request,Health donors donation rates by method,CA,
Health donor status,Health donors,2018,flag_fg1dad05,0.08798017243581414,5.255037698603173,0.07891849214093147,0.09704185273069682,7987,TV or radio request,Health donors donation rates by method,CA,
Health donor status,Non-health donors,2018,flag_fg1dad06,0.12477593775351907,6.438967090888221,0.10902903523604444,0.14052284027099368,4167,Online,Health donors donation rates by method,CA,
Health donor status,Health donors,2018,flag_fg1dad06,0.21437717886004168,3.4420254113944964,0.19991476734884756,0.2288395903712358,7987,Online,Health donors donation rates by method,CA,
Health donor status,Non-health donors,2018,flag_fg1dad07,0.20680383305792835,4.206570175941443,0.18975342357528857,0.22385424254056813,4167,On own,Health donors donation rates by method,CA,
Health donor status,Health donors,2018,flag_fg1dad07,0.2735064100814769,2.727420287407043,0.2588857268856934,0.28812709327726044,7987,On own,Health donors donation rates by method,CA,
Health donor status,Non-health donors,2018,flag_fg1dad08,0.14927740623963925,6.066250092863057,0.1315288724216201,0.16702594005765842,4167,Charity event,Health donors donation rates by method,CA,
Health donor status,Health donors,2018,flag_fg1dad08,0.25744910808169996,2.9516413923229954,0.24255539186318006,0.27234282430021983,7987,Charity event,Health donors donation rates by method,CA,
Health donor status,Non-health donors,2018,flag_fg1dad09,0.08872124452133325,6.544134631240725,0.07734161975999392,0.10010086928267257,4167,In memoriam,Health donors donation rates by method,CA,
