,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Health donor status,Non-health donor,2018,flag_gs1dax01,0.020803500204987,10.505027319838364,0.0165201686888227,0.0250868317211514,8162,Arts et culture,Health donor donation rates to other causes,CA,
1,Health donor status,Health donors,2018,flag_gs1dax01,0.0441372785828262,7.49593558770983,0.0376527338734826,0.0506218232921699,7987,Arts et culture,Health donor donation rates to other causes,CA,
2,Health donor status,Non-health donor,2018,flag_gs1dax02,0.0639752063052252,5.65463732993562,0.0568849074341533,0.0710655051762972,8162,Sport et loisir,Health donor donation rates to other causes,CA,
3,Health donor status,Health donors,2018,flag_gs1dax02,0.1838455925073607,3.4888187938921247,0.1712743059289937,0.1964168790857277,7987,Sport et loisir,Health donor donation rates to other causes,CA,
4,Health donor status,Non-health donor,2018,flag_gs1dax03,0.0654152180514775,5.467949142960298,0.0584046799986962,0.0724257561042588,8162,Éducation et recherche,Health donor donation rates to other causes,CA,
5,Health donor status,Health donors,2018,flag_gs1dax03,0.1818059543435075,3.527463044823622,0.169236435124215,0.1943754735628001,7987,Éducation et recherche,Health donor donation rates to other causes,CA,
6,Health donor status,Non-health donor,2018,flag_gs1dax04,0.0079915420146215,14.579780220835517,0.0057078914245125,0.0102751926047305,8162,Universités et collèges,Health donor donation rates to other causes,CA,
7,Health donor status,Health donors,2018,flag_gs1dax04,0.0285390784601204,8.172478499899746,0.0239677563603834,0.0331104005598573,7987,Universités et collèges,Health donor donation rates to other causes,CA,
8,Health donor status,Non-health donor,2018,flag_gs1dax05,0.0,,0.0,0.0,8162,Santé,Health donor donation rates to other causes,CA,
9,Health donor status,Health donors,2018,flag_gs1dax05,0.8004860979665238,0.9558037514683844,0.7854902642610306,0.815481931672017,7987,Santé,Health donor donation rates to other causes,CA,
10,Health donor status,Non-health donor,2018,flag_gs1dax06,0.0,,0.0,0.0,8162,Hôpitaux,Health donor donation rates to other causes,CA,
11,Health donor status,Health donors,2018,flag_gs1dax06,0.4102478651921161,1.9703386718244025,0.3944049425319872,0.4260907878522451,7987,Hôpitaux,Health donor donation rates to other causes,CA,
12,Health donor status,Non-health donor,2018,flag_gs1dax07,0.2041909330979131,3.1745790733650554,0.1914860493990254,0.2168958167968008,8162,Services sociaux,Health donor donation rates to other causes,CA,
13,Health donor status,Health donors,2018,flag_gs1dax07,0.4938030501878129,1.8592855116128035,0.4758082120598959,0.5117978883157299,7987,Services sociaux,Health donor donation rates to other causes,CA,
