,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Health donor status,Non-health donors,2018,rg_010,0.5523322429332995,2.5575702514332903,0.5246452328346568,0.5800192530319422,3312,Touché.e personnellement par la cause,Health donors motivations for giving,CA,
1,Health donor status,Health donors,2018,rg_010,0.7834983085035329,1.1075805774142162,0.7664899858660617,0.8005066311410041,6899,Touché.e personnellement par la cause,Health donors motivations for giving,CA,
2,Health donor status,Non-health donors,2018,rg_020,0.2613121855531867,4.315256086604565,0.2392110632893956,0.2834133078169779,3279,Crédit d'impôt,Health donors motivations for giving,CA,
3,Health donor status,Health donors,2018,rg_020,0.3022618158431637,2.672550713429965,0.2864290301608061,0.3180946015255212,6790,Crédit d'impôt,Health donors motivations for giving,CA,
4,Health donor status,Non-health donors,2018,rg_030,0.3959082599492158,3.5059348909832333,0.3687033996432793,0.4231131202551523,3284,Raisons religieuses,Health donors motivations for giving,CA,
5,Health donor status,Health donors,2018,rg_030,0.258535038360716,3.1033580779355434,0.2428097220477716,0.2742603546736605,6769,Raisons religieuses,Health donors motivations for giving,CA,
6,Health donor status,Non-health donors,2018,rg_035,0.36600660311293,3.576725361066132,0.3403486146395878,0.3916645915862721,3271,Croyances spirituelles,Health donors motivations for giving,CA,
7,Health donor status,Health donors,2018,rg_035,0.2667996293119843,3.062544630295167,0.2507850424557458,0.2828142161682229,6711,Croyances spirituelles,Health donors motivations for giving,CA,
8,Health donor status,Non-health donors,2018,rg_040,0.8010548870268234,1.429152986656804,0.7786166316509077,0.8234931424027391,3314,Croyance personnelle en la cause,Health donors motivations for giving,CA,
9,Health donor status,Health donors,2018,rg_040,0.8718054285989217,0.760023273124081,0.8588188558933543,0.8847920013044892,6867,Croyance personnelle en la cause,Health donors motivations for giving,CA,
10,Health donor status,Non-health donors,2018,rg_050,0.8108395971683297,1.2869737331753892,0.7903867994380601,0.8312923948985992,3318,Compassion towarde people in need,Health donors motivations for giving,CA,
11,Health donor status,Health donors,2018,rg_050,0.866038538011382,0.7668728359253345,0.8530216051835303,0.8790554708392336,6827,Compassion towarde people in need,Health donors motivations for giving,CA,
12,Health donor status,Non-health donors,2018,rg_060,0.7100285479736355,1.7680109832887376,0.6854243699726753,0.7346327259745956,3285,Contribution à la communauté,Health donors motivations for giving,CA,
13,Health donor status,Health donors,2018,rg_060,0.7438212508307581,1.0832658384944926,0.7280287204685063,0.7596137811930099,6784,Contribution à la communauté,Health donors motivations for giving,CA,
14,Health donor status,Non-health donors,2018,rg_070,0.3562525474494082,3.43350895525788,0.3322783402739669,0.3802267546248495,3273,Sollicitation par une connaissance,Health donors motivations for giving,CA,
15,Health donor status,Health donors,2018,rg_070,0.5624805995162269,1.688461754925798,0.5438662927534177,0.581094906279036,6783,Sollicitation par une connaissance,Health donors motivations for giving,CA,
16,Health donor status,Non-health donors,2018,rg_010,0.55389300872091,2.7415431863239985,0.5241305321848284,0.5836554852569915,2914,Touché.e personnellement par la cause,Health donors motivations for giving,CA (without QC),
17,Health donor status,Health donors,2018,rg_010,0.797326685030783,1.118427536910315,0.7798486646385545,0.8148047054230114,6026,Touché.e personnellement par la cause,Health donors motivations for giving,CA (without QC),
18,Health donor status,Non-health donors,2018,rg_020,0.2844706248677974,4.404659290507737,0.2599123509984055,0.3090288987371893,2886,Crédit d'impôt,Health donors motivations for giving,CA (without QC),
19,Health donor status,Health donors,2018,rg_020,0.3399834087050793,2.747802166336579,0.3216732850836972,0.3582935323264614,5937,Crédit d'impôt,Health donors motivations for giving,CA (without QC),
20,Health donor status,Non-health donors,2018,rg_030,0.4204341792038685,3.5904916487794605,0.3908472408586523,0.4500211175490847,2895,Raisons religieuses,Health donors motivations for giving,CA (without QC),
21,Health donor status,Health donors,2018,rg_030,0.2803941314850746,3.235150966328254,0.2626149582171952,0.2981733047529539,5918,Raisons religieuses,Health donors motivations for giving,CA (without QC),
22,Health donor status,Non-health donors,2018,rg_035,0.3990738853147778,3.691637574973027,0.3701989873632705,0.427948783266285,2886,Croyances spirituelles,Health donors motivations for giving,CA (without QC),
23,Health donor status,Health donors,2018,rg_035,0.299320228957902,3.1307908424708764,0.2809532294389914,0.3176872284768127,5871,Croyances spirituelles,Health donors motivations for giving,CA (without QC),
24,Health donor status,Non-health donors,2018,rg_040,0.8148534726056769,1.4448756417016408,0.7917776027291635,0.8379293424821902,2919,Croyance personnelle en la cause,Health donors motivations for giving,CA (without QC),
25,Health donor status,Health donors,2018,rg_040,0.879013324762753,0.8144861860950724,0.8649810760892631,0.8930455734362428,6000,Croyance personnelle en la cause,Health donors motivations for giving,CA (without QC),
26,Health donor status,Non-health donors,2018,rg_050,0.8269318833386239,1.2961088418958255,0.805925112327505,0.8479386543497428,2925,Compassion towarde people in need,Health donors motivations for giving,CA (without QC),
27,Health donor status,Health donors,2018,rg_050,0.8661735665314547,0.8580095324120175,0.8516074047275912,0.8807397283353182,5965,Compassion towarde people in need,Health donors motivations for giving,CA (without QC),
