Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Health volunteer status,Non-health volunteer,2018,fv_020,0.06845916473352352,7.757198714423076,0.058050749638745076,0.07886757982830198,6950,Canvassing,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_020,0.11271419741090075,11.409147802902815,0.08750959098013703,0.13791880384166447,1328,Canvassing,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_030,0.3691073771243424,2.392965049754593,0.35179577859479644,0.38641897565388833,6961,Fundraising,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_030,0.5323779431774115,3.9822886749289106,0.4908250867185424,0.5739307996362806,1337,Fundraising,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_040,0.3226914706493329,2.5941471197261667,0.30628443281479795,0.33909850848386786,6969,Sit on committee or board,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_040,0.3002686900108461,6.264566474406691,0.2634007253731798,0.3371366546485124,1331,Sit on committee or board,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_050,0.30200001110572416,2.9212168978477866,0.28470906113921746,0.31929096107223087,6954,Teaching or mentoring,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_050,0.25940694535177333,7.22112100204436,0.22269272474993432,0.2961211659536124,1328,Teaching or mentoring,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_060,0.4356273824725771,2.088956466218666,0.4177915801210843,0.4534631848240699,6969,Organize activities or events,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_060,0.4335009002718935,4.753987493988434,0.393108828472234,0.47389297207155295,1328,Organize activities or events,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_070,0.18036379532101487,3.77802941947327,0.16700821412882225,0.1937193765132075,6954,Office work,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_070,0.18331643445937063,8.365900160025754,0.15325828982275286,0.2133745790959884,1327,Office work,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_080,0.15126337759614314,4.771726942259233,0.13711660187989153,0.16541015331239475,6947,"Coach, referee or officiate",Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_080,0.08163934255961823,13.160364142515965,0.06058142137274448,0.10269726374649199,1327,"Coach, referee or officiate",Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_090,0.23943528714136714,3.1176301396395028,0.22480473089958225,0.254065843383152,6946,Counsel or provide advice,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_090,0.24262171726261436,7.393701010529119,0.20746246358644538,0.27778097093878334,1328,Counsel or provide advice,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Non-health volunteer,2018,fv_100,0.16594663670474913,4.067557569316788,0.15271692884287386,0.1791763445666244,6952,Health care or support,Health volunteers volunteer rates by activity,CA,
Health volunteer status,Health volunteer,2018,fv_100,0.3392858486376735,5.626769622850063,0.30186850339389076,0.3767031938814563,1331,Health care or support,Health volunteers volunteer rates by activity,CA,
