,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Health volunteer status,Non-health volunteer,2018,fv_020,0.0684591647335235,7.757198714423076,0.058050749638745,0.0788675798283019,6950,Porte-à-porte,Health volunteers volunteer rates by activity,CA,
1,Health volunteer status,Health volunteer,2018,fv_020,0.1127141974109007,11.409147802902815,0.087509590980137,0.1379188038416644,1328,Porte-à-porte,Health volunteers volunteer rates by activity,CA,
2,Health volunteer status,Non-health volunteer,2018,fv_030,0.3691073771243424,2.392965049754593,0.3517957785947964,0.3864189756538883,6961,Collecte de fonds,Health volunteers volunteer rates by activity,CA,
3,Health volunteer status,Health volunteer,2018,fv_030,0.5323779431774115,3.982288674928911,0.4908250867185424,0.5739307996362806,1337,Collecte de fonds,Health volunteers volunteer rates by activity,CA,
4,Health volunteer status,Non-health volunteer,2018,fv_040,0.3226914706493329,2.5941471197261667,0.3062844328147979,0.3390985084838678,6969,Membre d'un comité ou d'un conseil d'administration,Health volunteers volunteer rates by activity,CA,
5,Health volunteer status,Health volunteer,2018,fv_040,0.3002686900108461,6.264566474406691,0.2634007253731798,0.3371366546485124,1331,Membre d'un comité ou d'un conseil d'administration,Health volunteers volunteer rates by activity,CA,
6,Health volunteer status,Non-health volunteer,2018,fv_050,0.3020000111057241,2.9212168978477866,0.2847090611392174,0.3192909610722308,6954,Enseignement ou mentorat,Health volunteers volunteer rates by activity,CA,
7,Health volunteer status,Health volunteer,2018,fv_050,0.2594069453517733,7.22112100204436,0.2226927247499343,0.2961211659536124,1328,Enseignement ou mentorat,Health volunteers volunteer rates by activity,CA,
8,Health volunteer status,Non-health volunteer,2018,fv_060,0.4356273824725771,2.088956466218666,0.4177915801210843,0.4534631848240699,6969,Organisation d'activités ou d'événements,Health volunteers volunteer rates by activity,CA,
9,Health volunteer status,Health volunteer,2018,fv_060,0.4335009002718935,4.753987493988434,0.393108828472234,0.4738929720715529,1328,Organisation d'activités ou d'événements,Health volunteers volunteer rates by activity,CA,
10,Health volunteer status,Non-health volunteer,2018,fv_070,0.1803637953210148,3.77802941947327,0.1670082141288222,0.1937193765132075,6954,Travail de bureau,Health volunteers volunteer rates by activity,CA,
11,Health volunteer status,Health volunteer,2018,fv_070,0.1833164344593706,8.365900160025754,0.1532582898227528,0.2133745790959884,1327,Travail de bureau,Health volunteers volunteer rates by activity,CA,
12,Health volunteer status,Non-health volunteer,2018,fv_080,0.1512633775961431,4.771726942259233,0.1371166018798915,0.1654101533123947,6947,"Entraînement, arbitrage, présidence",Health volunteers volunteer rates by activity,CA,
13,Health volunteer status,Health volunteer,2018,fv_080,0.0816393425596182,13.160364142515965,0.0605814213727444,0.1026972637464919,1327,"Entraînement, arbitrage, présidence",Health volunteers volunteer rates by activity,CA,
14,Health volunteer status,Non-health volunteer,2018,fv_090,0.2394352871413671,3.1176301396395028,0.2248047308995822,0.254065843383152,6946,Conseils,Health volunteers volunteer rates by activity,CA,
15,Health volunteer status,Health volunteer,2018,fv_090,0.2426217172626143,7.393701010529119,0.2074624635864453,0.2777809709387833,1328,Conseils,Health volunteers volunteer rates by activity,CA,
16,Health volunteer status,Non-health volunteer,2018,fv_100,0.1659466367047491,4.067557569316788,0.1527169288428738,0.1791763445666244,6952,Soins de santé ou soutien,Health volunteers volunteer rates by activity,CA,
17,Health volunteer status,Health volunteer,2018,fv_100,0.3392858486376735,5.626769622850063,0.3018685033938907,0.3767031938814563,1331,Soins de santé ou soutien,Health volunteers volunteer rates by activity,CA,
18,Health volunteer status,Non-health volunteer,2018,fv_110,0.2630642487851319,3.043918942625492,0.2473699106774865,0.2787585868927772,6955,"Collecte, distribution ou livraison de biens",Health volunteers volunteer rates by activity,CA,
19,Health volunteer status,Health volunteer,2018,fv_110,0.2602029099141789,6.70125076748905,0.2260273128949341,0.2943785069334236,1329,"Collecte, distribution ou livraison de biens",Health volunteers volunteer rates by activity,CA,
