,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,Health volunteer status,Non-health volunteer,2018,nv_020,0.4054905681392561,2.3638177072105093,0.3867041999620645,0.4242769363164477,5942,Assez de temps déjà donné,Health volunteers barriers to volunteering more,CA,
1,1,Health volunteer status,Health volunteer,2018,nv_020,0.4028391939496105,5.545463417659877,0.3590549702501354,0.4466234176490857,1116,Assez de temps déjà donné,Health volunteers barriers to volunteering more,CA,
2,2,Health volunteer status,Non-health volunteer,2018,nv_030,0.0585695353462846,8.69208198199657,0.0485915311214268,0.0685475395711425,5879,Expérience bénévole passée insatisfaisante,Health volunteers barriers to volunteering more,CA,
3,3,Health volunteer status,Health volunteer,2018,nv_030,0.0473082890147921,17.73778252306606,0.0308613660515928,0.0637552119779913,1108,Expérience bénévole passée insatisfaisante,Health volunteers barriers to volunteering more,CA,*
4,4,Health volunteer status,Non-health volunteer,2018,nv_040,0.2560591734916382,3.534556879477572,0.2383204074725391,0.2737979395107373,5905,Aucune sollicitation,Health volunteers barriers to volunteering more,CA,
5,5,Health volunteer status,Health volunteer,2018,nv_040,0.2366826182653305,8.025269124147686,0.1994542448696894,0.2739109916609717,1113,Aucune sollicitation,Health volunteers barriers to volunteering more,CA,
6,6,Health volunteer status,Non-health volunteer,2018,nv_050,0.1403537882235835,5.790378937743333,0.124425129186228,0.1562824472609389,5873,Ne savaient pas comment s'engager plus,Health volunteers barriers to volunteering more,CA,
7,7,Health volunteer status,Health volunteer,2018,nv_050,0.1558945624262169,14.04626192508371,0.1129765282815721,0.1988125965708617,1106,Ne savaient pas comment s'engager plus,Health volunteers barriers to volunteering more,CA,
8,8,Health volunteer status,Non-health volunteer,2018,nv_060,0.1662087839474829,3.93451243078254,0.1533915891504591,0.1790259787445068,5903,Problèmes de santé/handicap physique,Health volunteers barriers to volunteering more,CA,
9,9,Health volunteer status,Health volunteer,2018,nv_060,0.1931087085121209,8.68652213910826,0.1602314284447538,0.2259859885794881,1105,Problèmes de santé/handicap physique,Health volunteers barriers to volunteering more,CA,
10,10,Health volunteer status,Non-health volunteer,2018,nv_070,0.7411081816161021,1.1637838576097352,0.7242036933710049,0.7580126698611994,6632,Manque de temps,Health volunteers barriers to volunteering more,CA,
11,11,Health volunteer status,Health volunteer,2018,nv_070,0.7372167770810517,2.629107200618284,0.6992283251746053,0.7752052289874981,1279,Manque de temps,Health volunteers barriers to volunteering more,CA,
12,12,Health volunteer status,Non-health volunteer,2018,nv_080,0.1077764471269609,6.401728678193877,0.0942535663984661,0.1212993278554557,5881,Coût financier du bénévolat,Health volunteers barriers to volunteering more,CA,
13,13,Health volunteer status,Health volunteer,2018,nv_080,0.1076769949746227,12.72452013342113,0.0808227818631248,0.1345312080861207,1104,Coût financier du bénévolat,Health volunteers barriers to volunteering more,CA,
14,14,Health volunteer status,Non-health volunteer,2018,nv_090,0.4313249233879528,2.2429272318426743,0.4123636356502568,0.4502862111256488,5912,Incapable de s'engager à long terme,Health volunteers barriers to volunteering more,CA,
15,15,Health volunteer status,Health volunteer,2018,nv_090,0.4345576421433397,5.311439506188654,0.389319191513113,0.4797960927735664,1112,Incapable de s'engager à long terme,Health volunteers barriers to volunteering more,CA,
16,16,Health volunteer status,Non-health volunteer,2018,nv_100,0.1891676498235987,3.7201724145512656,0.1753746723345088,0.2029606273126885,6485,Préférence pour les dons d'argent,Health volunteers barriers to volunteering more,CA,
17,17,Health volunteer status,Health volunteer,2018,nv_100,0.2365638655828783,7.766827767183791,0.2005524516347596,0.2725752795309969,1247,Préférence pour les dons d'argent,Health volunteers barriers to volunteering more,CA,
18,18,Health volunteer status,Non-health volunteer,2018,nv_110,0.2306457564695302,3.637639431735902,0.2142015391109116,0.2470899738281488,5891,Aucun intérêt pour en faire plus,Health volunteers barriers to volunteering more,CA,
19,19,Health volunteer status,Health volunteer,2018,nv_110,0.1912628954702352,7.942219618795507,0.1614900249170451,0.2210357660234254,1108,Aucun intérêt pour en faire plus,Health volunteers barriers to volunteering more,CA,
20,20,Health volunteer status,Non-health volunteer,2018,nv_120,0.1888666763168881,4.337996838423859,0.1728086317156209,0.2049247209181553,5866,Utilisation des compétences impossible,Health volunteers barriers to volunteering more,CA,
21,21,Health volunteer status,Health volunteer,2018,nv_120,0.1919927766773578,10.908424707480949,0.1509444914872938,0.2330410618674218,1097,Utilisation des compétences impossible,Health volunteers barriers to volunteering more,CA,
22,22,Health volunteer status,Non-health volunteer,2018,nv_130,0.1671135871351429,4.46361432488485,0.1524936159976613,0.1817335582726245,5875,Aucune sollicitation pour une contribution importante,Health volunteers barriers to volunteering more,CA,
23,23,Health volunteer status,Health volunteer,2018,nv_130,0.1485529133653907,10.372451082619554,0.1183526549019868,0.1787531718287946,1093,Aucune sollicitation pour une contribution importante,Health volunteers barriers to volunteering more,CA,
24,24,Health volunteer status,Non-health volunteer,2018,nv_020,0.3860508997286845,2.6820876489396364,0.3657569945803293,0.4063448048770398,5209,Assez de temps déjà donné,Health volunteers barriers to volunteering more,CA (without QC),
25,25,Health volunteer status,Health volunteer,2018,nv_020,0.3841866533214636,6.122098711456133,0.3380877395563311,0.4302855670865961,1008,Assez de temps déjà donné,Health volunteers barriers to volunteering more,CA (without QC),
26,26,Health volunteer status,Non-health volunteer,2018,nv_030,0.0621296120354924,9.579671564039836,0.0504642733498229,0.073794950721162,5158,Expérience bénévole passée insatisfaisante,Health volunteers barriers to volunteering more,CA (without QC),
27,27,Health volunteer status,Health volunteer,2018,nv_030,0.0462614146362931,18.61333751433863,0.029384569997457,0.0631382592751292,1002,Expérience bénévole passée insatisfaisante,Health volunteers barriers to volunteering more,CA (without QC),*
28,28,Health volunteer status,Non-health volunteer,2018,nv_040,0.2594521087302376,3.8074486482569374,0.2400905931279896,0.2788136243324856,5183,Aucune sollicitation,Health volunteers barriers to volunteering more,CA (without QC),
29,29,Health volunteer status,Health volunteer,2018,nv_040,0.2340039898586944,8.207511992958139,0.1963611067261761,0.2716468729912127,1005,Aucune sollicitation,Health volunteers barriers to volunteering more,CA (without QC),
30,30,Health volunteer status,Non-health volunteer,2018,nv_050,0.1448230190598386,5.973046933604883,0.1278686506838098,0.1617773874358675,5153,Ne savaient pas comment s'engager plus,Health volunteers barriers to volunteering more,CA (without QC),
31,31,Health volunteer status,Health volunteer,2018,nv_050,0.1575073502347721,14.241172687668591,0.1135436063580257,0.2014710941115185,999,Ne savaient pas comment s'engager plus,Health volunteers barriers to volunteering more,CA (without QC),
32,32,Health volunteer status,Non-health volunteer,2018,nv_060,0.1708796021756501,4.292297218498882,0.1565039319309303,0.18525527242037,5177,Problèmes de santé/handicap physique,Health volunteers barriers to volunteering more,CA (without QC),
33,33,Health volunteer status,Health volunteer,2018,nv_060,0.2025110887789009,9.041851428584616,0.1666226747724053,0.2383995027853966,998,Problèmes de santé/handicap physique,Health volunteers barriers to volunteering more,CA (without QC),
34,34,Health volunteer status,Non-health volunteer,2018,nv_070,0.7446714523360388,1.187984510892134,0.7273324711885971,0.7620104334834805,5829,Manque de temps,Health volunteers barriers to volunteering more,CA (without QC),
35,35,Health volunteer status,Health volunteer,2018,nv_070,0.750330438303177,2.4536241407654003,0.7142469353695483,0.7864139412368057,1146,Manque de temps,Health volunteers barriers to volunteering more,CA (without QC),
36,36,Health volunteer status,Non-health volunteer,2018,nv_080,0.1137911829635258,7.135866332154123,0.0978763014490359,0.1297060644780156,5163,Coût financier du bénévolat,Health volunteers barriers to volunteering more,CA (without QC),
37,37,Health volunteer status,Health volunteer,2018,nv_080,0.1127675285786041,13.614127839163118,0.0826775431158664,0.1428575140413417,997,Coût financier du bénévolat,Health volunteers barriers to volunteering more,CA (without QC),
38,38,Health volunteer status,Non-health volunteer,2018,nv_090,0.4382942887710717,2.391653266863076,0.4177490061376981,0.4588395714044453,5186,Incapable de s'engager à long terme,Health volunteers barriers to volunteering more,CA (without QC),
39,39,Health volunteer status,Health volunteer,2018,nv_090,0.440588879622763,5.609027318091935,0.3921527784515518,0.4890249807939743,1003,Incapable de s'engager à long terme,Health volunteers barriers to volunteering more,CA (without QC),
40,40,Health volunteer status,Non-health volunteer,2018,nv_100,0.184980684111235,4.172045215012484,0.169854705610633,0.200106662611837,5692,Préférence pour les dons d'argent,Health volunteers barriers to volunteering more,CA (without QC),
41,41,Health volunteer status,Health volunteer,2018,nv_100,0.2281328317821828,8.072104340606415,0.1920398593865971,0.2642258041777685,1117,Préférence pour les dons d'argent,Health volunteers barriers to volunteering more,CA (without QC),
42,42,Health volunteer status,Non-health volunteer,2018,nv_110,0.2198719542750094,4.062783382458842,0.2023637504051696,0.2373801581448492,5170,Aucun intérêt pour en faire plus,Health volunteers barriers to volunteering more,CA (without QC),
43,43,Health volunteer status,Health volunteer,2018,nv_110,0.1804266874155566,8.834417017372044,0.1491855553744734,0.2116678194566397,999,Aucun intérêt pour en faire plus,Health volunteers barriers to volunteering more,CA (without QC),
44,44,Health volunteer status,Non-health volunteer,2018,nv_120,0.192506029482084,4.570071647428401,0.1752629259269967,0.2097491330371713,5146,Utilisation des compétences impossible,Health volunteers barriers to volunteering more,CA (without QC),
