Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Health volunteer status,Non-health volunteer,2018,rv_020,0.5721678598649709,1.845652123804624,0.5514701928120911,0.5928655269178507,5956,Personally affected by cause,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_020,0.6719243780448788,3.172031295334205,0.6301503886228186,0.713698367466939,1174,Personally affected by cause,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_025,0.25046565333914206,3.5889395173323084,0.2328474178966369,0.26808388878164724,5857,Friends volunteer,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_025,0.24760194697033042,7.751371808428992,0.2099852450701809,0.28521864887047993,1137,Friends volunteer,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_030,0.3964649382314256,2.470324671269154,0.3772691074489591,0.4156607690138921,5867,Family member volunteers,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_030,0.3630509200404603,6.210906919084231,0.31885617290755236,0.40724566717336824,1144,Family member volunteers,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_040,0.4883708809884868,2.094545791357726,0.4683221119975278,0.5084196499794458,5876,Networking or meeting people,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_040,0.42660413963259874,5.465500438207503,0.3809055191736832,0.4723027600915143,1133,Networking or meeting people,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_050,0.2305138432592766,4.23561071504366,0.21137740357460022,0.24965028294395297,5812,Improve job opportunities,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_050,0.2606655449944185,9.298350282796477,0.21316073085988896,0.3081703591289481,1124,Improve job opportunities,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_060,0.20345486864256157,4.227245178152914,0.1865981275909822,0.22031160969414093,5860,Religious reasons,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_060,0.13098872440435513,11.344758597514312,0.10186296464253075,0.16011448416617952,1126,Religious reasons,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_065,0.25004330213662396,3.7498980929428565,0.23166595655489566,0.2684206477183522,5845,Spiritual or other beliefs,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_065,0.23437034019238934,7.986739746828827,0.1976826580842952,0.2710580223004835,1130,Spiritual or other beliefs,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_070,0.4307024959297203,2.431860102927442,0.41017367212338485,0.4512313197360558,5833,Explore own strengths,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_070,0.4276889029278141,5.4960229515672925,0.381618224181114,0.47375958167451415,1124,Explore own strengths,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_080,0.8969279979603884,0.6601728286685903,0.8853225123447276,0.9085334835760491,6022,Contribute to community,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_080,0.8946520766048313,1.4494512298934508,0.8692361544028204,0.9200679988068421,1177,Contribute to community,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_090,0.7482578002612345,1.1645373893969728,0.7311791800585372,0.7653364204639317,5968,Use skills and experiences,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_090,0.7278819462227315,2.604289928204588,0.6907285627566081,0.7650353296888549,1145,Use skills and experiences,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_100,0.30914192821511993,3.040387666398554,0.29072000513654617,0.3275638512936937,5830,"Support political, environmental or social cause",Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_100,0.3286849545941824,7.045819606741658,0.2832950326685701,0.3740748765197947,1120,"Support political, environmental or social cause",Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_110,0.5059501777566829,1.9913430318701546,0.48620314154516997,0.5256972139681959,5885,Improve well-being or health,Health volunteers motivations for volunteering,CA,
Health volunteer status,Health volunteer,2018,rv_110,0.5265612328282057,4.259579447602725,0.48260062428646344,0.5705218413699479,1145,Improve well-being or health,Health volunteers motivations for volunteering,CA,
Health volunteer status,Non-health volunteer,2018,rv_020,0.5696091193240533,1.9801849495372261,0.5475020700117258,0.5917161686363809,5249,Personally affected by cause,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_020,0.6573123093197943,3.425174888934346,0.6131854917003586,0.70143912693923,1051,Personally affected by cause,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_025,0.2620785973895412,3.8052260337606483,0.24253249784741507,0.28162469693166736,5162,Friends volunteer,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_025,0.25079814545671486,8.019886991572637,0.2113759632904009,0.29022032762302885,1018,Friends volunteer,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_030,0.3996904305233523,2.595375973465105,0.37935880410062106,0.4200220569460835,5173,Family member volunteers,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_030,0.34791447396879277,6.444024915189613,0.30397267846767817,0.39185626946990737,1026,Family member volunteers,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_040,0.49119023920677585,2.1933658791157398,0.47007437297061855,0.5123061054429332,5178,Networking or meeting people,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_040,0.44785794536381274,5.59907020456048,0.3987101221590534,0.4970057685685721,1014,Networking or meeting people,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_050,0.23780201562535275,4.342875194856689,0.21756059586407864,0.2580434353866269,5127,Improve job opportunities,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_050,0.29591388422025255,9.037847001097937,0.2434961289692734,0.3483316394712317,1007,Improve job opportunities,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_060,0.2236566998404789,4.358828146069261,0.20454938102929338,0.24276401865166441,5169,Religious reasons,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_060,0.1430414315338145,11.847660986511471,0.10982579668849146,0.17625706637913752,1008,Religious reasons,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_065,0.2727693398458963,3.832081961403105,0.2522823367560963,0.2932563429356963,5153,Spiritual or other beliefs,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_065,0.25264354668377725,8.348656249966588,0.211303317483458,0.2939837758840965,1012,Spiritual or other beliefs,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_070,0.45494734173152973,2.4578346443006716,0.4330313118294533,0.47686337163360615,5146,Explore own strengths,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_070,0.462659661717907,5.42991376776576,0.41342140598677873,0.5118979174490353,1006,Explore own strengths,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_080,0.8988618238726314,0.7396221367677124,0.8858316284944295,0.9118920192508332,5309,Contribute to community,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_080,0.91549315760633,1.3014562063518442,0.8921406913852096,0.9388456238274504,1054,Contribute to community,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_090,0.7514599495447558,1.2660909640531883,0.732812525823296,0.7701073732662156,5262,Use skills and experiences,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_090,0.7443524050613284,2.5806356415086156,0.7067034108948027,0.782001399227854,1026,Use skills and experiences,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_100,0.2987895763028809,3.298713678076221,0.2794717545394603,0.31810739806630145,5135,"Support political, environmental or social cause",Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_100,0.3101754596150298,7.072552163246322,0.2671791001871725,0.3531718190428871,1002,"Support political, environmental or social cause",Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_110,0.5113986263974799,2.0482720181450267,0.49086832712075096,0.5319289256742089,5189,Improve well-being or health,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Health volunteer,2018,rv_110,0.5450887281845563,4.292560087731845,0.4992289789536952,0.5909484774154175,1026,Improve well-being or health,Health volunteers motivations for volunteering,CA (without QC),
Health volunteer status,Non-health volunteer,2018,rv_020,0.5428073205487806,5.344936482087618,0.4859434607079796,0.5996711803895814,576,Personally affected by cause,Health volunteers motivations for volunteering,AB,
Health volunteer status,Health volunteer,2018,rv_020,0.6715113966101406,10.167932932978903,0.5376873519520786,0.8053354412682026,77,Personally affected by cause,Health volunteers motivations for volunteering,AB,
Health volunteer status,Non-health volunteer,2018,rv_020,0.6142261811896069,2.9594931436232033,0.5785979917094352,0.6498543706697787,1433,Personally affected by cause,Health volunteers motivations for volunteering,AT,
