,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Health volunteer status,Non-health volunteer,2018,rv_020,0.5721678598649709,1.845652123804624,0.5514701928120911,0.5928655269178507,5956,Touché.e personnellement par la cause,Health volunteers motivations for volunteering,CA,
1,Health volunteer status,Health volunteer,2018,rv_020,0.6719243780448788,3.172031295334205,0.6301503886228186,0.713698367466939,1174,Touché.e personnellement par la cause,Health volunteers motivations for volunteering,CA,
2,Health volunteer status,Non-health volunteer,2018,rv_025,0.250465653339142,3.5889395173323084,0.2328474178966369,0.2680838887816472,5857,Bénévoles parmi les amis,Health volunteers motivations for volunteering,CA,
3,Health volunteer status,Health volunteer,2018,rv_025,0.2476019469703304,7.751371808428992,0.2099852450701809,0.2852186488704799,1137,Bénévoles parmi les amis,Health volunteers motivations for volunteering,CA,
4,Health volunteer status,Non-health volunteer,2018,rv_030,0.3964649382314256,2.470324671269154,0.3772691074489591,0.4156607690138921,5867,Bénévoles dans la famille,Health volunteers motivations for volunteering,CA,
5,Health volunteer status,Health volunteer,2018,rv_030,0.3630509200404603,6.210906919084231,0.3188561729075523,0.4072456671733682,1144,Bénévoles dans la famille,Health volunteers motivations for volunteering,CA,
6,Health volunteer status,Non-health volunteer,2018,rv_040,0.4883708809884868,2.094545791357726,0.4683221119975278,0.5084196499794458,5876,Réseauter ou rencontrer des gens,Health volunteers motivations for volunteering,CA,
7,Health volunteer status,Health volunteer,2018,rv_040,0.4266041396325987,5.465500438207503,0.3809055191736832,0.4723027600915143,1133,Réseauter ou rencontrer des gens,Health volunteers motivations for volunteering,CA,
8,Health volunteer status,Non-health volunteer,2018,rv_050,0.2305138432592766,4.23561071504366,0.2113774035746002,0.2496502829439529,5812,Améliorer ses possibilités d'emploi,Health volunteers motivations for volunteering,CA,
9,Health volunteer status,Health volunteer,2018,rv_050,0.2606655449944185,9.298350282796475,0.2131607308598889,0.3081703591289481,1124,Améliorer ses possibilités d'emploi,Health volunteers motivations for volunteering,CA,
10,Health volunteer status,Non-health volunteer,2018,rv_060,0.2034548686425615,4.227245178152914,0.1865981275909822,0.2203116096941409,5860,Raisons religieuses,Health volunteers motivations for volunteering,CA,
11,Health volunteer status,Health volunteer,2018,rv_060,0.1309887244043551,11.344758597514312,0.1018629646425307,0.1601144841661795,1126,Raisons religieuses,Health volunteers motivations for volunteering,CA,
12,Health volunteer status,Non-health volunteer,2018,rv_065,0.2500433021366239,3.749898092942857,0.2316659565548956,0.2684206477183522,5845,Spiritual or other beliefs,Health volunteers motivations for volunteering,CA,
13,Health volunteer status,Health volunteer,2018,rv_065,0.2343703401923893,7.986739746828827,0.1976826580842952,0.2710580223004835,1130,Spiritual or other beliefs,Health volunteers motivations for volunteering,CA,
14,Health volunteer status,Non-health volunteer,2018,rv_070,0.4307024959297203,2.431860102927442,0.4101736721233848,0.4512313197360558,5833,Découvrir ses points forts,Health volunteers motivations for volunteering,CA,
15,Health volunteer status,Health volunteer,2018,rv_070,0.4276889029278141,5.4960229515672925,0.381618224181114,0.4737595816745141,1124,Découvrir ses points forts,Health volunteers motivations for volunteering,CA,
16,Health volunteer status,Non-health volunteer,2018,rv_080,0.8969279979603884,0.6601728286685903,0.8853225123447276,0.9085334835760492,6022,Contribuer à la communauté,Health volunteers motivations for volunteering,CA,
17,Health volunteer status,Health volunteer,2018,rv_080,0.8946520766048313,1.4494512298934508,0.8692361544028204,0.920067998806842,1177,Contribuer à la communauté,Health volunteers motivations for volunteering,CA,
18,Health volunteer status,Non-health volunteer,2018,rv_090,0.7482578002612345,1.1645373893969728,0.7311791800585372,0.7653364204639317,5968,Utiliser ses compétences et son expérience,Health volunteers motivations for volunteering,CA,
19,Health volunteer status,Health volunteer,2018,rv_090,0.7278819462227315,2.604289928204588,0.6907285627566081,0.7650353296888549,1145,Utiliser ses compétences et son expérience,Health volunteers motivations for volunteering,CA,
20,Health volunteer status,Non-health volunteer,2018,rv_100,0.3091419282151199,3.040387666398554,0.2907200051365461,0.3275638512936937,5830,"Soutenir une cause politique, environnementale ou sociale",Health volunteers motivations for volunteering,CA,
21,Health volunteer status,Health volunteer,2018,rv_100,0.3286849545941824,7.045819606741658,0.2832950326685701,0.3740748765197947,1120,"Soutenir une cause politique, environnementale ou sociale",Health volunteers motivations for volunteering,CA,
22,Health volunteer status,Non-health volunteer,2018,rv_110,0.5059501777566829,1.9913430318701544,0.4862031415451699,0.5256972139681959,5885,Améliorer le bien-être ou la santé,Health volunteers motivations for volunteering,CA,
23,Health volunteer status,Health volunteer,2018,rv_110,0.5265612328282057,4.259579447602725,0.4826006242864634,0.5705218413699479,1145,Améliorer le bien-être ou la santé,Health volunteers motivations for volunteering,CA,
24,Health volunteer status,Non-health volunteer,2018,rv_020,0.5696091193240533,1.980184949537226,0.5475020700117258,0.5917161686363809,5249,Touché.e personnellement par la cause,Health volunteers motivations for volunteering,CA (without QC),
25,Health volunteer status,Health volunteer,2018,rv_020,0.6573123093197943,3.425174888934346,0.6131854917003586,0.70143912693923,1051,Touché.e personnellement par la cause,Health volunteers motivations for volunteering,CA (without QC),
26,Health volunteer status,Non-health volunteer,2018,rv_025,0.2620785973895412,3.805226033760648,0.242532497847415,0.2816246969316673,5162,Bénévoles parmi les amis,Health volunteers motivations for volunteering,CA (without QC),
27,Health volunteer status,Health volunteer,2018,rv_025,0.2507981454567148,8.019886991572637,0.2113759632904009,0.2902203276230288,1018,Bénévoles parmi les amis,Health volunteers motivations for volunteering,CA (without QC),
28,Health volunteer status,Non-health volunteer,2018,rv_030,0.3996904305233523,2.595375973465105,0.379358804100621,0.4200220569460835,5173,Bénévoles dans la famille,Health volunteers motivations for volunteering,CA (without QC),
29,Health volunteer status,Health volunteer,2018,rv_030,0.3479144739687927,6.444024915189613,0.3039726784676781,0.3918562694699073,1026,Bénévoles dans la famille,Health volunteers motivations for volunteering,CA (without QC),
30,Health volunteer status,Non-health volunteer,2018,rv_040,0.4911902392067758,2.19336587911574,0.4700743729706185,0.5123061054429332,5178,Réseauter ou rencontrer des gens,Health volunteers motivations for volunteering,CA (without QC),
31,Health volunteer status,Health volunteer,2018,rv_040,0.4478579453638127,5.59907020456048,0.3987101221590534,0.4970057685685721,1014,Réseauter ou rencontrer des gens,Health volunteers motivations for volunteering,CA (without QC),
32,Health volunteer status,Non-health volunteer,2018,rv_050,0.2378020156253527,4.342875194856689,0.2175605958640786,0.2580434353866269,5127,Améliorer ses possibilités d'emploi,Health volunteers motivations for volunteering,CA (without QC),
