Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer status,Non-health volunteer,2018,flag_vd1dex01,0.026026592628784703,6.320064592474828,0.02280265283841889,0.029250532419150516,14803,Arts & culture,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex01,0.03701894129535214,20.6151075448835,0.0220614868095111,0.051976395781193174,1346,Arts & culture,Health volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-health volunteer,2018,flag_vd1dex02,0.08697511828502916,3.635566960797905,0.08077763638491461,0.0931726001851437,14803,Sports & recreation,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex02,0.12859283099091318,10.992455591214563,0.10088774080108466,0.1562979211807417,1346,Sports & recreation,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-health volunteer,2018,flag_vd1dex03,0.06524595387777699,4.6604547324699865,0.059286177427405766,0.0712057303281482,14803,Education & research,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex03,0.09489797556123834,13.283808739656614,0.0701905410546205,0.11960541006785619,1346,Education & research,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-health volunteer,2018,flag_vd1dex04,0.019092623107296508,10.319768347851754,0.015230877695723833,0.022954368518869183,14803,Universities & colleges,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex04,0.03392838135598747,25.797443630233737,0.01677349267916029,0.05108327003281465,1346,Universities & colleges,Health volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-health volunteer,2018,flag_vd1dex05,0,NA,0,0,14803,Health,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex05,0.7036123603902557,2.646026150580033,0.6671222074906057,0.7401025132899056,1346,Health,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-health volunteer,2018,flag_vd1dex06,0,NA,0,0,14803,Hospitals,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex06,0.32756655320628736,5.908719898536187,0.28963146966907033,0.3655016367435044,1346,Hospitals,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-health volunteer,2018,flag_vd1dex07,0.10390158112424042,3.3695424615202687,0.09703973174207248,0.11076343050640836,14803,Social services,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex07,0.21325989091445866,8.033105754059559,0.1796829784758665,0.2468368033530508,1346,Social services,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-health volunteer,2018,flag_vd1dex08,0.02437203207114858,6.5932018662832315,0.02122257128849538,0.027521492853801777,14803,Environment,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex08,0.03983790304565151,19.293502556743324,0.024773371253420183,0.05490243483788284,1346,Environment,Health volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-health volunteer,2018,flag_vd1dex09,0.042669592855351074,5.292935321410495,0.03824306524991309,0.04709612046078906,14803,Development & housing,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Health volunteer,2018,flag_vd1dex09,0.05714325051883466,15.993922782278078,0.039230262848233485,0.07505623818943584,1346,Development & housing,Health volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-health volunteer,2018,flag_vd1dex10,0.01674156815630686,10.178068945866753,0.013401851560357062,0.02008128475225666,14803,"Law, advocacy & politics",Health volunteers volunteer rates for other ccauses,CA,
