,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Non-health volunteer,2018,flag_vd1dex01,0.0260265926287847,6.320064592474828,0.0228026528384188,0.0292505324191505,14803,Arts et culture,Health volunteers volunteer rates for other ccauses,CA,
1,Volunteer status,Health volunteer,2018,flag_vd1dex01,0.0370189412953521,20.6151075448835,0.0220614868095111,0.0519763957811931,1346,Arts et culture,Health volunteers volunteer rates for other ccauses,CA,*
2,Volunteer status,Non-health volunteer,2018,flag_vd1dex02,0.0869751182850291,3.635566960797905,0.0807776363849146,0.0931726001851437,14803,Sport et loisir,Health volunteers volunteer rates for other ccauses,CA,
3,Volunteer status,Health volunteer,2018,flag_vd1dex02,0.1285928309909131,10.992455591214563,0.1008877408010846,0.1562979211807417,1346,Sport et loisir,Health volunteers volunteer rates for other ccauses,CA,
4,Volunteer status,Non-health volunteer,2018,flag_vd1dex03,0.0652459538777769,4.6604547324699865,0.0592861774274057,0.0712057303281482,14803,Éducation et recherche,Health volunteers volunteer rates for other ccauses,CA,
5,Volunteer status,Health volunteer,2018,flag_vd1dex03,0.0948979755612383,13.283808739656614,0.0701905410546205,0.1196054100678561,1346,Éducation et recherche,Health volunteers volunteer rates for other ccauses,CA,
6,Volunteer status,Non-health volunteer,2018,flag_vd1dex04,0.0190926231072965,10.319768347851754,0.0152308776957238,0.0229543685188691,14803,Universités et collèges,Health volunteers volunteer rates for other ccauses,CA,
7,Volunteer status,Health volunteer,2018,flag_vd1dex04,0.0339283813559874,25.797443630233737,0.0167734926791602,0.0510832700328146,1346,Universités et collèges,Health volunteers volunteer rates for other ccauses,CA,*
8,Volunteer status,Non-health volunteer,2018,flag_vd1dex05,0.0,,0.0,0.0,14803,Santé,Health volunteers volunteer rates for other ccauses,CA,
9,Volunteer status,Health volunteer,2018,flag_vd1dex05,0.7036123603902557,2.646026150580033,0.6671222074906057,0.7401025132899056,1346,Santé,Health volunteers volunteer rates for other ccauses,CA,
10,Volunteer status,Non-health volunteer,2018,flag_vd1dex06,0.0,,0.0,0.0,14803,Hôpitaux,Health volunteers volunteer rates for other ccauses,CA,
11,Volunteer status,Health volunteer,2018,flag_vd1dex06,0.3275665532062873,5.908719898536187,0.2896314696690703,0.3655016367435044,1346,Hôpitaux,Health volunteers volunteer rates for other ccauses,CA,
12,Volunteer status,Non-health volunteer,2018,flag_vd1dex07,0.1039015811242404,3.3695424615202687,0.0970397317420724,0.1107634305064083,14803,Services sociaux,Health volunteers volunteer rates for other ccauses,CA,
13,Volunteer status,Health volunteer,2018,flag_vd1dex07,0.2132598909144586,8.033105754059559,0.1796829784758665,0.2468368033530508,1346,Services sociaux,Health volunteers volunteer rates for other ccauses,CA,
14,Volunteer status,Non-health volunteer,2018,flag_vd1dex08,0.0243720320711485,6.593201866283232,0.0212225712884953,0.0275214928538017,14803,Environnement,Health volunteers volunteer rates for other ccauses,CA,
15,Volunteer status,Health volunteer,2018,flag_vd1dex08,0.0398379030456515,19.293502556743324,0.0247733712534201,0.0549024348378828,1346,Environnement,Health volunteers volunteer rates for other ccauses,CA,*
16,Volunteer status,Non-health volunteer,2018,flag_vd1dex09,0.042669592855351,5.292935321410495,0.038243065249913,0.047096120460789,14803,Aménagement et logement,Health volunteers volunteer rates for other ccauses,CA,
17,Volunteer status,Health volunteer,2018,flag_vd1dex09,0.0571432505188346,15.993922782278078,0.0392302628482334,0.0750562381894358,1346,Aménagement et logement,Health volunteers volunteer rates for other ccauses,CA,
