Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,ivs1hrs1,55.33841115628071,24.961274104241003,28.265090556485212,82.41173175607622,456,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,*
Age group,25 to 34 years,2018,ivs1hrs1,45.6002686507287,10.74511543606811,35.99683416820474,55.20370313325266,1072,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Age group,35 to 44 years,2018,ivs1hrs1,40.15440878326561,7.6371628964782206,34.14387031691422,46.164947249617,1387,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Age group,45 to 54 years,2018,ivs1hrs1,56.01737531874123,9.87815518917629,45.17194740658455,66.86280323089791,1396,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Age group,55 to 64 years,2018,ivs1hrs1,99.41226571421093,10.999088246997692,77.98115156807691,120.84337986034495,1852,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Age group,65 to 74 years,2018,ivs1hrs1,91.07530352339396,12.512093126089097,68.74067742316905,113.40992962361886,1333,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Age group,75 years and over,2018,ivs1hrs1,66.93640105469247,18.96524437603412,42.05534026679679,91.81746184258814,480,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,*
Gender,Male gender,2018,ivs1hrs1,52.352759459917145,8.360502500434189,43.77408772108248,60.93143119875181,3926,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Gender,Female gender,2018,ivs1hrs1,74.10836986350326,6.99781732409838,63.9440586825048,84.27268104450171,4050,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Education,Less than High School,2018,ivs1hrs1,45.37369422591864,11.206347899613215,35.40779865642165,55.339589795415634,553,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Education,Graduated from High school,2018,ivs1hrs1,81.48161195862686,13.239043277613854,60.338724165110605,102.62449975214311,1677,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Education,Post-secondary diploma,2018,ivs1hrs1,65.60109931926922,8.055593240391227,55.24355650917085,75.9586421293676,2758,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Education,University Diploma,2018,ivs1hrs1,44.684806708503324,8.065226830834812,37.62123170661329,51.74838171039336,2317,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Marital status (original),Married,2018,ivs1hrs1,58.28526437938628,6.450680879177664,50.916198836972626,65.65432992179993,4209,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Marital status (original),Living common-law,2018,ivs1hrs1,54.71931115515986,14.310072525582655,39.37206187051591,70.06656043980381,774,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Marital status (original),Widowed,2018,ivs1hrs1,130.70356189813216,35.890516669950166,38.76129139428845,222.6458324019759,459,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,...
Marital status (original),Separated,2018,ivs1hrs1,84.48841469098309,16.281502619570322,57.527182554808235,111.44964682715795,247,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
Marital status (original),Divorced,2018,ivs1hrs1,80.42723694989712,12.626797280634694,60.52304973129357,100.33142416850067,635,"Cooking, cleaning, work around home",Average hours spent helping directly,CA,
