,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,ivs1hrs1,55.338411156280706,24.961274104241003,28.26509055648521,82.41173175607622,456,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
1,Groupe d'âge,25 à 34 ans,2018,ivs1hrs1,45.6002686507287,10.74511543606811,35.99683416820474,55.20370313325266,1072,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
2,Groupe d'âge,35 à 44 ans,2018,ivs1hrs1,40.15440878326561,7.6371628964782206,34.14387031691422,46.16494724961701,1387,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
3,Groupe d'âge,45 à 54 ans,2018,ivs1hrs1,56.01737531874122,9.878155189176288,45.17194740658455,66.86280323089791,1396,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
4,Groupe d'âge,55 à 64 ans,2018,ivs1hrs1,99.41226571421093,10.999088246997692,77.98115156807691,120.84337986034494,1852,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
5,Groupe d'âge,65 à 74 ans,2018,ivs1hrs1,91.07530352339396,12.512093126089097,68.74067742316905,113.40992962361885,1333,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
6,Groupe d'âge,75 ans et plus,2018,ivs1hrs1,66.93640105469247,18.96524437603412,42.05534026679679,91.81746184258814,480,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
7,Genre,Hommes,2018,ivs1hrs1,52.352759459917145,8.360502500434189,43.77408772108248,60.93143119875181,3926,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
8,Genre,Femmes,2018,ivs1hrs1,74.10836986350327,6.99781732409838,63.944058682504796,84.27268104450171,4050,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
9,Éducation,Sans diplôme d'études secondaires,2018,ivs1hrs1,45.37369422591863,11.206347899613215,35.40779865642165,55.33958979541563,553,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
10,Éducation,Diplôme d'études secondaires,2018,ivs1hrs1,81.48161195862686,13.239043277613854,60.338724165110605,102.62449975214312,1677,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
11,Éducation,Diplôme post-secondaire,2018,ivs1hrs1,65.60109931926922,8.055593240391227,55.243556509170844,75.95864212936759,2758,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
12,Éducation,Diplôme universtaire,2018,ivs1hrs1,44.68480670850333,8.065226830834812,37.62123170661329,51.74838171039336,2317,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
13,Marital status (original),Marié.e,2018,ivs1hrs1,58.285264379386284,6.450680879177664,50.91619883697264,65.65432992179993,4209,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
14,Marital status (original),Union de fait,2018,ivs1hrs1,54.71931115515986,14.310072525582655,39.37206187051591,70.06656043980381,774,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
15,Marital status (original),Veuf.ve,2018,ivs1hrs1,130.70356189813216,35.89051666995017,38.761291394288456,222.6458324019759,459,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,...
16,Marital status (original),Séparé.e,2018,ivs1hrs1,84.48841469098309,16.281502619570322,57.52718255480824,111.44964682715795,247,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
17,Marital status (original),divorcé.e,2018,ivs1hrs1,80.42723694989712,12.626797280634696,60.523049731293575,100.33142416850069,635,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
18,Marital status (original),"Célibataire, jamais marié.e",2018,ivs1hrs1,63.05657804849999,12.761384042935214,47.28495936637928,78.8281967306207,1652,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
19,État civil,Marié.e/union de fait,2018,ivs1hrs1,57.59351397423397,5.960778501348987,50.86491488976385,64.32211305870409,4983,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
20,État civil,Veuf.ve,2018,ivs1hrs1,130.70356189813216,35.89051666995017,38.761291394288456,222.6458324019759,459,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,...
21,État civil,Séparé.e/divorcé.e,2018,ivs1hrs1,81.78887798846827,9.669520877040052,66.2883212609736,97.28943471596293,882,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
22,État civil,"Célibataire, jamais marié.e",2018,ivs1hrs1,63.05657804849999,12.761384042935214,47.28495936637928,78.8281967306207,1652,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
23,Situation d'activité,Employé.e,2018,ivs1hrs1,49.070792031642284,8.095111824751719,41.285157540156476,56.85642652312811,4691,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
24,Situation d'activité,Au chômage,2018,ivs1hrs1,67.36559460955255,23.899596839171,35.80996764307102,98.92122157603407,203,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
25,Situation d'activité,Pas dans la population active,2018,ivs1hrs1,90.29809056770277,9.022862674587085,74.32933749167154,106.26684364373399,2387,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
26,Situation d'activité,Unable to determine,2018,ivs1hrs1,81.1377163101129,15.266863394490874,56.85928119172331,105.4161514285025,695,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
27,Catégorie de revenu personnel,"Moins de 25,000 $",2018,ivs1hrs1,71.4970909170903,11.02260817615064,56.050920138609904,86.94326169557068,2028,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
28,Catégorie de revenu personnel,"25,000 $ à 49,999 $",2018,ivs1hrs1,60.686610021113516,7.411279814203355,51.87136922850682,69.50185081372024,2300,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
29,Catégorie de revenu personnel,"50,000 $ a 74,999 $",2018,ivs1hrs1,61.710592836625366,10.103906391590282,49.48986355306037,73.93132212019036,1747,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
30,Catégorie de revenu personnel,"75,000 $ à 99,999 $",2018,ivs1hrs1,54.06713573283522,11.311460771360714,42.08042161227616,66.05384985339428,981,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
31,Catégorie de revenu personnel,"100,000 $ à 124,999 $",2018,ivs1hrs1,45.39600362360669,12.109113994559493,34.62197610012514,56.17003114708824,437,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
32,Catégorie de revenu personnel,"125,000 $ et plus",2018,ivs1hrs1,35.69690437799567,9.294648161649148,29.19393660734159,42.19987214864975,483,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
33,Catégorie de revenu personnel,"Moins de 25,000 $",2018,ivs1hrs1,90.83425253611944,22.711683206531067,50.400219683727634,131.26828538851126,680,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
34,Catégorie de revenu personnel,"25,000 $ à 49,999 $",2018,ivs1hrs1,58.725181553083,10.351192100541768,46.81103802854397,70.63932507762202,1250,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
35,Catégorie de revenu personnel,"50,000 $ a 74,999 $",2018,ivs1hrs1,67.30128660405639,10.597325018278958,53.32255674870385,81.28001645940894,1349,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
36,Catégorie de revenu personnel,"75,000 $ à 99,999 $",2018,ivs1hrs1,65.45124876123067,13.46523229737876,48.177767304357936,82.7247302181034,1517,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
37,Catégorie de revenu personnel,"100,000 $ à 124,999 $",2018,ivs1hrs1,57.195189745158565,17.067991150698973,38.06188427891178,76.32849521140534,912,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
38,Catégorie de revenu personnel,"125,000 $ et plus",2018,ivs1hrs1,53.537647063048354,8.674976239686115,44.43483313493137,62.640460991165334,2268,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
39,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,ivs1hrs1,55.706866922682565,12.086367142316814,42.51055395136172,68.9031798940034,1221,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
40,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,ivs1hrs1,62.89342101610426,16.118078703238197,43.02485235929666,82.76198967291184,622,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
41,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,ivs1hrs1,65.47747002720371,11.379901865337537,50.873245595502866,80.08169445890456,704,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
42,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,ivs1hrs1,69.80906246941058,17.057825573620555,46.469991441398925,93.14813349742224,1151,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
43,Fréquence de la fréquentation religieuse,Pas du tout,2018,ivs1hrs1,59.54800523316509,8.39251428862063,49.75293852146925,69.34307194486094,3661,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
44,Statut d'immigration,Né.e au Canada,2018,ivs1hrs1,68.73647574287621,6.367856070047543,60.15763529183755,77.31531619391491,6172,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
45,Statut d'immigration,Naturalisé.e,2018,ivs1hrs1,40.92161186453632,14.232189741013466,29.50670038660963,52.336523342462996,1062,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,
46,Statut d'immigration,Non canadien.ne,2018,ivs1hrs1,25.67789164634175,22.80716214284436,14.199561737238831,37.15622155544465,132,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
47,Statut d'immigration,Unknown,2018,ivs1hrs1,76.26851982914003,17.358339726924118,50.32065703375774,102.21638262452231,610,"Cuisiner, nettoyer, tâches domestiques",Average hours spent helping directly,CA,*
48,Groupe d'âge,15 à 24 ans,2018,ivs1hrs2,30.386591656543175,18.966676900746464,19.09067897053805,41.6825043425483,327,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,*
49,Groupe d'âge,25 à 34 ans,2018,ivs1hrs2,25.722174237799212,16.144618468773633,17.582939891459493,33.86140858413893,730,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,
50,Groupe d'âge,35 à 44 ans,2018,ivs1hrs2,25.705391991855087,23.833895757373277,13.697483834568546,37.71330014914162,997,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,*
51,Groupe d'âge,45 à 54 ans,2018,ivs1hrs2,35.176387238310454,9.228198952224275,28.81405603261766,41.538718444003244,1101,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,
52,Groupe d'âge,55 à 64 ans,2018,ivs1hrs2,45.460098104928996,7.717401761083648,38.58388117233986,52.336315037518126,1568,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,
53,Groupe d'âge,65 à 74 ans,2018,ivs1hrs2,45.50178175283175,10.532610132639775,36.108604817990276,54.89495868767321,1317,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,
54,Groupe d'âge,75 ans et plus,2018,ivs1hrs2,43.720715448508784,14.252149898349018,31.507901737340266,55.93352915967733,604,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,
55,Genre,Hommes,2018,ivs1hrs2,30.379798135091356,8.415547134439286,25.368902799605,35.390693470577716,2691,"Magasiner, conduire, accompagner",Average hours spent helping directly,CA,
