Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,iva105_1,0.4920069087963701,4.785231954365708,0.4458621599704142,0.5381516576223261,845,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Age group,25 to 34 years,2018,iva105_1,0.5752350011894368,2.918154256943267,0.5423345661914707,0.608135436187403,1846,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Age group,35 to 44 years,2018,iva105_1,0.5307017461709777,2.7170674719174723,0.5024399974412904,0.5589634949006649,2523,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Age group,45 to 54 years,2018,iva105_1,0.5022979181854219,2.8855307286482956,0.47389027706602777,0.530705559304816,2609,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Age group,55 to 64 years,2018,iva105_1,0.49881732811982765,2.5942699444292656,0.47345408486274354,0.5241805713769118,3481,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Age group,65 to 74 years,2018,iva105_1,0.42769519793307265,3.065312748016238,0.40199968706999517,0.4533907087961501,3019,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Age group,75 years and over,2018,iva105_1,0.22314055770019445,6.02557170992886,0.19678787308226214,0.24949324231812675,1826,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Gender,Male gender,2018,iva105_1,0.5206781028911385,1.7653131740719321,0.502662899606913,0.5386933061753639,7242,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Gender,Female gender,2018,iva105_1,0.4502365454250009,1.8840918810219518,0.43361042535189026,0.46686266549811156,8907,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Education,Less than High School,2018,iva105_1,0.38146780073541575,4.794675233638412,0.3456197808176128,0.4173158206532187,1568,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Education,Graduated from High school,2018,iva105_1,0.47336920273401495,2.910930773041493,0.4463619774139652,0.5003764280540647,3502,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Education,Post-secondary diploma,2018,iva105_1,0.5213812614317138,2.0925519887068624,0.49999771341517174,0.5427648094482559,5142,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Education,University Diploma,2018,iva105_1,0.5002350022149362,2.2512673863352965,0.47816261798622783,0.5223073864436446,4544,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status (original),Married,2018,iva105_1,0.5000646315859897,1.5860999128852642,0.48451912885902676,0.5156101343129527,8083,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status (original),Living common-law,2018,iva105_1,0.5246215641234957,3.5681982278759468,0.48793194510218857,0.5613111831448028,1487,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status (original),Widowed,2018,iva105_1,0.26719189550349826,6.611528503634695,0.23256821380545875,0.3018155772015378,1421,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status (original),Separated,2018,iva105_1,0.43609426295249687,7.534049138507237,0.37169855638079813,0.5004899695241956,517,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status (original),Divorced,2018,iva105_1,0.4247944151077518,4.775149452128831,0.3850373920218491,0.46455143819365446,1380,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status (original),"Single, never married",2018,iva105_1,0.49341518997827977,2.8296395674563763,0.46605042478446934,0.5207799551720902,3261,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status,Married/common-law,2018,iva105_1,0.504646994169015,1.449642271718702,0.49030872838800843,0.5189852599500216,9570,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status,Widowed,2018,iva105_1,0.26719189550349826,6.611528503634695,0.23256821380545875,0.3018155772015378,1421,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status,Separated/divorced,2018,iva105_1,0.42851722743726495,3.9189981537186904,0.3956024110918526,0.46143204378267727,1897,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Marital status,"Single, never married",2018,iva105_1,0.49341518997827977,2.8296395674563763,0.46605042478446934,0.5207799551720902,3261,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Labour force status,Employed,2018,iva105_1,0.531475981091364,1.6078258779787598,0.5147276804668856,0.5482242817158424,8587,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Labour force status,Unemployed,2018,iva105_1,0.546310984479723,8.167740316799646,0.45885491696748404,0.633767051991962,348,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Labour force status,Not in labour force,2018,iva105_1,0.39344413467694045,2.468601831311189,0.3744078490164944,0.4124804203373865,5824,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Labour force status,Unable to determine,2018,iva105_1,0.47564584450400943,4.479421568630299,0.43388649405992125,0.5174051949480977,1390,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"Less than $25,000",2018,iva105_1,0.45718279396578754,2.557877941898249,0.43426262656861137,0.4801029613629637,4527,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$25,000 to $49,999",2018,iva105_1,0.47923059827328585,2.4034278571853407,0.4566558081678241,0.5018053883787477,4837,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$50,000 to $74,999",2018,iva105_1,0.5234826235787994,2.48855911955424,0.4979498306045133,0.5490154165530854,3270,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$75,000 to $99,999",2018,iva105_1,0.5283506899270887,3.241702362710826,0.4947812954583444,0.561920084395833,1813,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$100,000 to $124,999",2018,iva105_1,0.5285352735725904,4.8084863775058775,0.47872367749427586,0.5783468696509051,775,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$125,000 and more",2018,iva105_1,0.5148971601863273,4.08573300706966,0.47366476433185295,0.5561295560408016,927,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"Less than $25,000",2018,iva105_1,0.383173292999971,5.246509244980491,0.3437717014333487,0.4225748845665933,1741,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$25,000 to $49,999",2018,iva105_1,0.4006243169491669,3.4536675977400884,0.3735058001100781,0.42774283378825567,3015,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$50,000 to $74,999",2018,iva105_1,0.5035630618945278,3.123719932481592,0.4727330249295544,0.5343930988595013,2722,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$75,000 to $99,999",2018,iva105_1,0.5274801483095484,2.880094639844173,0.4977045175975014,0.5572557790215954,2790,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$100,000 to $124,999",2018,iva105_1,0.5299845915488823,3.8415173731091166,0.4900808024919067,0.5698883806058579,1674,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Personal income category,"$125,000 and more",2018,iva105_1,0.5283971749688917,2.1494107473685644,0.5061370297033574,0.550657320234426,4207,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Frequency of religious attendance,At least once a week,2018,iva105_1,0.5295331602754519,3.090975475029797,0.4974529791392622,0.5616133414116417,2383,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Frequency of religious attendance,At least once a month,2018,iva105_1,0.5359997588045239,4.052004916351275,0.49343181732116626,0.5785677002878815,1208,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Frequency of religious attendance,At least 3 times a year,2018,iva105_1,0.5184451840793356,4.416786420749267,0.47356472046422915,0.563325647694442,1297,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Frequency of religious attendance,Once or twice a year,2018,iva105_1,0.5106324784584515,3.489680792028236,0.4757070109374061,0.5455579459794969,2164,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Frequency of religious attendance,Not at all,2018,iva105_1,0.45348105257017657,1.8782012116952767,0.436787477540776,0.4701746275995771,7820,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Immigration status,Native-born,2018,iva105_1,0.5067150784342273,1.4767269363873874,0.4920490637448504,0.521381093123604,12093,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Immigration status,Naturalized,2018,iva105_1,0.4303567303663444,3.2695041504802798,0.40277899604704615,0.4579344646856427,2492,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Immigration status,Non-Canadian,2018,iva105_1,0.38898196310850935,10.586699874161928,0.3082699543599779,0.4696939718570408,319,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Immigration status,Unknown,2018,iva105_1,0.49576150007867276,4.529737746732072,0.45174718509335654,0.539775815063989,1245,"Cooking, cleaning, work around home",Rate of helping directly,CA,
Age group,15 to 24 years,2018,iva105_2,0.3807621009126196,6.344992939872916,0.3334106873175343,0.42811351450770485,845,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Age group,25 to 34 years,2018,iva105_2,0.3899986992569365,4.294445562870844,0.3571726700564428,0.42282472845743013,1846,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Age group,35 to 44 years,2018,iva105_2,0.38140582067227463,3.6189195615735787,0.3543528888729326,0.40845875247161667,2523,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Age group,45 to 54 years,2018,iva105_2,0.4158535002932584,3.4309682158679613,0.38788912337220227,0.44381787721431454,2609,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Age group,55 to 64 years,2018,iva105_2,0.41092368382561767,3.0404471002346964,0.3864360560308482,0.43541131162038715,3481,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Age group,65 to 74 years,2018,iva105_2,0.4071375413794905,3.1625576338054087,0.3819011246989203,0.4323739580600607,3019,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Age group,75 years and over,2018,iva105_2,0.2569686649489283,5.115507359757498,0.23120444648443128,0.2827328834134253,1826,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Gender,Male gender,2018,iva105_2,0.36204461961311757,2.5086135317972316,0.3442436380915743,0.3798456011346608,7242,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Gender,Female gender,2018,iva105_2,0.4089832581689919,1.9991005297836124,0.3929586191285716,0.4250078972094122,8907,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Education,Less than High School,2018,iva105_2,0.2974761899609871,5.645887879049194,0.2645582574287902,0.33039412249318406,1568,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Education,Graduated from High school,2018,iva105_2,0.39464729871030824,3.419991568117352,0.3681938523017228,0.42110074511889367,3502,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Education,Post-secondary diploma,2018,iva105_2,0.3940563701127929,2.8977390821315616,0.3716760794963624,0.41643666072922336,5142,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Education,University Diploma,2018,iva105_2,0.4017847155782639,2.725259110887786,0.3803237477836253,0.42324568337290247,4544,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Marital status (original),Married,2018,iva105_2,0.37950556044645317,1.897104015632795,0.3653945738994194,0.39361654699348697,8083,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Marital status (original),Living common-law,2018,iva105_2,0.3989318235569345,4.837951969736952,0.36110426382926075,0.4367593832846083,1487,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Marital status (original),Widowed,2018,iva105_2,0.339838915562073,5.386811018352233,0.30395887378800845,0.3757189573361376,1421,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Marital status (original),Separated,2018,iva105_2,0.40532068529798243,7.916188449902334,0.3424333803099406,0.4682079902860243,517,"Shopping, driving, accompaniment",Rate of helping directly,CA,
Marital status (original),Divorced,2018,iva105_2,0.42010625594495327,4.795771550678533,0.3806182024022885,0.45959430948761804,1380,"Shopping, driving, accompaniment",Rate of helping directly,CA,
