,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,iva105_1,0.4920069087963701,4.785231954365708,0.4458621599704142,0.5381516576223261,845,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
1,Groupe d'âge,25 à 34 ans,2018,iva105_1,0.5752350011894368,2.918154256943267,0.5423345661914707,0.608135436187403,1846,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
2,Groupe d'âge,35 à 44 ans,2018,iva105_1,0.5307017461709777,2.7170674719174723,0.5024399974412904,0.5589634949006649,2523,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
3,Groupe d'âge,45 à 54 ans,2018,iva105_1,0.5022979181854219,2.885530728648296,0.4738902770660278,0.530705559304816,2609,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
4,Groupe d'âge,55 à 64 ans,2018,iva105_1,0.4988173281198277,2.5942699444292656,0.4734540848627435,0.5241805713769118,3481,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
5,Groupe d'âge,65 à 74 ans,2018,iva105_1,0.4276951979330727,3.0653127480162383,0.4019996870699952,0.4533907087961501,3019,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
6,Groupe d'âge,75 ans et plus,2018,iva105_1,0.22314055770019445,6.025571709928861,0.19678787308226212,0.24949324231812675,1826,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
7,Genre,Hommes,2018,iva105_1,0.5206781028911385,1.765313174071932,0.5026628996069129,0.5386933061753639,7242,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
8,Genre,Femmes,2018,iva105_1,0.4502365454250009,1.884091881021952,0.4336104253518903,0.4668626654981116,8907,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
9,Éducation,Sans diplôme d'études secondaires,2018,iva105_1,0.38146780073541575,4.794675233638412,0.3456197808176128,0.4173158206532187,1568,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
10,Éducation,Diplôme d'études secondaires,2018,iva105_1,0.473369202734015,2.9109307730414935,0.4463619774139652,0.5003764280540647,3502,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
11,Éducation,Diplôme post-secondaire,2018,iva105_1,0.5213812614317138,2.0925519887068624,0.4999977134151717,0.5427648094482559,5142,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
12,Éducation,Diplôme universtaire,2018,iva105_1,0.5002350022149362,2.2512673863352965,0.4781626179862278,0.5223073864436446,4544,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
13,État civil (original),Marié.e,2018,iva105_1,0.5000646315859897,1.5860999128852642,0.4845191288590268,0.5156101343129527,8083,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
14,État civil (original),Union de fait,2018,iva105_1,0.5246215641234957,3.5681982278759468,0.4879319451021886,0.5613111831448028,1487,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
15,État civil (original),Veuf.ve,2018,iva105_1,0.26719189550349826,6.611528503634695,0.23256821380545875,0.3018155772015378,1421,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
16,État civil (original),Séparé.e,2018,iva105_1,0.4360942629524969,7.534049138507237,0.3716985563807981,0.5004899695241956,517,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
17,État civil (original),divorcé.e,2018,iva105_1,0.4247944151077518,4.775149452128831,0.3850373920218491,0.4645514381936545,1380,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
18,État civil (original),"Célibataire, jamais marié.e",2018,iva105_1,0.4934151899782798,2.8296395674563763,0.4660504247844693,0.5207799551720902,3261,"Cuisiner, nettoyer, tâches domestiques",Rate of helping directly,CA,
