,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,1,Arts et culture,Do not support cause,2018,rv_020,0.592169275046475,0.0169909906078027,0.572449013940093,0.611889536152857,6530,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
1,2,Arts et culture,Support cause,2018,rv_020,0.520616435489991,0.0589876302010548,0.460426079166618,0.580806791813364,600,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
2,3,Sport et loisir,Do not support cause,2018,rv_020,0.583308859065063,0.0182416839197689,0.56245379205291,0.604163926077216,5338,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
3,4,Sport et loisir,Support cause,2018,rv_020,0.599043660375354,0.0291650951947564,0.564800805461313,0.633286515289396,1792,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
4,5,Éducation et recherche,Do not support cause,2018,rv_020,0.579074675273069,0.0179916589788343,0.558654762902293,0.599494587643845,6103,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
5,6,Éducation et recherche,Support cause,2018,rv_020,0.62539517606478,0.0344889242515046,0.5831203074547591,0.667670044674802,1027,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
6,7,Universités et collèges,Do not support cause,2018,rv_020,0.5876547850723299,0.0162090388935703,0.5689855023673139,0.606324067777347,6872,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
7,8,Universités et collèges,Support cause,2018,rv_020,0.576311740002788,0.0887115375336452,0.476107600224704,0.6765158797808729,258,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
8,9,Santé,Do not support cause,2018,rv_020,0.572367527332973,0.0178767606432411,0.552313024365196,0.59242203030075,6335,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
9,10,Santé,Support cause,2018,rv_020,0.7136623052576869,0.0354532700426318,0.664071958150703,0.763252652364672,795,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
10,11,Hôpitaux,Do not support cause,2018,rv_020,0.5880863257736271,0.0167835100209378,0.568741181877793,0.6074314696694599,6715,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
