Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,gs1datot,550.8575451479873,3.448388580870574,513.626640267028,588.0884500289465,9211,Total donation amount,New Canadians Average Donation Amounts,CA,
ImmStat,Naturalized,2018,gs1datot,638.7809186067826,6.724599166440311,554.589771264397,722.9720659491683,1755,Total donation amount,New Canadians Average Donation Amounts,CA,
ImmStat,Non-Canadian,2018,gs1datot,404.6785506927572,18.86782489556046,255.02738156282007,554.3297198226943,201,Total donation amount,New Canadians Average Donation Amounts,CA,*
ImmStat,Native-born,2018,SecDonAmt,326.75220462406304,3.5030334741228173,304.31798821901526,349.1864210291108,8850,Secular donation amount,New Canadians Average Donation Amounts,CA,
ImmStat,Naturalized,2018,SecDonAmt,306.18614535247576,5.833465161113692,271.1787148841507,341.19357582080085,1594,Secular donation amount,New Canadians Average Donation Amounts,CA,
ImmStat,Non-Canadian,2018,SecDonAmt,269.57219555068014,21.10229582974555,158.07783685083632,381.06655425052395,181,Secular donation amount,New Canadians Average Donation Amounts,CA,*
ImmStat,Native-born,2018,gs1dax13,723.9610858977376,5.734269944941184,642.5953704343872,805.326801361088,3390,Religious donation amount,New Canadians Average Donation Amounts,CA,
ImmStat,Naturalized,2018,gs1dax13,756.9574582851895,9.735430035995888,612.521707417705,901.3932091526741,825,Religious donation amount,New Canadians Average Donation Amounts,CA,
ImmStat,Non-Canadian,2018,gs1dax13,393.34911108557577,24.08389792073975,207.67427813036204,579.0239440407895,75,Religious donation amount,New Canadians Average Donation Amounts,CA,*
ImmStat,Native-born,2018,gs1datot,658.3696772050084,3.6090047231389706,611.7997711714394,704.9395832385775,7990,Total donation amount,New Canadians Average Donation Amounts,CA (without QC),
ImmStat,Naturalized,2018,gs1datot,691.6514634215765,6.991349353290821,596.8758955515746,786.4270312915785,1607,Total donation amount,New Canadians Average Donation Amounts,CA (without QC),
ImmStat,Non-Canadian,2018,gs1datot,469.28347819899676,20.21747394511008,283.3274559774983,655.2395004204952,169,Total donation amount,New Canadians Average Donation Amounts,CA (without QC),*
ImmStat,Native-born,2018,SecDonAmt,376.6662978445449,3.7645532666177344,348.8743938339674,404.45820185512235,7681,Secular donation amount,New Canadians Average Donation Amounts,CA (without QC),
ImmStat,Naturalized,2018,SecDonAmt,329.9163610232484,6.22487412291722,289.66481942653365,370.1679026199631,1457,Secular donation amount,New Canadians Average Donation Amounts,CA (without QC),
ImmStat,Non-Canadian,2018,SecDonAmt,304.490160530079,22.57272416866888,169.77845678263785,439.20186427752014,153,Secular donation amount,New Canadians Average Donation Amounts,CA (without QC),*
ImmStat,Native-born,2018,gs1dax13,931.8367994051628,5.773408371081936,826.3931991795724,1037.280399630753,2922,Religious donation amount,New Canadians Average Donation Amounts,CA (without QC),
ImmStat,Naturalized,2018,gs1dax13,805.5785034494761,9.99361085729148,647.7888965857319,963.3681103132203,764,Religious donation amount,New Canadians Average Donation Amounts,CA (without QC),
ImmStat,Non-Canadian,2018,gs1dax13,476.3679504733143,27.224069744369437,222.1866047707256,730.549296175903,61,Religious donation amount,New Canadians Average Donation Amounts,CA (without QC),*
ImmStat,Native-born,2018,gs1datot,927.3494422235275,9.558125195699333,753.6236819826844,1101.0752024643707,755,Total donation amount,New Canadians Average Donation Amounts,AB,
ImmStat,Naturalized,2018,gs1datot,1094.9815325302325,27.43691647200201,506.1511824351479,1683.8118826253171,164,Total donation amount,New Canadians Average Donation Amounts,AB,*
ImmStat,Non-Canadian,2018,gs1datot,324.5323998265806,36.87842803486549,89.95911310603529,559.105686547126,13,Total donation amount,New Canadians Average Donation Amounts,AB,...
ImmStat,Native-born,2018,gs1datot,453.56084428632823,5.181447786960729,407.4996947618756,499.62199381078085,2782,Total donation amount,New Canadians Average Donation Amounts,AT,
ImmStat,Naturalized,2018,gs1datot,489.99714889298696,19.049612324354502,307.0490984296913,672.9451993562826,90,Total donation amount,New Canadians Average Donation Amounts,AT,*
ImmStat,Non-Canadian,2018,gs1datot,741.9579519957625,51.02577807794968,-0.06445623124466238,1483.9803602227698,22,Total donation amount,New Canadians Average Donation Amounts,AT,...
ImmStat,Native-born,2018,gs1datot,634.7820315007425,8.63160646863542,527.3919065459536,742.1721564555314,1002,Total donation amount,New Canadians Average Donation Amounts,BC,
ImmStat,Naturalized,2018,gs1datot,735.1882397464168,11.710659265304892,566.444376669497,903.9321028233365,388,Total donation amount,New Canadians Average Donation Amounts,BC,
ImmStat,Non-Canadian,2018,gs1datot,296.1241422720267,32.611859436372264,106.84730583378746,485.4009787102659,35,Total donation amount,New Canadians Average Donation Amounts,BC,*
ImmStat,Native-born,2018,gs1datot,613.0289635851515,5.52753088347632,546.6148680199926,679.4430591503103,2190,Total donation amount,New Canadians Average Donation Amounts,ON,
ImmStat,Naturalized,2018,gs1datot,592.9869076682485,7.344987511831061,507.6210402574679,678.352775079029,804,Total donation amount,New Canadians Average Donation Amounts,ON,
