Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,gs1dax01,204.22259976559428,15.383613825861195,142.64677171425257,265.798427816936,511,Arts & culture,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax01,153.51808594333463,23.811699056104544,81.87108383982664,225.1650880468426,118,Arts & culture,New Canadians Average Donation by Cause,CA,*
ImmStat,Non-Canadian,2018,gs1dax01,104.52917215985524,27.498443703797236,48.192172086045254,160.86617223366522,17,Arts & culture,New Canadians Average Donation by Cause,CA,*
ImmStat,Native-born,2018,gs1dax02,79.33312866907099,11.996994673406117,60.67899265697364,97.98726468116834,2081,Sports & Recreation,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax02,62.219014499074774,20.701139251789645,36.974590508026026,87.46343849012352,213,Sports & Recreation,New Canadians Average Donation by Cause,CA,*
ImmStat,Non-Canadian,2018,gs1dax02,61.09558404277985,41.8570447488567,10.973805392519381,111.21736269304031,27,Sports & Recreation,New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax03,77.57603538776587,11.997257549353629,59.334656929920925,95.81741384561082,1831,Education & research,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax03,90.86754885725772,17.570056096657588,59.57578441789753,122.15931329661791,276,Education & research,New Canadians Average Donation by Cause,CA,*
ImmStat,Non-Canadian,2018,gs1dax03,347.64856517559014,87.31865062023726,-247.32209248146575,942.6192228326461,33,Education & research,New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax04,392.6672482180251,22.95257622443505,216.02108525932576,569.3134111767245,284,Universities & colleges,New Canadians Average Donation by Cause,CA,*
ImmStat,Naturalized,2018,gs1dax04,219.85058208471807,24.692347037837347,113.45145059124829,326.2497135781879,56,Universities & colleges,New Canadians Average Donation by Cause,CA,*
ImmStat,Non-Canadian,2018,gs1dax04,88.212603511631,34.39284526888506,28.749600680855778,147.67560634240624,13,Universities & colleges,New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax05,131.08174724675658,5.161238051329118,117.8217265134231,144.34176798009005,5360,Health,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax05,138.8804235961493,10.13339493597207,111.29725890155947,166.46358829073915,783,Health,New Canadians Average Donation by Cause,CA,
ImmStat,Non-Canadian,2018,gs1dax05,75.14460317044183,16.34635744082617,51.06957091674576,99.21963542413789,82,Health,New Canadians Average Donation by Cause,CA,
ImmStat,Native-born,2018,gs1dax06,127.51794555285545,12.942345675147157,95.17106585514159,159.8648252505693,2408,Hospitals,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax06,120.5024418978962,14.286932410901926,86.75950118596357,154.24538260982882,427,Hospitals,New Canadians Average Donation by Cause,CA,
ImmStat,Non-Canadian,2018,gs1dax06,102.76456168800505,28.4808104414229,45.39998296494325,160.12914041106683,55,Hospitals,New Canadians Average Donation by Cause,CA,*
ImmStat,Native-born,2018,gs1dax07,112.58477771429517,5.157636751779424,101.20382765605481,123.96572777253553,4904,Social services,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax07,153.58745242665057,11.458969603417621,119.09298888522264,188.0819159680785,874,Social services,New Canadians Average Donation by Cause,CA,
ImmStat,Non-Canadian,2018,gs1dax07,76.00152585542784,25.121668527816617,38.580224746345245,113.42282696451045,86,Social services,New Canadians Average Donation by Cause,CA,*
ImmStat,Native-born,2018,gs1dax08,144.29709308026273,9.293859658564097,118.01246820364435,170.5817179568811,1286,Environment,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax08,126.46191812560517,20.520288100565505,75.60016686311803,177.3236693880923,172,Environment,New Canadians Average Donation by Cause,CA,*
ImmStat,Non-Canadian,2018,gs1dax08,94.64024158105585,42.28464485032358,16.205834383623895,173.0746487784878,25,Environment,New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax09,249.72814811515744,25.15564487144159,126.60178750810327,372.8545087222116,382,Development & housing,New Canadians Average Donation by Cause,CA,*
ImmStat,Naturalized,2018,gs1dax09,181.23646326773613,50.030536999513764,3.519520327195181,358.9534062082771,64,Development & housing,New Canadians Average Donation by Cause,CA,...
ImmStat,Non-Canadian,2018,gs1dax09,72.23016802826935,68.93435091348248,-25.35917779989876,169.81951385643745,13,Development & housing,New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax10,146.064931650127,15.395979882434474,101.98901168577733,190.14085161447667,595,"Law, advocacy & politics",New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax10,161.86353089641707,14.625320855791099,115.46518443804547,208.26187735478868,105,"Law, advocacy & politics",New Canadians Average Donation by Cause,CA,
ImmStat,Non-Canadian,2018,gs1dax10,324.24656485778246,47.96616593588822,19.416021424920586,629.0771082906443,12,"Law, advocacy & politics",New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax11,193.99440443199126,9.100474153009326,159.39239542181951,228.596413442163,1584,"Grant-making, fundraising",New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax11,132.79343400944933,15.022898610833257,93.6932835090493,171.89358450984935,291,"Grant-making, fundraising",New Canadians Average Donation by Cause,CA,
ImmStat,Non-Canadian,2018,gs1dax11,345.17652627493476,54.39155909363831,-22.800624696064972,713.1536772459344,27,"Grant-making, fundraising",New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax12,336.4552999455369,6.889601131677702,291.02249562014947,381.8881042709244,1119,International,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax12,296.19349876495255,11.819414776018824,227.5784168154347,364.8085807144704,286,International,New Canadians Average Donation by Cause,CA,
ImmStat,Non-Canadian,2018,gs1dax12,123.72255455332446,40.52982017468143,25.44108393466604,222.00402517198287,33,International,New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax13,723.9610858977376,5.734269944941184,642.5953704343872,805.326801361088,3390,Religion,New Canadians Average Donation by Cause,CA,
ImmStat,Naturalized,2018,gs1dax13,756.9574582851895,9.735430035995888,612.521707417705,901.3932091526741,825,Religion,New Canadians Average Donation by Cause,CA,
ImmStat,Non-Canadian,2018,gs1dax13,393.34911108557577,24.08389792073975,207.67427813036204,579.0239440407895,75,Religion,New Canadians Average Donation by Cause,CA,*
ImmStat,Native-born,2018,gs1dax14,74.86071509978474,17.671141221752233,48.93285587663979,100.78857432292969,54,Business & professional,New Canadians Average Donation by Cause,CA,*
ImmStat,Naturalized,2018,gs1dax14,63.647768616622606,29.996651376096807,26.22774568019802,101.06779155304719,20,Business & professional,New Canadians Average Donation by Cause,CA,*
ImmStat,Native-born,2018,gs1dax15,96.7819778609081,24.534860927451465,50.241998664480775,143.32195705733542,342,Other,New Canadians Average Donation by Cause,CA,*
ImmStat,Naturalized,2018,gs1dax15,89.36468620992851,29.41363148984096,37.84624990235225,140.88312251750477,75,Other,New Canadians Average Donation by Cause,CA,*
ImmStat,Non-Canadian,2018,gs1dax15,78.73214479874183,107.40918284331669,-87.01329412611527,244.4775837235989,10,Other,New Canadians Average Donation by Cause,CA,...
ImmStat,Native-born,2018,gs1dax01,203.6650322540772,16.760002652281266,136.76310259252062,270.5669619156338,466,Arts & culture,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Naturalized,2018,gs1dax01,164.7233998922514,24.91744162130664,84.27695841227974,245.16984137222306,109,Arts & culture,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Non-Canadian,2018,gs1dax01,108.39889380959043,28.869287384073093,47.06380405387622,169.73398356530464,16,Arts & culture,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Native-born,2018,gs1dax02,84.24179733631446,11.741900824033356,64.85464052701462,103.6289541456143,1871,Sports & Recreation,New Canadians Average Donation by Cause,CA (without QC),
ImmStat,Naturalized,2018,gs1dax02,66.1111127241523,22.02997596256225,37.56568326899787,94.65654217930674,200,Sports & Recreation,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Non-Canadian,2018,gs1dax02,70.41925589136676,45.07653018623191,8.20498712213,132.6335246606035,23,Sports & Recreation,New Canadians Average Donation by Cause,CA (without QC),...
ImmStat,Native-born,2018,gs1dax03,83.43399215553227,12.98752510378121,62.19580149391903,104.67218281714551,1646,Education & research,New Canadians Average Donation by Cause,CA (without QC),
ImmStat,Naturalized,2018,gs1dax03,101.18182078313225,18.121519952846388,65.24454082115682,137.1191007451077,257,Education & research,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Non-Canadian,2018,gs1dax03,365.19900284615363,87.81825561363306,-263.3837784685215,993.7817841608287,30,Education & research,New Canadians Average Donation by Cause,CA (without QC),...
ImmStat,Native-born,2018,gs1dax04,533.8971908005514,25.22572473247864,269.9303473590383,797.8640342420645,225,Universities & colleges,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Naturalized,2018,gs1dax04,223.36740083444653,26.829345416482788,105.91065659466612,340.8241450742269,52,Universities & colleges,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Non-Canadian,2018,gs1dax04,94.26609520272257,36.79840133505892,26.278049092231228,162.2541413132139,12,Universities & colleges,New Canadians Average Donation by Cause,CA (without QC),...
ImmStat,Native-born,2018,gs1dax05,144.95026933104432,5.756526744303667,128.59613184851614,161.3044068135725,4710,Health,New Canadians Average Donation by Cause,CA (without QC),
ImmStat,Naturalized,2018,gs1dax05,144.40655326233005,10.948850600532284,113.41784146046656,175.39526506419355,733,Health,New Canadians Average Donation by Cause,CA (without QC),
ImmStat,Non-Canadian,2018,gs1dax05,83.1303428648266,16.540881592601522,56.17987459674788,110.08081113290532,72,Health,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Native-born,2018,gs1dax06,168.77395303193853,15.309025418383342,118.13309474292359,219.41481132095348,1970,Hospitals,New Canadians Average Donation by Cause,CA (without QC),
ImmStat,Naturalized,2018,gs1dax06,132.48170976098325,15.200133508026198,93.01313737411454,171.95028214785196,384,Hospitals,New Canadians Average Donation by Cause,CA (without QC),
ImmStat,Non-Canadian,2018,gs1dax06,119.52406978422441,30.458067007983974,48.17212723652976,190.87601233191907,43,Hospitals,New Canadians Average Donation by Cause,CA (without QC),*
ImmStat,Native-born,2018,gs1dax07,124.63699494294981,5.164409249570517,112.02116835535162,137.252821530548,4251,Social services,New Canadians Average Donation by Cause,CA (without QC),
ImmStat,Naturalized,2018,gs1dax07,159.60787552814134,12.361528213181863,120.93783988699005,198.27791116929262,805,Social services,New Canadians Average Donation by Cause,CA (without QC),
