,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,fg1dad03,238.60371203609807,5.076591349220426,214.8627948969169,262.3446291752792,2477,Demande par lettre,New Canadians Average Donation by Method,CA,
1,ImmStat,Naturalisé.e,2018,fg1dad03,263.01789977548015,8.298511672136211,220.23860648863337,305.7971930623269,501,Demande par lettre,New Canadians Average Donation by Method,CA,
2,ImmStat,Non canadien.ne,2018,fg1dad03,232.39621154391048,21.392761322739524,134.95470704431546,329.8377160435055,43,Demande par lettre,New Canadians Average Donation by Method,CA,*
3,ImmStat,Né.e au Canada,2018,fg1dad04,144.46786618955323,15.903486936414438,99.4368543356946,189.49887804341188,1135,Demande au téléphone,New Canadians Average Donation by Method,CA,
4,ImmStat,Naturalisé.e,2018,fg1dad04,271.7964425332764,37.35364417589026,72.80938202224604,470.7835030443067,167,Demande au téléphone,New Canadians Average Donation by Method,CA,...
5,ImmStat,Non canadien.ne,2018,fg1dad04,247.8465173793661,51.0080741021264,0.0644694372711285,495.6285653214611,18,Demande au téléphone,New Canadians Average Donation by Method,CA,...
6,ImmStat,Né.e au Canada,2018,fg1dad05,99.7631009510319,12.96656620180229,74.40930372318515,125.11689817887866,804,Demande à la télé ou la radio,New Canadians Average Donation by Method,CA,
7,ImmStat,Naturalisé.e,2018,fg1dad05,182.28068747197955,44.89685060463632,21.88059056217935,342.68078438177974,97,Demande à la télé ou la radio,New Canadians Average Donation by Method,CA,...
8,ImmStat,Non canadien.ne,2018,fg1dad05,1225.775403450342,96.10354536167836,-1083.088866786182,3534.6396736868664,12,Demande à la télé ou la radio,New Canadians Average Donation by Method,CA,...
9,ImmStat,Né.e au Canada,2018,fg1dad06,187.4315084856054,7.376421974209904,160.33355802804422,214.5294589431666,1687,En ligne,New Canadians Average Donation by Method,CA,
10,ImmStat,Naturalisé.e,2018,fg1dad06,183.5351368777147,11.212272520393771,143.2020969742885,223.8681767811409,325,En ligne,New Canadians Average Donation by Method,CA,
11,ImmStat,Non canadien.ne,2018,fg1dad06,134.56335982273205,32.804621539478326,48.04466784873239,221.0820517967317,40,En ligne,New Canadians Average Donation by Method,CA,*
12,ImmStat,Né.e au Canada,2018,fg1dad07,476.3560878173324,7.4183450975097,407.0953930871568,545.616782547508,2388,Initiative personnelle,New Canadians Average Donation by Method,CA,
13,ImmStat,Naturalisé.e,2018,fg1dad07,541.0377928012705,11.996755229135369,413.82245024500753,668.2531353575334,469,Initiative personnelle,New Canadians Average Donation by Method,CA,
14,ImmStat,Non canadien.ne,2018,fg1dad07,458.3051251723737,47.39517556431399,32.57249160960845,884.037758735139,55,Initiative personnelle,New Canadians Average Donation by Method,CA,...
15,ImmStat,Né.e au Canada,2018,fg1dad08,129.27511767753643,5.007036290902427,116.58856076812714,141.96167458694572,2322,Activité caritative,New Canadians Average Donation by Method,CA,
16,ImmStat,Naturalisé.e,2018,fg1dad08,175.47185014419844,13.994367197963497,127.3426314711878,223.60106881720907,392,Activité caritative,New Canadians Average Donation by Method,CA,
17,ImmStat,Non canadien.ne,2018,fg1dad08,76.49080443140213,24.145377124281364,40.29224293778402,112.68936592502024,48,Activité caritative,New Canadians Average Donation by Method,CA,*
18,ImmStat,Né.e au Canada,2018,fg1dad09,141.01899984080845,10.511409906637972,111.96628686680016,170.07171281481675,3023,À la mémoire,New Canadians Average Donation by Method,CA,
19,ImmStat,Naturalisé.e,2018,fg1dad09,166.13956111830677,19.657841229082017,102.12821312253368,230.15090911407987,419,À la mémoire,New Canadians Average Donation by Method,CA,*
20,ImmStat,Non canadien.ne,2018,fg1dad09,99.91581045909176,32.17426737407913,36.90849544263651,162.923125475547,40,À la mémoire,New Canadians Average Donation by Method,CA,*
21,ImmStat,Né.e au Canada,2018,fg1dad10,96.94596963409327,12.025846401258187,74.09558565817996,119.79635361000662,2313,Au travail,New Canadians Average Donation by Method,CA,
22,ImmStat,Naturalisé.e,2018,fg1dad10,84.78713705746878,33.87844951532303,28.488019435911788,141.0862546790258,407,Au travail,New Canadians Average Donation by Method,CA,...
23,ImmStat,Non canadien.ne,2018,fg1dad10,145.5300398863681,73.31541299971764,-63.59017898136148,354.65025875409765,36,Au travail,New Canadians Average Donation by Method,CA,...
24,ImmStat,Né.e au Canada,2018,fg1dad11,38.99095056278764,6.251490323125314,34.21350796842815,43.76839315714713,2634,Porte-à-porte,New Canadians Average Donation by Method,CA,
25,ImmStat,Naturalisé.e,2018,fg1dad11,37.70471826144773,20.253220885953763,22.737610337743423,52.67182618515203,349,Porte-à-porte,New Canadians Average Donation by Method,CA,*
26,ImmStat,Non canadien.ne,2018,fg1dad11,36.63043284208105,18.79304217783972,23.138094291406297,50.1227713927558,40,Porte-à-porte,New Canadians Average Donation by Method,CA,*
27,ImmStat,Né.e au Canada,2018,fg1dad12,29.822606305162857,13.4802501550814,21.943233705049902,37.701978905275816,4473,Lieu public,New Canadians Average Donation by Method,CA,
28,ImmStat,Naturalisé.e,2018,fg1dad12,28.97294681005459,11.558445979280128,22.40937550436819,35.536518115741,701,Lieu public,New Canadians Average Donation by Method,CA,
29,ImmStat,Non canadien.ne,2018,fg1dad12,19.46708540470868,21.89804658591572,11.111932530972084,27.82223827844528,85,Lieu public,New Canadians Average Donation by Method,CA,*
30,ImmStat,Né.e au Canada,2018,fg1dad13,577.2537324328671,5.599006722863235,513.9067649073356,640.6006999583985,3201,Lieu de culture,New Canadians Average Donation by Method,CA,
31,ImmStat,Naturalisé.e,2018,fg1dad13,546.982602747608,8.593558766497432,454.8539637011973,639.1112417940187,792,Lieu de culture,New Canadians Average Donation by Method,CA,
32,ImmStat,Non canadien.ne,2018,fg1dad13,352.4257160885414,25.369163483775253,177.19032223539384,527.6611099416889,73,Lieu de culture,New Canadians Average Donation by Method,CA,*
33,ImmStat,Né.e au Canada,2018,fg1dad14,54.45913055669398,3.438805658912208,50.78862042419754,58.12964068919042,3699,Parrainage de quelqu'un,New Canadians Average Donation by Method,CA,
34,ImmStat,Naturalisé.e,2018,fg1dad14,76.7757035321747,9.030162960611127,63.18732978582156,90.36407727852784,468,Parrainage de quelqu'un,New Canadians Average Donation by Method,CA,
35,ImmStat,Non canadien.ne,2018,fg1dad14,47.06920288160497,25.077167464551763,23.93452724604484,70.20387851716511,46,Parrainage de quelqu'un,New Canadians Average Donation by Method,CA,*
36,ImmStat,Né.e au Canada,2018,fg1dad17,286.1093260193628,11.567389125838409,221.24357499535424,350.97507704337136,701,Autre méthode,New Canadians Average Donation by Method,CA,
37,ImmStat,Naturalisé.e,2018,fg1dad17,212.6044188231836,17.512384601674587,139.630836885753,285.57800076061415,169,Autre méthode,New Canadians Average Donation by Method,CA,*
38,ImmStat,Non canadien.ne,2018,fg1dad17,83.06786735066392,46.59805740853194,7.201556905971444,158.9341777953564,16,Autre méthode,New Canadians Average Donation by Method,CA,...
39,ImmStat,Né.e au Canada,2018,fg1dad03,261.64667822138546,5.4458067579131,233.7195973279869,289.573759114784,2152,Demande par lettre,New Canadians Average Donation by Method,CA (without QC),
40,ImmStat,Naturalisé.e,2018,fg1dad03,270.18021901039657,8.809488252678735,223.53014670880012,316.830291311993,463,Demande par lettre,New Canadians Average Donation by Method,CA (without QC),
41,ImmStat,Non canadien.ne,2018,fg1dad03,251.01273404597023,21.42223076257007,145.62051751196984,356.40495057997066,39,Demande par lettre,New Canadians Average Donation by Method,CA (without QC),*
42,ImmStat,Né.e au Canada,2018,fg1dad04,143.47332436370235,15.495129627256746,99.90062495923873,187.046023768166,1009,Demande au téléphone,New Canadians Average Donation by Method,CA (without QC),
43,ImmStat,Naturalisé.e,2018,fg1dad04,235.36281927998144,40.40150255369164,48.989617728214455,421.7360208317484,160,Demande au téléphone,New Canadians Average Donation by Method,CA (without QC),...
44,ImmStat,Non canadien.ne,2018,fg1dad04,247.8465173793661,51.0080741021264,0.0644694372711285,495.6285653214611,18,Demande au téléphone,New Canadians Average Donation by Method,CA (without QC),...
45,ImmStat,Né.e au Canada,2018,fg1dad05,136.93960135387675,15.142323956367,96.29810556396129,177.58109714379222,636,Demande à la télé ou la radio,New Canadians Average Donation by Method,CA (without QC),
46,ImmStat,Naturalisé.e,2018,fg1dad05,205.178080301188,48.11295255237075,11.695860098293934,398.6603005040821,86,Demande à la télé ou la radio,New Canadians Average Donation by Method,CA (without QC),...
47,ImmStat,Non canadien.ne,2018,fg1dad05,1583.7276000921738,96.6670600141742,-1416.8653651933832,4584.320565377731,10,Demande à la télé ou la radio,New Canadians Average Donation by Method,CA (without QC),...
48,ImmStat,Né.e au Canada,2018,fg1dad06,206.16070106117903,8.130392636610198,173.3084228016165,239.0129793207416,1531,En ligne,New Canadians Average Donation by Method,CA (without QC),
49,ImmStat,Naturalisé.e,2018,fg1dad06,196.03998857020872,11.727421867544903,150.97956106347146,241.100416076946,302,En ligne,New Canadians Average Donation by Method,CA (without QC),
50,ImmStat,Non canadien.ne,2018,fg1dad06,114.10525743703695,31.778226573589208,43.03573398839602,185.17478088567788,36,En ligne,New Canadians Average Donation by Method,CA (without QC),*
51,ImmStat,Né.e au Canada,2018,fg1dad07,594.7027013088882,7.956199689829292,501.9655658320175,687.4398367857589,1998,Initiative personnelle,New Canadians Average Donation by Method,CA (without QC),
52,ImmStat,Naturalisé.e,2018,fg1dad07,595.3674833913037,12.506695261622813,449.4270033354451,741.3079634471624,424,Initiative personnelle,New Canadians Average Donation by Method,CA (without QC),
53,ImmStat,Non canadien.ne,2018,fg1dad07,567.2645367199309,51.80283436927174,-8.688732258700156,1143.217805698562,42,Initiative personnelle,New Canadians Average Donation by Method,CA (without QC),...
54,ImmStat,Né.e au Canada,2018,fg1dad08,147.1872752855311,5.432454539021982,131.51563489935364,162.85891567170853,2038,Activité caritative,New Canadians Average Donation by Method,CA (without QC),
55,ImmStat,Naturalisé.e,2018,fg1dad08,195.5322765206867,14.994778144219032,138.06685559403394,252.99769744733948,351,Activité caritative,New Canadians Average Donation by Method,CA (without QC),
56,ImmStat,Non canadien.ne,2018,fg1dad08,78.74629438225838,27.57380805002726,36.18890636205207,121.3036824024647,41,Activité caritative,New Canadians Average Donation by Method,CA (without QC),*
57,ImmStat,Né.e au Canada,2018,fg1dad09,154.3730014343068,11.6838583195695,119.0216744035206,189.72432846509304,2723,À la mémoire,New Canadians Average Donation by Method,CA (without QC),
58,ImmStat,Naturalisé.e,2018,fg1dad09,176.3412583407829,20.590901982619343,105.17446497799966,247.5080517035661,395,À la mémoire,New Canadians Average Donation by Method,CA (without QC),*
59,ImmStat,Non canadien.ne,2018,fg1dad09,100.22126200040832,35.28959291875004,30.90189204266737,169.54063195814928,36,À la mémoire,New Canadians Average Donation by Method,CA (without QC),...
60,ImmStat,Né.e au Canada,2018,fg1dad10,98.22978306681748,13.512668303872031,72.21427018434903,124.24529594928596,2052,Au travail,New Canadians Average Donation by Method,CA (without QC),
61,ImmStat,Naturalisé.e,2018,fg1dad10,89.11214575821148,35.25886564480194,27.5302111391726,150.69408037725037,380,Au travail,New Canadians Average Donation by Method,CA (without QC),...
62,ImmStat,Non canadien.ne,2018,fg1dad10,152.72727995824891,78.14562407761393,-81.19380628578404,386.64836620228186,33,Au travail,New Canadians Average Donation by Method,CA (without QC),...
63,ImmStat,Né.e au Canada,2018,fg1dad11,42.33670244815365,7.078796589044966,36.46282944825629,48.21057544805101,2317,Porte-à-porte,New Canadians Average Donation by Method,CA (without QC),
64,ImmStat,Naturalisé.e,2018,fg1dad11,40.01600291605722,22.55153541257473,22.328850713710988,57.70315511840344,316,Porte-à-porte,New Canadians Average Donation by Method,CA (without QC),*
65,ImmStat,Non canadien.ne,2018,fg1dad11,37.80968202048864,18.466834830296907,24.124720493464057,51.49464354751322,38,Porte-à-porte,New Canadians Average Donation by Method,CA (without QC),*
66,ImmStat,Né.e au Canada,2018,fg1dad12,33.43028216798206,16.794888671145188,22.42591018139327,44.43465415457084,3870,Lieu public,New Canadians Average Donation by Method,CA (without QC),*
67,ImmStat,Naturalisé.e,2018,fg1dad12,30.710867191269724,12.707349772788133,23.062034610933868,38.35969977160558,630,Lieu public,New Canadians Average Donation by Method,CA (without QC),
68,ImmStat,Non canadien.ne,2018,fg1dad12,18.866374932256925,21.796499916015275,10.806592618691292,26.92615724582256,73,Lieu public,New Canadians Average Donation by Method,CA (without QC),*
69,ImmStat,Né.e au Canada,2018,fg1dad13,759.7338572682949,5.680964276497932,675.141402008446,844.3263125281437,2760,Lieu de culture,New Canadians Average Donation by Method,CA (without QC),
70,ImmStat,Naturalisé.e,2018,fg1dad13,594.4779531733336,8.803750652170779,491.900578999454,697.0553273472133,732,Lieu de culture,New Canadians Average Donation by Method,CA (without QC),
71,ImmStat,Non canadien.ne,2018,fg1dad13,430.5329658922451,27.414020485936124,199.20548154908312,661.8604502354071,62,Lieu de culture,New Canadians Average Donation by Method,CA (without QC),*
72,ImmStat,Né.e au Canada,2018,fg1dad14,55.4623899022549,3.612939987924323,51.53496925930431,59.38981054520549,3457,Parrainage de quelqu'un,New Canadians Average Donation by Method,CA (without QC),
73,ImmStat,Naturalisé.e,2018,fg1dad14,69.67048710296731,7.0346443737945545,60.06456445497271,79.27640975096192,452,Parrainage de quelqu'un,New Canadians Average Donation by Method,CA (without QC),
74,ImmStat,Non canadien.ne,2018,fg1dad14,48.426640724253495,28.462229966171225,21.41186551446516,75.44141593404183,42,Parrainage de quelqu'un,New Canadians Average Donation by Method,CA (without QC),*
75,ImmStat,Né.e au Canada,2018,fg1dad17,325.74199719227016,12.410056402866903,246.51091257319945,404.9730818113409,619,Autre méthode,New Canadians Average Donation by Method,CA (without QC),
76,ImmStat,Naturalisé.e,2018,fg1dad17,237.38690576868325,18.58565426668583,150.91347198964013,323.8603395477264,149,Autre méthode,New Canadians Average Donation by Method,CA (without QC),*
77,ImmStat,Non canadien.ne,2018,fg1dad17,85.44539577649397,50.13765592520222,1.4799143551125835,169.41087719787535,15,Autre méthode,New Canadians Average Donation by Method,CA (without QC),...
78,ImmStat,Né.e au Canada,2018,fg1dad03,271.3160882434558,16.25019733267276,184.90245266315975,357.7297238237518,200,Demande par lettre,New Canadians Average Donation by Method,AB,
79,ImmStat,Naturalisé.e,2018,fg1dad03,255.39631308122244,33.96290039329297,85.3890460390135,425.4035801234314,48,Demande par lettre,New Canadians Average Donation by Method,AB,...
80,ImmStat,Non canadien.ne,2018,fg1dad03,197.1068794720244,64.0008015264086,-50.14254332086944,444.35630226491816,5,Demande par lettre,New Canadians Average Donation by Method,AB,...
