Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,vd1dhrs,132.92125053831526,3.1913653647209355,124.60707792200935,141.23542315462117,6328,Total formal volunteer hours,New Canadians Average Volunteer Hours,CA,
ImmStat,Naturalized,2018,vd1dhrs,118.72317676268864,7.203978762568091,101.96001161259088,135.4863419127864,1149,Total formal volunteer hours,New Canadians Average Volunteer Hours,CA,
ImmStat,Non-Canadian,2018,vd1dhrs,141.92301295669563,21.584720139063695,81.88209333008197,201.9639325833093,164,Total formal volunteer hours,New Canadians Average Volunteer Hours,CA,*
ImmStat,Native-born,2018,ivs1hrs,143.98931967725784,4.472362951633691,131.36769063130723,156.61094872320845,9047,Total hours spent helping directly,New Canadians Average Volunteer Hours,CA,
ImmStat,Naturalized,2018,ivs1hrs,107.60015654000914,9.668734534073828,87.20952718105494,127.99078589896334,1712,Total hours spent helping directly,New Canadians Average Volunteer Hours,CA,
ImmStat,Non-Canadian,2018,ivs1hrs,64.0070842761974,12.47936226319339,48.35152715098863,79.66264140140618,218,Total hours spent helping directly,New Canadians Average Volunteer Hours,CA,
ImmStat,Native-born,2018,ichrs,42.842564734686185,7.711682190554036,36.36707415367378,49.318055315698594,3630,Total hours spent on community involvement,New Canadians Average Volunteer Hours,CA,
ImmStat,Naturalized,2018,ichrs,39.13905556857869,18.305815805617982,25.0964557053208,53.18165543183658,768,Total hours spent on community involvement,New Canadians Average Volunteer Hours,CA,*
ImmStat,Non-Canadian,2018,ichrs,40.591173582627675,25.334780913323705,20.43552155555012,60.746825609705226,114,Total hours spent on community involvement,New Canadians Average Volunteer Hours,CA,*
ImmStat,Native-born,2018,vd1dhrs,135.21468874006112,3.3870135361193743,126.23856365301963,144.1908138271026,5525,Total formal volunteer hours,New Canadians Average Volunteer Hours,CA (without QC),
ImmStat,Naturalized,2018,vd1dhrs,118.39427678004208,7.7776306171580085,100.34640016128174,136.44215339880242,1056,Total formal volunteer hours,New Canadians Average Volunteer Hours,CA (without QC),
ImmStat,Non-Canadian,2018,vd1dhrs,113.66458424005121,19.159369271733155,70.98163040932226,156.34753807078016,141,Total formal volunteer hours,New Canadians Average Volunteer Hours,CA (without QC),*
ImmStat,Native-born,2018,ivs1hrs,146.79909898331405,4.931344673010143,132.6105873917635,160.98761057486462,7895,Total hours spent helping directly,New Canadians Average Volunteer Hours,CA (without QC),
ImmStat,Naturalized,2018,ivs1hrs,106.9323975222447,11.128885169176186,83.60807401139891,130.25672103309049,1563,Total hours spent helping directly,New Canadians Average Volunteer Hours,CA (without QC),
ImmStat,Non-Canadian,2018,ivs1hrs,68.29421944812049,14.571081602572175,48.79021321197196,87.79822568426901,188,Total hours spent helping directly,New Canadians Average Volunteer Hours,CA (without QC),
ImmStat,Native-born,2018,ichrs,37.805397908253106,7.800909364933306,32.02514106506534,43.58565475144087,3219,Total hours spent on community involvement,New Canadians Average Volunteer Hours,CA (without QC),
ImmStat,Naturalized,2018,ichrs,34.57691564581426,19.070507375944473,21.652926364240145,47.500904927388376,708,Total hours spent on community involvement,New Canadians Average Volunteer Hours,CA (without QC),*
ImmStat,Non-Canadian,2018,ichrs,37.74161103134212,29.79736415125141,15.699845721301227,59.783376341383004,97,Total hours spent on community involvement,New Canadians Average Volunteer Hours,CA (without QC),*
ImmStat,Native-born,2018,vd1dhrs,140.6301884812636,8.040899907121005,118.46704765951156,162.7933293030156,560,Total formal volunteer hours,New Canadians Average Volunteer Hours,AB,
ImmStat,Naturalized,2018,vd1dhrs,156.01955962095104,24.975945132879417,79.64493821765211,232.39418102424997,117,Total formal volunteer hours,New Canadians Average Volunteer Hours,AB,*
ImmStat,Non-Canadian,2018,vd1dhrs,103.8169070474106,73.3227912388175,-45.37840129235225,253.01221538717346,12,Total formal volunteer hours,New Canadians Average Volunteer Hours,AB,...
ImmStat,Native-born,2018,vd1dhrs,142.20092620800003,7.123880593684598,122.34605164778738,162.0558007682127,1731,Total formal volunteer hours,New Canadians Average Volunteer Hours,AT,
ImmStat,Naturalized,2018,vd1dhrs,99.51865933463213,17.665047517699715,65.06245630461953,133.97486236464474,51,Total formal volunteer hours,New Canadians Average Volunteer Hours,AT,*
ImmStat,Non-Canadian,2018,vd1dhrs,73.7372430679036,42.20087133550249,12.747556004380996,134.72693013142623,17,Total formal volunteer hours,New Canadians Average Volunteer Hours,AT,...
