Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,mv1_30,24.745851212553188,24.21901026789994,12.999394578163502,36.49230784694287,240,Canvassing,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Naturalized,2018,mv1_30,31.99411587475527,30.200179123007942,13.056394472346845,50.931837277163694,45,Canvassing,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Native-born,2018,mv1_40,24.558475603629223,9.062050929259776,20.196572685456353,28.920378521802093,1918,Fundraising,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_40,21.09956783734538,14.431074626397702,15.13168451492573,27.067451159765028,281,Fundraising,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Non-Canadian,2018,mv1_40,12.704406516477436,21.367985743030495,7.383739771346042,18.025073261608828,32,Fundraising,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Native-born,2018,mv1_50,41.01338059264405,7.418771693760333,35.04981959917029,46.9769415861178,1860,Sit on committee or board,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_50,42.48042164323375,15.514948470018536,29.562660580009542,55.39818270645795,277,Sit on committee or board,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Non-Canadian,2018,mv1_50,86.40623708944155,39.57337654005562,19.387492104541053,153.42498207434204,36,Sit on committee or board,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_60,64.00628368846854,9.989336380960076,51.47466011834207,76.53790725859501,1193,Teaching or mentoring,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_60,66.80483746082045,15.869170296720755,46.026527364874354,87.58314755676655,260,Teaching or mentoring,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Non-Canadian,2018,mv1_60,85.05830024781243,34.34704591317025,27.797926099365235,142.3186743962596,39,Teaching or mentoring,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_70,49.508330376212314,11.8012645777805,38.057027051217304,60.95963370120732,2054,Organize activities or events,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_70,39.718725312335096,10.894925595346857,31.237323045365596,48.20012757930459,360,Organize activities or events,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Non-Canadian,2018,mv1_70,52.54407043149554,26.963724369324726,24.775617578507482,80.3125232844836,55,Organize activities or events,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Native-born,2018,mv1_80,62.48086197032912,10.10869624408215,50.101728371354824,74.85999556930342,879,Office work,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_80,46.88030925291059,20.21826648229115,28.30301435048433,65.45760415533685,138,Office work,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_80,30.550084577927617,58.423971509221836,-4.432475108826001,65.53264426468124,22,Office work,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_90,77.11773030514071,12.458586599365105,58.28682907520782,95.9486315350736,535,"Coach, referee or officiate",New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_90,40.93685846860295,17.327860383358875,27.03388984929373,54.83982708791217,73,"Coach, referee or officiate",New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_90,182.220457219731,36.066085530384854,53.41204367678577,311.0288707626762,15,"Coach, referee or officiate",New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_100,31.453672191937976,11.10528744895969,24.60747740275576,38.29986698112019,830,Counsel or provide advice,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_100,35.31618218777868,32.04245043540199,13.136896205389611,57.49546817016775,164,Counsel or provide advice,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_100,39.10581566673294,52.39638734284328,-1.0539142898714005,79.26554562333727,22,Counsel or provide advice,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_110,61.990795860969754,10.227941372186963,49.56387498940128,74.41771673253824,604,Health care or support,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_110,82.4500362493089,25.118162740167122,41.85931092963835,123.04076156897943,122,Health care or support,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_110,21.022731412061102,94.51237598894635,-17.919955586192042,59.96541841031424,12,Health care or support,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_120,33.276000130431186,8.617081867784696,27.655959861703337,38.896040399159034,1078,"Collect, serve or deliver goods",New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_120,35.664689727415315,27.83031194501917,16.210882167751805,55.118497287078824,202,"Collect, serve or deliver goods",New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_120,8.229923003142579,51.536625255243266,-0.0831164107727762,16.542962417057936,23,"Collect, serve or deliver goods",New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_130,41.14997512359029,12.46328564021483,31.098027510441042,51.20192273673953,607,"Maintenance, repair or building",New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_130,32.37860562363454,20.915129948400157,19.10567573565782,45.651535511611264,88,"Maintenance, repair or building",New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_130,45.051317834116084,157.31923711904173,-93.85993306841081,183.96256873664296,15,"Maintenance, repair or building",New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_140,32.825103668514565,13.086536856642834,24.405746570989514,41.244460766039616,578,Volunteer driving,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_140,17.641571193471957,17.606499296376427,11.553799367988578,23.729343018955337,124,Volunteer driving,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_140,9.017210847501612,46.61353355181678,0.7790106456223,17.255411049380925,16,Volunteer driving,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_150,54.5387532892563,15.36424290306681,38.115300677532815,70.96220590097978,174,"First aid, firefighting",New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_150,18.01287548235653,30.49434289693259,7.246973602198031,28.77877736251503,17,"First aid, firefighting",New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_150,1.8551116186265257,39.495712309370305,0.419066492873138,3.2911567443799132,2,"First aid, firefighting",New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_160,59.4954294988623,42.55632012937694,9.870973114477664,109.11988588324694,436,Protection of the environment,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Naturalized,2018,mv1_160,16.030648722079484,22.508760928026845,8.958509900391135,23.102787543767832,68,Protection of the environment,New Canadians Average Hours Volunteered by Activity,CA,*
ImmStat,Non-Canadian,2018,mv1_160,74.55751697931288,54.05319640140676,-4.430444897967831,153.5454788565936,5,Protection of the environment,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_170,72.6458158532964,9.108510974409763,59.67682803135392,85.61480367523887,846,Other,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Naturalized,2018,mv1_170,93.50023300284057,15.583719533193129,64.94196219228353,122.05850381339762,162,Other,New Canadians Average Hours Volunteered by Activity,CA,
ImmStat,Non-Canadian,2018,mv1_170,59.07294279842756,69.1750337718429,-21.01849261204275,139.16437820889786,22,Other,New Canadians Average Hours Volunteered by Activity,CA,...
ImmStat,Native-born,2018,mv1_30,25.991664619354246,24.20107367902437,13.66297783235767,38.320351406350824,195,Canvassing,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Naturalized,2018,mv1_30,27.88351694015178,31.21981255185533,10.821674286978183,44.94535959332538,43,Canvassing,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Native-born,2018,mv1_40,23.876352624090444,7.899808063648621,20.179495937337826,27.573209310843062,1753,Fundraising,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_40,21.20415426974138,14.643995382238545,15.11820077329682,27.29010776618594,265,Fundraising,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Non-Canadian,2018,mv1_40,13.843666723616797,24.287890159388425,7.253612066629598,20.433721380604,28,Fundraising,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Native-born,2018,mv1_50,43.88413567143055,8.342685417161553,36.70848136945379,51.059789973407305,1628,Sit on committee or board,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_50,42.12830441528764,17.268918113095076,27.86936574330002,56.38724308727525,253,Sit on committee or board,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Non-Canadian,2018,mv1_50,104.20585377964757,48.053746621417666,6.0610160448960215,202.3506915143991,30,Sit on committee or board,New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Native-born,2018,mv1_60,59.76552841986321,9.264313190436837,48.91347099646733,70.61758584325908,1082,Teaching or mentoring,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_60,66.21343131598174,16.95700273659949,44.2073215047591,88.21954112720437,240,Teaching or mentoring,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Non-Canadian,2018,mv1_60,106.7266089199194,34.80909323738499,33.9128398908516,179.5403779489872,32,Teaching or mentoring,New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Native-born,2018,mv1_70,50.434388780333634,13.61452603115697,36.976486218254735,63.892291342412534,1816,Organize activities or events,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_70,38.13562435170603,11.08805294166536,29.84792013622071,46.42332856719135,332,Organize activities or events,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Non-Canadian,2018,mv1_70,35.868087490233755,26.18278794307368,17.461545758836614,54.274629221630896,46,Organize activities or events,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Native-born,2018,mv1_80,53.953968458117856,9.225834630029302,44.19784807609663,63.71008884013908,752,Office work,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_80,44.57447335606723,21.158947778779545,26.089093536951513,63.05985317518295,128,Office work,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Non-Canadian,2018,mv1_80,18.651498937621245,35.45606720126432,5.690084636189603,31.612913239052887,18,Office work,New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Native-born,2018,mv1_90,84.76627819888245,13.040916590680073,63.10024903616568,106.43230736159921,493,"Coach, referee or officiate",New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_90,42.624584476958084,17.58334263677324,27.93499400386478,57.31417495005139,69,"Coach, referee or officiate",New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Non-Canadian,2018,mv1_90,190.3472882886707,35.82011181061184,56.711825389583765,323.9827511877577,14,"Coach, referee or officiate",New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Native-born,2018,mv1_100,33.49612717218458,13.967908945590352,24.32602693235335,42.66622741201581,654,Counsel or provide advice,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_100,38.1979584612598,34.49613380554666,12.371868061356444,64.02404886116315,139,Counsel or provide advice,New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Non-Canadian,2018,mv1_100,52.16531296919412,33.488976680095064,17.925468335045522,86.40515760334272,15,Counsel or provide advice,New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Native-born,2018,mv1_110,65.52790885840135,11.622502474964854,50.60085680695946,80.45496090984322,533,Health care or support,New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_110,84.17953185172266,26.041835790045802,41.21340628970668,127.14565741373863,116,Health care or support,New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Non-Canadian,2018,mv1_110,21.022731412061102,94.51237598894635,-17.919955586192042,59.96541841031424,12,Health care or support,New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Native-born,2018,mv1_120,29.83847565574584,9.512754942721182,24.275194191388483,35.4017571201032,928,"Collect, serve or deliver goods",New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_120,32.202095746721724,27.494301225279315,14.849081855588686,49.55510963785476,180,"Collect, serve or deliver goods",New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Non-Canadian,2018,mv1_120,12.857319232773895,41.046640202612465,2.513614076527201,23.20102438902059,20,"Collect, serve or deliver goods",New Canadians Average Hours Volunteered by Activity,CA (without QC),...
ImmStat,Native-born,2018,mv1_130,43.526157574536,13.628959327771591,31.899333091050615,55.15298205802139,539,"Maintenance, repair or building",New Canadians Average Hours Volunteered by Activity,CA (without QC),
ImmStat,Naturalized,2018,mv1_130,31.789518460438945,21.738449807808262,18.245092258275918,45.33394466260197,81,"Maintenance, repair or building",New Canadians Average Hours Volunteered by Activity,CA (without QC),*
ImmStat,Non-Canadian,2018,mv1_130,84.43297950997972,162.6080270986002,-184.65988806998774,353.52584708994715,10,"Maintenance, repair or building",New Canadians Average Hours Volunteered by Activity,CA (without QC),...
