,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,mv1_30,24.745851212553188,24.21901026789994,12.999394578163502,36.49230784694287,240,Porte-à-porte,New Canadians Average Hours Volunteered by Activity,CA,*
1,ImmStat,Naturalisé.e,2018,mv1_30,31.99411587475527,30.200179123007945,13.056394472346843,50.931837277163694,45,Porte-à-porte,New Canadians Average Hours Volunteered by Activity,CA,*
2,ImmStat,Né.e au Canada,2018,mv1_40,24.558475603629223,9.062050929259776,20.196572685456356,28.920378521802093,1918,Collecte de fonds,New Canadians Average Hours Volunteered by Activity,CA,
3,ImmStat,Naturalisé.e,2018,mv1_40,21.09956783734538,14.431074626397702,15.13168451492573,27.067451159765028,281,Collecte de fonds,New Canadians Average Hours Volunteered by Activity,CA,
4,ImmStat,Non canadien.ne,2018,mv1_40,12.704406516477436,21.36798574303049,7.383739771346042,18.025073261608828,32,Collecte de fonds,New Canadians Average Hours Volunteered by Activity,CA,*
5,ImmStat,Né.e au Canada,2018,mv1_50,41.01338059264405,7.418771693760333,35.04981959917029,46.9769415861178,1860,Membre d'un comité ou d'un conseil d'administration,New Canadians Average Hours Volunteered by Activity,CA,
6,ImmStat,Naturalisé.e,2018,mv1_50,42.48042164323375,15.514948470018536,29.562660580009545,55.39818270645795,277,Membre d'un comité ou d'un conseil d'administration,New Canadians Average Hours Volunteered by Activity,CA,
7,ImmStat,Non canadien.ne,2018,mv1_50,86.40623708944155,39.57337654005562,19.387492104541053,153.42498207434204,36,Membre d'un comité ou d'un conseil d'administration,New Canadians Average Hours Volunteered by Activity,CA,...
8,ImmStat,Né.e au Canada,2018,mv1_60,64.00628368846854,9.989336380960076,51.47466011834207,76.53790725859501,1193,Enseignement ou mentorat,New Canadians Average Hours Volunteered by Activity,CA,
9,ImmStat,Naturalisé.e,2018,mv1_60,66.80483746082045,15.869170296720757,46.026527364874354,87.58314755676655,260,Enseignement ou mentorat,New Canadians Average Hours Volunteered by Activity,CA,
10,ImmStat,Non canadien.ne,2018,mv1_60,85.05830024781243,34.34704591317025,27.797926099365235,142.3186743962596,39,Enseignement ou mentorat,New Canadians Average Hours Volunteered by Activity,CA,...
11,ImmStat,Né.e au Canada,2018,mv1_70,49.50833037621232,11.8012645777805,38.0570270512173,60.95963370120732,2054,Organisation d'activités ou d'événements,New Canadians Average Hours Volunteered by Activity,CA,
12,ImmStat,Naturalisé.e,2018,mv1_70,39.718725312335096,10.894925595346855,31.2373230453656,48.20012757930459,360,Organisation d'activités ou d'événements,New Canadians Average Hours Volunteered by Activity,CA,
13,ImmStat,Non canadien.ne,2018,mv1_70,52.54407043149554,26.963724369324726,24.77561757850748,80.3125232844836,55,Organisation d'activités ou d'événements,New Canadians Average Hours Volunteered by Activity,CA,*
14,ImmStat,Né.e au Canada,2018,mv1_80,62.48086197032912,10.10869624408215,50.10172837135482,74.85999556930342,879,Travail de bureau,New Canadians Average Hours Volunteered by Activity,CA,
15,ImmStat,Naturalisé.e,2018,mv1_80,46.88030925291059,20.21826648229115,28.30301435048433,65.45760415533685,138,Travail de bureau,New Canadians Average Hours Volunteered by Activity,CA,*
16,ImmStat,Non canadien.ne,2018,mv1_80,30.550084577927617,58.42397150922184,-4.432475108826001,65.53264426468124,22,Travail de bureau,New Canadians Average Hours Volunteered by Activity,CA,...
17,ImmStat,Né.e au Canada,2018,mv1_90,77.11773030514071,12.458586599365104,58.28682907520782,95.9486315350736,535,"Entraînement, arbitrage, présidence",New Canadians Average Hours Volunteered by Activity,CA,
18,ImmStat,Naturalisé.e,2018,mv1_90,40.93685846860295,17.327860383358875,27.03388984929373,54.83982708791217,73,"Entraînement, arbitrage, présidence",New Canadians Average Hours Volunteered by Activity,CA,*
19,ImmStat,Non canadien.ne,2018,mv1_90,182.220457219731,36.066085530384846,53.41204367678577,311.0288707626762,15,"Entraînement, arbitrage, présidence",New Canadians Average Hours Volunteered by Activity,CA,...
20,ImmStat,Né.e au Canada,2018,mv1_100,31.453672191937976,11.10528744895969,24.60747740275576,38.29986698112019,830,Conseils,New Canadians Average Hours Volunteered by Activity,CA,
21,ImmStat,Naturalisé.e,2018,mv1_100,35.31618218777868,32.04245043540199,13.136896205389611,57.49546817016775,164,Conseils,New Canadians Average Hours Volunteered by Activity,CA,*
22,ImmStat,Non canadien.ne,2018,mv1_100,39.10581566673294,52.39638734284328,-1.0539142898714005,79.26554562333727,22,Conseils,New Canadians Average Hours Volunteered by Activity,CA,...
23,ImmStat,Né.e au Canada,2018,mv1_110,61.99079586096976,10.227941372186963,49.56387498940128,74.41771673253824,604,Soins de santé ou soutien,New Canadians Average Hours Volunteered by Activity,CA,
24,ImmStat,Naturalisé.e,2018,mv1_110,82.4500362493089,25.11816274016712,41.85931092963835,123.04076156897943,122,Soins de santé ou soutien,New Canadians Average Hours Volunteered by Activity,CA,*
25,ImmStat,Non canadien.ne,2018,mv1_110,21.022731412061106,94.51237598894636,-17.919955586192042,59.96541841031424,12,Soins de santé ou soutien,New Canadians Average Hours Volunteered by Activity,CA,...
26,ImmStat,Né.e au Canada,2018,mv1_120,33.276000130431186,8.617081867784696,27.655959861703337,38.89604039915904,1078,"Collecte, distribution ou livraison de biens",New Canadians Average Hours Volunteered by Activity,CA,
27,ImmStat,Naturalisé.e,2018,mv1_120,35.664689727415315,27.83031194501917,16.210882167751805,55.11849728707882,202,"Collecte, distribution ou livraison de biens",New Canadians Average Hours Volunteered by Activity,CA,*
28,ImmStat,Non canadien.ne,2018,mv1_120,8.229923003142579,51.53662525524327,-0.0831164107727762,16.542962417057936,23,"Collecte, distribution ou livraison de biens",New Canadians Average Hours Volunteered by Activity,CA,...
29,ImmStat,Né.e au Canada,2018,mv1_130,41.14997512359029,12.46328564021483,31.09802751044104,51.20192273673953,607,"Entretien, réparation ou construction",New Canadians Average Hours Volunteered by Activity,CA,
30,ImmStat,Naturalisé.e,2018,mv1_130,32.37860562363454,20.91512994840016,19.10567573565782,45.651535511611264,88,"Entretien, réparation ou construction",New Canadians Average Hours Volunteered by Activity,CA,*
31,ImmStat,Non canadien.ne,2018,mv1_130,45.05131783411608,157.31923711904173,-93.8599330684108,183.96256873664296,15,"Entretien, réparation ou construction",New Canadians Average Hours Volunteered by Activity,CA,...
32,ImmStat,Né.e au Canada,2018,mv1_140,32.825103668514565,13.086536856642834,24.405746570989518,41.244460766039616,578,Chauffeur.euse bénévole,New Canadians Average Hours Volunteered by Activity,CA,
33,ImmStat,Naturalisé.e,2018,mv1_140,17.641571193471957,17.606499296376427,11.553799367988578,23.729343018955337,124,Chauffeur.euse bénévole,New Canadians Average Hours Volunteered by Activity,CA,*
34,ImmStat,Non canadien.ne,2018,mv1_140,9.017210847501612,46.61353355181678,0.7790106456223,17.255411049380925,16,Chauffeur.euse bénévole,New Canadians Average Hours Volunteered by Activity,CA,...
35,ImmStat,Né.e au Canada,2018,mv1_150,54.5387532892563,15.36424290306681,38.115300677532815,70.96220590097978,174,"Premier soins, incendies",New Canadians Average Hours Volunteered by Activity,CA,
36,ImmStat,Naturalisé.e,2018,mv1_150,18.01287548235653,30.49434289693259,7.246973602198031,28.77877736251503,17,"Premier soins, incendies",New Canadians Average Hours Volunteered by Activity,CA,*
37,ImmStat,Non canadien.ne,2018,mv1_150,1.8551116186265255,39.49571230937031,0.419066492873138,3.291156744379913,2,"Premier soins, incendies",New Canadians Average Hours Volunteered by Activity,CA,...
38,ImmStat,Né.e au Canada,2018,mv1_160,59.4954294988623,42.55632012937694,9.870973114477664,109.11988588324694,436,Protection de l'environnement,New Canadians Average Hours Volunteered by Activity,CA,...
39,ImmStat,Naturalisé.e,2018,mv1_160,16.030648722079484,22.508760928026845,8.958509900391135,23.102787543767832,68,Protection de l'environnement,New Canadians Average Hours Volunteered by Activity,CA,*
40,ImmStat,Non canadien.ne,2018,mv1_160,74.55751697931288,54.05319640140676,-4.430444897967831,153.5454788565936,5,Protection de l'environnement,New Canadians Average Hours Volunteered by Activity,CA,...
