Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,vd1dtx01,101.04426740210283,10.677739287107055,79.89773884365059,122.19079596055508,512,Arts & culture,New Canadians Average Hours Volunteered by Cause,CA,
ImmStat,Naturalized,2018,vd1dtx01,116.95029189888896,22.558559713493015,65.24193126070364,168.6586525370743,72,Arts & culture,New Canadians Average Hours Volunteered by Cause,CA,*
ImmStat,Non-Canadian,2018,vd1dtx01,92.35151389067204,32.26229887322894,33.95493296756225,150.74809481378182,18,Arts & culture,New Canadians Average Hours Volunteered by Cause,CA,*
ImmStat,Native-born,2018,vd1dtx02,107.59835346534341,6.68787265517721,93.49437255075867,121.70233437992815,1589,Sports & Recreation,New Canadians Average Hours Volunteered by Cause,CA,
ImmStat,Naturalized,2018,vd1dtx02,74.28862332326231,19.16743319279778,46.38026055454319,102.19698609198144,158,Sports & Recreation,New Canadians Average Hours Volunteered by Cause,CA,*
ImmStat,Non-Canadian,2018,vd1dtx02,175.20483424695232,36.77987018332626,48.904538328929846,301.5051301649748,20,Sports & Recreation,New Canadians Average Hours Volunteered by Cause,CA,...
ImmStat,Native-born,2018,vd1dtx03,51.025717147236364,7.878439080352156,43.14660305058195,58.904831243890776,878,Education & research,New Canadians Average Hours Volunteered by Cause,CA,
ImmStat,Naturalized,2018,vd1dtx03,42.30503260779202,20.76574369220532,25.086837907107565,59.52322730847648,155,Education & research,New Canadians Average Hours Volunteered by Cause,CA,*
ImmStat,Non-Canadian,2018,vd1dtx03,83.95955950689235,51.65724761736852,-1.0464256632167661,168.96554467700145,27,Education & research,New Canadians Average Hours Volunteered by Cause,CA,...
ImmStat,Native-born,2018,vd1dtx04,52.135125325991595,14.175965852148897,37.64970268007534,66.62054797190784,191,Universities & colleges,New Canadians Average Hours Volunteered by Cause,CA,
ImmStat,Naturalized,2018,vd1dtx04,85.29726592385512,18.16329996925118,54.9319392844843,115.66259256322594,49,Universities & colleges,New Canadians Average Hours Volunteered by Cause,CA,*
ImmStat,Non-Canadian,2018,vd1dtx04,159.59969827251172,54.50634122875944,-10.901402707528234,330.10079925255167,12,Universities & colleges,New Canadians Average Hours Volunteered by Cause,CA,...
ImmStat,Native-born,2018,vd1dtx05,61.91156489670597,12.13408309206652,47.187530032070114,76.63559976134182,729,Health,New Canadians Average Hours Volunteered by Cause,CA,
ImmStat,Naturalized,2018,vd1dtx05,36.727514516974104,22.63773062647515,20.43183338722302,53.023195646725185,120,Health,New Canadians Average Hours Volunteered by Cause,CA,*
ImmStat,Non-Canadian,2018,vd1dtx05,23.320260061950812,117.19569347868067,-30.246223004510284,76.88674312841191,8,Health,New Canadians Average Hours Volunteered by Cause,CA,...
ImmStat,Native-born,2018,vd1dtx06,105.4686051601138,11.782579357654967,81.11228540464067,129.82492491558693,351,Hospitals,New Canadians Average Hours Volunteered by Cause,CA,
ImmStat,Naturalized,2018,vd1dtx06,127.64187653925049,21.61883412081235,73.55728668142612,181.72646639707486,66,Hospitals,New Canadians Average Hours Volunteered by Cause,CA,*
ImmStat,Non-Canadian,2018,vd1dtx06,65.03862524306658,51.889169392053766,-1.1062440554741073,131.18349454160727,6,Hospitals,New Canadians Average Hours Volunteered by Cause,CA,...
