,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,vd1dtx01,101.04426740210285,10.677739287107055,79.89773884365059,122.19079596055508,512,Arts et culture,New Canadians Average Hours Volunteered by Cause,CA,
1,ImmStat,Naturalisé.e,2018,vd1dtx01,116.95029189888896,22.55855971349301,65.24193126070364,168.6586525370743,72,Arts et culture,New Canadians Average Hours Volunteered by Cause,CA,*
2,ImmStat,Non canadien.ne,2018,vd1dtx01,92.35151389067204,32.26229887322894,33.95493296756225,150.74809481378182,18,Arts et culture,New Canadians Average Hours Volunteered by Cause,CA,*
3,ImmStat,Né.e au Canada,2018,vd1dtx02,107.5983534653434,6.68787265517721,93.49437255075868,121.70233437992816,1589,Sport et loisir,New Canadians Average Hours Volunteered by Cause,CA,
4,ImmStat,Naturalisé.e,2018,vd1dtx02,74.28862332326231,19.16743319279778,46.38026055454319,102.19698609198144,158,Sport et loisir,New Canadians Average Hours Volunteered by Cause,CA,*
5,ImmStat,Non canadien.ne,2018,vd1dtx02,175.20483424695232,36.77987018332626,48.904538328929846,301.5051301649748,20,Sport et loisir,New Canadians Average Hours Volunteered by Cause,CA,...
6,ImmStat,Né.e au Canada,2018,vd1dtx03,51.02571714723637,7.878439080352156,43.14660305058195,58.904831243890776,878,Éducation et recherche,New Canadians Average Hours Volunteered by Cause,CA,
7,ImmStat,Naturalisé.e,2018,vd1dtx03,42.30503260779202,20.76574369220532,25.086837907107565,59.52322730847648,155,Éducation et recherche,New Canadians Average Hours Volunteered by Cause,CA,*
8,ImmStat,Non canadien.ne,2018,vd1dtx03,83.95955950689235,51.65724761736852,-1.046425663216766,168.96554467700145,27,Éducation et recherche,New Canadians Average Hours Volunteered by Cause,CA,...
9,ImmStat,Né.e au Canada,2018,vd1dtx04,52.1351253259916,14.175965852148895,37.64970268007534,66.62054797190784,191,Universités et collèges,New Canadians Average Hours Volunteered by Cause,CA,
10,ImmStat,Naturalisé.e,2018,vd1dtx04,85.29726592385512,18.16329996925118,54.9319392844843,115.66259256322594,49,Universités et collèges,New Canadians Average Hours Volunteered by Cause,CA,*
11,ImmStat,Non canadien.ne,2018,vd1dtx04,159.59969827251172,54.50634122875944,-10.901402707528234,330.10079925255167,12,Universités et collèges,New Canadians Average Hours Volunteered by Cause,CA,...
12,ImmStat,Né.e au Canada,2018,vd1dtx05,61.91156489670597,12.13408309206652,47.187530032070114,76.63559976134182,729,Santé,New Canadians Average Hours Volunteered by Cause,CA,
13,ImmStat,Naturalisé.e,2018,vd1dtx05,36.7275145169741,22.63773062647515,20.43183338722302,53.02319564672519,120,Santé,New Canadians Average Hours Volunteered by Cause,CA,*
14,ImmStat,Non canadien.ne,2018,vd1dtx05,23.32026006195081,117.19569347868068,-30.246223004510284,76.88674312841191,8,Santé,New Canadians Average Hours Volunteered by Cause,CA,...
15,ImmStat,Né.e au Canada,2018,vd1dtx06,105.4686051601138,11.782579357654969,81.11228540464067,129.82492491558693,351,Hôpitaux,New Canadians Average Hours Volunteered by Cause,CA,
16,ImmStat,Naturalisé.e,2018,vd1dtx06,127.64187653925048,21.61883412081235,73.55728668142612,181.7264663970749,66,Hôpitaux,New Canadians Average Hours Volunteered by Cause,CA,*
17,ImmStat,Non canadien.ne,2018,vd1dtx06,65.03862524306658,51.889169392053766,-1.106244055474107,131.18349454160727,6,Hôpitaux,New Canadians Average Hours Volunteered by Cause,CA,...
18,ImmStat,Né.e au Canada,2018,vd1dtx07,93.51819259980256,7.000937581054753,80.68601382837986,106.3503713712253,1783,Services sociaux,New Canadians Average Hours Volunteered by Cause,CA,
19,ImmStat,Naturalisé.e,2018,vd1dtx07,74.85551952695441,15.847029260713503,51.60568963380176,98.10534942010706,286,Services sociaux,New Canadians Average Hours Volunteered by Cause,CA,
20,ImmStat,Non canadien.ne,2018,vd1dtx07,33.14438439268103,28.25523494709693,14.789275261751278,51.49949352361079,42,Services sociaux,New Canadians Average Hours Volunteered by Cause,CA,*
21,ImmStat,Né.e au Canada,2018,vd1dtx08,102.7820047406926,24.97899897471897,52.46205421425127,153.10195526713397,496,Environnement,New Canadians Average Hours Volunteered by Cause,CA,*
22,ImmStat,Naturalisé.e,2018,vd1dtx08,71.52391833524366,30.62113545144884,28.5978927348391,114.44994393564824,50,Environnement,New Canadians Average Hours Volunteered by Cause,CA,*
23,ImmStat,Non canadien.ne,2018,vd1dtx08,50.13826930597525,39.02432414633916,11.78937734756952,88.48716126438097,11,Environnement,New Canadians Average Hours Volunteered by Cause,CA,...
24,ImmStat,Né.e au Canada,2018,vd1dtx09,67.495668305303,9.118772638036376,55.432527967174536,79.55880864343146,690,Aménagement et logement,New Canadians Average Hours Volunteered by Cause,CA,
25,ImmStat,Naturalisé.e,2018,vd1dtx09,98.16475532624597,21.56562113858044,56.67263288620823,139.65687776628369,141,Aménagement et logement,New Canadians Average Hours Volunteered by Cause,CA,*
26,ImmStat,Non canadien.ne,2018,vd1dtx09,26.057087120303645,51.20363375071887,-0.0930962472752447,52.20727048788254,16,Aménagement et logement,New Canadians Average Hours Volunteered by Cause,CA,...
27,ImmStat,Né.e au Canada,2018,vd1dtx10,89.54964290828079,18.90104752464308,56.37564419357844,122.72364162298314,239,"Droit, plaidoyer et politique",New Canadians Average Hours Volunteered by Cause,CA,*
28,ImmStat,Naturalisé.e,2018,vd1dtx10,121.89508398752017,52.20714521001263,-2.8329933250883386,246.62316130012863,69,"Droit, plaidoyer et politique",New Canadians Average Hours Volunteered by Cause,CA,...
29,ImmStat,Non canadien.ne,2018,vd1dtx10,47.123344670104494,30.469059190999943,18.982103812097524,75.26458552811147,7,"Droit, plaidoyer et politique",New Canadians Average Hours Volunteered by Cause,CA,...
30,ImmStat,Né.e au Canada,2018,vd1dtx11,59.53937970025408,16.21753452371167,40.61432132117176,78.4644380793364,266,"Subventions, collecte de fonds",New Canadians Average Hours Volunteered by Cause,CA,
31,ImmStat,Naturalisé.e,2018,vd1dtx11,26.794735193618763,27.08043444470274,12.572980356973648,41.01649003026388,48,"Subventions, collecte de fonds",New Canadians Average Hours Volunteered by Cause,CA,*
32,ImmStat,Non canadien.ne,2018,vd1dtx11,18.408126313874995,43.41657572445132,2.743745078833532,34.072507548916455,11,"Subventions, collecte de fonds",New Canadians Average Hours Volunteered by Cause,CA,...
33,ImmStat,Né.e au Canada,2018,vd1dtx12,63.68067194722472,24.97451208400097,32.50952799799471,94.85181589645472,70,International,New Canadians Average Hours Volunteered by Cause,CA,*
34,ImmStat,Naturalisé.e,2018,vd1dtx12,82.70336586141251,47.2289705813102,6.147273891835056,159.25945783098996,37,International,New Canadians Average Hours Volunteered by Cause,CA,...
35,ImmStat,Non canadien.ne,2018,vd1dtx12,38.15380849018086,124.28576246732445,-54.78719717864213,131.09481415900385,10,International,New Canadians Average Hours Volunteered by Cause,CA,...
36,ImmStat,Né.e au Canada,2018,vd1dtx13,108.34945889713975,6.659922135730331,94.20637917413616,122.49253862014336,1212,Religion,New Canadians Average Hours Volunteered by Cause,CA,
