,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,ichrs1,22.670338866494127,12.443724990111257,17.14121260652284,28.199465126465416,708,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,CA,
1,ImmStat,Naturalisé.e,2018,ichrs1,17.31845190807688,19.84486087214217,10.582403221547937,24.054500594605827,130,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,CA,*
2,ImmStat,Non canadien.ne,2018,ichrs1,22.01854254307405,55.71502040889585,-2.025581156757628,46.062666242905735,15,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,CA,...
3,ImmStat,Né.e au Canada,2018,ichrs2,10.798829393539505,7.543737553120551,9.202173450420856,12.395485336658153,1554,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,CA,
4,ImmStat,Naturalisé.e,2018,ichrs2,9.405811840813014,15.11283083308204,6.619753549547699,12.191870132078328,325,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,CA,
5,ImmStat,Non canadien.ne,2018,ichrs2,8.724685044610117,27.10589070549201,4.0895591762235,13.359810912996736,44,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,CA,*
6,ImmStat,Né.e au Canada,2018,ichrs3,24.138745279109997,13.155203563079771,17.914877531323068,30.36261302689692,1687,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,CA,
7,ImmStat,Naturalisé.e,2018,ichrs3,21.511981957459906,19.184233447568577,13.423389267660696,29.60057464725912,305,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,CA,*
8,ImmStat,Non canadien.ne,2018,ichrs3,13.85061951054623,30.54573591973349,5.558455512285956,22.142783508806502,51,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,CA,*
9,ImmStat,Né.e au Canada,2018,ichrs4,30.11654164418449,10.750211393163015,23.770978141068348,36.46210514730063,997,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,CA,
10,ImmStat,Naturalisé.e,2018,ichrs4,22.66358625443763,13.048626428507978,16.867410819415795,28.459761689459462,288,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,CA,
11,ImmStat,Non canadien.ne,2018,ichrs4,45.99039381372361,46.98727424009149,3.63629246248545,88.34449516496176,37,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,CA,...
12,ImmStat,Né.e au Canada,2018,ichrs5,39.7062584958311,24.877500435085835,20.34588197891886,59.06663501274334,325,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,CA,*
13,ImmStat,Naturalisé.e,2018,ichrs5,17.718785011846297,19.95170899703293,10.789919503903564,24.64765051978903,74,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,CA,*
14,ImmStat,Non canadien.ne,2018,ichrs5,42.3642131016126,121.87359349940752,-58.83027356655594,143.55869976978113,11,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,CA,...
15,ImmStat,Né.e au Canada,2018,ichrs6,86.51806380359822,16.270135869297988,58.92842197568751,114.10770563150894,501,Autre,New Canadians Average Hours Spent on Community Involvement,CA,
16,ImmStat,Naturalisé.e,2018,ichrs6,100.59791502703207,47.03798253005871,7.853929046657342,193.3419010074068,115,Autre,New Canadians Average Hours Spent on Community Involvement,CA,...
17,ImmStat,Non canadien.ne,2018,ichrs6,31.303955504470824,51.61632313335597,-0.3650461798492408,62.972957188790886,19,Autre,New Canadians Average Hours Spent on Community Involvement,CA,...
18,ImmStat,Né.e au Canada,2018,ichrs1,21.594257874596508,13.594133775366291,15.840681085453276,27.34783466373974,644,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,CA (without QC),
19,ImmStat,Naturalisé.e,2018,ichrs1,14.923331441125262,18.102403294279817,9.62852471709662,20.218138165153903,123,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
20,ImmStat,Non canadien.ne,2018,ichrs1,22.758149122227746,59.48591670819668,-3.7756348214105806,49.29193306586608,14,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,CA (without QC),...
21,ImmStat,Né.e au Canada,2018,ichrs2,10.462098719707829,8.648718139001195,8.688649945648532,12.235547493767122,1406,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,CA (without QC),
22,ImmStat,Naturalisé.e,2018,ichrs2,9.40825959605328,16.522537648435076,6.361528443193922,12.454990748912635,303,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
23,ImmStat,Non canadien.ne,2018,ichrs2,8.862959347792296,28.39590316646455,3.930283974524211,13.79563472106038,40,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
24,ImmStat,Né.e au Canada,2018,ichrs3,19.12351848433737,10.449281804465194,15.206980591742164,23.040056376932583,1491,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,CA (without QC),
25,ImmStat,Naturalisé.e,2018,ichrs3,20.886043807306475,20.812077444178158,12.36643392009898,29.405653694513973,278,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
26,ImmStat,Non canadien.ne,2018,ichrs3,18.72004250200144,27.16452606616207,8.753212431104743,28.68687257289814,43,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
27,ImmStat,Né.e au Canada,2018,ichrs4,29.42126750213767,12.45478984737825,22.239259681502368,36.60327532277297,889,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,CA (without QC),
28,ImmStat,Naturalisé.e,2018,ichrs4,20.18314286139259,11.09963462551104,15.792323522634298,24.57396220015088,265,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,CA (without QC),
29,ImmStat,Non canadien.ne,2018,ichrs4,43.31998827959308,69.05462873847115,-15.311270206479826,101.951246765666,31,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,CA (without QC),...
30,ImmStat,Né.e au Canada,2018,ichrs5,41.77905221232509,32.04193096827812,15.541376809241832,68.01672761540834,271,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
31,ImmStat,Naturalisé.e,2018,ichrs5,17.74175079947194,21.53150530681406,10.25455899168284,25.22894260726104,64,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
32,ImmStat,Non canadien.ne,2018,ichrs5,7.655092600613976,54.73640671301979,-0.5573968256481123,15.867582026876065,9,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,CA (without QC),...
33,ImmStat,Né.e au Canada,2018,ichrs6,70.24570442586204,19.95409151236101,42.77310064718693,97.71830820453717,440,Autre,New Canadians Average Hours Spent on Community Involvement,CA (without QC),*
34,ImmStat,Naturalisé.e,2018,ichrs6,79.25795760619128,56.79394945657077,-8.967320994835475,167.48323620721806,107,Autre,New Canadians Average Hours Spent on Community Involvement,CA (without QC),...
35,ImmStat,Non canadien.ne,2018,ichrs6,30.626766795457417,63.71082198506917,-7.617157601302811,68.87069119221765,16,Autre,New Canadians Average Hours Spent on Community Involvement,CA (without QC),...
36,ImmStat,Né.e au Canada,2018,ichrs1,18.376463563533186,22.4179830501247,10.302132259696997,26.450794867369368,81,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,AB,*
37,ImmStat,Naturalisé.e,2018,ichrs1,13.563230848672411,69.13464709663161,-4.81513933123423,31.941601028579058,12,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,AB,...
38,ImmStat,Non canadien.ne,2018,ichrs1,59.96419966617504,57.5047344511794,-7.61977585586051,127.54817518821058,2,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,AB,...
39,ImmStat,Né.e au Canada,2018,ichrs1,19.60744537641162,19.48761548251568,12.118376812969816,27.09651393985342,175,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,AT,*
40,ImmStat,Naturalisé.e,2018,ichrs1,23.50470580378431,161.61881591117174,-50.95045935876559,97.95987096633422,8,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,AT,...
41,ImmStat,Non canadien.ne,2018,ichrs1,1.0,0.0,1.0,1.0,1,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,AT,...
42,ImmStat,Né.e au Canada,2018,ichrs1,23.540973835114567,21.294301999741545,13.71589769473806,33.36604997549107,101,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,BC,*
43,ImmStat,Naturalisé.e,2018,ichrs1,11.618288584821478,31.87009516888076,4.36101306861607,18.875564101026885,30,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,BC,*
44,ImmStat,Non canadien.ne,2018,ichrs1,11.791122690354069,54.320911131617166,-0.7625353739667382,24.344780754674872,5,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,BC,...
45,ImmStat,Né.e au Canada,2018,ichrs1,23.77025712248355,26.59064818912893,11.381980491778434,36.15853375318866,161,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,ON,*
46,ImmStat,Naturalisé.e,2018,ichrs1,14.912288391260985,25.58955616885406,7.433088534510125,22.39148824801184,61,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,ON,*
47,ImmStat,Non canadien.ne,2018,ichrs1,26.464716596660857,258.3270161932331,-107.52922613512648,160.4586593284482,4,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,ON,...
48,ImmStat,Né.e au Canada,2018,ichrs1,17.90535006825436,16.51257098201613,12.110454619160794,23.700245517347927,126,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,PR,*
49,ImmStat,Naturalisé.e,2018,ichrs1,27.0816265967282,58.160759954168974,-3.7895306078405646,57.95278380129696,12,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,PR,...
50,ImmStat,Non canadien.ne,2018,ichrs1,5.876597260692215,30.952394791195047,2.3115255054667907,9.44166901591764,2,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,PR,...
51,ImmStat,Né.e au Canada,2018,ichrs1,28.50680579453717,35.72244063665973,8.547852068106469,48.46575952096788,64,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,QC,...
52,ImmStat,Naturalisé.e,2018,ichrs1,46.09905771840106,47.6561076345654,3.040576475625997,89.15753896117613,7,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,QC,...
53,ImmStat,Non canadien.ne,2018,ichrs1,3.0000000000000004,4.395669504507235e-15,3.0,3.000000000000001,1,"Entretenir des parcs, lieux publics",New Canadians Average Hours Spent on Community Involvement,QC,...
54,ImmStat,Né.e au Canada,2018,ichrs2,12.27148750320268,18.583310232260036,7.801890392654612,16.741084613750747,158,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,AB,*
55,ImmStat,Naturalisé.e,2018,ichrs2,5.78961393381298,26.55441684770509,2.7763687969161865,8.802859070709774,35,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,AB,*
56,ImmStat,Non canadien.ne,2018,ichrs2,2.9336962376924283,34.51338535134892,0.9491976443863396,4.918194830998517,4,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,AB,...
57,ImmStat,Né.e au Canada,2018,ichrs2,11.847858147898185,17.83208942231285,7.707001745762988,15.98871455003338,420,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,AT,*
58,ImmStat,Naturalisé.e,2018,ichrs2,6.240187751405903,37.314621050902446,1.6764068853794596,10.803968617432346,20,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,AT,...
59,ImmStat,Non canadien.ne,2018,ichrs2,10.275035296080164,27.35502798723596,4.766088515485589,15.78398207667474,6,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,AT,...
60,ImmStat,Né.e au Canada,2018,ichrs2,14.43976413257803,20.316441531043505,8.689923164253603,20.189605100902455,228,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,BC,*
61,ImmStat,Naturalisé.e,2018,ichrs2,7.850666349768372,18.255722609441804,5.04165405823614,10.659678641300603,89,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,BC,*
62,ImmStat,Non canadien.ne,2018,ichrs2,4.7864779625713,30.50785545943395,1.924437068509671,7.648518856632928,13,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,BC,...
63,ImmStat,Né.e au Canada,2018,ichrs2,8.184898212058831,14.929751762344967,5.789851651690565,10.579944772427098,361,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,ON,
64,ImmStat,Naturalisé.e,2018,ichrs2,11.587193718332982,24.04477058778309,6.126510333130502,17.047877103535463,133,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,ON,*
65,ImmStat,Non canadien.ne,2018,ichrs2,10.943196227401724,33.54615275849929,3.7481266476343817,18.138265807169063,14,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,ON,...
66,ImmStat,Né.e au Canada,2018,ichrs2,7.9897382648133695,12.626907999624487,6.012415075045442,9.967061454581298,239,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,PR,
67,ImmStat,Naturalisé.e,2018,ichrs2,6.8227030692417365,34.46388361700565,2.2141056020358025,11.43130053644767,26,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,PR,...
68,ImmStat,Non canadien.ne,2018,ichrs2,8.766351715811128,88.05759182551725,-6.363469160391599,23.89617259201385,3,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,PR,...
69,ImmStat,Né.e au Canada,2018,ichrs2,12.295321438281976,15.264141126989744,8.616909607146091,15.97373326941786,148,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,QC,
70,ImmStat,Naturalisé.e,2018,ichrs2,9.38389686510943,33.87102407916886,3.154304282617116,15.613489447601744,22,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,QC,...
71,ImmStat,Non canadien.ne,2018,ichrs2,6.752991072072099,33.62095588844398,2.3030493492938904,11.202932794850309,4,Participer aux réunions publiques,New Canadians Average Hours Spent on Community Involvement,QC,...
72,ImmStat,Né.e au Canada,2018,ichrs3,27.960546841284465,29.727565843872945,11.669345855228832,44.2517478273401,148,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,AB,*
73,ImmStat,Naturalisé.e,2018,ichrs3,24.700450950721347,43.239671284273925,3.7672637682389087,45.63363813320379,30,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,AB,...
74,ImmStat,Né.e au Canada,2018,ichrs3,17.8792218043638,16.641302577400698,12.04767158049708,23.71077202823052,414,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,AT,*
75,ImmStat,Naturalisé.e,2018,ichrs3,15.818398951467424,57.94614003021466,-2.146928074998945,33.78372597793379,22,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,AT,...
76,ImmStat,Non canadien.ne,2018,ichrs3,16.864565403009784,80.85695411359383,-9.8618443462775,43.59097515229707,6,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,AT,...
77,ImmStat,Né.e au Canada,2018,ichrs3,15.340067677382082,20.5288622404525,9.167864027436018,21.512271327328147,256,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,BC,*
78,ImmStat,Naturalisé.e,2018,ichrs3,23.382130482485344,60.90736567922914,-4.5305784499742,51.29483941494489,74,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,BC,...
79,ImmStat,Non canadien.ne,2018,ichrs3,20.87451801585014,92.26766935961729,-16.875233586884715,58.62426961858499,9,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,BC,...
80,ImmStat,Né.e au Canada,2018,ichrs3,16.25568261074519,13.647601256294172,11.90748145279166,20.60388376869872,444,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,ON,
81,ImmStat,Naturalisé.e,2018,ichrs3,19.87725212513499,24.1116237397786,10.483677382696431,29.27082686757355,129,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,ON,*
82,ImmStat,Non canadien.ne,2018,ichrs3,19.516569814337416,33.17252909705002,6.827488974662051,32.20565065401278,22,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,ON,*
83,ImmStat,Né.e au Canada,2018,ichrs3,31.19122141423372,37.47662699747051,8.280383711468545,54.10205911699889,229,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,PR,...
84,ImmStat,Naturalisé.e,2018,ichrs3,12.57398822316075,57.99549665111591,-1.7187491006056843,26.866725546927185,23,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,PR,...
85,ImmStat,Non canadien.ne,2018,ichrs3,10.22086709920877,193.1503641663973,-28.47204026172072,48.91377446013826,6,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,PR,...
86,ImmStat,Né.e au Canada,2018,ichrs3,42.49157930114783,30.505327898318114,17.08614277440563,67.89701582789003,196,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,QC,*
87,ImmStat,Naturalisé.e,2018,ichrs3,25.639479435424278,57.08831461173228,-3.0488009034201653,54.32775977426871,27,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,QC,...
88,ImmStat,Non canadien.ne,2018,ichrs3,1.3846661706756518,69.57610759375888,-0.5035569086029927,3.2728892499542965,8,Produire/diffuser de l'information,New Canadians Average Hours Spent on Community Involvement,QC,...
89,ImmStat,Né.e au Canada,2018,ichrs4,39.65490478045386,41.121843782142655,7.694109206644111,71.61570035426361,101,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,AB,...
90,ImmStat,Naturalisé.e,2018,ichrs4,23.85372670563208,41.584661987505406,4.411880381642877,43.29557302962128,35,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,AB,...
91,ImmStat,Né.e au Canada,2018,ichrs4,23.138485752895377,17.675580785205085,15.122504037363788,31.154467468426965,274,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,AT,*
92,ImmStat,Naturalisé.e,2018,ichrs4,19.02838161842901,43.1412855091265,2.938863926650676,35.11789931020734,10,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,AT,...
93,ImmStat,Non canadien.ne,2018,ichrs4,11.393570562475698,60.456727760004455,-2.1070140332715592,24.89415515822296,7,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,AT,...
94,ImmStat,Né.e au Canada,2018,ichrs4,20.9411713877146,14.29326091647702,15.074653708125645,26.80768906730355,122,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,BC,
95,ImmStat,Naturalisé.e,2018,ichrs4,15.986591124182786,13.941411595353523,11.618308715242506,20.354873533123065,60,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,BC,
96,ImmStat,Non canadien.ne,2018,ichrs4,12.29421827752698,37.02472874305472,3.3726563184004856,21.215780236653472,8,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,BC,...
97,ImmStat,Né.e au Canada,2018,ichrs4,28.869506403046287,14.643950529982966,20.58349164092158,37.155521165171,239,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,ON,
98,ImmStat,Naturalisé.e,2018,ichrs4,21.61270264806659,13.484681852253658,15.90057539581388,27.3248299003193,129,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,ON,
99,ImmStat,Non canadien.ne,2018,ichrs4,11.01300488752498,20.7434328176254,6.535515634663298,15.490494140386662,10,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,ON,...
100,ImmStat,Né.e au Canada,2018,ichrs4,33.61698492472317,26.38853974022221,16.230082823403023,51.00388702604332,153,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,PR,*
101,ImmStat,Naturalisé.e,2018,ichrs4,12.6375320150968,32.855682756248314,4.499472599481095,20.775591430712502,31,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,PR,*
102,ImmStat,Non canadien.ne,2018,ichrs4,282.4228342971688,55.98785752058492,-27.491559229396444,592.337227823734,6,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,PR,...
103,ImmStat,Né.e au Canada,2018,ichrs4,32.88169531330552,21.60426409162929,18.958408506818017,46.804982119793024,108,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,QC,*
104,ImmStat,Naturalisé.e,2018,ichrs4,36.56378733218824,41.55453048880444,6.784270644411929,66.34330401996455,23,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,QC,...
105,ImmStat,Non canadien.ne,2018,ichrs4,52.04471777553605,38.70967693154574,12.558612818057677,91.53082273301442,6,Organiser/coordonner des événements,New Canadians Average Hours Spent on Community Involvement,QC,...
106,ImmStat,Né.e au Canada,2018,ichrs5,102.49541373753752,76.05374777020386,-50.2869215419594,255.27774901703444,32,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,AB,...
107,ImmStat,Naturalisé.e,2018,ichrs5,44.16952163083108,54.88036502051483,-3.3407789498826475,91.6798222115448,3,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,AB,...
108,ImmStat,Né.e au Canada,2018,ichrs5,28.47286213087258,22.57715163160111,15.873505587258045,41.07221867448712,80,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,AT,*
109,ImmStat,Naturalisé.e,2018,ichrs5,4.76430312874513,20.07894451398569,2.889358889788908,6.639247367701352,5,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,AT,...
110,ImmStat,Non canadien.ne,2018,ichrs5,50.0,4.122821876618645e-15,49.99999999999999,50.00000000000001,1,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,AT,...
111,ImmStat,Né.e au Canada,2018,ichrs5,32.31002136878713,23.49857144192361,17.429203642008837,47.19083909556543,42,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,BC,*
112,ImmStat,Naturalisé.e,2018,ichrs5,14.569213574934295,15.8543017720338,10.0419964766144,19.0964306732542,23,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,BC,
113,ImmStat,Non canadien.ne,2018,ichrs5,7.180205040676031,25.508451687714427,3.590415102716481,10.769994978635582,3,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,BC,...
114,ImmStat,Né.e au Canada,2018,ichrs5,28.166573351890317,20.069283922053643,17.087230970022972,39.245915733757656,69,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,ON,*
115,ImmStat,Naturalisé.e,2018,ichrs5,18.11674015941955,35.20776947075733,5.615109666583498,30.6183706522556,30,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,ON,...
116,ImmStat,Non canadien.ne,2018,ichrs5,6.937509789513643,90.7285741946618,-5.399098802858949,19.27411838188624,4,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,ON,...
117,ImmStat,Né.e au Canada,2018,ichrs5,35.04283280321408,30.07419304036096,14.38706796397766,55.69859764245051,48,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,PR,*
118,ImmStat,Naturalisé.e,2018,ichrs5,15.276745210893091,51.11007259836955,-0.0265664951884758,30.580056916974662,3,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,PR,...
119,ImmStat,Non canadien.ne,2018,ichrs5,36.0,1.9757065169150973e-15,36.0,36.0,1,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,PR,...
120,ImmStat,Né.e au Canada,2018,ichrs5,34.9910328676826,25.491328361416056,17.508783106737535,52.47328262862766,54,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,QC,*
121,ImmStat,Naturalisé.e,2018,ichrs5,17.617493941398056,60.09838600378165,-3.1342705787169223,38.36925846151304,10,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,QC,...
122,ImmStat,Non canadien.ne,2018,ichrs5,341.228855846674,45.92274411815789,34.09925704636851,648.3584546469795,2,Projet économique/social,New Canadians Average Hours Spent on Community Involvement,QC,...
123,ImmStat,Né.e au Canada,2018,ichrs6,41.57024538212373,28.56160043184609,18.299343324490437,64.84114743975702,57,Autre,New Canadians Average Hours Spent on Community Involvement,AB,*
124,ImmStat,Naturalisé.e,2018,ichrs6,13.818156681026451,33.18582917491194,4.830408888313274,22.80590447373963,14,Autre,New Canadians Average Hours Spent on Community Involvement,AB,...
125,ImmStat,Non canadien.ne,2018,ichrs6,3.681436573851685,26.85522682496825,1.7437022218719995,5.619170925831371,3,Autre,New Canadians Average Hours Spent on Community Involvement,AB,...
126,ImmStat,Né.e au Canada,2018,ichrs6,74.93517446295168,34.08063273173341,24.880866312130728,124.98948261377262,113,Autre,New Canadians Average Hours Spent on Community Involvement,AT,...
127,ImmStat,Naturalisé.e,2018,ichrs6,21.06993494792128,63.72694437470688,-5.246943883503949,47.38681377934651,10,Autre,New Canadians Average Hours Spent on Community Involvement,AT,...
128,ImmStat,Non canadien.ne,2018,ichrs6,10.000000000000002,3.1808261342962765e-15,10.000000000000002,10.000000000000002,1,Autre,New Canadians Average Hours Spent on Community Involvement,AT,...
129,ImmStat,Né.e au Canada,2018,ichrs6,44.8371738489971,36.60440720282924,12.669496828374989,77.0048508696192,84,Autre,New Canadians Average Hours Spent on Community Involvement,BC,...
130,ImmStat,Naturalisé.e,2018,ichrs6,24.395981047351636,33.04734569225574,8.594311996262535,40.19765009844073,28,Autre,New Canadians Average Hours Spent on Community Involvement,BC,*
131,ImmStat,Non canadien.ne,2018,ichrs6,79.45253584149937,39.81648695181557,17.448666408300696,141.45640527469806,7,Autre,New Canadians Average Hours Spent on Community Involvement,BC,...
132,ImmStat,Né.e au Canada,2018,ichrs6,82.16221710332351,32.12404553314324,30.43126474388905,133.89316946275798,116,Autre,New Canadians Average Hours Spent on Community Involvement,ON,*
133,ImmStat,Naturalisé.e,2018,ichrs6,140.95365124934088,65.491487079048,-39.97580296738855,321.88310546607033,46,Autre,New Canadians Average Hours Spent on Community Involvement,ON,...
134,ImmStat,Non canadien.ne,2018,ichrs6,1.8272715385042688,148.91132155554237,-3.5058182878521245,7.160361364860663,3,Autre,New Canadians Average Hours Spent on Community Involvement,ON,...
135,ImmStat,Né.e au Canada,2018,ichrs6,116.80382402267134,57.46429053698129,-14.749916639649626,248.3575646849923,70,Autre,New Canadians Average Hours Spent on Community Involvement,PR,...
136,ImmStat,Naturalisé.e,2018,ichrs6,17.043290894566617,76.54604683388132,-8.52633149215957,42.612913281292805,9,Autre,New Canadians Average Hours Spent on Community Involvement,PR,...
137,ImmStat,Non canadien.ne,2018,ichrs6,13.570254567892096,35.89581225349571,4.022969924768068,23.117539211016123,2,Autre,New Canadians Average Hours Spent on Community Involvement,PR,...
138,ImmStat,Né.e au Canada,2018,ichrs6,147.31213202357384,26.50219127803165,70.79328981201016,223.83097423513752,61,Autre,New Canadians Average Hours Spent on Community Involvement,QC,*
139,ImmStat,Naturalisé.e,2018,ichrs6,237.75660225016944,81.64003086498039,-142.6813513674111,618.19455586775,8,Autre,New Canadians Average Hours Spent on Community Involvement,QC,...
