Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,ivs1hrs1,68.73647574287622,6.367856070047543,60.15763529183755,77.3153161939149,6172,"Cooking, cleaning, work around home",New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Naturalized,2018,ivs1hrs1,40.92161186453632,14.232189741013466,29.50670038660963,52.336523342463,1062,"Cooking, cleaning, work around home",New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Non-Canadian,2018,ivs1hrs1,25.677891646341745,22.80716214284436,14.199561737238831,37.15622155544466,132,"Cooking, cleaning, work around home",New Canadians Average Informal Volunteer Hours,CA,*
ImmStat,Native-born,2018,ivs1hrs2,36.73050723397718,7.338947675138306,31.447164213268586,42.01385025468577,5007,"Shopping, driving, accompaniment",New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Naturalized,2018,ivs1hrs2,30.814548796019068,9.906833421934124,24.831276544944295,36.79782104709384,966,"Shopping, driving, accompaniment",New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Non-Canadian,2018,ivs1hrs2,15.839947985003391,15.640712587891267,10.98417496533622,20.695721004670563,127,"Shopping, driving, accompaniment",New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Native-born,2018,ivs1hrs3,22.606756860887955,8.591225590729975,18.800119747916774,26.413393973859137,2848,"Paperwork tasks, taxes, etc.",New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Naturalized,2018,ivs1hrs3,15.344833393037925,9.821444783665493,12.391002367241907,18.298664418833944,636,"Paperwork tasks, taxes, etc.",New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Non-Canadian,2018,ivs1hrs3,13.873158119870796,17.354637320080833,9.154277729970634,18.59203850977096,72,"Paperwork tasks, taxes, etc.",New Canadians Average Informal Volunteer Hours,CA,*
ImmStat,Native-born,2018,ivs1hrs4,86.27262450464183,5.987320718939217,76.14858984496436,96.39665916431929,5258,Health-related/personal care,New Canadians Average Informal Volunteer Hours,CA,
ImmStat,Naturalized,2018,ivs1hrs4,82.66066512779459,20.989939527895125,48.654459708868906,116.66687054672028,936,Health-related/personal care,New Canadians Average Informal Volunteer Hours,CA,*
ImmStat,Non-Canadian,2018,ivs1hrs4,41.410060128253896,27.478118115123717,19.108207679729176,63.711912576778616,108,Health-related/personal care,New Canadians Average Informal Volunteer Hours,CA,*
