,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,ivs1hrs1,68.73647574287622,6.367856070047543,60.15763529183755,77.3153161939149,6172,"Cuisiner, nettoyer, tâches domestiques",New Canadians Average Informal Volunteer Hours,CA,
1,ImmStat,Naturalisé.e,2018,ivs1hrs1,40.92161186453632,14.232189741013466,29.50670038660963,52.336523342463,1062,"Cuisiner, nettoyer, tâches domestiques",New Canadians Average Informal Volunteer Hours,CA,
2,ImmStat,Non canadien.ne,2018,ivs1hrs1,25.677891646341745,22.80716214284436,14.199561737238833,37.15622155544466,132,"Cuisiner, nettoyer, tâches domestiques",New Canadians Average Informal Volunteer Hours,CA,*
3,ImmStat,Né.e au Canada,2018,ivs1hrs2,36.73050723397718,7.338947675138306,31.447164213268582,42.01385025468577,5007,"Magasiner, conduire, accompagner",New Canadians Average Informal Volunteer Hours,CA,
4,ImmStat,Naturalisé.e,2018,ivs1hrs2,30.814548796019068,9.906833421934124,24.83127654494429,36.79782104709384,966,"Magasiner, conduire, accompagner",New Canadians Average Informal Volunteer Hours,CA,
5,ImmStat,Non canadien.ne,2018,ivs1hrs2,15.839947985003391,15.640712587891269,10.98417496533622,20.695721004670563,127,"Magasiner, conduire, accompagner",New Canadians Average Informal Volunteer Hours,CA,
6,ImmStat,Né.e au Canada,2018,ivs1hrs3,22.606756860887955,8.591225590729975,18.80011974791677,26.413393973859137,2848,"Tâches administratives, impôts, etc.",New Canadians Average Informal Volunteer Hours,CA,
7,ImmStat,Naturalisé.e,2018,ivs1hrs3,15.344833393037923,9.821444783665491,12.391002367241908,18.298664418833944,636,"Tâches administratives, impôts, etc.",New Canadians Average Informal Volunteer Hours,CA,
8,ImmStat,Non canadien.ne,2018,ivs1hrs3,13.873158119870796,17.354637320080833,9.154277729970634,18.59203850977096,72,"Tâches administratives, impôts, etc.",New Canadians Average Informal Volunteer Hours,CA,*
9,ImmStat,Né.e au Canada,2018,ivs1hrs4,86.27262450464183,5.987320718939217,76.14858984496436,96.39665916431927,5258,Soins de santé/personnels,New Canadians Average Informal Volunteer Hours,CA,
