,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,ng_020,0.689581323410212,1.289645757347723,0.6721510573909146,0.7070115894295095,7734,Montant déjà donné suffisant,New Canadians Barriers to Giving More,CA,
1,ImmStat,Naturalisé.e,2018,ng_020,0.6311574512833071,3.04607060969295,0.5934761605147121,0.6688387420519022,1382,Montant déjà donné suffisant,New Canadians Barriers to Giving More,CA,
2,ImmStat,Non canadien.ne,2018,ng_020,0.6107754071703326,9.261754529052206,0.4999031473971273,0.7216476669435379,166,Montant déjà donné suffisant,New Canadians Barriers to Giving More,CA,
3,ImmStat,Né.e au Canada,2018,ng_030,0.6727186232766494,1.2171223550661197,0.656670813013185,0.6887664335401139,7739,Pas les moyens de donner plus,New Canadians Barriers to Giving More,CA,
4,ImmStat,Naturalisé.e,2018,ng_030,0.7039741839087684,2.397762400787793,0.6708907203820315,0.7370576474355054,1389,Pas les moyens de donner plus,New Canadians Barriers to Giving More,CA,
5,ImmStat,Non canadien.ne,2018,ng_030,0.7446704426872672,6.6731531901346255,0.6472739535752338,0.8420669317993007,168,Pas les moyens de donner plus,New Canadians Barriers to Giving More,CA,
6,ImmStat,Né.e au Canada,2018,ng_040,0.244981612985956,3.261454598093796,0.2293215711490063,0.2606416548229057,7612,Aucune sollicitation,New Canadians Barriers to Giving More,CA,
7,ImmStat,Naturalisé.e,2018,ng_040,0.2751486419275769,6.095093251614509,0.242278935967404,0.3080183478877498,1342,Aucune sollicitation,New Canadians Barriers to Giving More,CA,
8,ImmStat,Non canadien.ne,2018,ng_040,0.2070590755381339,22.701185886725654,0.1149312317988243,0.2991869192774434,163,Aucune sollicitation,New Canadians Barriers to Giving More,CA,*
9,ImmStat,Né.e au Canada,2018,ng_050,0.0948391815777118,5.876475933624477,0.0839159070042548,0.1057624561511687,7589,Ne savent pas où donner,New Canadians Barriers to Giving More,CA,
10,ImmStat,Naturalisé.e,2018,ng_050,0.1593019009157625,9.295966363062988,0.1302774780514395,0.1883263237800855,1334,Ne savent pas où donner,New Canadians Barriers to Giving More,CA,
11,ImmStat,Non canadien.ne,2018,ng_050,0.1545713480673054,24.992206100478413,0.0788563912056842,0.2302863049289266,163,Ne savent pas où donner,New Canadians Barriers to Giving More,CA,*
12,ImmStat,Né.e au Canada,2018,ng_060,0.0949363960117782,6.615651636022446,0.0826265261902508,0.1072462658333055,7593,Difficulté à trouver une cause,New Canadians Barriers to Giving More,CA,
13,ImmStat,Naturalisé.e,2018,ng_060,0.1707948073656156,9.054657126744493,0.1404841913139421,0.201105423417289,1336,Difficulté à trouver une cause,New Canadians Barriers to Giving More,CA,
14,ImmStat,Non canadien.ne,2018,ng_060,0.1915250893657651,28.83338555900031,0.0832896700338009,0.2997605086977292,163,Difficulté à trouver une cause,New Canadians Barriers to Giving More,CA,*
15,ImmStat,Né.e au Canada,2018,ng_070,0.2613646592225162,2.9781037701175945,0.2461088664471206,0.2766204519979118,7560,Don de temps,New Canadians Barriers to Giving More,CA,
16,ImmStat,Naturalisé.e,2018,ng_070,0.2838659372057917,6.133197085186013,0.2497428517593946,0.3179890226521887,1335,Don de temps,New Canadians Barriers to Giving More,CA,
17,ImmStat,Non canadien.ne,2018,ng_070,0.3080750776572324,19.92435489314393,0.1877686236100583,0.4283815317044066,163,Don de temps,New Canadians Barriers to Giving More,CA,*
18,ImmStat,Né.e au Canada,2018,ng_080,0.3702288489434905,2.310378952254348,0.3534639257822672,0.3869937721047138,7596,Don direct,New Canadians Barriers to Giving More,CA,
19,ImmStat,Naturalisé.e,2018,ng_080,0.4015475665741151,4.660074632490818,0.3648719045872776,0.4382232285609527,1340,Don direct,New Canadians Barriers to Giving More,CA,
20,ImmStat,Non canadien.ne,2018,ng_080,0.3037680811410092,18.91419085920896,0.1911578121318718,0.4163783501501466,162,Don direct,New Canadians Barriers to Giving More,CA,*
21,ImmStat,Né.e au Canada,2018,ng_090,0.1652736906640859,3.9975073188401633,0.1523245459664192,0.1782228353617526,7589,Crédit d'impôt insuffisant,New Canadians Barriers to Giving More,CA,
