,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,iva250_1,0.0518632216229356,6.077885706497634,0.045685047975871,0.0580413952700001,12093,"Entretenir des parcs, lieux publics",New Canadians Community Involvement Rate,CA,
1,ImmStat,Naturalisé.e,2018,iva250_1,0.0464426737038944,12.062910317507942,0.0354622928418879,0.0574230545659008,2492,"Entretenir des parcs, lieux publics",New Canadians Community Involvement Rate,CA,
2,ImmStat,Non canadien.ne,2018,iva250_1,0.0489953112661649,50.12459928318576,0.0008611370173241192,0.0971294855150057,319,"Entretenir des parcs, lieux publics",New Canadians Community Involvement Rate,CA,...
3,ImmStat,Né.e au Canada,2018,iva250_2,0.105137543212095,3.802435852687709,0.0973020234243014,0.1129730629998887,12093,Participer aux réunions publiques,New Canadians Community Involvement Rate,CA,
4,ImmStat,Naturalisé.e,2018,iva250_2,0.0986832330844563,7.740568587407905,0.0837117672450087,0.113654698923904,2492,Participer aux réunions publiques,New Canadians Community Involvement Rate,CA,
5,ImmStat,Non canadien.ne,2018,iva250_2,0.0963199601890975,23.57259566449382,0.051818752995477,0.140821167382718,319,Participer aux réunions publiques,New Canadians Community Involvement Rate,CA,*
6,ImmStat,Né.e au Canada,2018,iva250_3,0.1438949301590158,3.6404563349298384,0.1336277919063485,0.1541620684116832,12093,Produire/diffuser de l'information,New Canadians Community Involvement Rate,CA,
7,ImmStat,Naturalisé.e,2018,iva250_3,0.1051447765816784,7.623344916210859,0.0894345892641684,0.1208549638991884,2492,Produire/diffuser de l'information,New Canadians Community Involvement Rate,CA,
8,ImmStat,Non canadien.ne,2018,iva250_3,0.1492351288311725,20.581872854970317,0.0890340814967448,0.2094361761656001,319,Produire/diffuser de l'information,New Canadians Community Involvement Rate,CA,*
9,ImmStat,Né.e au Canada,2018,iva250_4,0.0736342790147975,5.188252464991545,0.0661465653055369,0.0811219927240582,12093,Organiser/coordonner des événements,New Canadians Community Involvement Rate,CA,
