Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,fg1a_030,0.14666149708959153,2.8726408291399967,0.13840405505460862,0.15491893912457444,12093,Mail request,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_030,0.13955800638371588,5.979623584816249,0.12320202174442324,0.1559139910230085,2492,Mail request,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_030,0.07816643141544082,20.371389833462022,0.04695677152421475,0.10937609130666688,319,Mail request,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_040,0.060173422152470464,4.691578167621858,0.05464028087973226,0.06570656342520867,12093,Telephone request,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_040,0.049285648964623854,9.577068278208575,0.04003438326663332,0.05853691466261439,2492,Telephone request,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_040,0.038043976219257106,34.26910522137965,0.012491278492393426,0.06359667394612079,319,Telephone request,New Canadians Dontation Rates by Method,CA,...
ImmStat,Native-born,2018,fg1a_050,0.05182630755936782,5.424964369821203,0.046315753729140534,0.0573368613895951,12093,TV or radio request,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_050,0.02866812323452856,16.607484373632346,0.01933662869676084,0.03799961777229628,2492,TV or radio request,New Canadians Dontation Rates by Method,CA,*
ImmStat,Non-Canadian,2018,fg1a_050,0.015486122256198484,35.79638805108259,0.004621115969795281,0.026351128542601687,319,TV or radio request,New Canadians Dontation Rates by Method,CA,...
ImmStat,Native-born,2018,fg1a_060,0.12646290711029667,3.8109631837682283,0.11701694921623013,0.13590886500436322,12093,Online,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_060,0.1082278133274618,7.6719366750208104,0.09195390053556776,0.12450172611935584,2492,Online,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_060,0.12193637380016822,23.98072556686849,0.06462462168868388,0.17924812591165257,319,Online,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_070,0.16917613910880397,2.9728221707927873,0.15931888093017368,0.17903339728743425,12093,On own,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_070,0.1593445755442951,5.731480656526604,0.14144460955830507,0.17724454153028513,2492,On own,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_070,0.08553986240202906,17.7797980022321,0.05573113325141001,0.1153485915526481,319,On own,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_080,0.15011612446040773,3.1717799416152372,0.14078404381819035,0.1594482051026251,12093,Charity event,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_080,0.12453567977877104,6.843125139578418,0.10783260718234507,0.14123875237519704,2492,Charity event,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_080,0.15425776416668655,21.407392587506568,0.08953472575268949,0.2189808025806836,319,Charity event,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_090,0.18489040790792483,2.6605320401475048,0.17524921072900335,0.1945316050868463,12093,In memoriam,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_090,0.12784476583123486,6.292250270454139,0.11207820280825037,0.14361132885421934,2492,In memoriam,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_090,0.07811198034100282,23.130395635725282,0.04270011527441355,0.11352384540759208,319,In memoriam,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_100,0.15694692077238925,3.1097673385495455,0.14738095575363486,0.16651288579114365,12093,At work,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_100,0.1510994976065896,6.3034657934733644,0.1324318105503699,0.16976718466280932,2492,At work,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_100,0.07748987616266917,24.2147856612976,0.04071309740991616,0.11426665491542218,319,At work,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_110,0.16356517167126736,2.8177345496426125,0.1545320262478918,0.1725983170946429,12093,Door-to-door canvassing,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_110,0.12014202522846285,7.589247432165661,0.10227131750632329,0.1380127329506024,2492,Door-to-door canvassing,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_110,0.08974416076976273,25.383790426105,0.04509526062750829,0.13439306091201716,319,Door-to-door canvassing,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_120,0.3371192329510159,2.0674331457370956,0.32345884303363825,0.3507796228683936,12093,Approached in public,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_120,0.26306729233249165,4.975603966504703,0.23741295794709943,0.2887216267178839,2492,Approached in public,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_120,0.21229628671088696,15.638671727174533,0.14722485647497352,0.2773677169468004,319,Approached in public,New Canadians Dontation Rates by Method,CA,
ImmStat,Native-born,2018,fg1a_130,0.21293887530509537,2.6415053872354797,0.20191448583366403,0.2239632647765267,12093,Place of worship,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_130,0.28912865076949096,4.414420591728636,0.26411293524311585,0.31414436629586606,2492,Place of worship,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_130,0.19509914984585008,17.066172626600945,0.1298402719118629,0.2603580277798373,319,Place of worship,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_140,0.22236067502640078,2.330753664847194,0.21220280970157038,0.23251854035123118,12093,Sponsoring someone,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_140,0.13277941676177335,6.086798288511627,0.11693895791604586,0.14861987560750084,2492,Sponsoring someone,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_140,0.12035158230455124,24.405693507883864,0.06278226908772055,0.17792089552138193,319,Sponsoring someone,New Canadians Dontation Rates by Method,CA,*
ImmStat,Native-born,2018,fg1a_170,0.05054402722217341,5.269236435819071,0.04532408591648109,0.05576396852786573,12093,Any other method,New Canadians Dontation Rates by Method,CA,
ImmStat,Naturalized,2018,fg1a_170,0.059546853636369926,9.96227721659975,0.04791991092738112,0.07117379634535873,2492,Any other method,New Canadians Dontation Rates by Method,CA,
ImmStat,Non-Canadian,2018,fg1a_170,0.037280604474321764,38.942835531670724,0.00882560335938298,0.06573560558926055,319,Any other method,New Canadians Dontation Rates by Method,CA,...
ImmStat,Native-born,2018,fg1a_030,0.15114046214968438,3.065369255078052,0.142059923022698,0.16022100127667077,10472,Mail request,New Canadians Dontation Rates by Method,CA (without QC),
