Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,fg1fgiv,0.6881879505071696,1.025842843149878,0.6743511401645914,0.7020247608497479,12093,Donor flag,New Canadians Donation Rates,CA,
ImmStat,Naturalized,2018,fg1fgiv,0.6418351127184868,2.2132517189060192,0.6139929880704846,0.669677237366489,2492,Donor flag,New Canadians Donation Rates,CA,
ImmStat,Non-Canadian,2018,fg1fgiv,0.5362143213386035,7.510702639747619,0.4572797839584366,0.6151488587187703,319,Donor flag,New Canadians Donation Rates,CA,
ImmStat,Native-born,2018,SecDonFlag,0.6550196210193688,1.0986466145571991,0.6409150324528673,0.6691242095858704,12093,Secular donor flag,New Canadians Donation Rates,CA,
ImmStat,Naturalized,2018,SecDonFlag,0.5706610034754458,2.510052628084134,0.542586691987221,0.5987353149636706,2492,Secular donor flag,New Canadians Donation Rates,CA,
ImmStat,Non-Canadian,2018,SecDonFlag,0.4550518055834162,8.909080677175766,0.3755930380182979,0.5345105731485345,319,Secular donor flag,New Canadians Donation Rates,CA,
ImmStat,Native-born,2018,RelDonFlag,0.22480425234514223,2.521990054326425,0.21369215640000408,0.23591634829028038,12093,Religious donor flag,New Canadians Donation Rates,CA,
ImmStat,Naturalized,2018,RelDonFlag,0.3035094840588309,4.405809140217341,0.27730075042273394,0.3297182176949278,2492,Religious donor flag,New Canadians Donation Rates,CA,
ImmStat,Non-Canadian,2018,RelDonFlag,0.21077809928827007,15.950742531489382,0.1448827931689649,0.27667340540757523,319,Religious donor flag,New Canadians Donation Rates,CA,
ImmStat,Native-born,2018,fg1fgiv,0.6860036652876371,1.176707346489167,0.6701823351814485,0.7018249953938257,10472,Donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Naturalized,2018,fg1fgiv,0.6431898616054179,2.2912224845122036,0.6143060473367117,0.6720736758741241,2280,Donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Non-Canadian,2018,fg1fgiv,0.540310865238039,8.043926031539133,0.4551265061227614,0.6254952243533165,274,Donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Native-born,2018,SecDonFlag,0.6533214661790673,1.2373059780802054,0.637477929621174,0.6691650027369606,10472,Secular donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Naturalized,2018,SecDonFlag,0.5667089107115124,2.65278353033112,0.5372436732814969,0.5961741481415279,2280,Secular donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Non-Canadian,2018,SecDonFlag,0.48507518270867184,8.701377429953713,0.40234858682284,0.5678017785945036,274,Secular donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Native-born,2018,RelDonFlag,0.21760836667391753,2.8890040565386275,0.2052866325933025,0.22993010075453257,10472,Religious donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Naturalized,2018,RelDonFlag,0.3121162856891334,4.543007999813882,0.2843250394271336,0.3399075319511332,2280,Religious donor flag,New Canadians Donation Rates,CA (without QC),
ImmStat,Non-Canadian,2018,RelDonFlag,0.19167856715994483,19.529010788669197,0.11831137632601102,0.26504575799387864,274,Religious donor flag,New Canadians Donation Rates,CA (without QC),*
ImmStat,Native-born,2018,fg1fgiv,0.684190139779577,2.9291051529526397,0.6449111902178116,0.7234690893413424,1039,Donor flag,New Canadians Donation Rates,AB,
ImmStat,Naturalized,2018,fg1fgiv,0.6099952525392587,7.104980633720137,0.5250503261142255,0.6949401789642918,244,Donor flag,New Canadians Donation Rates,AB,
ImmStat,Non-Canadian,2018,fg1fgiv,0.3588091894459396,38.852167329435545,0.0855801226996375,0.6320382561922417,23,Donor flag,New Canadians Donation Rates,AB,...
ImmStat,Native-born,2018,fg1fgiv,0.7269387773750018,1.5539632969300576,0.7047983151072106,0.749079239642793,3527,Donor flag,New Canadians Donation Rates,AT,
ImmStat,Naturalized,2018,fg1fgiv,0.7440859516952758,7.536683945447768,0.6341723347558629,0.8539995686346887,114,Donor flag,New Canadians Donation Rates,AT,
