Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,ng_120a,0.46829523175891047,3.757073702805465,0.43381123929435234,0.5027792242234687,1944,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Naturalized,2018,ng_120a,0.44614291463576317,7.913339179949743,0.37694677411206223,0.5153390551594641,406,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Non-Canadian,2018,ng_120a,0.5734805541994307,20.217179008064463,0.3462392130600088,0.8007218953388525,35,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,CA,*
ImmStat,Native-born,2018,ng_120b,0.3829917903021648,4.659456409255112,0.34801557539062744,0.41796800521370214,1944,No impact on cause/community,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Naturalized,2018,ng_120b,0.36276736360883866,10.134766325437148,0.2907080635105778,0.4348266637070995,406,No impact on cause/community,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Non-Canadian,2018,ng_120b,0.49524915973816824,24.86153133641392,0.25392560511500184,0.7365727143613346,35,No impact on cause/community,New Canadians Reasons for Concers About Efficiency,CA,*
ImmStat,Native-born,2018,ng_120c,0.57868940002393,2.997475438555209,0.5446917223934841,0.6126870776543759,1944,No explanation of how donation would be spent,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Naturalized,2018,ng_120c,0.6584422437188426,5.0180200170676565,0.5936835370594842,0.7232009503782011,406,No explanation of how donation would be spent,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Non-Canadian,2018,ng_120c,0.6707851334897251,15.240047236025072,0.47042199173283394,0.8711482752466163,35,No explanation of how donation would be spent,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Native-born,2018,ng_120d,0.13337449580410224,11.867279979125463,0.10235233317196855,0.16439665843623594,1944,Other,New Canadians Reasons for Concers About Efficiency,CA,
ImmStat,Naturalized,2018,ng_120d,0.12011884072655835,21.043512042252335,0.07057639457927842,0.16966128687383827,406,Other,New Canadians Reasons for Concers About Efficiency,CA,*
ImmStat,Non-Canadian,2018,ng_120d,0.2773772985390514,36.27932048482748,0.08014494858164956,0.47460964849645326,35,Other,New Canadians Reasons for Concers About Efficiency,CA,...
ImmStat,Native-born,2018,ng_120a,0.5093364351141636,3.783618879766852,0.47156528412047893,0.5471075861078483,1726,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Naturalized,2018,ng_120a,0.4702477647289716,8.157666722080505,0.3950611053142088,0.5454344241437344,367,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Non-Canadian,2018,ng_120a,0.5951646477409952,23.88248375382954,0.3165751703837357,0.8737541250982547,27,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,CA (without QC),*
ImmStat,Native-born,2018,ng_120b,0.4286762905486717,4.613550101483113,0.3899136997756829,0.46743888132166045,1726,No impact on cause/community,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Naturalized,2018,ng_120b,0.36953642237326717,10.563996382564703,0.2930237123262331,0.44604913242030125,367,No impact on cause/community,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Non-Canadian,2018,ng_120b,0.5468071007245666,27.35374821043528,0.25365090208069724,0.8399632993684361,27,No impact on cause/community,New Canadians Reasons for Concers About Efficiency,CA (without QC),*
ImmStat,Native-born,2018,ng_120c,0.5914955443910906,3.0822943646863883,0.5557621987007788,0.6272288900814025,1726,No explanation of how donation would be spent,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Naturalized,2018,ng_120c,0.6539212037215817,5.330435569705678,0.585603036162606,0.7222393712805574,367,No explanation of how donation would be spent,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Non-Canadian,2018,ng_120c,0.7296814201567308,15.142743177259357,0.513117584046799,0.9462452562666626,27,No explanation of how donation would be spent,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Native-born,2018,ng_120d,0.11188113394549415,14.957356980730458,0.0790821938720887,0.1446800740188996,1726,Other,New Canadians Reasons for Concers About Efficiency,CA (without QC),
ImmStat,Naturalized,2018,ng_120d,0.10939338499514328,24.644570114631144,0.056553678201839847,0.16223309178844672,367,Other,New Canadians Reasons for Concers About Efficiency,CA (without QC),*
ImmStat,Non-Canadian,2018,ng_120d,0.09037755923501217,60.69615194974528,-0.017137638447935005,0.19789275691795935,27,Other,New Canadians Reasons for Concers About Efficiency,CA (without QC),...
ImmStat,Native-born,2018,ng_120a,0.4792604954814726,10.400532718677674,0.38156482720040596,0.5769561637625392,180,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,AB,
ImmStat,Naturalized,2018,ng_120a,0.5016378948176121,25.02505220443174,0.25559353171517385,0.7476822579200504,41,Too much spent on fundraising,New Canadians Reasons for Concers About Efficiency,AB,*
