,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,ng_120a,0.4682952317589104,3.757073702805465,0.4338112392943523,0.5027792242234687,1944,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,CA,
1,ImmStat,Naturalisé.e,2018,ng_120a,0.4461429146357631,7.913339179949743,0.3769467741120622,0.5153390551594641,406,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,CA,
2,ImmStat,Non canadien.ne,2018,ng_120a,0.5734805541994307,20.217179008064463,0.3462392130600088,0.8007218953388525,35,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,CA,*
3,ImmStat,Né.e au Canada,2018,ng_120b,0.3829917903021648,4.659456409255112,0.3480155753906274,0.4179680052137021,1944,Incidence nulle sur la cause/la communauté,New Canadians Reasons for Concers About Efficiency,CA,
4,ImmStat,Naturalisé.e,2018,ng_120b,0.3627673636088386,10.134766325437148,0.2907080635105778,0.4348266637070995,406,Incidence nulle sur la cause/la communauté,New Canadians Reasons for Concers About Efficiency,CA,
5,ImmStat,Non canadien.ne,2018,ng_120b,0.4952491597381682,24.86153133641392,0.2539256051150018,0.7365727143613346,35,Incidence nulle sur la cause/la communauté,New Canadians Reasons for Concers About Efficiency,CA,*
6,ImmStat,Né.e au Canada,2018,ng_120c,0.57868940002393,2.997475438555209,0.5446917223934841,0.6126870776543759,1944,Aucune explication sur l'utilisation des dons,New Canadians Reasons for Concers About Efficiency,CA,
7,ImmStat,Naturalisé.e,2018,ng_120c,0.6584422437188426,5.0180200170676565,0.5936835370594842,0.7232009503782011,406,Aucune explication sur l'utilisation des dons,New Canadians Reasons for Concers About Efficiency,CA,
8,ImmStat,Non canadien.ne,2018,ng_120c,0.6707851334897251,15.240047236025072,0.4704219917328339,0.8711482752466163,35,Aucune explication sur l'utilisation des dons,New Canadians Reasons for Concers About Efficiency,CA,
9,ImmStat,Né.e au Canada,2018,ng_120d,0.1333744958041022,11.867279979125463,0.1023523331719685,0.1643966584362359,1944,Autre,New Canadians Reasons for Concers About Efficiency,CA,
10,ImmStat,Naturalisé.e,2018,ng_120d,0.1201188407265583,21.04351204225233,0.0705763945792784,0.1696612868738382,406,Autre,New Canadians Reasons for Concers About Efficiency,CA,*
11,ImmStat,Non canadien.ne,2018,ng_120d,0.2773772985390514,36.27932048482748,0.0801449485816495,0.4746096484964532,35,Autre,New Canadians Reasons for Concers About Efficiency,CA,...
12,ImmStat,Né.e au Canada,2018,ng_120a,0.5093364351141636,3.783618879766852,0.4715652841204789,0.5471075861078483,1726,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,CA (without QC),
13,ImmStat,Naturalisé.e,2018,ng_120a,0.4702477647289716,8.157666722080505,0.3950611053142088,0.5454344241437344,367,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,CA (without QC),
14,ImmStat,Non canadien.ne,2018,ng_120a,0.5951646477409952,23.88248375382954,0.3165751703837357,0.8737541250982547,27,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,CA (without QC),*
15,ImmStat,Né.e au Canada,2018,ng_120b,0.4286762905486717,4.613550101483113,0.3899136997756829,0.4674388813216604,1726,Incidence nulle sur la cause/la communauté,New Canadians Reasons for Concers About Efficiency,CA (without QC),
16,ImmStat,Naturalisé.e,2018,ng_120b,0.3695364223732671,10.563996382564705,0.2930237123262331,0.4460491324203012,367,Incidence nulle sur la cause/la communauté,New Canadians Reasons for Concers About Efficiency,CA (without QC),
17,ImmStat,Non canadien.ne,2018,ng_120b,0.5468071007245666,27.35374821043528,0.2536509020806972,0.8399632993684361,27,Incidence nulle sur la cause/la communauté,New Canadians Reasons for Concers About Efficiency,CA (without QC),*
18,ImmStat,Né.e au Canada,2018,ng_120c,0.5914955443910906,3.0822943646863883,0.5557621987007788,0.6272288900814025,1726,Aucune explication sur l'utilisation des dons,New Canadians Reasons for Concers About Efficiency,CA (without QC),
19,ImmStat,Naturalisé.e,2018,ng_120c,0.6539212037215817,5.330435569705678,0.585603036162606,0.7222393712805574,367,Aucune explication sur l'utilisation des dons,New Canadians Reasons for Concers About Efficiency,CA (without QC),
20,ImmStat,Non canadien.ne,2018,ng_120c,0.7296814201567308,15.142743177259357,0.513117584046799,0.9462452562666626,27,Aucune explication sur l'utilisation des dons,New Canadians Reasons for Concers About Efficiency,CA (without QC),
21,ImmStat,Né.e au Canada,2018,ng_120d,0.1118811339454941,14.957356980730458,0.0790821938720887,0.1446800740188996,1726,Autre,New Canadians Reasons for Concers About Efficiency,CA (without QC),
22,ImmStat,Naturalisé.e,2018,ng_120d,0.1093933849951432,24.644570114631144,0.0565536782018398,0.1622330917884467,367,Autre,New Canadians Reasons for Concers About Efficiency,CA (without QC),*
23,ImmStat,Non canadien.ne,2018,ng_120d,0.0903775592350121,60.69615194974528,-0.017137638447935,0.1978927569179593,27,Autre,New Canadians Reasons for Concers About Efficiency,CA (without QC),...
24,ImmStat,Né.e au Canada,2018,ng_120a,0.4792604954814726,10.400532718677674,0.3815648272004059,0.5769561637625392,180,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,AB,
25,ImmStat,Naturalisé.e,2018,ng_120a,0.5016378948176121,25.02505220443174,0.2555935317151738,0.7476822579200504,41,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,AB,*
26,ImmStat,Non canadien.ne,2018,ng_120a,1.0,0.0,1.0,1.0,1,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,AB,...
27,ImmStat,Né.e au Canada,2018,ng_120a,0.4589166622439081,6.722833978851758,0.3984474510045387,0.5193858734832776,533,Dépenses de collecte de fonds excessives,New Canadians Reasons for Concers About Efficiency,AT,
