Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,iva105_1,0.5067150784342273,1.4767269363873874,0.4920490637448504,0.521381093123604,12093,"Cooking, cleaning, work around home",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Naturalized,2018,iva105_1,0.4303567303663444,3.2695041504802798,0.40277899604704615,0.4579344646856427,2492,"Cooking, cleaning, work around home",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Non-Canadian,2018,iva105_1,0.38898196310850935,10.586699874161928,0.3082699543599779,0.4696939718570408,319,"Cooking, cleaning, work around home",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Native-born,2018,iva105_2,0.3898662576583798,1.902772666745484,0.3753267183990641,0.40440579691769546,12093,"Shopping, driving, accompaniment",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Naturalized,2018,iva105_2,0.3685328790884809,3.8480461430688595,0.3407380119652503,0.3963277462117116,2492,"Shopping, driving, accompaniment",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Non-Canadian,2018,iva105_2,0.3500210769233779,11.292006439966931,0.27255467141995304,0.4274874824268028,319,"Shopping, driving, accompaniment",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Native-born,2018,iva105_3,0.20720818048792158,2.8151393677946777,0.19577532041134396,0.2186410405644992,12093,"Paperwork tasks, taxes, etc.",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Naturalized,2018,iva105_3,0.23389814920394994,4.777235200866242,0.21199777678865347,0.2557985216192464,2492,"Paperwork tasks, taxes, etc.",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Non-Canadian,2018,iva105_3,0.20869048182967595,16.351703375299863,0.14180779165729188,0.27557317200206,319,"Paperwork tasks, taxes, etc.",New Canadians Rate of Informal Volunteering,CA,
ImmStat,Native-born,2018,iva105_4,0.40781877864584426,1.74308106520903,0.3938861553203246,0.4217514019713639,12093,Health-related/personal care,New Canadians Rate of Informal Volunteering,CA,
ImmStat,Naturalized,2018,iva105_4,0.32287568366366654,3.876862563201413,0.29834193933421066,0.3474094279931224,2492,Health-related/personal care,New Canadians Rate of Informal Volunteering,CA,
ImmStat,Non-Canadian,2018,iva105_4,0.2568893544885076,13.01213200554555,0.19137406581752536,0.3224046431594898,319,Health-related/personal care,New Canadians Rate of Informal Volunteering,CA,
ImmStat,Native-born,2018,iva105_5,0.10059985863891123,4.522458706381759,0.09168283184576052,0.10951688543206194,12093,"Teaching, coaching, reading assistance, etc.",New Canadians Rate of Informal Volunteering,CA,
