,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,iva105_1,0.5067150784342273,1.4767269363873874,0.4920490637448504,0.521381093123604,12093,"Cuisiner, nettoyer, tâches domestiques",New Canadians Rate of Informal Volunteering,CA,
1,ImmStat,Naturalisé.e,2018,iva105_1,0.4303567303663444,3.26950415048028,0.4027789960470461,0.4579344646856427,2492,"Cuisiner, nettoyer, tâches domestiques",New Canadians Rate of Informal Volunteering,CA,
2,ImmStat,Non canadien.ne,2018,iva105_1,0.3889819631085093,10.586699874161928,0.3082699543599779,0.4696939718570408,319,"Cuisiner, nettoyer, tâches domestiques",New Canadians Rate of Informal Volunteering,CA,
3,ImmStat,Né.e au Canada,2018,iva105_2,0.3898662576583798,1.902772666745484,0.3753267183990641,0.4044057969176954,12093,"Magasiner, conduire, accompagner",New Canadians Rate of Informal Volunteering,CA,
4,ImmStat,Naturalisé.e,2018,iva105_2,0.3685328790884809,3.84804614306886,0.3407380119652503,0.3963277462117116,2492,"Magasiner, conduire, accompagner",New Canadians Rate of Informal Volunteering,CA,
5,ImmStat,Non canadien.ne,2018,iva105_2,0.3500210769233779,11.292006439966933,0.272554671419953,0.4274874824268028,319,"Magasiner, conduire, accompagner",New Canadians Rate of Informal Volunteering,CA,
6,ImmStat,Né.e au Canada,2018,iva105_3,0.2072081804879215,2.8151393677946777,0.1957753204113439,0.2186410405644992,12093,"Tâches administratives, impôts, etc.",New Canadians Rate of Informal Volunteering,CA,
7,ImmStat,Naturalisé.e,2018,iva105_3,0.2338981492039499,4.777235200866242,0.2119977767886534,0.2557985216192464,2492,"Tâches administratives, impôts, etc.",New Canadians Rate of Informal Volunteering,CA,
8,ImmStat,Non canadien.ne,2018,iva105_3,0.2086904818296759,16.351703375299863,0.1418077916572918,0.27557317200206,319,"Tâches administratives, impôts, etc.",New Canadians Rate of Informal Volunteering,CA,
9,ImmStat,Né.e au Canada,2018,iva105_4,0.4078187786458442,1.74308106520903,0.3938861553203246,0.4217514019713639,12093,Soins de santé/personnels,New Canadians Rate of Informal Volunteering,CA,
10,ImmStat,Naturalisé.e,2018,iva105_4,0.3228756836636665,3.876862563201413,0.2983419393342106,0.3474094279931224,2492,Soins de santé/personnels,New Canadians Rate of Informal Volunteering,CA,
11,ImmStat,Non canadien.ne,2018,iva105_4,0.2568893544885076,13.01213200554555,0.1913740658175253,0.3224046431594898,319,Soins de santé/personnels,New Canadians Rate of Informal Volunteering,CA,
12,ImmStat,Né.e au Canada,2018,iva105_5,0.1005998586389112,4.522458706381759,0.0916828318457605,0.1095168854320619,12093,"Enseignement, accompagnement, aide à la lecture, etc.",New Canadians Rate of Informal Volunteering,CA,
13,ImmStat,Naturalisé.e,2018,iva105_5,0.1248126927588729,6.584534593856571,0.1087050522788109,0.1409203332389348,2492,"Enseignement, accompagnement, aide à la lecture, etc.",New Canadians Rate of Informal Volunteering,CA,
14,ImmStat,Non canadien.ne,2018,iva105_5,0.1955156400193089,17.15198913708746,0.1297885979699825,0.2612426820686352,319,"Enseignement, accompagnement, aide à la lecture, etc.",New Canadians Rate of Informal Volunteering,CA,*
15,ImmStat,Né.e au Canada,2018,iva2_005,0.0800408768372227,5.25530962897516,0.0717964923537223,0.0882852613207231,12093,Autre aide,New Canadians Rate of Informal Volunteering,CA,
16,ImmStat,Naturalisé.e,2018,iva2_005,0.065944875920833,9.424632704994565,0.0537635775662882,0.0781261742753779,2492,Autre aide,New Canadians Rate of Informal Volunteering,CA,
17,ImmStat,Non canadien.ne,2018,iva2_005,0.0719698258386184,22.622242222545825,0.0400592830895255,0.1038803685877113,319,Autre aide,New Canadians Rate of Informal Volunteering,CA,*
18,ImmStat,Né.e au Canada,2018,iva105_1,0.524716246647537,1.5430114775910184,0.5088475316995659,0.5405849615955082,10472,"Cuisiner, nettoyer, tâches domestiques",New Canadians Rate of Informal Volunteering,CA (without QC),
19,ImmStat,Naturalisé.e,2018,iva105_1,0.4296832670369545,3.3665028569351154,0.4013318010686483,0.4580347330052607,2280,"Cuisiner, nettoyer, tâches domestiques",New Canadians Rate of Informal Volunteering,CA (without QC),
20,ImmStat,Non canadien.ne,2018,iva105_1,0.3970958111837758,11.091638886907251,0.3107703079776858,0.4834213143898658,274,"Cuisiner, nettoyer, tâches domestiques",New Canadians Rate of Informal Volunteering,CA (without QC),
21,ImmStat,Né.e au Canada,2018,iva105_2,0.3935188239464167,1.961209279415898,0.3783923556286178,0.4086452922642156,10472,"Magasiner, conduire, accompagner",New Canadians Rate of Informal Volunteering,CA (without QC),
