Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,ng_140a,0.31921119820900634,5.239364396123789,0.28643151033442205,0.35199088608359064,1797,Time of day,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Naturalized,2018,ng_140a,0.2637604726862727,12.95382212897887,0.19679426077120887,0.3307266846013365,338,Time of day,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Non-Canadian,2018,ng_140a,0.2769208947723526,42.030507003053344,0.048798224759358855,0.5050435647853464,41,Time of day,New Canadians Reasons for Concers About Requests,CA,...
ImmStat,Native-born,2018,ng_140b,0.5393181744178852,3.5042174581959804,0.5022770470883756,0.5763593017473948,1797,Number of requests,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Naturalized,2018,ng_140b,0.4142659379149383,9.02771583933641,0.34096573152770204,0.4875661443021746,338,Number of requests,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Non-Canadian,2018,ng_140b,0.547369755929918,24.344316485958046,0.28619784067862425,0.8085416711812117,41,Number of requests,New Canadians Reasons for Concers About Requests,CA,*
ImmStat,Native-born,2018,ng_140c,0.4305943898157912,4.503560367293337,0.3925866147946861,0.46860216483689626,1797,Tone,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Naturalized,2018,ng_140c,0.3883210483747998,10.113033619919905,0.3113512279155791,0.4652908688340205,338,Tone,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Non-Canadian,2018,ng_140c,0.3842976367107104,32.50534747202452,0.13946426267047599,0.6291310107509448,41,Tone,New Canadians Reasons for Concers About Requests,CA,*
ImmStat,Native-born,2018,ng_140d,0.5208495707007404,3.8337723517656768,0.4817126436659758,0.559986497735505,1797,Multiple requests from one organization,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Naturalized,2018,ng_140d,0.5235773589419895,7.402008737997853,0.4476184806860841,0.599536237197895,338,Multiple requests from one organization,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Non-Canadian,2018,ng_140d,0.5426614274546234,24.65096062229529,0.28047458589121194,0.804848269018035,41,Multiple requests from one organization,New Canadians Reasons for Concers About Requests,CA,*
ImmStat,Native-born,2018,ng_140e,0.5107177522143431,3.6484570730129775,0.47419712011241727,0.547238384316269,1797,Method of contact,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Naturalized,2018,ng_140e,0.5039021518693875,7.638579868981508,0.4284612402084788,0.5793430635302962,338,Method of contact,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Non-Canadian,2018,ng_140e,0.5939234686652104,22.229183254243033,0.3351605245528934,0.8526864127775273,41,Method of contact,New Canadians Reasons for Concers About Requests,CA,*
ImmStat,Native-born,2018,ng_140f,0.07790576872333677,11.191651636036601,0.06081695594986305,0.09499458149681048,1797,Other,New Canadians Reasons for Concers About Requests,CA,
ImmStat,Naturalized,2018,ng_140f,0.06599255268749982,25.919767754142057,0.03246714060853972,0.09951796476645991,338,Other,New Canadians Reasons for Concers About Requests,CA,*
ImmStat,Non-Canadian,2018,ng_140f,0.014171071862371933,86.40529990313348,-0.009827819142925973,0.03816996286766984,41,Other,New Canadians Reasons for Concers About Requests,CA,...
ImmStat,Native-born,2018,ng_140a,0.3362210564595935,5.423186293449439,0.30048328043245065,0.37195883248673633,1664,Time of day,New Canadians Reasons for Concers About Requests,CA (without QC),
ImmStat,Naturalized,2018,ng_140a,0.26378178293980964,13.187714100406586,0.19560093253116523,0.33196263334845405,317,Time of day,New Canadians Reasons for Concers About Requests,CA (without QC),
