,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,ng_140a,0.3192111982090063,5.239364396123789,0.286431510334422,0.3519908860835906,1797,Heure du jour,New Canadians Reasons for Concers About Requests,CA,
1,ImmStat,Naturalisé.e,2018,ng_140a,0.2637604726862727,12.95382212897887,0.1967942607712088,0.3307266846013365,338,Heure du jour,New Canadians Reasons for Concers About Requests,CA,
2,ImmStat,Non canadien.ne,2018,ng_140a,0.2769208947723526,42.030507003053344,0.0487982247593588,0.5050435647853464,41,Heure du jour,New Canadians Reasons for Concers About Requests,CA,...
3,ImmStat,Né.e au Canada,2018,ng_140b,0.5393181744178852,3.5042174581959804,0.5022770470883756,0.5763593017473948,1797,Nombre de demandes,New Canadians Reasons for Concers About Requests,CA,
4,ImmStat,Naturalisé.e,2018,ng_140b,0.4142659379149383,9.02771583933641,0.340965731527702,0.4875661443021746,338,Nombre de demandes,New Canadians Reasons for Concers About Requests,CA,
5,ImmStat,Non canadien.ne,2018,ng_140b,0.547369755929918,24.344316485958046,0.2861978406786242,0.8085416711812117,41,Nombre de demandes,New Canadians Reasons for Concers About Requests,CA,*
6,ImmStat,Né.e au Canada,2018,ng_140c,0.4305943898157912,4.503560367293337,0.3925866147946861,0.4686021648368962,1797,Ton,New Canadians Reasons for Concers About Requests,CA,
7,ImmStat,Naturalisé.e,2018,ng_140c,0.3883210483747998,10.113033619919904,0.3113512279155791,0.4652908688340205,338,Ton,New Canadians Reasons for Concers About Requests,CA,
8,ImmStat,Non canadien.ne,2018,ng_140c,0.3842976367107104,32.50534747202452,0.1394642626704759,0.6291310107509448,41,Ton,New Canadians Reasons for Concers About Requests,CA,*
9,ImmStat,Né.e au Canada,2018,ng_140d,0.5208495707007404,3.8337723517656768,0.4817126436659758,0.559986497735505,1797,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,CA,
10,ImmStat,Naturalisé.e,2018,ng_140d,0.5235773589419895,7.402008737997853,0.4476184806860841,0.599536237197895,338,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,CA,
11,ImmStat,Non canadien.ne,2018,ng_140d,0.5426614274546234,24.65096062229529,0.2804745858912119,0.804848269018035,41,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,CA,*
12,ImmStat,Né.e au Canada,2018,ng_140e,0.5107177522143431,3.6484570730129775,0.4741971201124172,0.547238384316269,1797,Méthode de contact,New Canadians Reasons for Concers About Requests,CA,
13,ImmStat,Naturalisé.e,2018,ng_140e,0.5039021518693875,7.638579868981508,0.4284612402084788,0.5793430635302962,338,Méthode de contact,New Canadians Reasons for Concers About Requests,CA,
14,ImmStat,Non canadien.ne,2018,ng_140e,0.5939234686652104,22.229183254243036,0.3351605245528934,0.8526864127775273,41,Méthode de contact,New Canadians Reasons for Concers About Requests,CA,*
15,ImmStat,Né.e au Canada,2018,ng_140f,0.0779057687233367,11.1916516360366,0.060816955949863,0.0949945814968104,1797,Autre,New Canadians Reasons for Concers About Requests,CA,
16,ImmStat,Naturalisé.e,2018,ng_140f,0.0659925526874998,25.919767754142057,0.0324671406085397,0.0995179647664599,338,Autre,New Canadians Reasons for Concers About Requests,CA,*
17,ImmStat,Non canadien.ne,2018,ng_140f,0.0141710718623719,86.40529990313348,-0.0098278191429259,0.0381699628676698,41,Autre,New Canadians Reasons for Concers About Requests,CA,...
18,ImmStat,Né.e au Canada,2018,ng_140a,0.3362210564595935,5.423186293449439,0.3004832804324506,0.3719588324867363,1664,Heure du jour,New Canadians Reasons for Concers About Requests,CA (without QC),
19,ImmStat,Naturalisé.e,2018,ng_140a,0.2637817829398096,13.187714100406586,0.1956009325311652,0.331962633348454,317,Heure du jour,New Canadians Reasons for Concers About Requests,CA (without QC),
20,ImmStat,Non canadien.ne,2018,ng_140a,0.1611396184248555,47.13314214951392,0.0122800295987077,0.3099992072510034,35,Heure du jour,New Canadians Reasons for Concers About Requests,CA (without QC),...
21,ImmStat,Né.e au Canada,2018,ng_140b,0.5380394957295683,3.633737549676795,0.4997203512164823,0.5763586402426544,1664,Nombre de demandes,New Canadians Reasons for Concers About Requests,CA (without QC),
22,ImmStat,Naturalisé.e,2018,ng_140b,0.4249870396294329,9.385350775926636,0.3468108882949163,0.5031631909639495,317,Nombre de demandes,New Canadians Reasons for Concers About Requests,CA (without QC),
23,ImmStat,Non canadien.ne,2018,ng_140b,0.5110299052951528,28.95445886976734,0.2210219846245169,0.8010378259657887,35,Nombre de demandes,New Canadians Reasons for Concers About Requests,CA (without QC),*
24,ImmStat,Né.e au Canada,2018,ng_140c,0.4435180991200868,4.497174972078754,0.4044250789741805,0.4826111192659931,1664,Ton,New Canadians Reasons for Concers About Requests,CA (without QC),
25,ImmStat,Naturalisé.e,2018,ng_140c,0.4064213023634033,10.25952668121402,0.3246968762664482,0.4881457284603583,317,Ton,New Canadians Reasons for Concers About Requests,CA (without QC),
26,ImmStat,Non canadien.ne,2018,ng_140c,0.3894219153125163,37.10312239452766,0.1062312469588707,0.6726125836661621,35,Ton,New Canadians Reasons for Concers About Requests,CA (without QC),...
27,ImmStat,Né.e au Canada,2018,ng_140d,0.544414593483962,3.7192983080207616,0.5047284533219292,0.5841007336459949,1664,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,CA (without QC),
28,ImmStat,Naturalisé.e,2018,ng_140d,0.5426569668246795,7.642185641886573,0.4613755889219068,0.6239383447274521,317,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,CA (without QC),
29,ImmStat,Non canadien.ne,2018,ng_140d,0.5048073819569389,29.74621010596615,0.210497103720759,0.7991176601931187,35,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,CA (without QC),*
30,ImmStat,Né.e au Canada,2018,ng_140e,0.5355439520735695,3.7715047336788334,0.4959564711295533,0.5751314330175857,1664,Méthode de contact,New Canadians Reasons for Concers About Requests,CA (without QC),
31,ImmStat,Naturalisé.e,2018,ng_140e,0.5038945862292591,7.869381624509261,0.4261753739320457,0.5816137985264724,317,Méthode de contact,New Canadians Reasons for Concers About Requests,CA (without QC),
32,ImmStat,Non canadien.ne,2018,ng_140e,0.6549286943473986,20.2633606003732,0.3948207704779436,0.9150366182168536,35,Méthode de contact,New Canadians Reasons for Concers About Requests,CA (without QC),*
33,ImmStat,Né.e au Canada,2018,ng_140f,0.0798327031525723,11.305838464651966,0.0621425455569685,0.0975228607481761,1664,Autre,New Canadians Reasons for Concers About Requests,CA (without QC),
34,ImmStat,Naturalisé.e,2018,ng_140f,0.0496526427062601,27.90377073339876,0.0224974209146982,0.0768078644978219,317,Autre,New Canadians Reasons for Concers About Requests,CA (without QC),*
35,ImmStat,Non canadien.ne,2018,ng_140f,0.0187284778141145,89.35757022876973,-0.0140721323783334,0.0515290880065625,35,Autre,New Canadians Reasons for Concers About Requests,CA (without QC),...
36,ImmStat,Né.e au Canada,2018,ng_140a,0.3462603937664727,12.853292877121255,0.259030506110157,0.4334902814227884,181,Heure du jour,New Canadians Reasons for Concers About Requests,AB,
37,ImmStat,Naturalisé.e,2018,ng_140a,0.1950541844183734,36.40389591619778,0.0558823901190726,0.3342259787176743,34,Heure du jour,New Canadians Reasons for Concers About Requests,AB,...
38,ImmStat,Non canadien.ne,2018,ng_140a,0.1893561869299664,154.31864760160897,-0.3833686262915934,0.7620810001515264,3,Heure du jour,New Canadians Reasons for Concers About Requests,AB,...
39,ImmStat,Né.e au Canada,2018,ng_140a,0.317399338248403,7.923089232027144,0.2681104916882497,0.3666881848085562,557,Heure du jour,New Canadians Reasons for Concers About Requests,AT,
40,ImmStat,Naturalisé.e,2018,ng_140a,0.2218627230875968,52.507384069474426,-0.006461933068625,0.4501873792438187,17,Heure du jour,New Canadians Reasons for Concers About Requests,AT,...
41,ImmStat,Non canadien.ne,2018,ng_140a,0.0,,0.0,0.0,1,Heure du jour,New Canadians Reasons for Concers About Requests,AT,...
42,ImmStat,Né.e au Canada,2018,ng_140a,0.3070905677992469,14.540287961124513,0.219574544351718,0.3946065912467758,218,Heure du jour,New Canadians Reasons for Concers About Requests,BC,
43,ImmStat,Naturalisé.e,2018,ng_140a,0.1853719353729244,25.6370468234417,0.0922268228242861,0.2785170479215628,104,Heure du jour,New Canadians Reasons for Concers About Requests,BC,*
44,ImmStat,Non canadien.ne,2018,ng_140a,0.0857455015623282,122.44210712918446,-0.1200283710325427,0.2915193741571992,10,Heure du jour,New Canadians Reasons for Concers About Requests,BC,...
45,ImmStat,Né.e au Canada,2018,ng_140a,0.3490739406471511,8.612434928579255,0.290150042065419,0.4079978392288831,429,Heure du jour,New Canadians Reasons for Concers About Requests,ON,
46,ImmStat,Naturalisé.e,2018,ng_140a,0.3319637133537894,18.06838911947071,0.2144041024690756,0.4495233242385033,134,Heure du jour,New Canadians Reasons for Concers About Requests,ON,*
47,ImmStat,Non canadien.ne,2018,ng_140a,0.1466022457015733,76.3847836439212,-0.0728780652868008,0.3660825566899476,16,Heure du jour,New Canadians Reasons for Concers About Requests,ON,...
48,ImmStat,Né.e au Canada,2018,ng_140a,0.3295534279295872,10.194760851400432,0.2637041575917898,0.3954026982673846,279,Heure du jour,New Canadians Reasons for Concers About Requests,PR,
49,ImmStat,Naturalisé.e,2018,ng_140a,0.326021001992581,40.51948349071999,0.067105788593629,0.584936215391533,28,Heure du jour,New Canadians Reasons for Concers About Requests,PR,...
50,ImmStat,Non canadien.ne,2018,ng_140a,0.972019972241414,9.871320072746151,0.7839590708114114,1.1600808736714168,5,Heure du jour,New Canadians Reasons for Concers About Requests,PR,...
51,ImmStat,Né.e au Canada,2018,ng_140a,0.2315962127889914,17.69996518946096,0.1512524890251256,0.3119399365528571,133,Heure du jour,New Canadians Reasons for Concers About Requests,QC,*
52,ImmStat,Naturalisé.e,2018,ng_140a,0.2635360191117585,49.71618632380095,0.0067414236072382,0.5203306146162789,21,Heure du jour,New Canadians Reasons for Concers About Requests,QC,...
53,ImmStat,Non canadien.ne,2018,ng_140a,0.6369381512579542,48.08868709058285,0.0366106013630616,1.2372657011528467,6,Heure du jour,New Canadians Reasons for Concers About Requests,QC,...
54,ImmStat,Né.e au Canada,2018,ng_140b,0.4884235927832451,9.986932107839918,0.3928194256490596,0.5840277599174307,181,Nombre de demandes,New Canadians Reasons for Concers About Requests,AB,
55,ImmStat,Naturalisé.e,2018,ng_140b,0.3528282237914495,30.2561709959967,0.1435975395285615,0.5620589080543374,34,Nombre de demandes,New Canadians Reasons for Concers About Requests,AB,*
56,ImmStat,Non canadien.ne,2018,ng_140b,1.0,0.0,1.0,1.0,3,Nombre de demandes,New Canadians Reasons for Concers About Requests,AB,...
57,ImmStat,Né.e au Canada,2018,ng_140b,0.4757661557994426,5.744844014361829,0.4221963740681859,0.5293359375306993,557,Nombre de demandes,New Canadians Reasons for Concers About Requests,AT,
58,ImmStat,Naturalisé.e,2018,ng_140b,0.5415800565639931,34.975594034559684,0.1703220284090561,0.91283808471893,17,Nombre de demandes,New Canadians Reasons for Concers About Requests,AT,...
59,ImmStat,Non canadien.ne,2018,ng_140b,0.0,,0.0,0.0,1,Nombre de demandes,New Canadians Reasons for Concers About Requests,AT,...
60,ImmStat,Né.e au Canada,2018,ng_140b,0.5407375390973086,9.216309873917544,0.4430606814381748,0.6384143967564423,218,Nombre de demandes,New Canadians Reasons for Concers About Requests,BC,
61,ImmStat,Naturalisé.e,2018,ng_140b,0.3575415147151572,16.921908357724327,0.2389581127296366,0.4761249167006778,104,Nombre de demandes,New Canadians Reasons for Concers About Requests,BC,*
62,ImmStat,Non canadien.ne,2018,ng_140b,0.4525936129002046,50.35223706977913,0.0059354429965375,0.8992517828038717,10,Nombre de demandes,New Canadians Reasons for Concers About Requests,BC,...
63,ImmStat,Né.e au Canada,2018,ng_140b,0.5826737721844548,5.515964766551416,0.5196803729680619,0.6456671714008477,429,Nombre de demandes,New Canadians Reasons for Concers About Requests,ON,
64,ImmStat,Naturalisé.e,2018,ng_140b,0.488805524405898,12.434536762097189,0.3696775363011289,0.6079335125106672,134,Nombre de demandes,New Canadians Reasons for Concers About Requests,ON,
65,ImmStat,Non canadien.ne,2018,ng_140b,0.4999026717902102,40.00490971593735,0.1079380738302526,0.8918672697501677,16,Nombre de demandes,New Canadians Reasons for Concers About Requests,ON,...
66,ImmStat,Né.e au Canada,2018,ng_140b,0.4911281862291892,6.768130929230052,0.4259785939885183,0.5562777784698602,279,Nombre de demandes,New Canadians Reasons for Concers About Requests,PR,
67,ImmStat,Naturalisé.e,2018,ng_140b,0.429387876332632,31.10604055945516,0.1676041754979125,0.6911715771673516,28,Nombre de demandes,New Canadians Reasons for Concers About Requests,PR,*
68,ImmStat,Non canadien.ne,2018,ng_140b,0.7043225474604374,36.88578416106135,0.1951339105713262,1.2135111843495483,5,Nombre de demandes,New Canadians Reasons for Concers About Requests,PR,...
69,ImmStat,Né.e au Canada,2018,ng_140b,0.5459044382763681,9.894298246441249,0.4400400935975878,0.6517687829551485,133,Nombre de demandes,New Canadians Reasons for Concers About Requests,QC,
70,ImmStat,Naturalisé.e,2018,ng_140b,0.3013442592323514,44.61130874234007,0.0378592099085456,0.5648293085561571,21,Nombre de demandes,New Canadians Reasons for Concers About Requests,QC,...
71,ImmStat,Non canadien.ne,2018,ng_140b,0.6603670706888126,45.41005323031407,0.0726267156563122,1.248107425721313,6,Nombre de demandes,New Canadians Reasons for Concers About Requests,QC,...
72,ImmStat,Né.e au Canada,2018,ng_140c,0.4997523564910841,10.41474005861564,0.3977403296443701,0.6017643833377981,181,Ton,New Canadians Reasons for Concers About Requests,AB,
73,ImmStat,Naturalisé.e,2018,ng_140c,0.524096166419352,24.260112180276032,0.2748939625569844,0.7732983702817195,34,Ton,New Canadians Reasons for Concers About Requests,AB,*
74,ImmStat,Non canadien.ne,2018,ng_140c,0.4341173376994602,73.73504292360052,-0.1932604802453909,1.0614951556443113,3,Ton,New Canadians Reasons for Concers About Requests,AB,...
75,ImmStat,Né.e au Canada,2018,ng_140c,0.4340710295043021,6.615033570796432,0.3777927327775037,0.4903493262311005,557,Ton,New Canadians Reasons for Concers About Requests,AT,
76,ImmStat,Naturalisé.e,2018,ng_140c,0.6825963660185285,22.327749159092104,0.383881382504869,0.981311349532188,17,Ton,New Canadians Reasons for Concers About Requests,AT,*
77,ImmStat,Non canadien.ne,2018,ng_140c,0.0,,0.0,0.0,1,Ton,New Canadians Reasons for Concers About Requests,AT,...
78,ImmStat,Né.e au Canada,2018,ng_140c,0.385802197985559,13.754323880298749,0.281797720784791,0.489806675186327,218,Ton,New Canadians Reasons for Concers About Requests,BC,
79,ImmStat,Naturalisé.e,2018,ng_140c,0.3720254690144823,17.1950124987312,0.2466469141619976,0.4974040238669671,104,Ton,New Canadians Reasons for Concers About Requests,BC,*
80,ImmStat,Non canadien.ne,2018,ng_140c,0.3241260231973885,60.9179841163455,-0.0628709025961349,0.7111229489909121,10,Ton,New Canadians Reasons for Concers About Requests,BC,...
81,ImmStat,Né.e au Canada,2018,ng_140c,0.4451998139487805,7.342588614789179,0.3811301771949754,0.5092694507025857,429,Ton,New Canadians Reasons for Concers About Requests,ON,
82,ImmStat,Naturalisé.e,2018,ng_140c,0.3804662336891237,15.63405620069241,0.2638830585644437,0.4970494088138038,134,Ton,New Canadians Reasons for Concers About Requests,ON,
83,ImmStat,Non canadien.ne,2018,ng_140c,0.4022675988855503,49.26283128446033,0.013864655251896,0.7906705425192047,16,Ton,New Canadians Reasons for Concers About Requests,ON,...
84,ImmStat,Né.e au Canada,2018,ng_140c,0.4388079316364617,8.015406239632254,0.3698716112493178,0.5077442520236056,279,Ton,New Canadians Reasons for Concers About Requests,PR,
85,ImmStat,Naturalisé.e,2018,ng_140c,0.3889014769921363,31.00975058807555,0.1525349593869122,0.6252679945973605,28,Ton,New Canadians Reasons for Concers About Requests,PR,*
86,ImmStat,Non canadien.ne,2018,ng_140c,0.4945111824070751,59.27319644863808,-0.0799789268412861,1.0690012916554363,5,Ton,New Canadians Reasons for Concers About Requests,PR,...
87,ImmStat,Né.e au Canada,2018,ng_140c,0.3640264863337448,14.650454410020329,0.2594985996288673,0.4685543730386224,133,Ton,New Canadians Reasons for Concers About Requests,QC,
88,ImmStat,Naturalisé.e,2018,ng_140c,0.1976772955773632,59.35427734910863,-0.0322851420667151,0.4276397332214416,21,Ton,New Canadians Reasons for Concers About Requests,QC,...
89,ImmStat,Non canadien.ne,2018,ng_140c,0.3683638969741302,84.49451527126016,-0.2416695801095191,0.9783973740577796,6,Ton,New Canadians Reasons for Concers About Requests,QC,...
90,ImmStat,Né.e au Canada,2018,ng_140d,0.5457429616579581,9.284510766510836,0.4464324410416999,0.6450534822742163,181,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,AB,
91,ImmStat,Naturalisé.e,2018,ng_140d,0.7665620357376169,11.252656022151054,0.5974983077875897,0.9356257636876442,34,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,AB,
92,ImmStat,Non canadien.ne,2018,ng_140d,0.6234735246294266,51.87749519458874,-0.0104620240892115,1.257409073348065,3,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,AB,...
93,ImmStat,Né.e au Canada,2018,ng_140d,0.4725131863949981,6.11686337870327,0.4158643746753813,0.529161998114615,557,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,AT,
94,ImmStat,Naturalisé.e,2018,ng_140d,0.4887934737765586,35.07481748274514,0.1527705475525338,0.8248164000005833,17,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,AT,...
95,ImmStat,Non canadien.ne,2018,ng_140d,0.0,,0.0,0.0,1,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,AT,...
96,ImmStat,Né.e au Canada,2018,ng_140d,0.5453937545871641,9.156616970217152,0.4475139036948588,0.6432736054794694,218,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,BC,
97,ImmStat,Naturalisé.e,2018,ng_140d,0.4492770865842519,15.175962021801691,0.315642586930606,0.5829115862378978,104,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,BC,
98,ImmStat,Non canadien.ne,2018,ng_140d,0.2700808130807328,66.66938209013922,-0.0828326720128975,0.6229942981743632,10,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,BC,...
99,ImmStat,Né.e au Canada,2018,ng_140d,0.575907854807856,5.630397659079673,0.5123542539855516,0.6394614556301604,429,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,ON,
100,ImmStat,Naturalisé.e,2018,ng_140d,0.5290783539504492,11.749785616979583,0.4072360710954861,0.6509206368054123,134,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,ON,
101,ImmStat,Non canadien.ne,2018,ng_140d,0.569004099707989,34.592968496752576,0.1832137872696344,0.9547944121463436,16,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,ON,...
102,ImmStat,Né.e au Canada,2018,ng_140d,0.4722547054625551,7.880165486426183,0.3993157192347192,0.545193691690391,279,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,PR,
103,ImmStat,Naturalisé.e,2018,ng_140d,0.4639025425874286,26.31482625656305,0.2246396489399806,0.7031654362348765,28,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,PR,*
104,ImmStat,Non canadien.ne,2018,ng_140d,0.4945111824070751,59.27319644863808,-0.0799789268412861,1.0690012916554363,5,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,PR,...
105,ImmStat,Né.e au Canada,2018,ng_140d,0.3994700096745334,13.354592288016292,0.294910652446895,0.5040293669021717,133,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,QC,
106,ImmStat,Naturalisé.e,2018,ng_140d,0.3226184082582152,40.50154707342952,0.0665188391173994,0.578717977399031,21,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,QC,...
107,ImmStat,Non canadien.ne,2018,ng_140d,0.6603670706888126,45.41005323031407,0.0726267156563122,1.248107425721313,6,Multiples demandes d'un organisme,New Canadians Reasons for Concers About Requests,QC,...
108,ImmStat,Né.e au Canada,2018,ng_140e,0.5986259709328974,8.19491024637337,0.502476290120624,0.6947756517451708,181,Méthode de contact,New Canadians Reasons for Concers About Requests,AB,
109,ImmStat,Naturalisé.e,2018,ng_140e,0.538918478741518,23.5963784429532,0.2896791809202651,0.7881577765627709,34,Méthode de contact,New Canadians Reasons for Concers About Requests,AB,*
110,ImmStat,Non canadien.ne,2018,ng_140e,0.6234735246294266,51.87749519458874,-0.0104620240892115,1.257409073348065,3,Méthode de contact,New Canadians Reasons for Concers About Requests,AB,...
111,ImmStat,Né.e au Canada,2018,ng_140e,0.5246880127577306,5.296550245667231,0.4702198997522164,0.5791561257632447,557,Méthode de contact,New Canadians Reasons for Concers About Requests,AT,
112,ImmStat,Naturalisé.e,2018,ng_140e,0.4138221642976628,42.18577188942494,0.0716632661165949,0.7559810624787306,17,Méthode de contact,New Canadians Reasons for Concers About Requests,AT,...
