,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,fv_020,0.0318659591156593,8.015760418799353,0.0268596251916973,0.0368722930396213,12031,Porte-à-porte,New Canadians Volunteer Rate by Activity,CA,
1,ImmStat,Naturalisé.e,2018,fv_020,0.0248112407328738,15.74597713828858,0.0171541077417677,0.0324683737239799,2468,Porte-à-porte,New Canadians Volunteer Rate by Activity,CA,
2,ImmStat,Non canadien.ne,2018,fv_020,0.0140911157652049,60.59081341545431,-0.0026429031940633,0.0308251347244733,318,Porte-à-porte,New Canadians Volunteer Rate by Activity,CA,...
3,ImmStat,Né.e au Canada,2018,fv_030,0.1703951981510654,2.886207038441758,0.1607561771972745,0.1800342191048563,12047,Collecte de fonds,New Canadians Volunteer Rate by Activity,CA,
4,ImmStat,Naturalisé.e,2018,fv_030,0.1235198853973962,6.869116223931523,0.1068901309829274,0.1401496398118651,2474,Collecte de fonds,New Canadians Volunteer Rate by Activity,CA,
5,ImmStat,Non canadien.ne,2018,fv_030,0.0854430623139754,21.34108817194408,0.0497041396772732,0.1211819849506777,318,Collecte de fonds,New Canadians Volunteer Rate by Activity,CA,*
6,ImmStat,Né.e au Canada,2018,fv_040,0.1384722476597544,3.1610626213789947,0.1298931041613848,0.147051391158124,12050,Membre d'un comité ou d'un conseil d'administration,New Canadians Volunteer Rate by Activity,CA,
7,ImmStat,Naturalisé.e,2018,fv_040,0.10029468671913,7.190822213592164,0.0861594017442437,0.1144299716940163,2473,Membre d'un comité ou d'un conseil d'administration,New Canadians Volunteer Rate by Activity,CA,
8,ImmStat,Non canadien.ne,2018,fv_040,0.1121417615192666,26.17667573758743,0.0546070476051018,0.1696764754334315,319,Membre d'un comité ou d'un conseil d'administration,New Canadians Volunteer Rate by Activity,CA,*
9,ImmStat,Né.e au Canada,2018,fv_050,0.1215825798029167,3.4611481882700565,0.1133347509756145,0.1298304086302188,12035,Enseignement ou mentorat,New Canadians Volunteer Rate by Activity,CA,
10,ImmStat,Naturalisé.e,2018,fv_050,0.0974957603685824,7.494424559775256,0.0831748009531946,0.1118167197839702,2469,Enseignement ou mentorat,New Canadians Volunteer Rate by Activity,CA,
11,ImmStat,Non canadien.ne,2018,fv_050,0.1529633530697174,21.973288868049806,0.0870868479009651,0.2188398582384696,318,Enseignement ou mentorat,New Canadians Volunteer Rate by Activity,CA,*
12,ImmStat,Né.e au Canada,2018,fv_060,0.1830325978949247,2.798415506336148,0.1729936376683271,0.1930715581215223,12045,Organisation d'activités ou d'événements,New Canadians Volunteer Rate by Activity,CA,
13,ImmStat,Naturalisé.e,2018,fv_060,0.1462958974643061,6.053340588689826,0.12893887008566,0.1636529248429521,2474,Organisation d'activités ou d'événements,New Canadians Volunteer Rate by Activity,CA,
14,ImmStat,Non canadien.ne,2018,fv_060,0.1819920578387711,18.94969902887499,0.1143988833569069,0.2495852323206352,318,Organisation d'activités ou d'événements,New Canadians Volunteer Rate by Activity,CA,*
15,ImmStat,Né.e au Canada,2018,fv_070,0.077674472790471,4.101586281469906,0.0714302519120544,0.0839186936688876,12037,Travail de bureau,New Canadians Volunteer Rate by Activity,CA,
16,ImmStat,Naturalisé.e,2018,fv_070,0.0615181288181276,9.892039840464356,0.0495909682754059,0.0734452893608492,2466,Travail de bureau,New Canadians Volunteer Rate by Activity,CA,
17,ImmStat,Non canadien.ne,2018,fv_070,0.0741216852747506,33.442687961314974,0.0255375415567157,0.1227058289927855,319,Travail de bureau,New Canadians Volunteer Rate by Activity,CA,...
18,ImmStat,Né.e au Canada,2018,fv_080,0.0642061634274044,5.576286163659656,0.0571888663357133,0.0712234605190956,12033,"Entraînement, arbitrage, présidence",New Canadians Volunteer Rate by Activity,CA,
