Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
ImmStat,Native-born,2018,fv1fvol,0.42296146209700103,1.630393773974139,0.40944567326245085,0.4364772509315512,12093,Volunteer flag,New Canadians Volunteer Rate,CA,
ImmStat,Naturalized,2018,fv1fvol,0.3434586240411757,3.789621491778755,0.31794816041976226,0.3689690876625892,2492,Volunteer flag,New Canadians Volunteer Rate,CA,
ImmStat,Non-Canadian,2018,fv1fvol,0.3954311741685792,10.478081313188579,0.3142228104832623,0.4766395378538961,319,Volunteer flag,New Canadians Volunteer Rate,CA,
ImmStat,Native-born,2018,iv1fiv,0.724778161547019,0.9551651945851722,0.7112096665512593,0.7383466565427788,12093,Direct help flag,New Canadians Volunteer Rate,CA,
ImmStat,Naturalized,2018,iv1fiv,0.6522109541838501,2.125622725227057,0.6250389067390109,0.6793830016286894,2492,Direct help flag,New Canadians Volunteer Rate,CA,
ImmStat,Non-Canadian,2018,iv1fiv,0.641877025166639,6.576823994486151,0.5591369060394252,0.7246171442938528,319,Direct help flag,New Canadians Volunteer Rate,CA,
ImmStat,Native-born,2018,iva250fiv,0.27805113132293985,2.2418795585935096,0.2658335557357724,0.2902687069101073,12093,Community involvement flag,New Canadians Volunteer Rate,CA,
ImmStat,Naturalized,2018,iva250fiv,0.26514418636343695,4.358496986826515,0.24249425187708987,0.287794120849784,2492,Community involvement flag,New Canadians Volunteer Rate,CA,
ImmStat,Non-Canadian,2018,iva250fiv,0.3337060429742575,12.74049781582427,0.2503765844125885,0.4170355015359265,319,Community involvement flag,New Canadians Volunteer Rate,CA,
ImmStat,Native-born,2018,fv1fvol,0.4547410304731908,1.7583445305836818,0.43906932693592793,0.4704127340104537,10472,Volunteer flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Naturalized,2018,fv1fvol,0.35507345762632625,3.9371338468130403,0.32767371524101335,0.38247320001163915,2280,Volunteer flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Non-Canadian,2018,fv1fvol,0.4137128061866036,10.81668902230097,0.3260043636057798,0.5014212487674274,274,Volunteer flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Native-born,2018,iv1fiv,0.7394000143262061,0.9539060760139073,0.7255760322908852,0.7532239963615269,10472,Direct help flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Naturalized,2018,iv1fiv,0.649641777950376,2.219595748088786,0.6213802315613236,0.6779033243394285,2280,Direct help flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Non-Canadian,2018,iv1fiv,0.6568594249771628,6.67807731953708,0.5708844674661548,0.7428343824881707,274,Direct help flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Native-born,2018,iva250fiv,0.2972401481686178,2.3195227637076905,0.2837270727957985,0.31075322354143714,10472,Community involvement flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Naturalized,2018,iva250fiv,0.26796128671236746,4.500099239839739,0.2443270143058896,0.2915955591188453,2280,Community involvement flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Non-Canadian,2018,iva250fiv,0.3182774467844792,13.718968898571774,0.23269682686370913,0.4038580667052493,274,Community involvement flag,New Canadians Volunteer Rate,CA (without QC),
ImmStat,Native-born,2018,fv1fvol,0.46748831297665955,4.327398375692098,0.42783808151424274,0.5071385444390764,1039,Volunteer flag,New Canadians Volunteer Rate,AB,
ImmStat,Naturalized,2018,fv1fvol,0.3823907414731972,10.427291863014396,0.30424110012329575,0.4605403828230986,244,Volunteer flag,New Canadians Volunteer Rate,AB,
ImmStat,Non-Canadian,2018,fv1fvol,0.33106172732391925,40.288693600632506,0.06964085897902123,0.5924825956688173,23,Volunteer flag,New Canadians Volunteer Rate,AB,...
ImmStat,Native-born,2018,fv1fvol,0.43240477520650544,2.573107742395229,0.41059774405450594,0.45421180635850494,3527,Volunteer flag,New Canadians Volunteer Rate,AT,
ImmStat,Naturalized,2018,fv1fvol,0.35535161362439244,16.59830079981445,0.23974837163643892,0.47095485561234596,114,Volunteer flag,New Canadians Volunteer Rate,AT,*
ImmStat,Non-Canadian,2018,fv1fvol,0.47107756776906484,28.59325310850318,0.20707747239431534,0.7350776631438143,30,Volunteer flag,New Canadians Volunteer Rate,AT,*
ImmStat,Native-born,2018,fv1fvol,0.467811603666052,3.9128606738703007,0.43193482303783326,0.5036883842942708,1417,Volunteer flag,New Canadians Volunteer Rate,BC,
ImmStat,Naturalized,2018,fv1fvol,0.37353479325851136,7.650670319480746,0.3175231080061897,0.429546478510833,548,Volunteer flag,New Canadians Volunteer Rate,BC,
