,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,ImmStat,Né.e au Canada,2018,fv1fvol,0.422961462097001,1.630393773974139,0.4094456732624508,0.4364772509315512,12093,Volunteer flag,New Canadians Volunteer Rate,CA,
1,ImmStat,Naturalisé.e,2018,fv1fvol,0.3434586240411757,3.789621491778755,0.3179481604197622,0.3689690876625892,2492,Volunteer flag,New Canadians Volunteer Rate,CA,
2,ImmStat,Non canadien.ne,2018,fv1fvol,0.3954311741685792,10.47808131318858,0.3142228104832623,0.4766395378538961,319,Volunteer flag,New Canadians Volunteer Rate,CA,
3,ImmStat,Né.e au Canada,2018,iv1fiv,0.724778161547019,0.9551651945851722,0.7112096665512593,0.7383466565427788,12093,Direct help flag,New Canadians Volunteer Rate,CA,
4,ImmStat,Naturalisé.e,2018,iv1fiv,0.6522109541838501,2.125622725227057,0.6250389067390109,0.6793830016286894,2492,Direct help flag,New Canadians Volunteer Rate,CA,
5,ImmStat,Non canadien.ne,2018,iv1fiv,0.641877025166639,6.576823994486151,0.5591369060394252,0.7246171442938528,319,Direct help flag,New Canadians Volunteer Rate,CA,
6,ImmStat,Né.e au Canada,2018,iva250fiv,0.2780511313229398,2.2418795585935096,0.2658335557357724,0.2902687069101073,12093,Community involvement flag,New Canadians Volunteer Rate,CA,
7,ImmStat,Naturalisé.e,2018,iva250fiv,0.2651441863634369,4.358496986826515,0.2424942518770898,0.287794120849784,2492,Community involvement flag,New Canadians Volunteer Rate,CA,
8,ImmStat,Non canadien.ne,2018,iva250fiv,0.3337060429742575,12.74049781582427,0.2503765844125885,0.4170355015359265,319,Community involvement flag,New Canadians Volunteer Rate,CA,
9,ImmStat,Né.e au Canada,2018,fv1fvol,0.4547410304731908,1.7583445305836818,0.4390693269359279,0.4704127340104537,10472,Volunteer flag,New Canadians Volunteer Rate,CA (without QC),
10,ImmStat,Naturalisé.e,2018,fv1fvol,0.3550734576263262,3.93713384681304,0.3276737152410133,0.3824732000116391,2280,Volunteer flag,New Canadians Volunteer Rate,CA (without QC),
11,ImmStat,Non canadien.ne,2018,fv1fvol,0.4137128061866036,10.81668902230097,0.3260043636057798,0.5014212487674274,274,Volunteer flag,New Canadians Volunteer Rate,CA (without QC),
12,ImmStat,Né.e au Canada,2018,iv1fiv,0.7394000143262061,0.9539060760139072,0.7255760322908852,0.7532239963615269,10472,Direct help flag,New Canadians Volunteer Rate,CA (without QC),
13,ImmStat,Naturalisé.e,2018,iv1fiv,0.649641777950376,2.219595748088786,0.6213802315613236,0.6779033243394285,2280,Direct help flag,New Canadians Volunteer Rate,CA (without QC),
14,ImmStat,Non canadien.ne,2018,iv1fiv,0.6568594249771628,6.67807731953708,0.5708844674661548,0.7428343824881707,274,Direct help flag,New Canadians Volunteer Rate,CA (without QC),
15,ImmStat,Né.e au Canada,2018,iva250fiv,0.2972401481686178,2.3195227637076905,0.2837270727957985,0.3107532235414371,10472,Community involvement flag,New Canadians Volunteer Rate,CA (without QC),
16,ImmStat,Naturalisé.e,2018,iva250fiv,0.2679612867123674,4.500099239839739,0.2443270143058896,0.2915955591188453,2280,Community involvement flag,New Canadians Volunteer Rate,CA (without QC),
17,ImmStat,Non canadien.ne,2018,iva250fiv,0.3182774467844792,13.718968898571774,0.2326968268637091,0.4038580667052493,274,Community involvement flag,New Canadians Volunteer Rate,CA (without QC),
18,ImmStat,Né.e au Canada,2018,fv1fvol,0.4674883129766595,4.327398375692098,0.4278380815142427,0.5071385444390764,1039,Volunteer flag,New Canadians Volunteer Rate,AB,
19,ImmStat,Naturalisé.e,2018,fv1fvol,0.3823907414731972,10.427291863014396,0.3042411001232957,0.4605403828230986,244,Volunteer flag,New Canadians Volunteer Rate,AB,
20,ImmStat,Non canadien.ne,2018,fv1fvol,0.3310617273239192,40.288693600632506,0.0696408589790212,0.5924825956688173,23,Volunteer flag,New Canadians Volunteer Rate,AB,...
21,ImmStat,Né.e au Canada,2018,fv1fvol,0.4324047752065054,2.573107742395229,0.4105977440545059,0.4542118063585049,3527,Volunteer flag,New Canadians Volunteer Rate,AT,
22,ImmStat,Naturalisé.e,2018,fv1fvol,0.3553516136243924,16.59830079981445,0.2397483716364389,0.4709548556123459,114,Volunteer flag,New Canadians Volunteer Rate,AT,*
23,ImmStat,Non canadien.ne,2018,fv1fvol,0.4710775677690648,28.59325310850318,0.2070774723943153,0.7350776631438143,30,Volunteer flag,New Canadians Volunteer Rate,AT,*
24,ImmStat,Né.e au Canada,2018,fv1fvol,0.467811603666052,3.9128606738703007,0.4319348230378332,0.5036883842942708,1417,Volunteer flag,New Canadians Volunteer Rate,BC,
25,ImmStat,Naturalisé.e,2018,fv1fvol,0.3735347932585113,7.650670319480746,0.3175231080061897,0.429546478510833,548,Volunteer flag,New Canadians Volunteer Rate,BC,
26,ImmStat,Non canadien.ne,2018,fv1fvol,0.3864414676991507,20.04882896734565,0.2345893597894519,0.5382935756088495,68,Volunteer flag,New Canadians Volunteer Rate,BC,*
27,ImmStat,Né.e au Canada,2018,fv1fvol,0.438827234533988,2.959896761680881,0.4133695894482697,0.4642848796197063,2802,Volunteer flag,New Canadians Volunteer Rate,ON,
28,ImmStat,Naturalisé.e,2018,fv1fvol,0.3314964102551072,5.405284863867572,0.2963771380277779,0.3666156824824364,1147,Volunteer flag,New Canadians Volunteer Rate,ON,
29,ImmStat,Non canadien.ne,2018,fv1fvol,0.4336695198399078,14.29374705276798,0.3121760088993998,0.5551630307804158,120,Volunteer flag,New Canadians Volunteer Rate,ON,
