Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.026681411,33.22783668,0.009305045,0.044057776,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.039670767,41.42281168,0.007463174,0.071878359,598,Percentage of donations,Percentage of total donations,11,PE,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.014354815,31.30233157,0.005547929,0.0231617,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.013122736,48.67913049,6.02E-04,0.025643053,837,Percentage of donations,Percentage of total donations,13,NB,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.020276558,27.01601632,0.009540035,0.03101308,1509,Percentage of donations,Percentage of total donations,24,QC,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.027393622,23.67677611,0.01468144,0.040105805,3289,Percentage of donations,Percentage of total donations,35,ON,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.063517998,31.2914457,0.024562342,0.102473653,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.038117333,66.89436322,-0.011858509,0.088093175,749,Percentage of donations,Percentage of total donations,47,SK,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.045458411,36.85976505,0.012617522,0.0782993,1013,Percentage of donations,Percentage of total donations,48,AB,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.017745278,29.83807253,0.007367565,0.028122991,1532,Percentage of donations,Percentage of total donations,59,BC,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.05637417,19.27345216,0.035078674,0.077669666,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.116436762,24.34059822,0.06088863,0.171984894,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.063508087,25.38419196,0.031911479,0.095104696,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.107943994,32.11606848,0.039997203,0.175890784,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.129815505,19.32174859,0.080654463,0.178976548,1509,Percentage of donations,Percentage of total donations,24,QC,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.130618178,17.43161611,0.085992034,0.175244322,3289,Percentage of donations,Percentage of total donations,35,ON,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.11957152,22.66932492,0.066444626,0.172698415,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.154802374,24.45744406,0.080596758,0.22900799,749,Percentage of donations,Percentage of total donations,47,SK,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.205373803,25.12415548,0.104242732,0.306504874,1013,Percentage of donations,Percentage of total donations,48,AB,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.095934768,18.99794837,0.060213174,0.131656361,1532,Percentage of donations,Percentage of total donations,59,BC,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.106609157,23.72995088,0.057025399,0.156192915,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.094546232,23.15582463,0.051636819,0.137455644,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.1479827,20.53368967,0.08842663,0.20753877,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.081296205,24.92471592,0.041581753,0.121010658,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.125246899,12.34569533,0.094940759,0.155553039,1509,Percentage of donations,Percentage of total donations,24,QC,NA
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.179014331,10.80287725,0.141111179,0.216917484,3289,Percentage of donations,Percentage of total donations,35,ON,NA
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.149526077,19.50586855,0.092361062,0.206691092,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.214690502,21.63529906,0.123652268,0.305728736,749,Percentage of donations,Percentage of total donations,47,SK,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.195299613,18.51788023,0.124416833,0.266182393,1013,Percentage of donations,Percentage of total donations,48,AB,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.126647307,14.68632068,0.090192311,0.163102303,1532,Percentage of donations,Percentage of total donations,59,BC,NA
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.225845143,16.96253808,0.150760749,0.300929537,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.106419784,21.6451407,0.061272578,0.15156699,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.128419877,17.10765789,0.085360187,0.171479567,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.17303171,20.06079895,0.104998335,0.241065085,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.130041556,14.94485822,0.091950585,0.168132528,1509,Percentage of donations,Percentage of total donations,24,QC,NA
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.176981085,9.881651107,0.142703955,0.211258216,3289,Percentage of donations,Percentage of total donations,35,ON,NA
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.152640031,19.83141176,0.093310602,0.211969461,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.139800017,25.20168486,0.070746645,0.20885339,749,Percentage of donations,Percentage of total donations,47,SK,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.137882236,20.26417558,0.083119474,0.192644999,1013,Percentage of donations,Percentage of total donations,48,AB,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.154800246,20.13972262,0.093695742,0.21590475,1532,Percentage of donations,Percentage of total donations,59,BC,*
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.241935553,14.56647253,0.172863529,0.311007576,897,Percentage of donations,Percentage of total donations,10,NL,NA
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.238903653,19.78388987,0.146267062,0.331540245,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.254261265,15.09548626,0.179033978,0.329488552,880,Percentage of donations,Percentage of total donations,12,NS,NA
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.249978729,22.31621883,0.14064057,0.359316888,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.197424706,12.32742125,0.149724327,0.245125085,1509,Percentage of donations,Percentage of total donations,24,QC,NA
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.198202767,8.464924678,0.16531905,0.231086484,3289,Percentage of donations,Percentage of total donations,35,ON,NA
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.136135802,17.23729393,0.090143036,0.182128568,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.219382757,16.07397359,0.150267515,0.288497999,749,Percentage of donations,Percentage of total donations,47,SK,NA
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.21693888,14.31812056,0.15605932,0.277818439,1013,Percentage of donations,Percentage of total donations,48,AB,NA
Age group,55 to 64 years,2018,agegr10_5/gs1datot,0.303991468,11.09187736,0.237904695,0.370078241,1532,Percentage of donations,Percentage of total donations,59,BC,NA
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.174066514,15.41576675,0.121473452,0.226659576,897,Percentage of donations,Percentage of total donations,10,NL,NA
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.264967989,17.71857972,0.172950494,0.356985484,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.227183613,13.55644033,0.166820621,0.287546606,880,Percentage of donations,Percentage of total donations,12,NS,NA
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.209550134,14.39901497,0.150411836,0.268688431,837,Percentage of donations,Percentage of total donations,13,NB,NA
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.232256446,19.94716953,0.141454084,0.323058809,1509,Percentage of donations,Percentage of total donations,24,QC,*
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.145365639,8.145006532,0.122159585,0.168571692,3289,Percentage of donations,Percentage of total donations,35,ON,NA
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.156905525,15.63386668,0.108826823,0.204984226,850,Percentage of donations,Percentage of total donations,46,MB,NA
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.112434204,17.52345311,0.073818298,0.15105011,749,Percentage of donations,Percentage of total donations,47,SK,*
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.144718554,18.97568966,0.09089531,0.198541799,1013,Percentage of donations,Percentage of total donations,48,AB,*
Age group,65 to 74 years,2018,agegr10_6/gs1datot,0.168992307,11.64437475,0.130423945,0.207560669,1532,Percentage of donations,Percentage of total donations,59,BC,NA
Age group,75 years and over,2018,agegr10_7/gs1datot,0.168488053,19.68584835,0.103479375,0.233496732,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.139054813,17.5723679,0.091162655,0.186946971,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.164289642,17.93230616,0.106547297,0.222031988,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.165076492,17.81925012,0.107423381,0.222729603,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.164938329,17.29274982,0.109035506,0.220841152,1509,Percentage of donations,Percentage of total donations,24,QC,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.142424378,10.95730403,0.111837431,0.173011325,3289,Percentage of donations,Percentage of total donations,35,ON,NA
Age group,75 years and over,2018,agegr10_7/gs1datot,0.221703048,21.88287972,0.126615373,0.316790722,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.120772813,20.61069797,0.071985155,0.169560471,749,Percentage of donations,Percentage of total donations,47,SK,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.054328502,18.92292092,0.034179015,0.07447799,1013,Percentage of donations,Percentage of total donations,48,AB,*
Age group,75 years and over,2018,agegr10_7/gs1datot,0.131888626,14.71812205,0.093842728,0.169934524,1532,Percentage of donations,Percentage of total donations,59,BC,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.485193948,8.685903203,0.402594251,0.567793644,897,Percentage of donations,Percentage of total donations,10,NL,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.43472668,11.71130079,0.334940701,0.534512658,598,Percentage of donations,Percentage of total donations,11,PE,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.441033651,8.98888994,0.363332781,0.518734521,880,Percentage of donations,Percentage of total donations,12,NS,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.532342565,8.507619609,0.443576422,0.621108707,837,Percentage of donations,Percentage of total donations,13,NB,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.503600524,8.0313293,0.424328181,0.582872868,1509,Percentage of donations,Percentage of total donations,24,QC,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.475633163,5.097922437,0.428109113,0.523157213,3289,Percentage of donations,Percentage of total donations,35,ON,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.482636489,8.977217007,0.397716492,0.567556485,850,Percentage of donations,Percentage of total donations,46,MB,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.460531334,11.10609322,0.360284979,0.560777689,749,Percentage of donations,Percentage of total donations,47,SK,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.455685409,10.18177944,0.364749189,0.546621629,1013,Percentage of donations,Percentage of total donations,48,AB,NA
Gender,Male gender,2018,gndr_1/gs1datot,0.443056582,7.98368862,0.373728231,0.512384934,1532,Percentage of donations,Percentage of total donations,59,BC,NA
Gender,Female gender,2018,gndr_2/gs1datot,0.514806052,8.186282279,0.432206356,0.597405749,897,Percentage of donations,Percentage of total donations,10,NL,NA
Gender,Female gender,2018,gndr_2/gs1datot,0.56527332,9.006642847,0.465487342,0.665059299,598,Percentage of donations,Percentage of total donations,11,PE,NA
