,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.12219179599999999,1.72e-06,0.122191792,0.12219180000000002,59,Percentage of donors,Percentage of total donors,10,NL,
1,Groupe d'âge,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.135435578,2.36e-06,0.135435572,0.135435584,102,Percentage of donors,Percentage of total donors,10,NL,
2,Groupe d'âge,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.143458258,2.69e-06,0.143458251,0.143458266,184,Percentage of donors,Percentage of total donors,10,NL,
3,Groupe d'âge,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.175513417,2.2899999999999997e-07,0.175513416,0.175513418,221,Percentage of donors,Percentage of total donors,10,NL,
4,Groupe d'âge,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.186094471,3.52e-06,0.18609445800000002,0.18609448399999998,246,Percentage of donors,Percentage of total donors,10,NL,
5,Groupe d'âge,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.15200872599999998,8.88e-07,0.152008723,0.152008728,199,Percentage of donors,Percentage of total donors,10,NL,
6,Groupe d'âge,75 ans et plus,2018,agegr10_7/fg1fgiv,0.085297753,2.88e-06,0.085297749,0.085297758,88,Percentage of donors,Percentage of total donors,10,NL,
7,Éducation,Sans diplôme d'études secondaires,2018,dh1ged_1/fg1fgiv,0.169566088,9.356266541,0.14063026,0.20304896,125,Percentage of donors,Percentage of total donors,10,NL,
8,Éducation,Diplôme d'études secondaires,2018,dh1ged_2/fg1fgiv,0.272482455,7.408500802000001,0.234668278,0.313890864,205,Percentage of donors,Percentage of total donors,10,NL,
9,Éducation,Diplôme post-secondaire,2018,dh1ged_3/fg1fgiv,0.383709955,5.227030429,0.345140889,0.423799769,379,Percentage of donors,Percentage of total donors,10,NL,
10,Éducation,Diplôme universtaire,2018,dh1ged_4/fg1fgiv,0.174241502,7.815108573,0.149083906,0.20263343600000003,223,Percentage of donors,Percentage of total donors,10,NL,
11,Catégorie de revenu familial,Moins de 25 000 $,2018,famincg2_1/fg1fgiv,0.116215754,11.92275209,0.091636378,0.146325963,112,Percentage of donors,Percentage of total donors,10,NL,
12,Catégorie de revenu familial,25 000 $ à 49 999 $,2018,famincg2_2/fg1fgiv,0.18553938600000003,6.9878175339999995,0.161403027,0.21237105899999997,199,Percentage of donors,Percentage of total donors,10,NL,
13,Catégorie de revenu familial,50 000 $ a 74 999 $,2018,famincg2_3/fg1fgiv,0.118098953,9.968469702,0.096857729,0.14325953800000002,150,Percentage of donors,Percentage of total donors,10,NL,
14,Catégorie de revenu familial,75 000 $ à 99 999 $,2018,famincg2_4/fg1fgiv,0.209106695,8.09425077,0.17778981,0.244300858,225,Percentage of donors,Percentage of total donors,10,NL,
15,Catégorie de revenu familial,100 000 $ à 124 999 $,2018,famincg2_5/fg1fgiv,0.08192617,11.76682054,0.064871554,0.102970702,101,Percentage of donors,Percentage of total donors,10,NL,
16,Catégorie de revenu familial,125 000 $ et plus,2018,famincg2_6/fg1fgiv,0.289113043,5.487994952,0.258961997,0.321252725,312,Percentage of donors,Percentage of total donors,10,NL,
17,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,ree_02_1/fg1fgiv,0.147423517,8.405461514,0.124700302,0.173466815,152,Percentage of donors,Percentage of total donors,10,NL,
18,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,ree_02_2/fg1fgiv,0.079122453,12.0554802,0.062295968,0.100009134,96,Percentage of donors,Percentage of total donors,10,NL,
19,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,ree_02_3/fg1fgiv,0.127489093,10.588208400000001,0.10323651,0.156445199,121,Percentage of donors,Percentage of total donors,10,NL,
20,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,ree_02_4/fg1fgiv,0.183292103,9.148988897999999,0.152607619,0.218555004,188,Percentage of donors,Percentage of total donors,10,NL,
21,Fréquence de la fréquentation religieuse,Pas du tout,2018,ree_02_5/fg1fgiv,0.46267283299999995,4.3130002439999995,0.423776241,0.5020291179999999,419,Percentage of donors,Percentage of total donors,10,NL,
22,Genre,Hommes,2018,gndr_1/fg1fgiv,0.49006604299999995,1.8e-06,0.490066025,0.49006606,490,Percentage of donors,Percentage of total donors,10,NL,
23,Genre,Femmes,2018,gndr_2/fg1fgiv,0.509933957,1.73e-06,0.50993394,0.509933975,609,Percentage of donors,Percentage of total donors,10,NL,
24,Statut d'immigration,Né.e au Canada,2018,dcit2_1/fg1fgiv,0.864222706,1.531760117,0.8360553959999999,0.888197749,950,Percentage of donors,Percentage of total donors,10,NL,
25,Statut d'immigration,Naturalisé.e,2018,dcit2_2/fg1fgiv,0.0074462040000000005,32.45997379,0.003930271,0.014063005,14,Percentage of donors,Percentage of total donors,10,NL,É
26,Statut d'immigration,Unknown,2018,dcit2_3/fg1fgiv,0.123838064,10.26047391,0.100954956,0.151036635,131,Percentage of donors,Percentage of total donors,10,NL,
27,Statut d'immigration,Non canadien.ne,2018,dcit2_4/fg1fgiv,0.004493026,57.14203379,0.001459102,0.013748551999999999,4,Percentage of donors,Percentage of total donors,10,NL,É
28,Situation d'activité,Employé.e,2018,dlfs_1/fg1fgiv,0.463226801,3.8169133060000004,0.42872203200000003,0.498087358,532,Percentage of donors,Percentage of total donors,10,NL,
29,Situation d'activité,Au chômage,2018,dlfs_2/fg1fgiv,0.022152721,28.87914318,0.012522317,0.038897733,21,Percentage of donors,Percentage of total donors,10,NL,É
30,Situation d'activité,Pas dans la population active,2018,dlfs_3/fg1fgiv,0.354889238,4.478880544,0.324312523,0.386698924,381,Percentage of donors,Percentage of total donors,10,NL,
31,Situation d'activité,Unable to determine,2018,dlfs_4/fg1fgiv,0.15973124,8.603831023,0.134539457,0.18861205399999997,165,Percentage of donors,Percentage of total donors,10,NL,
32,État civil,Marié.e/union de fait,2018,marstat2_1/fg1fgiv,0.610802695,2.58682674,0.579348891,0.641360505,689,Percentage of donors,Percentage of total donors,10,NL,
33,État civil,Veuf.ve,2018,marstat2_2/fg1fgiv,0.06803675599999999,12.62888572,0.052976206,0.086985588,99,Percentage of donors,Percentage of total donors,10,NL,
34,État civil,Séparé.e/divorcé.e,2018,marstat2_3/fg1fgiv,0.261515825,5.234571579,0.23552551100000002,0.28928887,218,Percentage of donors,Percentage of total donors,10,NL,
35,État civil,"Célibataire, jamais marié.e",2018,marstat2_4/fg1fgiv,0.059644723,12.96127166,0.046147915,0.076771214,93,Percentage of donors,Percentage of total donors,10,NL,
36,État civil (original),Marié.e,2018,marstat_1/fg1fgiv,0.515782741,2.9996047389999996,0.485364798,0.546084191,595,Percentage of donors,Percentage of total donors,10,NL,
37,État civil (original),Union de fait,2018,marstat_2/fg1fgiv,0.095019954,12.33386949,0.074358061,0.120674684,94,Percentage of donors,Percentage of total donors,10,NL,
38,État civil (original),Veuf.ve,2018,marstat_3/fg1fgiv,0.059644723,12.96127166,0.046147915,0.076771214,93,Percentage of donors,Percentage of total donors,10,NL,
39,État civil (original),Séparé.e,2018,marstat_4/fg1fgiv,0.018059261,30.44790027,0.009901773,0.032715162,24,Percentage of donors,Percentage of total donors,10,NL,É
40,État civil (original),divorcé.e,2018,marstat_5/fg1fgiv,0.049977495,14.65798117,0.037396977000000005,0.066497797,75,Percentage of donors,Percentage of total donors,10,NL,
41,État civil (original),"Célibataire, jamais marié.e",2018,marstat_6/fg1fgiv,0.261515825,5.234571579,0.23552551100000002,0.28928887,218,Percentage of donors,Percentage of total donors,10,NL,
42,Catégorie de revenu personnel,Moins de 25 000 $,2018,incg2_1/fg1fgiv,0.39369078,3.9277490310000003,0.3637554,0.424446244,316,Percentage of donors,Percentage of total donors,10,NL,
43,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,incg2_2/fg1fgiv,0.288911262,5.113306955,0.260772567,0.318776918,336,Percentage of donors,Percentage of total donors,10,NL,
44,Catégorie de revenu personnel,50 000 $ a 74 999 $,2018,incg2_3/fg1fgiv,0.15888649400000002,6.765129696,0.138887583,0.18115929100000003,214,Percentage of donors,Percentage of total donors,10,NL,
45,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,incg2_4/fg1fgiv,0.088939697,8.891424108999999,0.074578582,0.105750226,134,Percentage of donors,Percentage of total donors,10,NL,
46,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,incg2_5/fg1fgiv,0.032445799,17.60143469,0.022918716000000002,0.045747771,44,Percentage of donors,Percentage of total donors,10,NL,*
47,Catégorie de revenu personnel,125 000 $ et plus,2018,incg2_6/fg1fgiv,0.037125967999999995,15.81831285,0.027162637000000003,0.050553966,55,Percentage of donors,Percentage of total donors,10,NL,
48,Groupe d'âge,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.14326557199999998,2.38e-06,0.143265565,0.143265578,38,Percentage of donors,Percentage of total donors,11,PE,
49,Groupe d'âge,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.139626785,5.5e-07,0.139626784,0.139626787,79,Percentage of donors,Percentage of total donors,11,PE,
50,Groupe d'âge,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.143193947,1.5e-06,0.14319394300000002,0.14319395199999999,98,Percentage of donors,Percentage of total donors,11,PE,
51,Groupe d'âge,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.168162061,8.990000000000001e-07,0.168162058,0.16816206399999997,105,Percentage of donors,Percentage of total donors,11,PE,
52,Groupe d'âge,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.178627858,3.49e-06,0.178627845,0.17862787,171,Percentage of donors,Percentage of total donors,11,PE,
53,Groupe d'âge,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.145003106,3.08e-06,0.145003098,0.145003115,153,Percentage of donors,Percentage of total donors,11,PE,
54,Groupe d'âge,75 ans et plus,2018,agegr10_7/fg1fgiv,0.08212067,3.39e-06,0.082120665,0.082120675,96,Percentage of donors,Percentage of total donors,11,PE,
55,Éducation,Sans diplôme d'études secondaires,2018,dh1ged_1/fg1fgiv,0.09292611099999999,15.01577083,0.06890321,0.124207242,68,Percentage of donors,Percentage of total donors,11,PE,
56,Éducation,Diplôme d'études secondaires,2018,dh1ged_2/fg1fgiv,0.282590888,7.704753959,0.24183398,0.327251812,155,Percentage of donors,Percentage of total donors,11,PE,
57,Éducation,Diplôme post-secondaire,2018,dh1ged_3/fg1fgiv,0.35021817899999996,6.517643785,0.306793775,0.39627536,236,Percentage of donors,Percentage of total donors,11,PE,
58,Éducation,Diplôme universtaire,2018,dh1ged_4/fg1fgiv,0.274264822,6.821227166,0.239075235,0.312506765,197,Percentage of donors,Percentage of total donors,11,PE,
59,Catégorie de revenu familial,Moins de 25 000 $,2018,famincg2_1/fg1fgiv,0.11045606599999999,13.44524866,0.08447408599999999,0.143179637,84,Percentage of donors,Percentage of total donors,11,PE,
60,Catégorie de revenu familial,25 000 $ à 49 999 $,2018,famincg2_2/fg1fgiv,0.17538779399999999,8.723026312,0.14732361900000002,0.207497061,157,Percentage of donors,Percentage of total donors,11,PE,
