,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,0,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.0748673577189356,15.8459901704459,0.0516153756631839,0.0981193397746874,1099,Percentage of donors,Percentage of total donors,10,NL,
1,1,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.118858420925615,12.2262707791851,0.0903763176235546,0.147340524227675,740,Percentage of donors,Percentage of total donors,11,PE,
2,2,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.11149107387225997,15.352099299981,0.0779438983926996,0.14503824935182005,1103,Percentage of donors,Percentage of total donors,12,NS,
3,3,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.0743102361780588,17.722602181720603,0.0484980837163898,0.100122388639728,1106,Percentage of donors,Percentage of total donors,13,NB,*
4,4,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.0962558751347845,10.3402677956658,0.0767481276951316,0.115763622574437,2013,Percentage of donors,Percentage of total donors,24,QC,
5,5,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.0911828268216806,8.6297731394908,0.0757601228727963,0.106605530770565,4346,Percentage of donors,Percentage of total donors,35,ON,
6,6,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.102020395091229,14.0418353714165,0.0739428606209953,0.13009792956146302,1150,Percentage of donors,Percentage of total donors,46,MB,
7,7,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.0851595881056437,15.431792873031304,0.0594024249621983,0.110916751249089,1003,Percentage of donors,Percentage of total donors,47,SK,
8,8,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.12499008556619698,10.5057035480063,0.0992536262945564,0.150726544837837,1412,Percentage of donors,Percentage of total donors,48,AB,
9,9,Age group,15 à 24 ans,2018,agegr10_1/fg1fgiv,0.0869938371216046,13.061397488354,0.0647235290718857,0.109264145171324,2177,Percentage of donors,Percentage of total donors,59,BC,
10,10,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.133491667115223,6.3972870503325705,0.116753878219748,0.150229456010698,1099,Percentage of donors,Percentage of total donors,10,NL,
11,11,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.139053656828414,6.57946029657673,0.121121985254893,0.156985328401934,740,Percentage of donors,Percentage of total donors,11,PE,
12,12,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.121588479996775,11.798707483577301,0.0934710932562955,0.149705866737254,1103,Percentage of donors,Percentage of total donors,12,NS,
13,13,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.13581563303907598,7.138251534465652,0.11681405364543902,0.154817212432714,1106,Percentage of donors,Percentage of total donors,13,NB,
14,14,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.152533837202905,4.89869499788707,0.13788865810829098,0.16717901629752,2013,Percentage of donors,Percentage of total donors,24,QC,
15,15,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.181310305525088,3.087632374568169,0.17033804359071095,0.192282567459464,4346,Percentage of donors,Percentage of total donors,35,ON,
16,16,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.181906418034734,5.7014324322278,0.161579099393141,0.202233736676327,1150,Percentage of donors,Percentage of total donors,46,MB,
17,17,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.186151919336062,5.515629417530251,0.16602808707557098,0.20627575159655304,1003,Percentage of donors,Percentage of total donors,47,SK,
18,18,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.17241846417089998,6.65315902010214,0.14993517909556695,0.194901749246232,1412,Percentage of donors,Percentage of total donors,48,AB,
19,19,Age group,25 à 34 ans,2018,agegr10_2/fg1fgiv,0.161305233609069,5.47740772653337,0.143988274973244,0.17862219224489498,2177,Percentage of donors,Percentage of total donors,59,BC,
20,20,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.140015630188212,5.288865514077831,0.12550162966776598,0.154529630708659,1099,Percentage of donors,Percentage of total donors,10,NL,
21,21,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.14192672883154098,6.341504810108991,0.124286483923199,0.159566973739882,740,Percentage of donors,Percentage of total donors,11,PE,
22,22,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.136417212566205,6.73534524452279,0.118408729813377,0.15442569531903302,1103,Percentage of donors,Percentage of total donors,12,NS,
23,23,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.14770933366047198,5.66919586969237,0.131296729623127,0.164121937697818,1106,Percentage of donors,Percentage of total donors,13,NB,
24,24,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.16232587434413098,4.2277802342741,0.148875070298311,0.17577667838995098,2013,Percentage of donors,Percentage of total donors,24,QC,
25,25,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.158808733894076,3.26058958902833,0.148659842339884,0.16895762544826906,4346,Percentage of donors,Percentage of total donors,35,ON,
26,26,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.170394450113544,5.36265565704978,0.152484950678953,0.18830394954813506,1150,Percentage of donors,Percentage of total donors,46,MB,
27,27,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.1818748784337,4.90153004949891,0.16440248193390802,0.19934727493349305,1003,Percentage of donors,Percentage of total donors,47,SK,
28,28,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.19248347654346104,5.344504028053231,0.17232076421672304,0.212646188870198,1412,Percentage of donors,Percentage of total donors,48,AB,
29,29,Age group,35 à 44 ans,2018,agegr10_3/fg1fgiv,0.17158792160736802,4.26493306434194,0.15724468956648802,0.18593115364824694,2177,Percentage of donors,Percentage of total donors,59,BC,
30,30,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.205092640385377,2.76113643450526,0.193993584605267,0.21619169616548695,1099,Percentage of donors,Percentage of total donors,10,NL,
31,31,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.165082754744707,6.137063641301039,0.145225901535537,0.184939607953876,740,Percentage of donors,Percentage of total donors,11,PE,
32,32,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.16855104270402302,5.03818442016068,0.15190720029202898,0.185194885116016,1103,Percentage of donors,Percentage of total donors,12,NS,
33,33,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.180526297931119,4.441584812197799,0.164810858594685,0.19624173726755306,1106,Percentage of donors,Percentage of total donors,13,NB,
34,34,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.151895287118594,4.56653188944443,0.138300297353637,0.16549027688354995,2013,Percentage of donors,Percentage of total donors,24,QC,
35,35,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.16414292553102405,3.25599911207837,0.15366791330762306,0.174617937754425,4346,Percentage of donors,Percentage of total donors,35,ON,
36,36,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.154904123688533,6.621123952740929,0.134801960764125,0.175006286612941,1150,Percentage of donors,Percentage of total donors,46,MB,
37,37,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.15164864418947,5.872812603917401,0.134193125192949,0.169104163185991,1003,Percentage of donors,Percentage of total donors,47,SK,
38,38,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.156584412384269,5.278398544664951,0.140385017342276,0.17278380742626298,1412,Percentage of donors,Percentage of total donors,48,AB,
39,39,Age group,45 à 54 ans,2018,agegr10_4/fg1fgiv,0.15393902683648902,5.77764633558967,0.136507004175483,0.171371049497495,2177,Percentage of donors,Percentage of total donors,59,BC,
40,40,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.19190327523779704,3.7479644194485897,0.177806299985473,0.20600025049012,1099,Percentage of donors,Percentage of total donors,10,NL,
41,41,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.194807162443474,3.9226650055583,0.179829838176976,0.20978448670997105,740,Percentage of donors,Percentage of total donors,11,PE,
42,42,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.19914726864491694,4.0151354705907,0.183475332686444,0.21481920460339105,1103,Percentage of donors,Percentage of total donors,12,NS,
43,43,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.19638802392188695,4.46656030109162,0.179195632397238,0.21358041544653605,1106,Percentage of donors,Percentage of total donors,13,NB,
44,44,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.189602622681542,3.40594715596421,0.176945635596607,0.20225960976647694,2013,Percentage of donors,Percentage of total donors,24,QC,
45,45,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.172089866380567,2.81004488380458,0.16261186767210198,0.181567865089032,4346,Percentage of donors,Percentage of total donors,35,ON,
46,46,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.183683437580693,3.95840909730779,0.169432653316264,0.197934221845122,1150,Percentage of donors,Percentage of total donors,46,MB,
47,47,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.18027786138045496,4.5144979765420095,0.164326419305152,0.196229303455758,1003,Percentage of donors,Percentage of total donors,47,SK,
48,48,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.184419105586043,3.74176834141544,0.17089430412366402,0.197943907048422,1412,Percentage of donors,Percentage of total donors,48,AB,
49,49,Age group,55 à 64 ans,2018,agegr10_5/fg1fgiv,0.178907651658405,4.29946365854888,0.163831472539609,0.193983830777202,2177,Percentage of donors,Percentage of total donors,59,BC,
50,50,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.166581928249177,3.66196371234062,0.154625815212545,0.17853804128580894,1099,Percentage of donors,Percentage of total donors,10,NL,
51,51,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.148658926573466,4.95804600335149,0.134212859211723,0.163104993935208,740,Percentage of donors,Percentage of total donors,11,PE,
52,52,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.154014413745186,4.7170853758985185,0.139775292277594,0.168253535212778,1103,Percentage of donors,Percentage of total donors,12,NS,
53,53,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.16325458590285902,3.93417754809111,0.15066627570121802,0.175842896104501,1106,Percentage of donors,Percentage of total donors,13,NB,
54,54,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.14339907930277698,3.89942065805306,0.13243948338091602,0.154358675224639,2013,Percentage of donors,Percentage of total donors,24,QC,
55,55,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.134409793108341,2.5021535713623,0.127818160933854,0.14100142528282902,4346,Percentage of donors,Percentage of total donors,35,ON,
56,56,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.130704062497728,4.66595064348486,0.118751051532605,0.14265707346285,1150,Percentage of donors,Percentage of total donors,46,MB,
57,57,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.125669255515996,4.1748320235506,0.115386343037241,0.135952167994751,1003,Percentage of donors,Percentage of total donors,47,SK,
58,58,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.0962975987995719,5.652864998817001,0.0856283912681718,0.10696680633097197,1412,Percentage of donors,Percentage of total donors,48,AB,
59,59,Age group,65 à 74 ans,2018,agegr10_6/fg1fgiv,0.148100003973722,4.06293540844796,0.13630649398355,0.159893513963894,2177,Percentage of donors,Percentage of total donors,59,BC,
60,60,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.0880475011052787,7.34826142381557,0.0753666114295126,0.100728390781045,1099,Percentage of donors,Percentage of total donors,10,NL,
61,61,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.0916123496527853,5.75234364564095,0.0812836193883215,0.101941079917249,740,Percentage of donors,Percentage of total donors,11,PE,
62,62,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.108790508470634,4.63601624273793,0.0989053406554687,0.11867567628579903,1103,Percentage of donors,Percentage of total donors,12,NS,
63,63,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.10199588936652802,5.46399102581458,0.0910729194486453,0.11291885928441,1106,Percentage of donors,Percentage of total donors,13,NB,
64,64,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.103987424215266,4.24740354228271,0.0953307228293992,0.112644125601134,2013,Percentage of donors,Percentage of total donors,24,QC,
65,65,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.098055548739223,2.82650006846467,0.0926234298591111,0.103487667619335,4346,Percentage of donors,Percentage of total donors,35,ON,
66,66,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.0763871129935395,6.7976033791212584,0.0662100137744007,0.0865642122126783,1150,Percentage of donors,Percentage of total donors,46,MB,
67,67,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.08921785303867301,5.0845327931553,0.0803268468656031,0.0981088592117429,1003,Percentage of donors,Percentage of total donors,47,SK,
68,68,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.072806856949559,5.126910270797421,0.0654908166214754,0.0801228972776426,1412,Percentage of donors,Percentage of total donors,48,AB,
69,69,Age group,75 ans et plus,2018,agegr10_7/fg1fgiv,0.0991663251933425,5.176539041198019,0.0891050783373765,0.109227572049309,2177,Percentage of donors,Percentage of total donors,59,BC,
70,70,Gender,Hommes,2018,gndr_1/fg1fgiv,0.468282466809029,2.29196197113222,0.44724645548656,0.489318478131497,1099,Percentage of donors,Percentage of total donors,10,NL,
71,71,Gender,Hommes,2018,gndr_1/fg1fgiv,0.4682007499223579,2.86580714871862,0.441902481267303,0.494499018577414,740,Percentage of donors,Percentage of total donors,11,PE,
72,72,Gender,Hommes,2018,gndr_1/fg1fgiv,0.432773610102049,3.2638641039962,0.40508883950264296,0.460458380701456,1103,Percentage of donors,Percentage of total donors,12,NS,
73,73,Gender,Hommes,2018,gndr_1/fg1fgiv,0.488707825313029,2.54302831902393,0.464349435258194,0.513066215367863,1106,Percentage of donors,Percentage of total donors,13,NB,
74,74,Gender,Hommes,2018,gndr_1/fg1fgiv,0.4683723529440471,2.3335307060228,0.4469507057371121,0.4897940001509821,2013,Percentage of donors,Percentage of total donors,24,QC,
75,75,Gender,Hommes,2018,gndr_1/fg1fgiv,0.46697746686221,1.7238447275790605,0.45119982256014,0.482755111164279,4346,Percentage of donors,Percentage of total donors,35,ON,
76,76,Gender,Hommes,2018,gndr_1/fg1fgiv,0.467904221688051,3.0699669555087103,0.439750309253368,0.496058134122733,1150,Percentage of donors,Percentage of total donors,46,MB,
